playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,totalTackles,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,offsides,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,shotsBlockedInBox,iboxBlocked,shotsOffTargetIncWoodwork,hitWoodwork,expectedGoals,expectedGoalsFreekick,throughBalls,goalAssists,foulWonPenalty,goals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,penaltyGoalsConceded,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,secondGoalAssists,rightFootGoals,penaltiesTaken,headedGoals,penaltyGoals,handballsConceded,penaltiesConceded,ownGoalScored,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,drops,crossesNotClaimed
60252,Andros Townsend,Midfielder,C Palace,31,England,2017-18,185.0,16.0,5.412,0.0,60.0,174.0,36.0,53.0,35.0,219.0,94.0,1023.0,17.0,5.0,45.0,3129.0,13.0,193.0,12.0,97.0,189.0,771.0,93.0,2.0,47.6894,59.0,4.0,21.0,48.0,172.0,152.0,46.0,378.0,48.0,288.0,182.0,36.0,26.0,38.0,653.0,36.0,131.0,361.0,4.0,0.0,978.0,41.0,575.0,34.0,84.0,1.0,330.0,10.0,35.0,1.0,33.0,253.0,1851.0,21.0,9.0,30.0,196.0,3.0,3.0,45.0,48.0,21.0,14.0,3.4253,41.0,6.0,2.0,2.0,6.0,7.0,7.0,27.0,,3.1881,0.1246,2.0,7.0,2.0,2.0,14.0,1.0,49.0,10.0,20.0,2.0,10.0,2.0,2.0,2.0,24.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,
44343,Bakary Sako,Midfielder,C Palace,31,Mali,2017-18,49.0,5.0,0.6467,0.0,7.0,38.0,16.0,7.0,4.0,44.0,18.0,131.0,27.0,1.0,6.0,468.0,16.0,32.0,2.0,11.0,21.0,81.0,29.0,,8.504,6.0,1.0,,10.0,33.0,20.0,7.0,81.0,2.0,38.0,27.0,16.0,1.0,6.0,67.0,8.0,21.0,54.0,11.0,0.0,127.0,11.0,105.0,6.0,7.0,,37.0,8.0,1.0,,6.0,36.0,246.0,1.0,2.0,4.0,26.0,4.0,0.0,6.0,7.0,5.0,6.0,2.3324,12.0,4.0,3.0,3.0,2.0,2.0,2.0,6.0,,1.9849,,,,,3.0,3.0,12.0,4.0,,1.0,,,2.0,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
163776,Erdal Rakip,Midfielder,C Palace,31,North Macedonia,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173954,Jairo Riedewald,Midfielder,C Palace,31,Netherlands,2017-18,11.0,2.0,0.1132,0.0,11.0,19.0,12.0,2.0,4.0,32.0,,155.0,7.0,2.0,2.0,435.0,3.0,18.0,1.0,9.0,14.0,110.0,5.0,,5.4747,,2.0,12.0,6.0,8.0,36.0,,29.0,6.0,69.0,23.0,12.0,3.0,,73.0,5.0,,22.0,4.0,0.0,154.0,2.0,42.0,8.0,3.0,1.0,23.0,3.0,12.0,,13.0,27.0,222.0,1.0,,8.0,52.0,2.0,0.0,13.0,6.0,,,,1.0,,,,,,,1.0,,0.0397,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
50471,James McArthur,Midfielder,C Palace,31,Scotland,2017-18,185.0,2.0,1.5801,0.0,58.0,162.0,33.0,36.0,27.0,224.0,9.0,1070.0,91.0,4.0,2.0,2433.0,52.0,151.0,8.0,59.0,112.0,809.0,75.0,1.0,34.757,20.0,8.0,37.0,35.0,133.0,260.0,28.0,336.0,37.0,349.0,177.0,33.0,14.0,11.0,531.0,27.0,9.0,245.0,39.0,0.0,1056.0,9.0,344.0,44.0,27.0,2.0,265.0,45.0,36.0,,37.0,196.0,1511.0,6.0,9.0,40.0,317.0,27.0,5.0,62.0,65.0,9.0,11.0,3.8011,21.0,,6.0,6.0,1.0,6.0,6.0,10.0,,3.7624,,3.0,1.0,,5.0,3.0,6.0,,,,2.0,,3.0,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,
19197,Jason Puncheon,Midfielder,C Palace,31,England,2017-18,41.0,1.0,0.4227,0.0,13.0,28.0,10.0,5.0,6.0,38.0,2.0,238.0,12.0,,5.0,569.0,8.0,24.0,3.0,5.0,20.0,190.0,10.0,,12.1289,5.0,2.0,4.0,14.0,33.0,58.0,3.0,65.0,3.0,68.0,27.0,10.0,9.0,1.0,125.0,11.0,15.0,53.0,4.0,0.0,231.0,3.0,77.0,4.0,4.0,,67.0,14.0,5.0,,10.0,45.0,337.0,2.0,3.0,2.0,80.0,10.0,5.0,10.0,8.0,5.0,2.0,0.7672,5.0,,2.0,2.0,,1.0,1.0,3.0,,1.508,0.0602,,,,,4.0,4.0,15.0,,3.0,,,,1.0,1.0,11.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,
86417,Jeffrey Schlupp,Midfielder,C Palace,31,Ghana,2017-18,127.0,3.0,0.7484,0.0,57.0,111.0,24.0,12.0,21.0,169.0,28.0,654.0,90.0,3.0,3.0,1748.0,51.0,116.0,7.0,56.0,77.0,458.0,23.0,28.0,28.0083,11.0,7.0,54.0,30.0,76.0,178.0,8.0,243.0,26.0,291.0,113.0,24.0,21.0,10.0,290.0,23.0,28.0,153.0,39.0,0.0,644.0,13.0,293.0,36.0,13.0,8.0,56.0,18.0,24.0,,27.0,129.0,1146.0,113.0,6.0,40.0,198.0,14.0,3.0,58.0,59.0,3.0,2.0,0.3789,12.0,,2.0,2.0,,1.0,1.0,10.0,,1.2395,,,1.0,,,2.0,3.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
75773,Lee Chung-yong,Midfielder,C Palace,31,South Korea,2017-18,8.0,,0.0655,0.0,2.0,9.0,7.0,4.0,1.0,12.0,6.0,67.0,6.0,,,132.0,4.0,8.0,2.0,6.0,6.0,55.0,4.0,,0.5484,2.0,,,3.0,4.0,23.0,2.0,16.0,3.0,13.0,7.0,7.0,2.0,,42.0,1.0,7.0,10.0,2.0,0.0,67.0,1.0,26.0,,2.0,,16.0,1.0,2.0,,,15.0,97.0,3.0,1.0,2.0,13.0,1.0,0.0,3.0,4.0,,,,1.0,,,,,,,1.0,,0.0317,,,,,,,6.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
221245,Levi Lumeka,Midfielder,C Palace,31,England,2017-18,4.0,,0.0016,0.0,1.0,2.0,1.0,,,2.0,4.0,7.0,1.0,,,25.0,1.0,2.0,,2.0,2.0,5.0,1.0,,0.128,,,,,3.0,2.0,,6.0,,1.0,2.0,1.0,,2.0,3.0,,4.0,5.0,,0.0,7.0,1.0,10.0,1.0,1.0,,1.0,,1.0,,,3.0,19.0,,,,2.0,,0.0,,2.0,1.0,,,,,,,,1.0,1.0,,,0.0586,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66975,Luka Milivojevic,Midfielder,C Palace,31,Serbia,2017-18,197.0,4.0,1.4679,0.0,85.0,230.0,36.0,28.0,35.0,327.0,8.0,1652.0,94.0,8.0,13.0,3081.0,45.0,194.0,11.0,70.0,145.0,1203.0,25.0,,49.9386,20.0,12.0,74.0,52.0,152.0,497.0,33.0,391.0,38.0,591.0,274.0,36.0,33.0,9.0,710.0,41.0,26.0,297.0,49.0,0.0,1601.0,9.0,426.0,52.0,28.0,12.0,350.0,69.0,71.0,,122.0,214.0,2198.0,5.0,3.0,34.0,628.0,47.0,8.0,97.0,95.0,11.0,17.0,10.2089,31.0,1.0,4.0,4.0,2.0,3.0,3.0,14.0,1.0,8.2114,0.6856,3.0,1.0,,10.0,8.0,1.0,24.0,3.0,6.0,2.0,3.0,,9.0,9.0,11.0,8.0,,10.0,8.0,,7.0,3.0,,,,,,,,,,,,,,1.0,,
