season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025088,2,8,Chelsea,Away,1153079,551210,Jorrel Hato,jorrel-hato,D,True,,,1.0,8.0,5.0,13.0,1.0,,,1.0,,,,1.0,,1.0,4.0,,,,0.00348492,,,1.0,0.0,,,,,,,,,,,,,21.0,,,,,,,,1.0,,,6.5,,,,,,1.0,,,,1.0,,8.0,5.0,13.0,,,0,,15.0,,,,
2025-26,14025088,2,8,Chelsea,Away,1403050,577016,Josh Acheampong,josh-acheampong,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025097,3,8,Chelsea,Home,352668,109646,Tosin Adarabioyo,tosin-adarabioyo,D,False,,,4.0,14.0,60.0,74.0,4.0,9.0,,3.0,,,,,,,6.0,11.0,,,0.0104534,,,2.0,0.0,,,,,3.0,,,,,,,,90.0,,,,,,,,7.0,,,7.7,,,,,,6.0,,,,9.0,,18.0,63.0,81.0,,,0,2.0,95.0,,,,
2025-26,14025097,3,8,Chelsea,Home,794939,179268,Marc Cucurella,marc-cucurella,D,False,,,5.0,33.0,30.0,63.0,,1.0,,3.0,,,,1.0,,,4.0,6.0,,,0.0302773,,,3.0,0.0,,,,,1.0,2.0,,,,,,,90.0,,,,,,,,6.0,,,7.6,,,,,,5.0,,,,8.0,,37.0,31.0,68.0,,,0,3.0,90.0,1.0,2.0,,1.0
2025-26,14025097,3,8,Chelsea,Home,826134,180736,Trevoh Chalobah,trevoh-chalobah,D,False,1.0,,2.0,21.0,31.0,52.0,2.0,3.0,,2.0,,,2.0,,,1.0,3.0,12.0,,,0.207278,0.1178,,,0.0,,,,,4.0,,,,,,,,90.0,,1.0,,,,,,7.0,,,8.1,,,1.0,,,1.0,1.0,1.0,,5.0,,25.0,33.0,58.0,,,3,5.0,81.0,,3.0,1.0,3.0
2025-26,14025097,3,8,Chelsea,Home,885908,225796,Reece James,reece-james,D,True,,,1.0,3.0,3.0,6.0,,,,,,,,,,1.0,1.0,,,,0.00141738,0.0357,0.0364,,0.0,,,,,,,,,,,,,9.0,1.0,,,,,,,1.0,,,6.7,,,,,,,,,,1.0,,3.0,3.0,6.0,,,1,,10.0,,,,
2025-26,14025097,3,8,Chelsea,Home,923894,444463,Wesley Fofana,wesley-fofana,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025097,3,8,Chelsea,Home,996958,482609,Malo Gusto,gusto-malo,D,False,,,,27.0,23.0,50.0,,,,7.0,,,,,,,2.0,4.0,,,0.0462481,,,1.0,0.0,,,,,2.0,1.0,,,,,,,90.0,,,,,,,,13.0,,,7.0,,,,,,1.0,1.0,1.0,,1.0,,30.0,24.0,54.0,,,0,2.0,78.0,6.0,2.0,,1.0
2025-26,14025097,3,8,Chelsea,Home,1153079,551210,Jorrel Hato,jorrel-hato,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025097,3,8,Chelsea,Home,1403050,577016,Josh Acheampong,josh-acheampong,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025127,4,8,Chelsea,Away,352668,109646,Tosin Adarabioyo,tosin-adarabioyo,D,False,,,3.0,34.0,47.0,81.0,2.0,3.0,,1.0,,,,,,,2.0,3.0,,,0.0170188,,,,0.0,,,,,1.0,,,,,,,,90.0,,1.0,,,,,,5.0,,,7.3,,,,,,7.0,,,,5.0,1.0,38.0,48.0,86.0,,,0,,97.0,,,,
2025-26,14025127,4,8,Chelsea,Away,794939,179268,Marc Cucurella,marc-cucurella,D,True,,,,8.0,7.0,15.0,1.0,,,2.0,,,,3.0,,,4.0,2.0,,,0.0182537,0.0555,0.0485,,0.0,,,,,1.0,2.0,,,,,,,45.0,1.0,,,,,,,4.0,,,6.5,,,,,,2.0,,,,2.0,,10.0,9.0,19.0,,,1,2.0,26.0,,,,1.0
2025-26,14025127,4,8,Chelsea,Away,826134,180736,Trevoh Chalobah,trevoh-chalobah,D,False,,,5.0,40.0,45.0,85.0,1.0,5.0,,4.0,,,,,,,2.0,8.0,,,0.294105,0.0319,,1.0,0.0,,,,,2.0,1.0,,,,,,,90.0,,,,,,,,10.0,,,7.6,,,2.0,,,13.0,,,,9.0,,44.0,48.0,92.0,,,2,1.0,116.0,2.0,2.0,,
2025-26,14025127,4,8,Chelsea,Away,885908,225796,Reece James,reece-james,D,True,,,2.0,24.0,8.0,32.0,1.0,1.0,,2.0,,,1.0,1.0,,,4.0,5.0,,,0.0219027,0.0363,,1.0,0.0,,,,,,,,,,,,,45.0,,,,,,,,4.0,,,6.7,,,,,,2.0,2.0,1.0,,3.0,,26.0,8.0,34.0,,,1,,49.0,,3.0,1.0,
2025-26,14025127,4,8,Chelsea,Away,923894,444463,Wesley Fofana,wesley-fofana,D,False,,,,21.0,25.0,46.0,,2.0,,1.0,,,,,,,,3.0,,,0.00889065,,,,0.0,,,,,1.0,,,,,,,,45.0,,,,,,,,5.0,,,6.6,,,,,,1.0,,,,1.0,,22.0,28.0,50.0,,,0,,59.0,,1.0,,
2025-26,14025127,4,8,Chelsea,Away,996958,482609,Malo Gusto,gusto-malo,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025127,4,8,Chelsea,Away,1153079,551210,Jorrel Hato,jorrel-hato,D,False,,,,10.0,8.0,18.0,1.0,,,2.0,,,,,,2.0,4.0,1.0,,,0.00747837,,,1.0,0.0,,,,,,,,,,,,,45.0,,,,,,,,5.0,,,6.0,,,,,,1.0,1.0,,,,,11.0,8.0,19.0,,,0,,32.0,1.0,,1.0,
2025-26,14025127,4,8,Chelsea,Away,1403050,577016,Josh Acheampong,josh-acheampong,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025169,5,8,Chelsea,Away,352668,109646,Tosin Adarabioyo,tosin-adarabioyo,D,True,,,2.0,23.0,44.0,67.0,1.0,3.0,,6.0,,,,,,,2.0,3.0,,,0.00989854,0.045,,1.0,0.0,,,,,1.0,,,,,,,,83.0,,1.0,,,,,,16.0,,,6.1,,,1.0,,,6.0,,,,6.0,,29.0,53.0,82.0,,,1,,93.0,,,,
2025-26,14025169,5,8,Chelsea,Away,794939,179268,Marc Cucurella,marc-cucurella,D,False,,,,6.0,14.0,20.0,1.0,,,2.0,,,,,,1.0,5.0,2.0,,,0.00237958,0.0546,,3.0,0.0,,,,,,,,,,,,,64.0,,,,,,,,7.0,,,5.9,,,1.0,,,3.0,,1.0,,1.0,,9.0,16.0,25.0,,,1,1.0,41.0,,1.0,,1.0
2025-26,14025169,5,8,Chelsea,Away,826134,180736,Trevoh Chalobah,trevoh-chalobah,D,False,,,6.0,26.0,43.0,69.0,2.0,4.0,,2.0,,,,,,,3.0,7.0,,,0.0123225,0.1971,0.5938,1.0,0.0,1.0,,,,,,,,,,,,90.0,1.0,,,,,,,8.0,,,7.9,,,,,,8.0,1.0,,,8.0,,30.0,46.0,76.0,,,1,2.0,92.0,,,1.0,2.0
2025-26,14025169,5,8,Chelsea,Away,885908,225796,Reece James,reece-james,D,False,2.0,,2.0,21.0,17.0,38.0,1.0,3.0,,5.0,1.0,,,,,1.0,5.0,7.0,1.0,1.0,0.156134,,,2.0,1.0,,,,,2.0,2.0,1.0,,,,,,90.0,,,,,,,,20.0,,,6.2,,,,,,4.0,2.0,8.0,,4.0,,28.0,20.0,48.0,,,0,3.0,82.0,2.0,,1.0,2.0
2025-26,14025169,5,8,Chelsea,Away,923894,444463,Wesley Fofana,wesley-fofana,D,False,,,1.0,14.0,18.0,32.0,1.0,1.0,,1.0,,,,,,1.0,2.0,4.0,,,0.00326265,,,,0.0,,,,,1.0,,,,,,,,64.0,,1.0,,,,,,6.0,,,6.4,,,,,,5.0,,,,2.0,1.0,16.0,20.0,36.0,,,0,2.0,52.0,1.0,1.0,,1.0
2025-26,14025169,5,8,Chelsea,Away,996958,482609,Malo Gusto,gusto-malo,D,True,,,,11.0,4.0,15.0,,1.0,,4.0,,,,1.0,,,1.0,1.0,,,0.00666415,,,,0.0,,,,,,,,,,,,,26.0,,,,,,,,11.0,,,6.6,,,,,,,,3.0,,1.0,,15.0,5.0,20.0,,,0,,30.0,2.0,,,
2025-26,14025169,5,8,Chelsea,Away,1153079,551210,Jorrel Hato,jorrel-hato,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025187,6,8,Chelsea,Home,794939,179268,Marc Cucurella,marc-cucurella,D,False,1.0,,1.0,15.0,16.0,31.0,2.0,,,2.0,,,,1.0,,,5.0,4.0,,,0.0138662,0.0163,,2.0,0.0,,,,,,1.0,,,,,,,90.0,,,,,,,,8.0,,,5.9,,,1.0,,,1.0,1.0,1.0,,3.0,,18.0,20.0,38.0,,,1,3.0,56.0,1.0,,1.0,3.0
2025-26,14025187,6,8,Chelsea,Home,826134,180736,Trevoh Chalobah,trevoh-chalobah,D,False,,,,8.0,28.0,36.0,,,,2.0,,,,,,,1.0,,,,0.00432667,,,1.0,0.0,,,,,,,,,,,,,53.0,,,,,,,,3.0,,,5.5,,,,,,1.0,,,,2.0,,11.0,28.0,39.0,,,0,,40.0,,,,
2025-26,14025187,6,8,Chelsea,Home,885908,225796,Reece James,reece-james,D,False,1.0,,1.0,22.0,19.0,41.0,3.0,2.0,,1.0,1.0,,1.0,1.0,,,7.0,4.0,,,0.303187,0.0459,0.5372,2.0,0.0,,,,,3.0,1.0,,,,,,,90.0,1.0,,,,,,,16.0,,,7.6,,,,,,1.0,2.0,6.0,,2.0,,27.0,19.0,46.0,,,2,1.0,79.0,1.0,,1.0,
2025-26,14025187,6,8,Chelsea,Home,904827,242880,Benoît Badiashile,benoit-badiashile,D,True,,,,1.0,7.0,8.0,,,,2.0,,,,,,,,,,,0.00065608,,,,0.0,,,,,,,,,,,,,11.0,,,,,,,,1.0,,,6.0,,,,,,1.0,,,,1.0,,1.0,8.0,9.0,,,0,,10.0,,,,
