season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767935,1,4,Newcastle_United,Home,796,17974,Steven Taylor,steven-taylor,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767935,1,4,Newcastle_United,Home,3057,7933,Fabricio Coloccini,fabricio-coloccini,D,False,,,6.0,9.0,29.0,38.0,2.0,,3.0,,,1.0,2.0,,,,4.0,1.0,,,,,,,,1.0,,,90.0,1.0,1.0,,,,,,6.7,,,,5.0,1.0,,,10.0,,12.0,31.0,43.0,2,,55.0,,,1.0
2015-16,6767935,1,4,Newcastle_United,Home,8978,42758,Papiss Demba Cissé,papiss-demba-cisse,F,False,1.0,,1.0,14.0,5.0,18.0,2.0,,5.0,,,,,,,1.0,4.0,2.0,,,,,1.0,,,,2.0,,75.0,2.0,,,,,,,7.6,,,1.0,1.0,1.0,3.0,,1.0,,18.0,7.0,22.0,3,2.0,37.0,4.0,,
2015-16,6767935,1,4,Newcastle_United,Home,10438,28301,Cheik Tiote,cheik-tiote,M,True,,,1.0,13.0,7.0,20.0,1.0,1.0,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,22.0,,,,,,,,6.4,,,,1.0,,,,2.0,,16.0,9.0,25.0,0,,27.0,,1.0,
2015-16,6767935,1,4,Newcastle_United,Home,15007,40799,Vurnon Anita,vurnon-anita,M,False,,,2.0,14.0,20.0,34.0,2.0,1.0,4.0,,,,,,,,4.0,1.0,,,2.0,,,,,1.0,,,68.0,,,,,,,,6.6,,,1.0,1.0,,,,4.0,,20.0,20.0,40.0,1,,44.0,,,
2015-16,6767935,1,4,Newcastle_United,Home,16511,38429,Gabriel Obertan,gabriel-obertan,M,False,1.0,,,21.0,16.0,36.0,2.0,2.0,7.0,,,,1.0,,,2.0,8.0,7.0,,,,1.0,,,,,2.0,,90.0,,,,,,,,6.6,,,1.0,,3.0,5.0,,,,29.0,18.0,42.0,1,3.0,61.0,,2.0,
2015-16,6767935,1,4,Newcastle_United,Home,18154,20480,Tim Krul,tim-krul,G,False,,,10.0,5.0,16.0,21.0,,,6.0,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,1.0,6.6,2.0,2.0,,1.0,,,,20.0,,12.0,19.0,31.0,0,,41.0,,,
2015-16,6767935,1,4,Newcastle_United,Home,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,3.0,10.0,11.0,21.0,1.0,,3.0,,,1.0,,,,,4.0,4.0,,,2.0,,1.0,,,,1.0,,81.0,1.0,,,,,,,7.1,,,,,2.0,4.0,,3.0,,15.0,11.0,22.0,2,,38.0,3.0,3.0,1.0
2015-16,6767935,1,4,Newcastle_United,Home,27014,45268,Moussa Sissoko,moussa-sissoko,M,False,1.0,,1.0,21.0,2.0,22.0,,2.0,2.0,,,,,,,1.0,2.0,7.0,,,,,,,,1.0,1.0,,90.0,,,,,,,,6.7,,,,1.0,4.0,6.0,,1.0,,39.0,3.0,36.0,0,1.0,57.0,5.0,1.0,3.0
2015-16,6767935,1,4,Newcastle_United,Home,30262,48773,Siem de Jong,siem-de-jong,M,True,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,9.0,,,,,,,,6.3,,,,,1.0,,,,,1.0,,1.0,0,,2.0,,,
