season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025016,1,4,Newcastle_United,Away,69256,77794.0,Kieran Trippier,kieran-trippier,D,False,2.0,,3.0,29.0,19.0,48.0,,1.0,,4.0,,,,1.0,,,2.0,1.0,,,0.0627033,,,1.0,0.0,,,,,3.0,1.0,,0.72,5.04,1.68,0.16,2.83,90.0,,,,,,,11.0,,,7.0,,,,,1.0,,5.0,,5.0,,34.0,22.0,56.0,,,0,,71.0,,,,
2025-26,14025016,1,4,Newcastle_United,Away,99090,78916.0,Dan Burn,dan-burn,D,False,,,,15.0,27.0,42.0,2.0,6.0,,5.0,,,,1.0,,,4.0,7.0,,,0.0129437,,,1.0,0.0,,,,,2.0,,,0.5,5.15,1.58,0.2,2.55,90.0,,,,,,,11.0,,,7.1,,,,,8.0,,,,3.0,,20.0,32.0,52.0,,,0,1.0,67.0,1.0,1.0,,1.0
2025-26,14025016,1,4,Newcastle_United,Away,101882,119471.0,Fabian Schär,fabian-schar,D,False,,,7.0,19.0,25.0,44.0,,6.0,,5.0,,,,3.0,,,5.0,8.0,,,0.0250373,0.0439,,2.0,0.0,,,,,4.0,,,0.4,4.55,1.12,0.13,3.23,90.0,,,,,,,9.0,,,7.9,,,3.0,,6.0,,1.0,,11.0,,25.0,26.0,51.0,,,3,1.0,70.0,1.0,1.0,,1.0
2025-26,14025016,1,4,Newcastle_United,Away,150396,111773.0,Emil Krafth,emil-krafth,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,4,Newcastle_United,Away,162653,98747.0,Nick Pope,nick-pope,G,False,,3.0,2.0,,11.0,11.0,,1.0,,16.0,,,,,,,,1.0,,,7.849e-05,,,,0.0,,0.2041,3.0,,,,,0.01,1.49,0.1,0.0,3.7,90.0,,,,,,,6.0,,,7.6,3.0,3.0,,,1.0,,,3.0,8.0,,4.0,13.0,17.0,,,0,,36.0,,,,
2025-26,14025016,1,4,Newcastle_United,Away,372336,114243.0,Jacob Murphy,jacob-murphy,F,True,,,,5.0,4.0,9.0,,,,2.0,,,,,,,1.0,1.0,,,0.0101676,,,,0.0,,,,,,,,0.27,0.81,0.37,0.04,0.71,12.0,,,,,,,3.0,,,6.5,,,,,,1.0,1.0,,,,5.0,5.0,10.0,,,0,,14.0,,1.0,,
2025-26,14025016,1,4,Newcastle_United,Away,560128,180974.0,Joelinton,joelinton,M,False,,,,12.0,9.0,21.0,4.0,1.0,,5.0,,,,,,,6.0,5.0,,,0.0175009,,,1.0,0.0,,,,,1.0,,,0.87,3.97,1.75,0.18,2.4,83.0,,,,,,,6.0,,,6.6,,,,,1.0,1.0,1.0,,1.0,,13.0,10.0,23.0,,,0,2.0,39.0,1.0,2.0,,1.0
2025-26,14025016,1,4,Newcastle_United,Away,839410,225321.0,Aaron Ramsdale,aaron-ramsdale,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,4,Newcastle_United,Away,855647,201666.0,Harvey Barnes,harvey-barnes,F,False,3.0,,1.0,18.0,4.0,22.0,,,,3.0,1.0,,2.0,,,,3.0,2.0,,,0.327911,0.232,,1.0,0.0,,,,,,4.0,,0.69,3.72,1.62,0.23,3.26,89.0,,,,,,,14.0,,,6.9,,,1.0,,1.0,2.0,5.0,,2.0,,25.0,4.0,29.0,,,3,,45.0,2.0,2.0,,
2025-26,14025016,1,4,Newcastle_United,Away,866469,208706.0,Bruno Guimarães,bruno-guimaraes,M,False,,,4.0,31.0,10.0,41.0,2.0,1.0,,5.0,,,,1.0,,1.0,6.0,3.0,,,0.103315,,,2.0,0.0,,,,,1.0,1.0,,0.58,5.9,2.02,0.06,2.89,90.0,,,,,,,10.0,,,6.9,,,,,,,1.0,,5.0,,35.0,12.0,47.0,,,0,2.0,58.0,2.0,,,1.0
