season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436874,1,4,Newcastle_United,Home,42209,67089,Martin Dúbravka,martin-dubravka,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436874,1,4,Newcastle_United,Home,69256,77794,Kieran Trippier,kieran-trippier,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436874,1,4,Newcastle_United,Home,99090,78916,Dan Burn,dan-burn,D,False,,,1.0,1.0,12.0,13.0,2.0,1.0,4.0,,,,,,,5.0,1.0,,,0.00032282,,,3.0,0.0,,,,,,,,90.0,,1.0,,,,,,,6.0,,6.9,,,,10.0,,,,3.0,,4.0,14.0,18.0,0,,30.0,1.0,,,
2024-25,12436874,1,4,Newcastle_United,Home,101882,119471,Fabian Schär,fabian-schar,D,False,,,1.0,3.0,6.0,9.0,,,,,,1.0,,,,2.0,,,,0.00236826,0.0364,,2.0,0.0,,,,,,,,28.0,,,,,,,,,2.0,,4.9,,,,1.0,,,,2.0,,5.0,6.0,11.0,1,,13.0,,,,
2024-25,12436874,1,4,Newcastle_United,Home,150396,111773,Emil Krafth,emil-krafth,D,True,,,,,2.0,2.0,1.0,1.0,2.0,,,,,,1.0,2.0,1.0,,,6.7e-07,,,,0.0,,,,,,,,60.0,,2.0,,,,,,,2.0,,7.0,,,,6.0,,,,,,1.0,2.0,3.0,0,,14.0,,,,
2024-25,12436874,1,4,Newcastle_United,Home,162653,98747,Nick Pope,nick-pope,G,False,,,6.0,6.0,2.0,8.0,,,9.0,,,,,,,,,,,0.00099219,,,,0.0,,0.4216,,,,,,90.0,,,,,,,,,16.0,,7.3,3.0,3.0,,,,,,22.0,,22.0,2.0,24.0,0,,30.0,,,,
2024-25,12436874,1,4,Newcastle_United,Home,333373,179018,Miguel Almirón,miguel-almiron,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436874,1,4,Newcastle_United,Home,368134,169359,Matt Targett,matt-targett,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436874,1,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,,5.0,1.0,6.0,,,3.0,,,,,,,2.0,4.0,,,0.0147437,,,1.0,0.0,,,,,,,,30.0,,,,,,,,,3.0,,6.8,,,,,1.0,,,,,6.0,1.0,7.0,0,3.0,13.0,1.0,1.0,,3.0
2024-25,12436874,1,4,Newcastle_United,Home,560128,180974,Joelinton,joelinton,M,False,,,,6.0,4.0,10.0,1.0,4.0,3.0,,,1.0,1.0,,,7.0,8.0,,,0.00827667,0.217,0.6314,4.0,0.0,1.0,,,,1.0,,,90.0,1.0,2.0,,,,,,,10.0,,7.9,,,,6.0,1.0,,,1.0,,12.0,4.0,16.0,2,1.0,38.0,2.0,3.0,,1.0
