season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576081,1,1,Manchester_United,Home,143334,184667,Victor Lindelöf,victor-lindelof,D,False,,,3.0,15.0,32.0,47.0,,3.0,,4.0,1.0,,,,,,,1.0,4.0,,,1.0,1.0,,,,,,1.0,,90.0,,,,,,,,,14.0,,,7.2,,,,,,5.0,,,,11.0,,24.0,36.0,60.0,,,0,,69.0,1.0,1.0,,
2021-22,9576081,1,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,2.0,13.0,25.0,38.0,,3.0,,3.0,,,,1.0,,,1.0,2.0,6.0,,,,,,,,,1.0,,,90.0,,,,,,,,,12.0,,,6.6,,,1.0,,,3.0,1.0,,,6.0,,17.0,32.0,49.0,,,1,1.0,59.0,,1.0,1.0,1.0
2021-22,9576081,1,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,1.0,,2.0,11.0,17.0,27.0,,,,8.0,,,,,,,2.0,5.0,2.0,,,3.0,,,,,,,2.0,,90.0,,1.0,,,,,,,12.0,,,6.9,,,1.0,,,,,3.0,,2.0,,17.0,19.0,33.0,,,1,,56.0,1.0,2.0,,
2021-22,9576081,1,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576081,1,1,Manchester_United,Home,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,,15.0,14.0,29.0,1.0,,,5.0,,,,,,,,4.0,1.0,,,1.0,,,,,,2.0,,,90.0,,,,,,,,,15.0,,,6.3,,,,,,,3.0,1.0,,1.0,,24.0,15.0,38.0,,,0,,62.0,1.0,,1.0,
2021-22,9576081,1,1,Manchester_United,Home,927368,232937,Brandon Williams,williams-brandon,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576076,2,1,Manchester_United,Away,138310,90152,Raphaël Varane,raphael-varane,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576076,2,1,Manchester_United,Away,143334,184667,Victor Lindelöf,victor-lindelof,D,False,,,,14.0,43.0,57.0,2.0,2.0,,3.0,,,,,,,,2.0,4.0,,,,,,,,,1.0,,,90.0,,,,,,,,,14.0,,,6.7,,,,,,2.0,,,,2.0,,20.0,51.0,71.0,,,0,2.0,79.0,,,,1.0
2021-22,9576076,2,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,False,,,2.0,17.0,38.0,55.0,,2.0,,6.0,,1.0,,,,,,1.0,6.0,,1.0,1.0,,,,,1.0,1.0,,,90.0,,,,,,,,,15.0,,,6.7,,,1.0,,,3.0,,,,7.0,,23.0,45.0,68.0,,,1,3.0,81.0,2.0,1.0,,1.0
2021-22,9576076,2,1,Manchester_United,Away,190839,106760,Luke Shaw,luke-shaw,D,False,2.0,,2.0,23.0,16.0,37.0,,1.0,,7.0,1.0,,,2.0,,,2.0,5.0,4.0,,,,,,,,,1.0,2.0,,90.0,,,,,,,,,17.0,,,6.9,,,,,,,1.0,5.0,,3.0,,33.0,17.0,45.0,,,0,1.0,72.0,1.0,2.0,,1.0
2021-22,9576076,2,1,Manchester_United,Away,843200,216051,Diogo Dalot,diogo-dalot,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576076,2,1,Manchester_United,Away,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,2.0,,1.0,27.0,15.0,40.0,2.0,,,4.0,,,,,,,2.0,6.0,5.0,,,1.0,,,,,,,2.0,,90.0,,,,,,,,,12.0,,,6.9,,,,,,,1.0,3.0,,3.0,,32.0,19.0,48.0,,,0,5.0,67.0,,,,3.0
2021-22,9576382,3,1,Manchester_United,Away,138310,90152,Raphaël Varane,raphael-varane,D,False,,,4.0,17.0,43.0,60.0,3.0,3.0,,1.0,,,,,,,,4.0,4.0,,,1.0,1.0,,,,,,1.0,,90.0,,1.0,,,,,,,8.0,,,7.5,,,,,,5.0,,,,8.0,,24.0,44.0,68.0,,,0,1.0,78.0,,,,1.0
2021-22,9576382,3,1,Manchester_United,Away,143334,184667,Victor Lindelöf,victor-lindelof,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576382,3,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,False,,,4.0,15.0,44.0,59.0,2.0,2.0,,8.0,,,1.0,1.0,,,,3.0,2.0,,,,,,,,,2.0,,,90.0,,2.0,,,,,,,6.0,,,7.3,,,,,,4.0,,,,7.0,,20.0,44.0,64.0,,,1,,76.0,,,,
2021-22,9576382,3,1,Manchester_United,Away,190839,106760,Luke Shaw,luke-shaw,D,False,1.0,,2.0,26.0,22.0,47.0,,,,2.0,,,,2.0,,,2.0,6.0,3.0,,,2.0,,,,,,3.0,1.0,,90.0,,,,,,,,,16.0,,,7.0,,,,,,,1.0,7.0,,2.0,1.0,39.0,22.0,54.0,,,0,1.0,82.0,,1.0,1.0,1.0
2021-22,9576382,3,1,Manchester_United,Away,843200,216051,Diogo Dalot,diogo-dalot,D,True,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,1.0,,,0,,5.0,,,1.0,
2021-22,9576382,3,1,Manchester_United,Away,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,,22.0,34.0,56.0,3.0,,,10.0,,,,1.0,1.0,,,4.0,1.0,,,,,,,,,3.0,,,90.0,,1.0,,,,,,,4.0,,,7.6,,,,,,1.0,,1.0,,1.0,,25.0,35.0,59.0,,,0,1.0,69.0,,,,1.0
2021-22,9576135,4,1,Manchester_United,Home,138310,90152,Raphaël Varane,raphael-varane,D,False,,,4.0,20.0,31.0,51.0,,3.0,,5.0,,1.0,,,,,,,6.0,,,,,,,,,1.0,,,90.0,,,,,,,,,6.0,,,7.1,,,2.0,,,3.0,,,,4.0,,24.0,32.0,56.0,,,2,3.0,67.0,1.0,,,2.0
2021-22,9576135,4,1,Manchester_United,Home,143334,184667,Victor Lindelöf,victor-lindelof,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576135,4,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,3.0,33.0,29.0,62.0,,,,4.0,,,,1.0,,,,2.0,2.0,,,1.0,,,,,,,,,90.0,1.0,1.0,,,,,,,2.0,,,7.1,,,,,,4.0,,,,3.0,,34.0,29.0,63.0,,,1,2.0,72.0,1.0,,,
2021-22,9576135,4,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,3.0,,1.0,49.0,12.0,58.0,,,,2.0,2.0,,,,,,,,3.0,,1.0,,1.0,,,,,,4.0,,90.0,,1.0,,,,,,,16.0,,,7.9,,,,,,1.0,1.0,11.0,,1.0,,62.0,12.0,63.0,,,0,2.0,93.0,1.0,,1.0,
