season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436870,1,1,Manchester_United,Home,30144,37642,Jonny Evans,jonny-evans,D,True,,,1.0,1.0,3.0,4.0,1.0,1.0,,,,,,,,,2.0,1.0,,,0.00015759,,,1.0,0.0,,,,,,,,9.0,,,,,,,,2.0,,,6.6,,,,,,1.0,,,,1.0,,2.0,4.0,6.0,,,0,,8.0,,,,
2024-25,12436870,1,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,2.0,15.0,35.0,50.0,1.0,5.0,,5.0,,,,,,,3.0,6.0,,,0.0138249,,,2.0,0.0,,,,,3.0,,,81.0,,1.0,,,,,,11.0,,,7.2,,,,,,5.0,2.0,,,5.0,,23.0,37.0,60.0,,,0,,72.0,,,1.0,
2024-25,12436870,1,1,Manchester_United,Home,803031,209365,Matthijs de Ligt,matthijs-de-ligt,D,True,,,,1.0,1.0,2.0,1.0,,,,,,,,,,1.0,,,,0.00016065,,,,0.0,,,,,,,,9.0,,,,,,,,,,,6.5,,,,,,,,,,,,1.0,1.0,2.0,,,0,,2.0,,,,
2024-25,12436870,1,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,False,,,3.0,25.0,20.0,45.0,2.0,2.0,,6.0,,,,,,,4.0,6.0,,,0.0175676,,,2.0,0.0,,,,,1.0,,,90.0,,1.0,,,,,,11.0,,,7.5,,,,,,3.0,1.0,3.0,,4.0,,33.0,22.0,52.0,,,0,2.0,70.0,,1.0,1.0,1.0
2024-25,12436870,1,1,Manchester_United,Home,847030,230001,Noussair Mazraoui,noussair-mazraoui,D,False,,,,21.0,14.0,35.0,1.0,3.0,,5.0,,,,,,,1.0,6.0,,,0.0138315,,,,0.0,,,,,3.0,,,81.0,,,,,,,,4.0,,,7.4,,,,,,2.0,,,,,,24.0,14.0,38.0,,,0,2.0,55.0,,1.0,,2.0
2024-25,12436870,1,1,Manchester_United,Home,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,4.0,29.0,25.0,54.0,1.0,,,2.0,,,,2.0,,,4.0,3.0,,,0.0221258,,,1.0,0.0,,,,,3.0,1.0,,90.0,,,,,,,,7.0,,,7.3,,,,,,2.0,,,,6.0,,33.0,28.0,61.0,,,0,3.0,70.0,,,,2.0
2024-25,12436888,2,1,Manchester_United,Away,30144,37642,Jonny Evans,jonny-evans,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436888,2,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,False,,,,6.0,35.0,41.0,1.0,1.0,,3.0,,,,,,,1.0,2.0,,,0.00331473,0.0386,,,0.0,,,,,2.0,1.0,,79.0,,1.0,,,,,,4.0,,,7.0,,,1.0,,,3.0,,,,2.0,,10.0,35.0,45.0,,,1,1.0,54.0,,,,
2024-25,12436888,2,1,Manchester_United,Away,803031,209365,Matthijs de Ligt,matthijs-de-ligt,D,True,,,,1.0,7.0,8.0,,1.0,,1.0,,,,,,,,1.0,,,0.0005547,,,,0.0,,,,,1.0,,,11.0,,1.0,,,,,,,,,6.8,,,,,,2.0,,,,,,1.0,7.0,8.0,,,0,,12.0,,,,
2024-25,12436888,2,1,Manchester_United,Away,843200,216051,Diogo Dalot,diogo-dalot,D,False,1.0,,2.0,14.0,40.0,53.0,2.0,2.0,,12.0,1.0,,,,1.0,,4.0,6.0,,,0.0539324,0.0244,,1.0,0.0,,,,,2.0,1.0,,90.0,,1.0,,,,,,9.0,,,7.7,,,1.0,,,2.0,2.0,1.0,,3.0,,17.0,43.0,59.0,,,1,2.0,81.0,2.0,1.0,1.0,2.0
2024-25,12436888,2,1,Manchester_United,Away,847030,230001,Noussair Mazraoui,noussair-mazraoui,D,False,,,,10.0,19.0,29.0,2.0,1.0,,3.0,,,,,,1.0,4.0,4.0,,,0.0177293,,,2.0,1.0,,,,,1.0,2.0,,90.0,,,,,,,,9.0,,,6.7,,,,,,,,1.0,,,,13.0,22.0,34.0,,,0,2.0,48.0,,1.0,,1.0
2024-25,12436888,2,1,Manchester_United,Away,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,1.0,14.0,56.0,70.0,,,,3.0,,,,1.0,,,2.0,2.0,,,0.189592,,,1.0,0.0,,,,,1.0,,,90.0,,,,,,,,3.0,,,6.8,,,,,,1.0,,,,3.0,,16.0,57.0,73.0,,,0,1.0,80.0,,1.0,,1.0
2024-25,12436920,3,1,Manchester_United,Home,30144,37642,Jonny Evans,jonny-evans,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436920,3,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,True,,,,3.0,15.0,18.0,1.0,,,1.0,,,,,,,1.0,1.0,,,0.00043317,,,,0.0,,,,,,,,21.0,,,,,,,,4.0,,,6.7,,,,,,,,1.0,,,,7.0,15.0,21.0,,,0,1.0,24.0,,,,1.0
2024-25,12436920,3,1,Manchester_United,Home,803031,209365,Matthijs de Ligt,matthijs-de-ligt,D,False,,,,7.0,40.0,47.0,1.0,,,3.0,,,,1.0,,,2.0,2.0,,,0.00265553,,,,0.0,,,,,1.0,,1.0,69.0,,,,,,,,8.0,,,6.1,,,,,,1.0,,,,4.0,,9.0,46.0,55.0,,,0,1.0,62.0,,1.0,,1.0
2024-25,12436920,3,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,False,,,2.0,18.0,16.0,34.0,,,,8.0,,,,,,,2.0,4.0,,,0.0208966,,,1.0,0.0,,,,,4.0,,,90.0,,1.0,,,,,,16.0,,,6.8,,,,,,,2.0,1.0,,4.0,,23.0,21.0,43.0,,,0,3.0,70.0,2.0,,1.0,3.0
2024-25,12436920,3,1,Manchester_United,Home,847030,230001,Noussair Mazraoui,noussair-mazraoui,D,False,,,1.0,21.0,24.0,45.0,,3.0,,4.0,,,,,,2.0,3.0,13.0,,,0.020495,0.0788,0.0294,1.0,0.0,,,,,,1.0,,90.0,1.0,,,,,,,17.0,,,7.0,,,1.0,,,1.0,1.0,2.0,,2.0,,27.0,29.0,54.0,,,2,8.0,85.0,2.0,1.0,1.0,2.0
