season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352548,27,1,Manchester_United,Away,30144,37642,Jonny Evans,jonny-evans,D,False,,,,1.0,11.0,12.0,,,4.0,,,,,,,,,4.0,,,0.00010713,,,,,,,,,2.0,,,69.0,,2.0,,,,,,5.0,,7.2,,,,,4.0,1.0,,,1.0,,2.0,13.0,15.0,0,3.0,31.0,2.0,,1.0,2.0
2023-24,11352548,27,1,Manchester_United,Away,138310,90152,Raphaël Varane,raphael-varane,D,False,,,1.0,7.0,19.0,26.0,,1.0,,,,,1.0,,,,2.0,1.0,,,0.00254493,,,1.0,,,,,,1.0,,,90.0,,2.0,,,,,,3.0,,6.5,,,,,9.0,,,,2.0,,9.0,20.0,29.0,0,,42.0,,,,
2023-24,11352548,27,1,Manchester_United,Away,143334,184667,Victor Lindelöf,victor-lindelof,D,False,,,1.0,6.0,15.0,21.0,1.0,2.0,3.0,,,,,,,,3.0,2.0,,,0.0164277,,,2.0,,,,,,2.0,,,90.0,,,,,,,,9.0,,6.2,,,,,3.0,,,,2.0,,8.0,22.0,30.0,0,,37.0,,,,
2023-24,11352548,27,1,Manchester_United,Away,843200,216051,Diogo Dalot,diogo-dalot,D,False,,,,12.0,20.0,32.0,,1.0,3.0,,,,,,,,2.0,9.0,,,0.0106573,,,2.0,,,,,,,,,90.0,,2.0,,,,,,12.0,,7.1,,,,,3.0,3.0,,,3.0,,16.0,24.0,40.0,0,3.0,63.0,2.0,2.0,3.0,2.0
2023-24,11352548,27,1,Manchester_United,Away,1136721,518466,Willy Kambwala,kambwala-willy,D,True,,,,,4.0,4.0,,,2.0,,,,1.0,,,,1.0,,,,2.867e-05,,,,,,,,,,,,21.0,,,,,,,,1.0,,6.0,,,,,,,,,1.0,,1.0,4.0,5.0,0,,7.0,,,,
2023-24,11352548,27,1,Manchester_United,Away,1150926,519325,Habeeb Ogunneye,ogunneye-habeeb,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352591,28,1,Manchester_United,Home,30144,37642,Jonny Evans,jonny-evans,D,False,,,1.0,8.0,34.0,42.0,4.0,1.0,1.0,,,,,,,1.0,8.0,3.0,,,0.00199386,,,2.0,,,,,,2.0,1.0,,89.0,,4.0,,,,,,9.0,,7.2,,,,,4.0,2.0,,,3.0,,8.0,40.0,48.0,0,,65.0,1.0,1.0,1.0,
2023-24,11352591,28,1,Manchester_United,Home,138310,90152,Raphaël Varane,raphael-varane,D,False,,,2.0,6.0,47.0,53.0,,1.0,5.0,,,,,,,,,3.0,,,0.209108,,,,,,,,,1.0,,1.0,90.0,,1.0,,,,,,11.0,,7.3,,,,,3.0,,,,7.0,,12.0,52.0,64.0,0,2.0,72.0,,,,1.0
2023-24,11352591,28,1,Manchester_United,Home,143334,184667,Victor Lindelöf,victor-lindelof,D,False,,,2.0,9.0,27.0,36.0,5.0,,7.0,,,,,,,,7.0,2.0,,,0.010655,0.3893,0.7478,2.0,,,,,,,,,90.0,2.0,,,,,,,3.0,,7.3,,,,,2.0,,,,4.0,,9.0,30.0,39.0,2,2.0,54.0,,,,2.0
2023-24,11352591,28,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,False,1.0,,4.0,14.0,25.0,38.0,1.0,,6.0,,,,1.0,,,,3.0,2.0,,,0.0100188,0.0168,0.0346,2.0,,,,,,,,,90.0,1.0,,,,,,,6.0,,7.5,,,,,3.0,,1.0,,5.0,,17.0,27.0,43.0,1,2.0,60.0,1.0,,,2.0
