season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385751,13,1,Manchester_United,Away,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,1.0,11.0,35.0,46.0,2.0,1.0,1.0,,,,1.0,,,,4.0,7.0,,,0.00482015,0.0,0.0,1.0,,,,,,1.0,,,90.0,,1.0,,,,,,6.0,,7.2,,,,,7.0,,,,3.0,,15.0,37.0,52.0,0,5.0,68.0,,1.0,,2.0
2022-23,10385360,14,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,1.0,9.0,33.0,42.0,1.0,2.0,,,,,,1.0,,,2.0,3.0,,,0.00339332,0.0,0.0,,,,,,,,,,90.0,,3.0,,,,,,10.0,,7.9,,,,,8.0,1.0,,,5.0,,18.0,33.0,51.0,0,1.0,65.0,,,,
2022-23,10385360,14,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,1.0,,,25.0,14.0,38.0,1.0,3.0,5.0,1.0,,,,,,1.0,7.0,7.0,,,0.133567,0.0,0.0,3.0,,,,,,,2.0,,90.0,,,,,,,,15.0,,7.3,,,,,1.0,2.0,5.0,,,,36.0,15.0,46.0,0,3.0,66.0,,1.0,,2.0
2022-23,10385360,14,1,Manchester_United,Home,825839,222690,Tyrell Malacia,tyrell-malacia,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385360,14,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,False,2.0,,4.0,12.0,14.0,24.0,,2.0,5.0,,,1.0,,,,1.0,2.0,7.0,,,0.0894244,0.0303,0.0,1.0,,,,,,3.0,4.0,,90.0,,,,,,,,11.0,,8.2,,,,,5.0,1.0,4.0,,4.0,,17.0,18.0,31.0,1,4.0,59.0,,,1.0,4.0
2022-23,10385360,14,1,Manchester_United,Home,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,1.0,20.0,40.0,60.0,2.0,1.0,3.0,,,,,,,,2.0,5.0,,,0.0253788,0.0,0.0,,,,,,,1.0,,,90.0,,4.0,,,,,,6.0,,7.9,,,,,3.0,1.0,,,3.0,,24.0,41.0,65.0,0,2.0,81.0,,1.0,1.0,1.0
2022-23,10385379,15,1,Manchester_United,Away,143334,184667,Victor Lindelöf,victor-lindelof,D,False,,,3.0,20.0,36.0,56.0,1.0,1.0,3.0,,,,,,,,1.0,1.0,,,0.00465265,0.0,0.0,,,,,,,1.0,,,90.0,,,,,,,,4.0,,6.3,,,,,1.0,,,,3.0,,21.0,39.0,60.0,0,,65.0,,,,
2022-23,10385379,15,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385379,15,1,Manchester_United,Away,190839,106760,Luke Shaw,luke-shaw,D,False,,,4.0,33.0,18.0,51.0,,,4.0,,,,,,,,3.0,2.0,,,0.0388859,0.0212,0.0,2.0,,,,,,1.0,,,65.0,,,,,,,,13.0,,6.6,,,1.0,,1.0,1.0,3.0,,6.0,,42.0,20.0,59.0,1,1.0,82.0,1.0,1.0,,1.0
2022-23,10385379,15,1,Manchester_United,Away,825839,222690,Tyrell Malacia,tyrell-malacia,D,True,,,,9.0,3.0,12.0,,,,,,,,,,,1.0,,,,0.0099084,0.0,0.0,,,,,,,1.0,,,25.0,,,,,,,,2.0,,6.5,,,,,,1.0,,,,,9.0,3.0,12.0,0,,17.0,1.0,,,
2022-23,10385379,15,1,Manchester_United,Away,843200,216051,Diogo Dalot,diogo-dalot,D,False,1.0,,5.0,21.0,22.0,42.0,2.0,3.0,6.0,,,,,,,1.0,4.0,9.0,,,0.0490638,0.0,0.0,,,,,,,2.0,,,90.0,,,,,,,,20.0,,6.6,,,,,,4.0,3.0,,8.0,,32.0,28.0,57.0,0,3.0,81.0,1.0,,3.0,3.0
2022-23,10385379,15,1,Manchester_United,Away,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,7.0,35.0,49.0,84.0,,1.0,4.0,,,,2.0,,,,4.0,4.0,,,0.20108,0.0,0.0,2.0,,,,,,2.0,1.0,,90.0,,,,,,,,11.0,,6.9,,,,,3.0,,,,11.0,,42.0,52.0,94.0,0,3.0,105.0,,,,2.0
2022-23,10385399,16,1,Manchester_United,Away,143334,184667,Victor Lindelöf,victor-lindelof,D,False,,,2.0,6.0,33.0,39.0,,4.0,11.0,,,,,,,,2.0,7.0,,,0.00111548,0.0,0.0,2.0,,,,,,1.0,,,90.0,,1.0,,,,,,5.0,,7.5,,,,,11.0,,,,3.0,,8.0,36.0,44.0,0,3.0,61.0,,,,1.0
2022-23,10385399,16,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385399,16,1,Manchester_United,Away,190839,106760,Luke Shaw,luke-shaw,D,False,3.0,,4.0,19.0,26.0,42.0,1.0,1.0,8.0,2.0,,,,,,1.0,4.0,3.0,,,0.432142,0.0,0.0,1.0,,,,,,1.0,2.0,,90.0,,,,,,,,13.0,,7.4,,,,,2.0,1.0,6.0,,5.0,,25.0,31.0,50.0,0,1.0,70.0,,1.0,,1.0
2022-23,10385399,16,1,Manchester_United,Away,825839,222690,Tyrell Malacia,tyrell-malacia,D,False,,,1.0,12.0,17.0,29.0,,,5.0,,,,1.0,,,,4.0,1.0,,,0.0120587,0.0,0.0,2.0,,,,,,,,,90.0,,,,,,,,12.0,,6.3,,,,,4.0,1.0,,,2.0,,15.0,21.0,36.0,0,1.0,56.0,2.0,,,1.0
2022-23,10385399,16,1,Manchester_United,Away,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,2.0,10.0,42.0,52.0,1.0,4.0,9.0,,,,,,,2.0,3.0,7.0,,,0.198687,0.0,0.0,,,,,,,2.0,1.0,,90.0,,,,,,,,15.0,,7.3,,,,,8.0,,,,10.0,,19.0,45.0,64.0,0,2.0,88.0,,1.0,,
2022-23,10385401,17,1,Manchester_United,Home,138310,90152,Raphaël Varane,raphael-varane,D,False,,,4.0,29.0,42.0,71.0,,,4.0,,,,1.0,,,,1.0,1.0,,,0.0113564,0.0,0.0,,,,,,,2.0,,,77.0,,,,,,,,4.0,,7.0,,,,,4.0,,,,6.0,,33.0,42.0,75.0,0,1.0,82.0,,,,
2022-23,10385401,17,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,True,,,,1.0,3.0,4.0,1.0,1.0,1.0,,,,1.0,,,,2.0,1.0,,,0.00020091,0.0,0.0,,,,,,,,,,13.0,,1.0,,,,,,1.0,,6.6,,,,,1.0,,,,,,1.0,4.0,5.0,0,,7.0,,,,
2022-23,10385401,17,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,,,5.0,41.0,59.0,100.0,,3.0,11.0,,,,,,,,1.0,4.0,,,0.0226166,0.0,0.0,1.0,,,,,,3.0,,,90.0,,,,,,,,11.0,,7.4,,,,,2.0,,,,8.0,,47.0,64.0,111.0,0,1.0,118.0,,,,1.0
2022-23,10385401,17,1,Manchester_United,Home,825839,222690,Tyrell Malacia,tyrell-malacia,D,False,,,2.0,34.0,18.0,52.0,1.0,,6.0,,,1.0,,,,,6.0,4.0,,,0.100569,0.1428,0.0858,3.0,,,,,1.0,3.0,,,90.0,1.0,,,,,,,13.0,,7.4,,,,,4.0,2.0,3.0,,3.0,,42.0,20.0,59.0,2,3.0,87.0,1.0,1.0,,1.0
2022-23,10385401,17,1,Manchester_United,Home,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,1.0,,1.0,23.0,21.0,43.0,1.0,,6.0,,,,1.0,,,,5.0,3.0,,,0.114612,0.0,0.0,1.0,,,,,,1.0,2.0,,90.0,,,,,,,,12.0,,6.9,,,,,,3.0,1.0,,2.0,,28.0,24.0,51.0,0,2.0,70.0,1.0,,1.0,1.0
2022-23,10385401,17,1,Manchester_United,Home,927368,232937,Brandon Williams,williams-brandon,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385401,17,1,Manchester_United,Home,1136722,515500,Rhys Bennett,rhys-bennett,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385408,18,1,Manchester_United,Away,138310,90152,Raphaël Varane,raphael-varane,D,False,,,3.0,13.0,22.0,35.0,2.0,4.0,3.0,,,,1.0,,,,4.0,5.0,,,0.101049,0.0,0.0,,,,,,,,,,90.0,,3.0,,,,,,8.0,,7.3,,,,,7.0,2.0,,,7.0,,18.0,24.0,42.0,0,,59.0,,,1.0,
2022-23,10385408,18,1,Manchester_United,Away,143334,184667,Victor Lindelöf,victor-lindelof,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385408,18,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,0,,2.0,,,,
2022-23,10385408,18,1,Manchester_United,Away,190839,106760,Luke Shaw,luke-shaw,D,False,1.0,,4.0,22.0,36.0,57.0,1.0,1.0,10.0,,,,1.0,,,,3.0,3.0,,,0.064263,0.0,0.0,1.0,,,,,,2.0,,,90.0,,1.0,,,,,,12.0,,7.3,,,,,1.0,,1.0,,11.0,,30.0,39.0,68.0,0,1.0,81.0,1.0,1.0,,1.0
2022-23,10385408,18,1,Manchester_United,Away,825839,222690,Tyrell Malacia,tyrell-malacia,D,False,1.0,,2.0,21.0,22.0,42.0,1.0,1.0,10.0,,,,1.0,,,,4.0,4.0,,,0.12167,0.0,0.0,1.0,,,,,,2.0,1.0,,90.0,,,,,,,,12.0,,7.4,,,,,7.0,1.0,2.0,,4.0,,27.0,24.0,49.0,0,2.0,76.0,2.0,1.0,,
2022-23,10385408,18,1,Manchester_United,Away,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,1.0,16.0,12.0,28.0,,,3.0,1.0,,,,,,1.0,1.0,2.0,,,0.05172,0.0,0.0,,,,,,,4.0,1.0,,90.0,,1.0,,,,,,9.0,,7.5,,,,,2.0,,,,1.0,,22.0,14.0,36.0,0,1.0,54.0,,1.0,,1.0
2022-23,10385408,18,1,Manchester_United,Away,927368,232937,Brandon Williams,williams-brandon,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385415,19,1,Manchester_United,Home,138310,90152,Raphaël Varane,raphael-varane,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385415,19,1,Manchester_United,Home,143334,184667,Victor Lindelöf,victor-lindelof,D,False,,,,29.0,49.0,78.0,1.0,3.0,6.0,,,,,,,,1.0,3.0,,,0.00968758,0.0,0.0,,,,,,,1.0,,,88.0,,,,,,,,6.0,,6.9,,,,,2.0,,,,4.0,,33.0,51.0,84.0,0,,90.0,,,,
2022-23,10385415,19,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,6.0,16.0,42.0,58.0,2.0,,9.0,,,,,,,,2.0,3.0,,,0.00405238,0.0,0.0,,,,,,,2.0,,,90.0,,,,,,,,7.0,,7.4,,,,,3.0,,,,8.0,,20.0,45.0,65.0,0,2.0,75.0,,1.0,,2.0
2022-23,10385415,19,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,1.0,,5.0,46.0,39.0,84.0,1.0,,12.0,,,,,,,,4.0,3.0,,1.0,0.103188,0.3094,0.7641,3.0,,1.0,,,,,3.0,,90.0,1.0,,,,,,,15.0,,7.9,,,,,3.0,1.0,1.0,,9.0,,54.0,43.0,96.0,1,1.0,118.0,3.0,1.0,1.0,
2022-23,10385415,19,1,Manchester_United,Home,825839,222690,Tyrell Malacia,tyrell-malacia,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385415,19,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,True,,,1.0,5.0,4.0,9.0,,,4.0,,,1.0,,,,,,,,,0.0160188,0.1046,0.0659,,,,,,,1.0,1.0,,21.0,1.0,,,,,,,3.0,,6.9,,,,,,,,,1.0,,6.0,4.0,10.0,2,,15.0,,,,
2022-23,10385415,19,1,Manchester_United,Home,859999,221820,Lisandro Martínez,lisandro-martinez,D,True,,,1.0,2.0,1.0,3.0,,1.0,1.0,,,,,,,,,1.0,,,0.001015,0.0,0.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,,2.0,2.0,4.0,0,,5.0,,,,
