team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Sheffield_Utd_49,2019-20,1059703,1,2019-08-10 15:00:00,"Vitality Stadium, Bournemouth",10714.0,Away,Sheff Utd,Bournemouth,D,332.0,14.0,21.0,,2.0,2.0,3.0,1.0,19.0,1.0,8.0,,4.0,9.0,56.0,49.0,16.0,,,66.0,19.0,9.0,,1.0,1,1.0,1,0,0,,14.0,3.0,3.0,2.0,,25.0,,145.0,47.1,0.0,0,0,2.0,4.0,5.0,16.0,1.0,428.0,8.0,14.0,11.0,4.0,11.0,0.0
Sheffield_Utd_49,2019-20,1059719,2,2019-08-18 14:00:00,"Bramall Lane, Sheffield",30197.0,Home,Sheff Utd,Crystal Palace,W,274.0,27.0,23.0,,1.0,1.0,1.0,1.0,20.0,6.0,10.0,1.0,8.0,10.0,74.0,62.0,38.0,,,57.0,16.0,10.0,,1.0,0,,1,0,0,,14.0,4.0,3.0,2.0,,23.0,,145.0,42.5,0.0,0,0,4.0,6.0,10.0,38.0,,354.0,15.0,20.0,22.0,8.0,11.0,0.0
Sheffield_Utd_49,2019-20,1059728,3,2019-08-24 15:00:00,"Bramall Lane, Sheffield",30079.0,Home,Sheff Utd,Leicester,L,316.0,21.0,25.0,,,,,,17.0,2.0,9.0,,7.0,10.0,54.0,58.0,15.0,1.0,,61.0,11.0,6.0,1.0,1.0,2,2.0,1,1,0,,15.0,2.0,2.0,4.0,,43.0,,169.0,49.1,0.0,0,0,,3.0,4.0,15.0,1.0,421.0,7.0,16.0,21.0,7.0,13.0,0.0
Sheffield_Utd_49,2019-20,1059734,4,2019-08-31 15:00:00,"Stamford Bridge, London",40560.0,Away,Sheff Utd,Chelsea,D,338.0,20.0,23.0,,,2.0,1.0,1.0,11.0,1.0,16.0,,4.0,8.0,62.0,51.0,24.0,2.0,,66.0,11.0,6.0,1.0,2.0,2,2.0,2,2,0,,17.0,3.0,2.0,3.0,,20.0,,129.0,37.7,0.0,0,0,3.0,5.0,7.0,24.0,,429.0,8.0,15.0,10.0,4.0,10.0,0.0
Sheffield_Utd_49,2019-20,1059748,5,2019-09-14 15:00:00,"Bramall Lane, Sheffield",30985.0,Home,Sheff Utd,Southampton,L,308.0,20.0,16.0,,1.0,3.0,3.0,,20.0,5.0,20.0,,12.0,12.0,67.0,59.0,24.0,,,63.0,10.0,6.0,,,1,1.0,0,0,0,,10.0,8.0,4.0,1.0,,37.0,,171.0,48.2,0.0,0,1,6.0,8.0,16.0,24.0,3.0,414.0,17.0,21.0,29.0,12.0,11.0,0.0
Sheffield_Utd_49,2019-20,1059756,6,2019-09-21 15:00:00,"Goodison Park, Liverpool",39354.0,Away,Sheff Utd,Everton,W,144.0,19.0,24.0,,,1.0,,1.0,15.0,,15.0,1.0,3.0,3.0,52.0,52.0,63.0,,,50.0,9.0,8.0,1.0,2.0,0,,2,0,1,,14.0,1.0,1.0,7.0,,12.0,,131.0,30.2,0.0,0,0,3.0,1.0,2.0,63.0,1.0,227.0,2.0,15.0,6.0,3.0,10.0,0.0
Sheffield_Utd_49,2019-20,1059769,7,2019-09-28 12:30:00,"Bramall Lane, Sheffield",31774.0,Home,Sheff Utd,Liverpool,L,192.0,26.0,20.0,,,1.0,1.0,,17.0,4.0,7.0,,6.0,8.0,52.0,43.0,29.0,1.0,3.0,52.0,8.0,4.0,,,1,1.0,0,0,0,,12.0,4.0,2.0,3.0,,27.0,,140.0,29.6,0.0,0,0,3.0,6.0,9.0,29.0,,291.0,12.0,11.0,24.0,6.0,7.0,0.0
Sheffield_Utd_49,2019-20,1059780,8,2019-10-05 15:00:00,"Vicarage Road, Watford",20811.0,Away,Sheff Utd,Watford,D,455.0,26.0,25.0,,1.0,,,,6.0,2.0,10.0,1.0,7.0,13.0,59.0,53.0,27.0,,,74.0,6.0,7.0,,,0,,0,0,0,,9.0,4.0,3.0,2.0,,38.0,,164.0,60.5,0.0,0,0,2.0,4.0,6.0,27.0,3.0,554.0,9.0,15.0,22.0,7.0,9.0,0.0
Sheffield_Utd_49,2019-20,1059789,9,2019-10-21 20:00:00,"Bramall Lane, Sheffield",30775.0,Home,Sheff Utd,Arsenal,W,205.0,15.0,28.0,,1.0,1.0,,1.0,11.0,1.0,20.0,1.0,7.0,14.0,59.0,62.0,25.0,,,54.0,10.0,11.0,1.0,1.0,0,,1,0,1,,13.0,3.0,2.0,2.0,,29.0,,136.0,31.4,0.0,0,0,3.0,5.0,7.0,25.0,1.0,287.0,8.0,21.0,23.0,7.0,14.0,0.0
Sheffield_Utd_49,2019-20,1059801,10,2019-10-26 15:00:00,"London Stadium, London",59878.0,Away,Sheff Utd,West Ham,D,261.0,22.0,25.0,,1.0,1.0,1.0,,16.0,3.0,10.0,,4.0,7.0,51.0,55.0,27.0,,,53.0,10.0,7.0,1.0,1.0,1,1.0,1,1,0,,14.0,6.0,4.0,1.0,,22.0,,139.0,39.2,0.0,0,0,3.0,3.0,9.0,27.0,4.0,357.0,10.0,11.0,19.0,4.0,6.0,0.0
