team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Middlesbrough_25,2016-17,855180,1,2016-08-13 15:00:00,"Riverside Stadium, Middlesbrough",32110,Home,Boro,Stoke,D,262.0,27.0,22.0,,,2.0,1.0,1.0,17.0,4.0,16.0,,9.0,9.0,73.0,60.0,17.0,,,42.0,18.0,14.0,1.0,1.0,1,1.0,1,0,1,2.0,20.0,4.0,2.0,2.0,26.0,,133.0,45.6,0.0,0,0,,6.0,8.0,20.0,1.0,349.0,12.0,17.0,19.0,9.0,11.0,0.0
Middlesbrough_25,2016-17,855186,2,2016-08-21 13:30:00,"Stadium of Light, Sunderland",43515,Away,Boro,Sunderland,W,372.0,18.0,17.0,,,2.0,1.0,1.0,27.0,3.0,21.0,,1.0,10.0,68.0,63.0,26.0,1.0,,54.0,14.0,11.0,2.0,2.0,1,1.0,2,0,2,,17.0,5.0,3.0,6.0,14.0,,144.0,53.1,0.0,0,0,4.0,2.0,7.0,34.0,,476.0,8.0,30.0,13.0,1.0,20.0,0.0
Middlesbrough_25,2016-17,855201,3,2016-08-28 13:30:00,"The Hawthorns, West Bromwich",23690,Away,Boro,West Brom,D,428.0,21.0,31.0,,,,,,16.0,1.0,12.0,1.0,4.0,11.0,59.0,66.0,33.0,,,60.0,11.0,11.0,,,0,,0,0,0,,13.0,2.0,2.0,5.0,25.0,,132.0,59.0,0.0,0,0,2.0,4.0,6.0,38.0,3.0,515.0,7.0,22.0,16.0,4.0,16.0,0.0
Middlesbrough_25,2016-17,855207,4,2016-09-10 15:00:00,"Riverside Stadium, Middlesbrough",30551,Home,Boro,Crystal Palace,L,450.0,27.0,14.0,,,1.0,1.0,,10.0,3.0,14.0,,6.0,14.0,69.0,58.0,18.0,1.0,,69.0,5.0,8.0,1.0,1.0,2,2.0,1,1,1,,12.0,6.0,4.0,4.0,33.0,,142.0,57.7,0.0,0,0,2.0,5.0,9.0,19.0,3.0,526.0,12.0,24.0,21.0,6.0,19.0,0.0
Middlesbrough_25,2016-17,855214,5,2016-09-17 17:30:00,"Goodison Park, Liverpool",39074,Away,Boro,Everton,L,409.0,15.0,21.0,,1.0,,,,20.0,4.0,20.0,,3.0,9.0,69.0,56.0,23.0,,,62.0,15.0,5.0,,1.0,3,3.0,1,3,1,,24.0,2.0,,1.0,19.0,,148.0,47.8,0.0,0,0,3.0,3.0,5.0,27.0,3.0,502.0,7.0,22.0,7.0,3.0,18.0,0.0
Middlesbrough_25,2016-17,855227,6,2016-09-24 15:00:00,"Riverside Stadium, Middlesbrough",32703,Home,Boro,Spurs,L,286.0,18.0,16.0,,1.0,,,,18.0,2.0,20.0,,2.0,6.0,65.0,67.0,26.0,,2.0,55.0,14.0,8.0,1.0,1.0,2,2.0,1,2,0,,25.0,3.0,2.0,6.0,21.0,,137.0,41.6,0.0,0,0,3.0,2.0,4.0,31.0,,391.0,6.0,31.0,8.0,2.0,21.0,0.0
Middlesbrough_25,2016-17,855241,7,2016-10-01 15:00:00,"London Stadium, London",56945,Away,Boro,West Ham,D,384.0,18.0,20.0,,,1.0,1.0,,10.0,2.0,10.0,,5.0,4.0,52.0,63.0,22.0,,,61.0,12.0,13.0,1.0,1.0,1,1.0,1,0,0,,11.0,2.0,3.0,5.0,28.0,,150.0,59.7,0.0,0,0,1.0,4.0,5.0,26.0,2.0,482.0,9.0,27.0,11.0,5.0,19.0,0.0
Middlesbrough_25,2016-17,855248,8,2016-10-16 13:30:00,"Riverside Stadium, Middlesbrough",28131,Home,Boro,Watford,L,388.0,17.0,12.0,,,,,,16.0,,7.0,,4.0,14.0,59.0,48.0,20.0,,,58.0,15.0,9.0,,,1,1.0,0,0,0,,11.0,2.0,3.0,1.0,43.0,,146.0,63.9,0.0,0,0,1.0,7.0,7.0,24.0,,467.0,10.0,21.0,15.0,4.0,18.0,0.0
Middlesbrough_25,2016-17,855253,9,2016-10-22 15:00:00,"Emirates Stadium, London",59982,Away,Boro,Arsenal,D,132.0,24.0,23.0,,3.0,1.0,3.0,,20.0,4.0,13.0,1.0,3.0,7.0,59.0,55.0,32.0,,1.0,39.0,13.0,6.0,,,0,,0,0,0,1.0,12.0,5.0,4.0,1.0,22.0,,138.0,25.1,0.0,0,0,6.0,3.0,6.0,36.0,2.0,235.0,11.0,20.0,14.0,3.0,12.0,0.0
Middlesbrough_25,2016-17,855265,10,2016-10-29 15:00:00,"Riverside Stadium, Middlesbrough",29600,Home,Boro,Bournemouth,W,275.0,16.0,11.0,,1.0,1.0,,2.0,21.0,2.0,20.0,1.0,4.0,10.0,59.0,52.0,28.0,,,46.0,7.0,6.0,1.0,2.0,0,,2,0,1,,24.0,4.0,3.0,8.0,20.0,,132.0,40.4,0.0,0,0,2.0,6.0,10.0,28.0,,357.0,11.0,22.0,11.0,4.0,16.0,0.0
