team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Portsmouth_47,2009-10,284006,1,2009-08-15 15:00:00,"Fratton Park, Portsmouth",17510,Home,Portsmouth,Fulham,L,330.0,13.0,10.0,,1.0,4.0,3.0,,6.0,8.0,44.0,58.0,14.0,,1.0,84.0,11.0,18.0,,,1,1.0,0,1,0,,15.0,6.0,2.0,2.0,,24.0,,143.0,55.1,0.0,0,0,,11.0,12.0,22.0,1.0,415.0,17.0,26.0,,6.0,18.0,0.0
Portsmouth_47,2009-10,284011,2,2009-08-19 19:45:00,"St. Andrew's @ Knighthead Park, Birmingham",19922,Away,Portsmouth,Birmingham,L,287.0,24.0,20.0,,,2.0,8.0,,5.0,16.0,72.0,58.0,28.0,,3.0,70.0,20.0,11.0,,,1,1.0,0,0,0,,22.0,3.0,3.0,5.0,,19.0,,172.0,52.2,0.0,0,0,,5.0,7.0,47.0,4.0,389.0,10.0,19.0,,5.0,13.0,0.0
Portsmouth_47,2009-10,284020,3,2009-08-22 15:00:00,"Emirates Stadium, London",60049,Away,Portsmouth,Arsenal,L,322.0,9.0,10.0,,1.0,2.0,16.0,,4.0,9.0,55.0,49.0,9.0,,1.0,57.0,12.0,9.0,1.0,1.0,4,4.0,1,2,1,,22.0,4.0,3.0,7.0,,15.0,,119.0,40.5,0.0,0,0,,5.0,9.0,18.0,2.0,393.0,10.0,21.0,,4.0,16.0,0.0
Portsmouth_47,2009-10,284036,4,2009-08-30 13:30:00,"Fratton Park, Portsmouth",17826,Home,Portsmouth,Man City,L,296.0,9.0,8.0,,1.0,5.0,14.0,,3.0,12.0,57.0,63.0,24.0,,,87.0,13.0,9.0,,,1,1.0,0,1,0,,26.0,4.0,1.0,2.0,,24.0,,163.0,50.0,0.0,0,0,,6.0,9.0,37.0,3.0,397.0,12.0,41.0,,3.0,30.0,0.0
Portsmouth_47,2009-10,284045,5,2009-09-12 15:00:00,"Fratton Park, Portsmouth",17564,Home,Portsmouth,Bolton,L,264.0,13.0,12.0,,2.0,7.0,3.0,,7.0,18.0,58.0,48.0,15.0,,1.0,84.0,17.0,16.0,1.0,2.0,3,3.0,2,2,1,,10.0,5.0,3.0,4.0,,30.0,,166.0,62.2,0.0,0,0,,12.0,14.0,36.0,3.0,340.0,22.0,13.0,,7.0,9.0,0.0
Portsmouth_47,2009-10,284051,6,2009-09-19 15:00:00,"Villa Park, Birmingham",35979,Away,Portsmouth,Aston Villa,L,257.0,14.0,16.0,,,6.0,5.0,,5.0,7.0,44.0,63.0,13.0,,1.0,67.0,13.0,17.0,,,2,2.0,0,2,0,,18.0,11.0,6.0,2.0,,17.0,,127.0,51.0,0.0,0,0,,5.0,14.0,30.0,2.0,323.0,17.0,19.0,,5.0,15.0,0.0
Portsmouth_47,2009-10,284065,7,2009-09-26 12:45:00,"Fratton Park, Portsmouth",18116,Home,Portsmouth,Everton,L,254.0,16.0,11.0,,1.0,11.0,5.0,,5.0,11.0,58.0,60.0,19.0,1.0,,81.0,15.0,16.0,,,1,1.0,0,1,0,1.0,21.0,9.0,3.0,3.0,,29.0,,154.0,51.4,0.0,0,0,,5.0,12.0,35.0,,342.0,19.0,26.0,,5.0,15.0,0.0
Portsmouth_47,2009-10,284079,8,2009-10-03 15:00:00,"Molineux Stadium, Wolverhampton",29023,Away,Portsmouth,Wolves,W,173.0,15.0,27.0,,,5.0,6.0,1.0,6.0,9.0,48.0,64.0,44.0,,,69.0,13.0,10.0,1.0,1.0,0,,1,0,1,,12.0,7.0,4.0,4.0,,15.0,,165.0,39.9,0.0,0,0,,4.0,10.0,78.0,3.0,258.0,13.0,20.0,,6.0,16.0,0.0
Portsmouth_47,2009-10,284086,9,2009-10-17 15:00:00,"Fratton Park, Portsmouth",20821,Home,Portsmouth,Spurs,L,225.0,12.0,10.0,,1.0,5.0,10.0,,10.0,19.0,70.0,56.0,26.0,,,71.0,18.0,13.0,1.0,1.0,2,2.0,1,2,0,,14.0,11.0,8.0,2.0,,30.0,,152.0,49.9,0.0,1,1,,11.0,20.0,34.0,6.0,292.0,24.0,28.0,,10.0,21.0,0.0
Portsmouth_47,2009-10,284094,10,2009-10-24 15:00:00,"The MKM Stadium, Hull",23720,Away,Portsmouth,Hull,D,253.0,17.0,14.0,,2.0,2.0,4.0,1.0,6.0,11.0,59.0,49.0,29.0,,,60.0,25.0,16.0,,,0,,0,0,0,,18.0,2.0,2.0,3.0,,18.0,,180.0,56.2,0.0,0,0,,7.0,6.0,52.0,1.0,354.0,11.0,15.0,,6.0,7.0,0.0
