team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Cardiff_97,2013-14,694910,1,2013-08-17 15:00:00,"Boleyn Ground, London",34977,Away,Cardiff,West Ham,L,288.0,29.0,23.0,,1.0,1.0,1.0,,11.0,4.0,12.0,,3.0,7.0,57.0,48.0,29.0,,,58.0,7.0,10.0,,,2,2.0,0,1,0,,5.0,4.0,1.0,5.0,18.0,,149.0,56.4,0.0,0,0,2.0,7.0,9.0,29.0,,385.0,12.0,11.0,,3.0,7.0,0.0
Cardiff_97,2013-14,694912,2,2013-08-25 16:00:00,"Cardiff City Stadium, Cardiff",27068,Home,Cardiff,Man City,W,191.0,21.0,11.0,,,2.0,2.0,2.0,13.0,1.0,3.0,,3.0,11.0,38.0,42.0,35.0,,,44.0,2.0,9.0,2.0,3.0,2,2.0,3,0,0,,15.0,4.0,6.0,4.0,5.0,,121.0,30.0,0.0,0,0,3.0,2.0,5.0,36.0,4.0,264.0,9.0,16.0,,3.0,9.0,0.0
Cardiff_97,2013-14,694921,3,2013-08-31 15:00:00,"Cardiff City Stadium, Cardiff",27344,Home,Cardiff,Everton,D,228.0,17.0,11.0,,1.0,,,,9.0,,12.0,1.0,4.0,11.0,55.0,52.0,38.0,,,46.0,11.0,7.0,,,0,,0,0,0,,19.0,,1.0,5.0,7.0,,127.0,37.0,0.0,0,0,3.0,3.0,2.0,38.0,4.0,302.0,4.0,23.0,,4.0,19.0,0.0
Cardiff_97,2013-14,694934,4,2013-09-14 15:00:00,"The MKM Stadium, Hull",21949,Away,Cardiff,Hull,D,403.0,19.0,24.0,,1.0,2.0,1.0,1.0,8.0,5.0,5.0,,2.0,12.0,45.0,46.0,39.0,,,68.0,9.0,7.0,1.0,1.0,1,1.0,1,1,0,,17.0,4.0,2.0,8.0,22.0,,147.0,54.0,0.0,0,0,4.0,3.0,7.0,39.0,1.0,505.0,10.0,10.0,,2.0,5.0,0.0
Cardiff_97,2013-14,694941,5,2013-09-22 16:00:00,"Cardiff City Stadium, Cardiff",27815,Home,Cardiff,Spurs,L,185.0,21.0,23.0,,1.0,,1.0,,9.0,2.0,10.0,,2.0,11.0,50.0,58.0,51.0,,,46.0,7.0,7.0,,,1,1.0,0,0,0,,15.0,1.0,,8.0,14.0,,149.0,36.3,0.0,0,0,11.0,4.0,5.0,51.0,6.0,288.0,6.0,23.0,,2.0,18.0,0.0
Cardiff_97,2013-14,694953,6,2013-09-28 15:00:00,"Craven Cottage, London",23020,Away,Cardiff,Fulham,W,352.0,27.0,23.0,,1.0,1.0,1.0,,16.0,5.0,5.0,,10.0,8.0,51.0,58.0,35.0,,,62.0,14.0,14.0,1.0,2.0,1,1.0,2,1,1,1.0,8.0,5.0,5.0,1.0,25.0,,124.0,51.4,0.0,0,0,4.0,12.0,16.0,35.0,,430.0,22.0,16.0,,10.0,10.0,0.0
Cardiff_97,2013-14,694961,7,2013-10-05 15:00:00,"Cardiff City Stadium, Cardiff",27538,Home,Cardiff,Newcastle,L,373.0,27.0,14.0,,,2.0,2.0,1.0,18.0,,8.0,,3.0,14.0,64.0,53.0,22.0,,2.0,72.0,11.0,8.0,1.0,1.0,2,2.0,1,2,0,,11.0,2.0,2.0,5.0,16.0,,169.0,57.3,0.0,0,0,8.0,6.0,7.0,22.0,1.0,477.0,8.0,20.0,,3.0,15.0,0.0
Cardiff_97,2013-14,694972,8,2013-10-19 15:00:00,"Stamford Bridge, London",41475,Away,Cardiff,Chelsea,L,207.0,14.0,10.0,,3.0,,,1.0,7.0,6.0,9.0,,9.0,11.0,41.0,42.0,31.0,3.0,,60.0,5.0,12.0,,1.0,4,4.0,1,1,1,,8.0,6.0,3.0,4.0,18.0,,140.0,35.1,0.0,0,0,3.0,4.0,9.0,31.0,1.0,280.0,13.0,14.0,,9.0,10.0,0.0
Cardiff_97,2013-14,694986,9,2013-10-26 15:00:00,"Carrow Road, Norwich",26846,Away,Cardiff,Norwich,D,260.0,26.0,23.0,,,1.0,1.0,,13.0,1.0,13.0,1.0,2.0,6.0,55.0,53.0,56.0,,,48.0,10.0,8.0,,,0,,0,0,0,,14.0,2.0,4.0,8.0,16.0,,126.0,39.5,0.0,0,0,10.0,1.0,3.0,56.0,3.0,338.0,6.0,17.0,,2.0,15.0,0.0
Cardiff_97,2013-14,694991,10,2013-11-03 16:00:00,"Cardiff City Stadium, Cardiff",27463,Home,Cardiff,Swansea,W,339.0,25.0,18.0,,1.0,,,,15.0,3.0,5.0,1.0,6.0,11.0,53.0,48.0,26.0,,,63.0,11.0,6.0,1.0,1.0,0,,1,0,0,,14.0,2.0,3.0,3.0,13.0,,143.0,45.3,0.0,1,0,3.0,3.0,5.0,26.0,3.0,429.0,9.0,18.0,,6.0,14.0,0.0
Cardiff_97,2013-14,695001,11,2013-11-09 15:00:00,"Villa Park, Birmingham",35809,Away,Cardiff,Aston Villa,L,362.0,26.0,26.0,,,,,,21.0,1.0,8.0,,3.0,17.0,58.0,52.0,37.0,,1.0,71.0,3.0,10.0,,,2,2.0,0,0,0,,11.0,2.0,2.0,4.0,15.0,,169.0,56.9,0.0,0,0,4.0,5.0,6.0,37.0,7.0,461.0,8.0,15.0,,3.0,12.0,0.0
Cardiff_97,2013-14,695011,12,2013-11-24 16:00:00,"Cardiff City Stadium, Cardiff",28016,Home,Cardiff,Man Utd,D,293.0,24.0,19.0,,5.0,1.0,,1.0,9.0,1.0,3.0,,2.0,17.0,61.0,58.0,25.0,,,57.0,15.0,12.0,2.0,2.0,2,2.0,2,2,1,1.0,8.0,4.0,4.0,3.0,25.0,,153.0,49.9,0.0,0,0,3.0,9.0,10.0,25.0,,383.0,14.0,20.0,,2.0,16.0,0.0
Cardiff_97,2013-14,695022,13,2013-11-30 15:00:00,"Cardiff City Stadium, Cardiff",27948,Home,Cardiff,Arsenal,L,320.0,18.0,13.0,,3.0,1.0,1.0,,8.0,2.0,12.0,,3.0,12.0,51.0,40.0,18.0,,,70.0,6.0,6.0,,,3,3.0,0,1,0,,15.0,3.0,4.0,5.0,26.0,,155.0,43.5,0.0,0,0,2.0,4.0,6.0,18.0,2.0,431.0,10.0,11.0,10.0,3.0,11.0,0.0
