team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Blackburn_5,2009-10,284001,1,2009-08-15 15:00:00,"Ewood Park, Blackburn",29584,Home,Blackburn,Man City,L,176.0,16.0,17.0,,,,,,4.0,16.0,,5.0,13.0,63.0,56.0,11.0,,,93.0,12.0,9.0,,,2,2.0,0,1,0,,22.0,6.0,6.0,,,43.0,,181.0,43.5,0.0,0,0,,8.0,9.0,21.0,3.0,287.0,18.0,24.0,,5.0,20.0,0.0
Blackburn_5,2009-10,284013,2,2009-11-25 20:00:00,"Craven Cottage, London",21414,Away,Blackburn,Fulham,L,318.0,13.0,27.0,,2.0,,,,2.0,1.0,,3.0,7.0,42.0,51.0,17.0,,,114.0,13.0,7.0,,,3,3.0,0,1,0,,9.0,3.0,3.0,4.0,,34.0,,191.0,53.7,0.0,0,0,,8.0,11.0,33.0,4.0,442.0,13.0,13.0,,3.0,7.0,0.0
Blackburn_5,2009-10,284027,3,2009-08-22 15:00:00,"Stadium of Light, Sunderland",37106,Away,Blackburn,Sunderland,L,139.0,19.0,15.0,,6.0,,,,7.0,7.0,,10.0,12.0,63.0,45.0,20.0,,,83.0,19.0,12.0,,1.0,2,2.0,1,1,1,1.0,11.0,6.0,4.0,2.0,,38.0,,185.0,46.4,0.0,0,0,,14.0,12.0,34.0,3.0,249.0,25.0,16.0,,10.0,15.0,0.0
Blackburn_5,2009-10,284031,4,2009-08-29 15:00:00,"Ewood Park, Blackburn",23421,Home,Blackburn,West Ham,D,253.0,13.0,14.0,,3.0,,,,3.0,12.0,1.0,5.0,11.0,54.0,63.0,10.0,,1.0,100.0,14.0,18.0,,,0,,0,0,0,,20.0,6.0,6.0,6.0,,42.0,,158.0,46.7,0.0,0,0,,10.0,14.0,22.0,2.0,356.0,19.0,22.0,,5.0,14.0,0.0
Blackburn_5,2009-10,284041,5,2009-09-12 15:00:00,"Ewood Park, Blackburn",24845,Home,Blackburn,Wolves,W,213.0,16.0,18.0,,1.0,,,,4.0,1.0,,10.0,13.0,51.0,51.0,28.0,,1.0,66.0,12.0,17.0,2.0,3.0,1,1.0,3,0,1,1.0,15.0,6.0,6.0,3.0,,27.0,,195.0,53.4,0.0,0,0,,4.0,7.0,49.0,10.0,317.0,14.0,12.0,,10.0,10.0,0.0
Blackburn_5,2009-10,284055,6,2009-09-20 15:00:00,"Goodison Park, Liverpool",35546,Away,Blackburn,Everton,L,185.0,17.0,19.0,,3.0,,,,1.0,6.0,,2.0,14.0,59.0,55.0,12.0,1.0,1.0,99.0,18.0,15.0,,,3,3.0,0,1,0,1.0,13.0,4.0,4.0,6.0,,31.0,,187.0,43.0,0.0,0,0,,3.0,6.0,26.0,2.0,304.0,8.0,14.0,,2.0,11.0,0.0
Blackburn_5,2009-10,284061,7,2009-09-26 15:00:00,"Ewood Park, Blackburn",25172,Home,Blackburn,Aston Villa,W,192.0,25.0,29.0,1.0,3.0,,,,7.0,5.0,,6.0,12.0,64.0,60.0,18.0,,,88.0,15.0,11.0,,2.0,1,1.0,2,1,1,,19.0,4.0,4.0,,,28.0,1.0,164.0,47.5,0.0,0,1,,11.0,13.0,30.0,4.0,292.0,22.0,14.0,,6.0,8.0,0.0
Blackburn_5,2009-10,284070,8,2009-10-04 13:30:00,"Emirates Stadium, London",59431,Away,Blackburn,Arsenal,L,160.0,22.0,27.0,,2.0,,,,2.0,10.0,,1.0,11.0,59.0,59.0,19.0,,,80.0,10.0,10.0,2.0,2.0,6,6.0,2,3,2,1.0,30.0,4.0,5.0,3.0,,25.0,,170.0,34.9,0.0,0,0,,,4.0,32.0,4.0,275.0,7.0,18.0,,1.0,11.0,0.0
Blackburn_5,2009-10,284082,9,2009-10-18 13:00:00,"Ewood Park, Blackburn",26689,Home,Blackburn,Burnley,W,200.0,18.0,19.0,,4.0,,,,3.0,8.0,,3.0,13.0,69.0,71.0,26.0,,,93.0,20.0,14.0,2.0,3.0,2,2.0,3,1,3,,26.0,6.0,6.0,2.0,,33.0,,187.0,46.0,0.0,0,0,2.0,4.0,9.0,46.0,3.0,318.0,13.0,28.0,23.0,3.0,20.0,0.0
Blackburn_5,2009-10,284093,10,2009-10-24 17:30:00,"Stamford Bridge, London",40836,Away,Blackburn,Chelsea,L,187.0,7.0,13.0,,1.0,,,,1.0,8.0,,,4.0,35.0,42.0,26.0,,,73.0,12.0,8.0,,,5,5.0,0,1,0,,16.0,2.0,2.0,4.0,1.0,23.0,,127.0,31.9,0.0,0,0,,6.0,6.0,40.0,5.0,255.0,9.0,19.0,,,15.0,0.0
