team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalDistance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
C_Palace_31,2013-14,695014,12,2013-11-23 15:00:00,"The MKM Stadium, Hull",23043,Away,Crystal Palace,Hull,W,217.0,22.0,30.0,,,1.0,,1.0,14.0,3.0,8.0,1.0,4.0,11.0,58.0,57.0,69.0,,,,,,,64.0,11.0,8.0,1.0,1.0,0,,1,0,0,,26.0,5.0,2.0,6.0,,22.0,,169.0,37.7,0.0,0,1,2.0,4.0,8.0,69.0,,2.0,326.0,9.0,13.0,12.0,4.0,11.0,0.0
C_Palace_31,2013-14,695028,13,2013-11-30 15:00:00,"Carrow Road, Norwich",26851,Away,Crystal Palace,Norwich,L,230.0,30.0,33.0,,1.0,,,,14.0,7.0,10.0,,4.0,8.0,63.0,67.0,35.0,,,,,,,75.0,14.0,12.0,,,1,1.0,0,1,0,1.0,13.0,5.0,3.0,3.0,,28.0,,160.0,40.0,0.0,0,0,2.0,3.0,8.0,35.0,,2.0,336.0,13.0,18.0,,4.0,13.0,0.0
C_Palace_31,2013-14,695032,14,2013-12-03 20:00:00,"Selhurst Park, London",23891,Home,Crystal Palace,West Ham,W,166.0,36.0,30.0,,1.0,2.0,2.0,1.0,12.0,1.0,11.0,1.0,3.0,6.0,79.0,62.0,61.0,,,,,,,60.0,10.0,9.0,1.0,1.0,0,,1,0,1,,10.0,5.0,5.0,4.0,,12.0,,165.0,37.0,0.0,0,0,2.0,4.0,7.0,61.0,,2.0,265.0,10.0,21.0,,3.0,18.0,0.0
C_Palace_31,2013-14,695042,15,2013-12-07 15:00:00,"Selhurst Park, London",23705,Home,Crystal Palace,Cardiff,W,185.0,33.0,34.0,,2.0,1.0,,1.0,15.0,3.0,10.0,1.0,8.0,4.0,65.0,76.0,53.0,,,,,,,78.0,9.0,12.0,1.0,2.0,0,,2,0,1,,11.0,5.0,5.0,1.0,,20.0,,184.0,43.7,0.0,0,0,2.0,11.0,14.0,53.0,,2.0,285.0,19.0,22.0,,8.0,13.0,0.0
C_Palace_31,2013-14,695053,16,2013-12-14 15:00:00,"Stamford Bridge, London",41608,Away,Crystal Palace,Chelsea,L,166.0,16.0,22.0,,2.0,,,,10.0,1.0,17.0,,1.0,13.0,63.0,79.0,35.0,,1.0,,,,,55.0,7.0,13.0,1.0,1.0,2,2.0,1,2,1,,18.0,3.0,5.0,3.0,,17.0,,142.0,30.3,0.0,0,0,5.0,4.0,7.0,35.0,,2.0,252.0,10.0,33.0,,1.0,22.0,0.0
C_Palace_31,2013-14,695062,17,2013-12-21 15:00:00,"Selhurst Park, London",24936,Home,Crystal Palace,Newcastle,L,188.0,20.0,17.0,,2.0,1.0,1.0,,11.0,2.0,10.0,,3.0,13.0,64.0,58.0,22.0,,1.0,,,,,82.0,11.0,13.0,,,3,3.0,0,2,0,,14.0,4.0,4.0,2.0,1.0,26.0,,164.0,33.1,0.0,0,0,4.0,3.0,7.0,22.0,,4.0,283.0,9.0,26.0,,3.0,19.0,0.0
C_Palace_31,2013-14,695071,18,2013-12-26 15:00:00,"Villa Park, Birmingham",37752,Away,Crystal Palace,Aston Villa,W,166.0,21.0,33.0,,1.0,,,,9.0,3.0,5.0,1.0,5.0,4.0,49.0,65.0,49.0,,,,,,,66.0,8.0,10.0,1.0,1.0,0,,1,0,0,1.0,20.0,9.0,7.0,3.0,,15.0,,160.0,35.3,0.0,0,0,3.0,2.0,11.0,49.0,,4.0,263.0,12.0,14.0,,5.0,11.0,0.0
C_Palace_31,2013-14,695086,19,2013-12-28 15:00:00,"Etihad Stadium, Manchester",47107,Away,Crystal Palace,Man City,L,162.0,22.0,18.0,,1.0,1.0,1.0,,17.0,,8.0,,5.0,6.0,55.0,53.0,34.0,,,,,,,37.0,7.0,10.0,,,1,1.0,0,0,0,,12.0,2.0,4.0,11.0,,14.0,,131.0,23.7,0.0,0,0,3.0,5.0,6.0,34.0,,,236.0,9.0,20.0,,5.0,17.0,0.0
C_Palace_31,2013-14,695092,20,2014-01-01 15:00:00,"Selhurst Park, London",25189,Home,Crystal Palace,Norwich,D,200.0,19.0,14.0,1.0,1.0,1.0,1.0,1.0,13.0,2.0,4.0,,9.0,7.0,46.0,54.0,24.0,,,,,,,65.0,12.0,10.0,,1.0,1,1.0,1,1,1,,18.0,5.0,4.0,1.0,,40.0,1.0,178.0,45.1,0.0,1,0,4.0,7.0,9.0,24.0,,,305.0,13.0,21.0,25.0,9.0,20.0,0.0
C_Palace_31,2013-14,695110,21,2014-01-11 15:00:00,"White Hart Lane, London",36102,Away,Crystal Palace,Spurs,L,211.0,14.0,24.0,,1.0,2.0,3.0,,15.0,4.0,9.0,,11.0,14.0,52.0,63.0,33.0,,,,,,,61.0,12.0,11.0,,,2,2.0,0,0,0,,20.0,5.0,2.0,3.0,,25.0,1.0,135.0,31.6,0.0,0,0,2.0,8.0,12.0,33.0,,1.0,281.0,14.0,20.0,,11.0,18.0,0.0
