team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Birmingham_41,2009-10,284005,1,2009-08-16 13:30:00,"Old Trafford, Manchester",75062.0,Away,Birmingham,Man Utd,L,266.0,9.0,12.0,,,,,,2.0,12.0,,2.0,19.0,54.0,58.0,19.0,,1.0,,,,,78.0,9.0,13.0,,,1,1.0,0,1,0,,30.0,4.0,2.0,10.0,,15.0,,146.0,37.0,0.0,0,0,,3.0,6.0,34.0,,344.0,7.0,26.0,,2.0,20.0,0.0
Birmingham_41,2009-10,284011,2,2009-08-19 19:45:00,"St. Andrew's @ Knighthead Park, Birmingham",19922.0,Home,Birmingham,Portsmouth,W,239.0,20.0,24.0,1.0,1.0,,,,5.0,8.0,1.0,4.0,12.0,58.0,72.0,22.0,,1.0,,,,,90.0,11.0,20.0,,1.0,0,,1,0,0,,26.0,5.0,5.0,2.0,,33.0,1.0,173.0,47.8,0.0,0,0,,4.0,9.0,37.0,,344.0,14.0,20.0,,4.0,13.0,0.0
Birmingham_41,2009-10,284021,3,2009-08-22 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",21694.0,Home,Birmingham,Stoke,D,242.0,26.0,12.0,,2.0,,,,4.0,4.0,1.0,3.0,7.0,56.0,44.0,33.0,,1.0,,,,,92.0,10.0,13.0,,,0,,0,0,0,,6.0,3.0,2.0,3.0,,19.0,,180.0,56.4,0.0,0,0,,5.0,8.0,65.0,4.0,343.0,11.0,16.0,,3.0,11.0,0.0
Birmingham_41,2009-10,284038,4,2009-08-29 15:00:00,"White Hart Lane, London",35318.0,Away,Birmingham,Spurs,L,231.0,12.0,10.0,,1.0,,,,3.0,12.0,,3.0,8.0,49.0,43.0,22.0,,,,,,,84.0,10.0,12.0,,1.0,2,2.0,1,0,0,,25.0,6.0,5.0,8.0,,18.0,,165.0,40.5,0.0,0,0,,5.0,11.0,39.0,4.0,333.0,13.0,13.0,,3.0,11.0,0.0
Birmingham_41,2009-10,284040,5,2009-09-13 12:00:00,"St. Andrew's @ Knighthead Park, Birmingham",25196.0,Home,Birmingham,Aston Villa,L,279.0,13.0,9.0,,1.0,,,,5.0,6.0,,7.0,14.0,51.0,55.0,24.0,,,,,,,99.0,10.0,20.0,,,1,1.0,0,0,0,,18.0,5.0,3.0,3.0,,38.0,,192.0,50.3,0.0,0,0,,5.0,9.0,38.0,,397.0,13.0,19.0,,7.0,16.0,0.0
Birmingham_41,2009-10,284056,6,2009-09-19 15:00:00,"The MKM Stadium, Hull",23759.0,Away,Birmingham,Hull,W,278.0,13.0,24.0,0.0,,,,,2.0,7.0,1.0,8.0,14.0,50.0,61.0,29.0,,,0.7438,1.2659,2.3055,0.251,81.0,13.0,15.0,1.0,1.0,0,0.0,1,0,0,,19.0,8.0,8.0,8.0,0.0,36.0,,176.0,55.4,0.0,0,0,3.0,5.0,12.0,49.0,2.0,415.0,15.0,17.0,25.0,8.0,9.0,0.0
Birmingham_41,2009-10,284060,7,2009-09-26 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",28671.0,Home,Birmingham,Bolton,L,351.0,11.0,15.0,,2.0,,,,4.0,7.0,,8.0,7.0,45.0,54.0,23.0,,1.0,,,,,97.0,11.0,17.0,1.0,1.0,2,2.0,1,1,0,1.0,22.0,7.0,4.0,2.0,,40.0,,172.0,62.3,0.0,0,0,,6.0,11.0,39.0,4.0,442.0,14.0,14.0,,8.0,12.0,0.0
Birmingham_41,2009-10,284073,8,2009-10-03 15:00:00,"Turf Moor, Burnley",20102.0,Away,Birmingham,Burnley,L,176.0,20.0,9.0,,,,,,4.0,7.0,,4.0,13.0,56.0,47.0,20.0,,,,,,,88.0,13.0,17.0,,1.0,2,2.0,1,0,0,,19.0,3.0,3.0,9.0,,31.0,,186.0,41.3,0.0,0,0,3.0,5.0,6.0,37.0,2.0,300.0,12.0,18.0,10.0,4.0,10.0,0.0
Birmingham_41,2009-10,284080,9,2009-10-17 15:00:00,"Emirates Stadium, London",,Away,Birmingham,Arsenal,L,265.0,14.0,10.0,,,,,,,11.0,,3.0,10.0,60.0,51.0,17.0,,,,,,,82.0,17.0,9.0,,1.0,3,3.0,1,2,1,,26.0,,2.0,6.0,,10.0,,155.0,37.0,0.0,0,0,,1.0,1.0,31.0,2.0,362.0,3.0,29.0,,3.0,17.0,0.0
Birmingham_41,2009-10,284090,10,2009-10-24 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",21723.0,Home,Birmingham,Sunderland,W,196.0,30.0,21.0,,2.0,,,,7.0,7.0,,6.0,20.0,77.0,68.0,26.0,,,,,,,96.0,10.0,14.0,2.0,2.0,1,1.0,2,0,1,,22.0,11.0,7.0,7.0,,31.0,,205.0,44.7,0.0,0,0,,7.0,17.0,61.0,5.0,293.0,21.0,23.0,,7.0,19.0,0.0
Birmingham_41,2009-10,284101,11,2009-11-01 16:00:00,"St. Andrew's @ Knighthead Park, Birmingham",21462.0,Home,Birmingham,Man City,D,189.0,13.0,16.0,,,,,,1.0,10.0,1.0,4.0,11.0,50.0,56.0,20.0,,,,,,,86.0,10.0,8.0,,,0,,0,0,0,1.0,34.0,4.0,5.0,3.0,,29.0,1.0,195.0,42.9,0.0,0,1,,4.0,6.0,36.0,5.0,318.0,10.0,27.0,,4.0,19.0,0.0
Birmingham_41,2009-10,284114,12,2009-11-09 20:00:00,"Anfield, Liverpool",42560.0,Away,Birmingham,Liverpool,D,104.0,15.0,16.0,,1.0,,,,,21.0,,1.0,16.0,80.0,58.0,29.0,,,,,,,64.0,9.0,8.0,2.0,2.0,2,2.0,2,1,2,,27.0,2.0,2.0,10.0,,10.0,,179.0,23.0,0.0,0,0,,3.0,4.0,64.0,3.0,187.0,5.0,27.0,,1.0,17.0,0.0
Birmingham_41,2009-10,284120,13,2009-11-21 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",23659.0,Home,Birmingham,Fulham,W,147.0,25.0,14.0,,,,,,,4.0,1.0,,11.0,52.0,46.0,20.0,,,,,,,99.0,7.0,9.0,1.0,1.0,0,,1,0,1,,27.0,1.0,2.0,5.0,,14.0,,199.0,34.0,0.0,0,0,,1.0,2.0,39.0,4.0,276.0,3.0,16.0,,,11.0,0.0
Birmingham_41,2009-10,284139,14,2009-11-29 12:00:00,"Molineux Stadium, Wolverhampton",26668.0,Away,Birmingham,Wolves,W,168.0,15.0,22.0,,1.0,,,,2.0,3.0,1.0,5.0,10.0,47.0,55.0,46.0,,,,,,,78.0,10.0,14.0,1.0,1.0,0,,1,0,1,,15.0,4.0,5.0,3.0,,26.0,,202.0,43.8,0.0,0,0,,6.0,7.0,80.0,8.0,268.0,13.0,17.0,,5.0,15.0,0.0
Birmingham_41,2009-10,284148,15,2009-12-05 15:00:00,"The Brick Community Stadium, Wigan",18797.0,Away,Birmingham,Wigan,W,174.0,18.0,14.0,,3.0,,,,5.0,9.0,,2.0,15.0,59.0,64.0,12.0,,,,,,,102.0,11.0,14.0,1.0,3.0,2,2.0,3,1,0,,21.0,6.0,6.0,2.0,,23.0,,172.0,42.3,0.0,0,0,,1.0,7.0,32.0,4.0,279.0,12.0,28.0,,2.0,20.0,0.0
Birmingham_41,2009-10,284150,16,2009-12-12 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",28203.0,Home,Birmingham,West Ham,W,221.0,18.0,23.0,,2.0,,,,3.0,5.0,1.0,11.0,2.0,44.0,65.0,15.0,,,,,,,92.0,12.0,14.0,1.0,1.0,0,,1,0,0,,21.0,8.0,9.0,4.0,,27.0,,155.0,47.3,0.0,1,0,,4.0,10.0,27.0,3.0,319.0,16.0,20.0,,11.0,17.0,0.0
Birmingham_41,2009-10,284160,17,2009-12-15 20:00:00,"St. Andrew's @ Knighthead Park, Birmingham",23187.0,Home,Birmingham,Blackburn,W,226.0,26.0,27.0,,1.0,,,,6.0,2.0,,6.0,11.0,56.0,67.0,25.0,,,,,,,112.0,10.0,17.0,2.0,2.0,1,1.0,2,0,1,1.0,21.0,9.0,5.0,6.0,,21.0,,217.0,50.8,0.0,0,0,,6.0,12.0,49.0,4.0,368.0,17.0,16.0,,6.0,15.0,0.0
Birmingham_41,2009-10,284173,18,2009-12-20 15:00:00,"Goodison Park, Liverpool",33660.0,Away,Birmingham,Everton,D,225.0,27.0,18.0,,,,,,4.0,5.0,,4.0,3.0,55.0,56.0,22.0,,,,,,,108.0,10.0,8.0,1.0,1.0,1,1.0,1,1,1,,23.0,3.0,1.0,7.0,,11.0,,203.0,42.0,0.0,0,0,,1.0,3.0,44.0,,361.0,6.0,19.0,,4.0,11.0,0.0
