team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalDistance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Everton_11,2009-10,284117,12,2009-11-08 15:00:00,"Boleyn Ground, London",32466.0,Away,Everton,West Ham,W,228.0,13.0,18.0,,2.0,,,,,2.0,11.0,,4.0,23.0,72.0,63.0,29.0,,,,,,,83.0,19.0,12.0,1.0,2.0,1,1.0,2,0,1,,32.0,5.0,5.0,3.0,,22.0,,181.0,40.7,0.0,0,0,,4.0,9.0,61.0,,,318.0,11.0,31.0,,4.0,21.0,0.0
Everton_11,2009-10,284126,13,2009-11-21 17:30:00,"Old Trafford, Manchester",75169.0,Away,Everton,Man Utd,L,273.0,14.0,12.0,,,,,,,1.0,10.0,,4.0,20.0,56.0,52.0,21.0,,,,,,,72.0,10.0,5.0,,,3,3.0,0,1,0,,32.0,4.0,5.0,6.0,,20.0,,150.0,34.2,0.0,0,0,,6.0,10.0,49.0,,3.0,354.0,12.0,30.0,,4.0,20.0,0.0
Everton_11,2009-10,284133,14,2009-11-29 13:30:00,"Goodison Park, Liverpool",39652.0,Home,Everton,Liverpool,L,294.0,13.0,27.0,,2.0,,,,,4.0,5.0,,6.0,28.0,69.0,68.0,23.0,,,,,,,108.0,15.0,12.0,,,2,2.0,0,1,0,,36.0,6.0,6.0,3.0,1.0,28.0,,195.0,46.5,0.0,0,0,,6.0,10.0,44.0,,6.0,392.0,16.0,22.0,,6.0,15.0,0.0
Everton_11,2009-10,284143,15,2009-12-06 16:00:00,"Goodison Park, Liverpool",34003.0,Home,Everton,Spurs,D,267.0,27.0,11.0,,2.0,,,,,2.0,5.0,,1.0,16.0,65.0,59.0,16.0,,,,,,,111.0,14.0,18.0,2.0,2.0,2,2.0,2,0,0,,16.0,4.0,5.0,4.0,,24.0,,193.0,53.7,0.0,0,0,,9.0,12.0,25.0,,4.0,391.0,16.0,21.0,,1.0,18.0,0.0
Everton_11,2009-10,284153,16,2009-12-12 15:00:00,"Stamford Bridge, London",41579.0,Away,Everton,Chelsea,D,190.0,12.0,13.0,,5.0,,,,,6.0,6.0,,1.0,11.0,53.0,48.0,29.0,1.0,1.0,,,,,75.0,19.0,13.0,,3.0,3,3.0,3,2,2,1.0,23.0,6.0,4.0,6.0,,13.0,,164.0,35.8,0.0,0,0,,4.0,10.0,65.0,,,271.0,14.0,20.0,,1.0,15.0,0.0
Everton_11,2009-10,284163,17,2009-11-25 19:45:00,"The MKM Stadium, Hull",24685.0,Away,Everton,Hull,L,276.0,17.0,21.0,1.0,,,,,,2.0,4.0,,4.0,9.0,55.0,68.0,23.0,1.0,,,,,,94.0,23.0,19.0,,2.0,3,3.0,2,3,0,,11.0,1.0,2.0,1.0,,27.0,1.0,170.0,56.5,0.0,0,0,,2.0,3.0,37.0,,1.0,390.0,6.0,26.0,,4.0,16.0,0.0
Everton_11,2009-10,284173,18,2009-12-20 15:00:00,"Goodison Park, Liverpool",33660.0,Home,Everton,Birmingham,D,385.0,18.0,27.0,,3.0,,,,,7.0,10.0,,6.0,16.0,56.0,55.0,8.0,,,,,,,97.0,8.0,9.0,1.0,1.0,1,1.0,1,1,1,,18.0,7.0,3.0,4.0,,35.0,,198.0,58.0,0.0,0,0,,14.0,18.0,28.0,,7.0,491.0,24.0,14.0,,6.0,7.0,0.0
Everton_11,2009-10,284187,19,2009-12-26 15:00:00,"Stadium of Light, Sunderland",46990.0,Away,Everton,Sunderland,D,331.0,26.0,16.0,,,,,,,6.0,4.0,,12.0,10.0,68.0,59.0,17.0,,,,,,,93.0,20.0,21.0,,1.0,1,1.0,1,1,0,1.0,13.0,4.0,1.0,4.0,,41.0,,191.0,61.1,0.0,0,0,,8.0,9.0,31.0,,1.0,439.0,15.0,13.0,,12.0,11.0,0.0
Everton_11,2009-10,284194,20,2009-12-28 15:00:00,"Goodison Park, Liverpool",39419.0,Home,Everton,Burnley,W,312.0,11.0,15.0,,1.0,,,,,9.0,3.0,1.0,10.0,16.0,40.0,56.0,12.0,,1.0,,,,,92.0,8.0,20.0,1.0,2.0,0,,2,0,0,1.0,17.0,13.0,9.0,4.0,,56.0,,168.0,61.2,0.0,1,0,7.0,8.0,19.0,28.0,,2.0,412.0,26.0,17.0,33.0,10.0,16.0,0.0
Everton_11,2009-10,284200,21,2010-01-09 15:00:00,"Emirates Stadium, London",60053.0,Away,Everton,Arsenal,D,218.0,12.0,10.0,,,,,,,2.0,14.0,,8.0,16.0,57.0,62.0,15.0,,,,,,,67.0,13.0,11.0,2.0,2.0,2,2.0,2,1,1,,36.0,4.0,3.0,5.0,1.0,18.0,,168.0,34.1,0.0,0,0,,3.0,6.0,35.0,,6.0,311.0,8.0,32.0,,8.0,21.0,0.0
Everton_11,2009-10,284214,22,2010-01-16 17:30:00,"Goodison Park, Liverpool",37378.0,Home,Everton,Man City,W,261.0,8.0,19.0,1.0,1.0,,,,,2.0,4.0,1.0,11.0,19.0,50.0,61.0,10.0,,,,,,,74.0,14.0,14.0,,2.0,0,,2,0,2,2.0,22.0,5.0,6.0,2.0,,20.0,1.0,177.0,49.6,0.0,0,0,,8.0,11.0,19.0,,3.0,370.0,16.0,19.0,,11.0,16.0,0.0
Everton_11,2009-10,284229,23,2010-01-27 20:00:00,"Goodison Park, Liverpool",32163.0,Home,Everton,Sunderland,W,297.0,18.0,20.0,,1.0,,,,,1.0,4.0,1.0,3.0,21.0,55.0,70.0,27.0,,,,,,,106.0,12.0,19.0,2.0,2.0,0,,2,0,2,,29.0,6.0,6.0,,,22.0,,203.0,54.2,0.0,0,0,,4.0,9.0,48.0,,1.0,427.0,11.0,26.0,,3.0,20.0,0.0
Everton_11,2009-10,284239,24,2010-01-30 15:00:00,"The Brick Community Stadium, Wigan",16869.0,Away,Everton,Wigan,W,246.0,13.0,18.0,,1.0,,,,,1.0,9.0,1.0,7.0,17.0,61.0,71.0,23.0,,,,,,,72.0,12.0,19.0,1.0,1.0,0,,1,0,0,,34.0,6.0,6.0,1.0,,21.0,,162.0,46.6,0.0,0,0,,4.0,10.0,34.0,,5.0,335.0,11.0,22.0,,7.0,12.0,0.0
Everton_11,2009-10,284245,25,2010-02-06 12:45:00,"Anfield, Liverpool",44316.0,Away,Everton,Liverpool,L,327.0,16.0,12.0,,,,,,,,3.0,,8.0,13.0,62.0,44.0,16.0,,,,,,,99.0,24.0,11.0,,,1,1.0,0,0,0,,23.0,2.0,3.0,4.0,,23.0,,162.0,60.4,0.0,1,1,,3.0,4.0,36.0,,4.0,415.0,6.0,15.0,,8.0,11.0,0.0
Everton_11,2009-10,284258,26,2010-02-10 20:00:00,"Goodison Park, Liverpool",36411.0,Home,Everton,Chelsea,W,213.0,17.0,12.0,,1.0,,,,,2.0,8.0,,5.0,13.0,57.0,50.0,16.0,,,,,,,64.0,13.0,15.0,2.0,2.0,1,1.0,2,1,1,,21.0,6.0,5.0,7.0,,23.0,1.0,176.0,38.5,0.0,0,0,,3.0,9.0,45.0,,4.0,306.0,10.0,20.0,,5.0,13.0,0.0
