team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalOffside,totalPass,totalScoringAtt,totalTackle,wonCorners,wonTackle,yellowCard
Blackpool_92,2010-11,321659,1,2010-08-14 15:00:00,"DW Stadium, Wigan",16152,Away,Blackpool,Wigan,W,259.0,13.0,10.0,,,4.0,4.0,1.0,1.0,12.0,1.0,4.0,17.0,63.0,41.0,22.0,,,62.0,12.0,8.0,3.0,4.0,0,,4,0,3,,12.0,6.0,6.0,2.0,,12.0,,161.0,43.6,0.0,0,0,,3.0,8.0,37.0,4.0,337.0,10.0,17.0,4.0,12.0,0.0
Blackpool_92,2010-11,321667,2,2010-08-21 15:00:00,"Emirates Stadium, London",60032,Away,Blackpool,Arsenal,L,409.0,10.0,8.0,,1.0,1.0,1.0,,2.0,19.0,,2.0,9.0,48.0,44.0,17.0,,,46.0,5.0,10.0,,,6,6.0,0,3,0,,20.0,3.0,1.0,5.0,,14.0,,139.0,46.7,0.0,0,1,,2.0,5.0,21.0,3.0,505.0,5.0,18.0,2.0,15.0,0.0
Blackpool_92,2010-11,321679,3,2010-08-28 15:00:00,"Bloomfield Road, Blackpool",15529,Home,Blackpool,Fulham,D,374.0,19.0,7.0,,2.0,1.0,,1.0,3.0,5.0,,4.0,7.0,53.0,58.0,20.0,,,110.0,13.0,16.0,1.0,2.0,2,2.0,2,1,0,,13.0,4.0,5.0,4.0,,26.0,,181.0,54.0,0.0,0,0,,9.0,8.0,43.0,6.0,477.0,17.0,28.0,4.0,21.0,0.0
Blackpool_92,2010-11,321692,4,2010-09-11 15:00:00,"St. James' Park, Newcastle",49597,Away,Blackpool,Newcastle,W,221.0,19.0,10.0,1.0,1.0,2.0,2.0,1.0,1.0,15.0,1.0,2.0,6.0,56.0,46.0,35.0,,,68.0,17.0,16.0,1.0,2.0,0,,2,0,1,,16.0,3.0,5.0,8.0,,15.0,1.0,148.0,43.5,0.0,0,0,,2.0,5.0,52.0,11.0,311.0,8.0,11.0,2.0,7.0,0.0
Blackpool_92,2010-11,321699,5,2010-09-19 16:00:00,"Stamford Bridge, London",41761,Away,Blackpool,Chelsea,L,327.0,10.0,10.0,,,1.0,1.0,,3.0,15.0,,6.0,9.0,42.0,40.0,23.0,,,56.0,6.0,7.0,,,4,4.0,0,4,0,,20.0,6.0,3.0,6.0,1.0,21.0,,129.0,43.5,0.0,0,0,,5.0,10.0,32.0,1.0,403.0,11.0,19.0,6.0,15.0,0.0
Blackpool_92,2010-11,321709,6,2010-09-25 15:00:00,"Bloomfield Road, Blackpool",15901,Home,Blackpool,Blackburn,L,287.0,23.0,17.0,,1.0,2.0,2.0,,5.0,4.0,,8.0,10.0,54.0,57.0,32.0,1.0,,88.0,13.0,11.0,1.0,1.0,2,2.0,1,1,0,1.0,5.0,5.0,3.0,5.0,1.0,30.0,,205.0,58.2,0.0,0,0,,7.0,12.0,54.0,1.0,393.0,15.0,24.0,8.0,14.0,0.0
Blackpool_92,2010-11,321719,7,2010-10-03 15:00:00,"Anfield, Liverpool",43156,Away,Blackpool,Liverpool,W,298.0,19.0,16.0,1.0,1.0,,,,3.0,7.0,,2.0,14.0,58.0,57.0,25.0,,1.0,68.0,11.0,11.0,1.0,2.0,1,1.0,2,0,2,,13.0,8.0,7.0,6.0,,13.0,1.0,171.0,43.2,0.0,0,0,,5.0,11.0,45.0,1.0,391.0,15.0,21.0,2.0,19.0,0.0
Blackpool_92,2010-11,321730,8,2010-10-17 16:00:00,"Bloomfield Road, Blackpool",16116,Home,Blackpool,Man City,L,388.0,14.0,14.0,,1.0,2.0,1.0,1.0,1.0,11.0,,3.0,17.0,56.0,46.0,16.0,1.0,,88.0,9.0,9.0,2.0,2.0,3,3.0,2,0,0,,14.0,5.0,4.0,3.0,,26.0,,176.0,56.3,0.0,0,0,3.0,11.0,12.0,26.0,4.0,491.0,16.0,14.0,3.0,11.0,0.0
Blackpool_92,2010-11,321737,9,2010-10-23 15:00:00,"St. Andrew's Stadium, Birmingham",26850,Away,Blackpool,Birmingham,L,296.0,18.0,13.0,,1.0,,,,7.0,2.0,,10.0,10.0,50.0,44.0,20.0,1.0,1.0,76.0,16.0,8.0,,,2,2.0,0,1,0,,13.0,11.0,6.0,9.0,,26.0,,151.0,45.8,0.0,0,0,,6.0,15.0,36.0,,363.0,19.0,17.0,10.0,10.0,0.0
Blackpool_92,2010-11,321750,10,2010-11-01 20:00:00,"Bloomfield Road, Blackpool",15210,Home,Blackpool,West Brom,W,480.0,9.0,11.0,1.0,1.0,5.0,5.0,2.0,7.0,7.0,,8.0,8.0,47.0,49.0,10.0,,1.0,75.0,16.0,13.0,1.0,2.0,1,1.0,2,0,1,,3.0,8.0,5.0,3.0,,28.0,1.0,128.0,65.4,0.0,2,0,,14.0,18.0,15.0,2.0,550.0,26.0,19.0,8.0,12.0,0.0
