season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyMiss,penaltyWon,possessionLostCtrl,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2013-14,3965145,5,14,Liverpool,Home,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965145,5,14,Liverpool,Home,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965145,5,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965145,5,14,Liverpool,Home,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,18.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965145,5,14,Liverpool,Home,185955,103912,Jordon Ibe,jordon-ibe,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965171,6,14,Liverpool,Away,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965171,6,14,Liverpool,Away,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965171,6,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965171,6,14,Liverpool,Away,185955,103912,Jordon Ibe,jordon-ibe,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965183,7,14,Liverpool,Home,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965183,7,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965183,7,14,Liverpool,Home,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,24.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965183,7,14,Liverpool,Home,185955,103912,Jordon Ibe,jordon-ibe,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965209,8,14,Liverpool,Away,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965209,8,14,Liverpool,Away,20602,40555,Joe Allen,joe-allen,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965209,8,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965209,8,14,Liverpool,Away,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,27.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965223,9,14,Liverpool,Home,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,86.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965223,9,14,Liverpool,Home,20602,40555,Joe Allen,joe-allen,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,4.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965223,9,14,Liverpool,Home,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965223,9,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965223,9,14,Liverpool,Home,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965237,10,14,Liverpool,Away,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965237,10,14,Liverpool,Away,20602,40555,Joe Allen,joe-allen,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965237,10,14,Liverpool,Away,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965237,10,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965237,10,14,Liverpool,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,44.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965263,11,14,Liverpool,Home,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,66.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965263,11,14,Liverpool,Home,20602,40555,Joe Allen,joe-allen,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,24.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965263,11,14,Liverpool,Home,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965263,11,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965263,11,14,Liverpool,Home,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965263,11,14,Liverpool,Home,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965281,12,14,Liverpool,Away,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965281,12,14,Liverpool,Away,20602,40555,Joe Allen,joe-allen,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,68.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965281,12,14,Liverpool,Away,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,79.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965281,12,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965281,12,14,Liverpool,Away,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965281,12,14,Liverpool,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965305,13,14,Liverpool,Away,701,1814,Steven Gerrard,steven-gerrard,M,False,,5.0,25.0,36.0,61.0,1.0,,5.0,,,,1.0,,1.0,5.0,2.0,,1.0,0.0,1.0,,,,,90.0,1.0,,0.0,,,19.0,7.0,,,,,,1.0,7.0,8.0,,39.0,39.0,71.0,1.0,2.0,84.0,,,,2.0
2013-14,3965305,13,14,Liverpool,Away,20602,40555,Joe Allen,joe-allen,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965305,13,14,Liverpool,Away,27234,43191,Lucas Leiva,lucas-leiva,M,False,,4.0,34.0,37.0,71.0,3.0,1.0,10.0,,,,,,,4.0,5.0,,2.0,0.0,0.0,,,2.0,,90.0,,,0.0,,,7.0,7.1,,,,,3.0,1.0,,5.0,,39.0,38.0,77.0,0.0,3.0,90.0,1.0,1.0,1.0,3.0
2013-14,3965305,13,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,2.0,20.0,10.0,30.0,,,,,,,1.0,,,3.0,1.0,,,0.0,0.0,,,2.0,1.0,90.0,,,0.0,,,11.0,6.3,,,,,2.0,2.0,1.0,3.0,,26.0,12.0,37.0,0.0,,47.0,1.0,1.0,,
2013-14,3965305,13,14,Liverpool,Away,111416,82451,Luis Alberto,luis-alberto,M,True,,,11.0,4.0,15.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,0.0,0.0,,,1.0,,16.0,,,0.0,,,6.0,6.2,,,,,,1.0,,,,14.0,6.0,20.0,0.0,,22.0,,,,
2013-14,3965305,13,14,Liverpool,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,True,,1.0,19.0,5.0,24.0,,,2.0,1.0,,,,,,2.0,1.0,,,0.0,0.0,,,,2.0,24.0,,,0.0,,,6.0,6.6,,,,,,3.0,,1.0,,22.0,5.0,27.0,0.0,,32.0,1.0,,1.0,
2013-14,3965321,14,14,Liverpool,Home,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965321,14,14,Liverpool,Home,20602,40555,Joe Allen,joe-allen,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965321,14,14,Liverpool,Home,27234,43191,Lucas Leiva,lucas-leiva,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965321,14,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,69.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965321,14,14,Liverpool,Home,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,21.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965321,14,14,Liverpool,Home,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965343,15,14,Liverpool,Home,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,56.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965343,15,14,Liverpool,Home,20602,40555,Joe Allen,joe-allen,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965343,15,14,Liverpool,Home,27234,43191,Lucas Leiva,lucas-leiva,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,34.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965343,15,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965343,15,14,Liverpool,Home,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965343,15,14,Liverpool,Home,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965373,16,14,Liverpool,Away,20602,40555,Joe Allen,joe-allen,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965373,16,14,Liverpool,Away,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,78.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965373,16,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965373,16,14,Liverpool,Away,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,12.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965373,16,14,Liverpool,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965383,17,14,Liverpool,Home,20602,40555,Joe Allen,joe-allen,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965383,17,14,Liverpool,Home,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965383,17,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965383,17,14,Liverpool,Home,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965383,17,14,Liverpool,Home,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,83.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965407,18,14,Liverpool,Away,20602,40555,Joe Allen,joe-allen,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965407,18,14,Liverpool,Away,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,82.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965407,18,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965407,18,14,Liverpool,Away,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965407,18,14,Liverpool,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,68.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965421,19,14,Liverpool,Away,20602,40555,Joe Allen,joe-allen,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,60.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965421,19,14,Liverpool,Away,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965421,19,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965421,19,14,Liverpool,Away,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965421,19,14,Liverpool,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965421,19,14,Liverpool,Away,361328,141281,Jordan Rossiter,jordan-rossiter,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965443,20,14,Liverpool,Home,701,1814,Steven Gerrard,steven-gerrard,M,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,28.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965443,20,14,Liverpool,Home,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965443,20,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965443,20,14,Liverpool,Home,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965443,20,14,Liverpool,Home,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965443,20,14,Liverpool,Home,361328,141281,Jordan Rossiter,jordan-rossiter,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965473,21,14,Liverpool,Away,701,1814,Steven Gerrard,steven-gerrard,M,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965473,21,14,Liverpool,Away,27234,43191,Lucas Leiva,lucas-leiva,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965473,21,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,90.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965473,21,14,Liverpool,Away,111416,82451,Luis Alberto,luis-alberto,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965473,21,14,Liverpool,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,66.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
2013-14,3965473,21,14,Liverpool,Away,185955,103912,Jordon Ibe,jordon-ibe,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
