season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025013,1,14,Liverpool,Home,143040,158983,Wataru Endo,wataru-endo,M,True,,,2.0,5.0,11.0,16.0,,1.0,4.0,,,,,1.0,,,1.0,3.0,,,0.00377512,,,,1.0,,,,,,1.0,,0.28,1.9,0.55,0.14,1.18,30.0,,,,,,,,2.0,,,6.9,,,,,29.379975484607,1.0,,,,2.0,,6.0,11.0,17.0,-2.377730061624,,0,2.0,22.0,1.0,,,1.0
2025-26,14025013,1,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,False,1.0,,3.0,15.0,3.0,18.0,,,20.0,9.0,1.0,,1.0,,,2.0,3.0,2.0,,,0.105978,0.2621,0.7119,,0.0,1.0,,,,,2.0,,0.58,4.0,1.43,0.31,3.33,90.0,2.0,1.0,,,,,,22.0,7.0,,8.4,,,,,223.36464830882,,2.0,5.0,,4.0,,27.0,3.0,30.0,147.45102789103,113.98611166641,3,,50.0,1.0,1.0,1.0,
2025-26,14025013,1,14,Liverpool,Home,862967,243298,Cody Gakpo,cody-gakpo,M,False,1.0,,1.0,14.0,7.0,21.0,5.0,6.0,19.0,6.0,1.0,,,,,1.0,11.0,12.0,,,0.436461,0.1976,0.5466,1.0,0.0,1.0,,,,,3.0,,0.67,4.57,1.39,0.31,3.36,90.0,2.0,,,,,,,18.0,7.0,,8.7,,,1.0,,211.55374157719,1.0,7.0,3.0,,2.0,2.0,18.0,11.0,29.0,144.0013129506,123.95912585299,3,1.0,57.0,2.0,3.0,2.0,1.0
2025-26,14025013,1,14,Liverpool,Home,869856,424876,Dominik Szoboszlai,dominik-szoboszlai,M,False,,,4.0,34.0,32.0,66.0,,,32.0,5.0,,,,1.0,,1.0,5.0,6.0,1.0,,0.0851713,0.0965,0.1084,2.0,0.0,,,,,,2.0,,0.87,5.19,1.96,0.53,2.97,90.0,1.0,,,,,,,15.0,4.0,,6.9,,,2.0,,268.32284765577,2.0,2.0,1.0,,7.0,,40.0,35.0,75.0,63.801604095039,76.75289026836,3,4.0,97.0,2.0,1.0,1.0,4.0
2025-26,14025013,1,14,Liverpool,Home,895324,243016,Alexis Mac Allister,alexis-mac-allister,M,False,,,,22.0,18.0,40.0,1.0,1.0,12.0,2.0,1.0,,,1.0,,,5.0,5.0,,,0.0173222,0.0319,0.1203,2.0,1.0,,,,,1.0,1.0,,0.45,4.28,1.44,0.1,2.21,72.0,1.0,,,,,,,9.0,2.0,,6.8,,,,,93.565723839362,,1.0,1.0,,,,26.0,20.0,46.0,64.214957959319,36.719326064616,1,3.0,61.0,1.0,1.0,,2.0
2025-26,14025013,1,14,Liverpool,Home,927353,206915,Curtis Jones,curtis-jones,M,True,,,1.0,6.0,3.0,9.0,2.0,2.0,5.0,1.0,,,,,,,2.0,2.0,,,0.0418864,,,,0.0,,,,,,1.0,,0.29,1.1,0.51,0.17,0.86,18.0,,,,,,,,3.0,1.0,,6.8,,,,,45.844710668117,,,,,2.0,,8.0,3.0,11.0,15.337757315793,28.547171506123,0,,12.0,,,,
2025-26,14025013,1,14,Liverpool,Home,955245,444884,Harvey Elliott,harvey-elliott,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025013,1,14,Liverpool,Home,1019322,494595,Florian Wirtz,florian-wirtz,M,False,2.0,,4.0,25.0,13.0,38.0,2.0,,20.0,6.0,,,,2.0,,3.0,7.0,3.0,,,0.27973,0.1442,,,0.0,,,,,,3.0,,1.15,4.79,2.37,0.41,2.3,82.0,,,,,,,,21.0,2.0,,6.7,,,1.0,,147.35433005582,1.0,,4.0,,4.0,,38.0,13.0,51.0,46.407474770708,32.696716061143,1,2.0,73.0,2.0,1.0,,2.0
2025-26,14025013,1,14,Liverpool,Home,1445945,591386,Trey Nyoni,nyoni-trey,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14147154,2,14,Liverpool,Away,143040,158983,Wataru Endo,wataru-endo,M,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14147154,2,14,Liverpool,Away,159665,118748,Mohamed Salah,mohamed-salah,M,False,1.0,,,13.0,4.0,17.0,,,,1.0,2.0,,,,,,1.0,1.0,,,0.207513,,,1.0,1.0,,,,,,2.0,,,,,,,89.0,,,,,,,,10.0,,,6.3,,,,,,1.0,,1.0,,1.0,,20.0,5.0,25.0,,,0,,34.0,2.0,1.0,,
2025-26,14147154,2,14,Liverpool,Away,862967,243298,Cody Gakpo,cody-gakpo,M,False,,,,7.0,4.0,11.0,,1.0,,4.0,,,1.0,2.0,,1.0,6.0,9.0,,,0.0750624,0.0584,,3.0,2.0,,,,,,2.0,,,,,,,89.0,,,,,,,,12.0,,,7.4,,,,,,2.0,1.0,2.0,,,,10.0,7.0,17.0,,,1,3.0,40.0,3.0,4.0,1.0,
2025-26,14147154,2,14,Liverpool,Away,869856,424876,Dominik Szoboszlai,dominik-szoboszlai,M,False,,,4.0,18.0,22.0,40.0,,,,4.0,,,,1.0,,,3.0,1.0,,,0.0089903,,,2.0,0.0,,,,,,,,,,,,,90.0,,,,,,,,7.0,,,6.4,,,,,,4.0,,2.0,,8.0,,21.0,24.0,45.0,,,0,1.0,58.0,,,,1.0
