season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436873,1,11,Everton,Home,10589,18892,Ashley Young,ashley-young,D,False,1.0,,2.0,9.0,7.0,15.0,1.0,,5.0,4.0,,,,1.0,,,,3.0,6.0,,,0.168887,,,1.0,0.0,,,,,2.0,1.0,,66.0,,,,,,,13.0,0.0,,6.0,,,,,38.312807518851,,,3.0,,4.0,,16.0,9.0,22.0,9.7394354752261,,0,4.0,48.0,1.0,2.0,,1.0
2024-25,12436873,1,11,Everton,Home,110846,106611,Michael Keane,michael-keane,D,False,,,12.0,13.0,31.0,44.0,,5.0,13.0,3.0,,,1.0,,,,,,5.0,,,0.00757866,0.0081,,,0.0,,,,,,,,90.0,,1.0,,,,,9.0,0.0,,6.8,,,,,77.014481856037,2.0,,,,14.0,,18.0,33.0,51.0,5.9081458462752,,1,,57.0,,,,
2024-25,12436873,1,11,Everton,Home,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,6.0,11.0,34.0,45.0,2.0,1.0,15.0,5.0,,,,3.0,,,,8.0,3.0,,,0.0106033,0.009,,2.0,0.0,,,,,4.0,1.0,,90.0,,1.0,,,,,11.0,0.0,,6.8,,,1.0,,135.22384473419,2.0,1.0,,,13.0,,18.0,35.0,53.0,10.052987343305,,1,2.0,68.0,1.0,,,1.0
2024-25,12436873,1,11,Everton,Home,781544,194164,Mason Holgate,mason-holgate,D,True,,,,,,,1.0,,,,,,,,,,,1.0,,,,8.92e-06,,,,0.0,,,,,,,,16.0,,,,,,,1.0,,,6.2,,,,,,,,,,,,,,,,,0,,3.0,1.0,,,
2024-25,12436873,1,11,Everton,Home,876643,224967,Vitaliy Mykolenko,vitaliy-mykolenko,D,False,,,,9.0,15.0,24.0,1.0,1.0,8.0,5.0,,,,1.0,,,,5.0,3.0,,,0.00225072,,,,0.0,,,,,1.0,,,90.0,,,,,,,13.0,0.0,,6.0,,,,,69.898600855922,2.0,3.0,3.0,,2.0,,15.0,16.0,28.0,15.843483216352,,0,,55.0,1.0,2.0,,
2024-25,12436873,1,11,Everton,Home,998253,512462,Jake O'Brien,jake-obrien,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436902,2,11,Everton,Away,110846,106611,Michael Keane,michael-keane,D,False,,,5.0,11.0,17.0,28.0,2.0,3.0,,5.0,,,,,,,,3.0,5.0,,,0.00703661,,,1.0,0.0,,,,,5.0,1.0,,90.0,,,,,,,5.0,,,6.8,,,,,,4.0,,,,7.0,,13.0,19.0,32.0,,,0,2.0,46.0,,,,1.0
2024-25,12436902,2,11,Everton,Away,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,3.0,9.0,15.0,24.0,1.0,5.0,,1.0,,,1.0,,,,,2.0,6.0,,,0.18715,0.2261,,1.0,0.0,,,,,1.0,1.0,,90.0,,1.0,,,,,9.0,,,6.7,,,2.0,,,,,,,7.0,,16.0,17.0,33.0,,,3,1.0,44.0,,,,1.0
2024-25,12436902,2,11,Everton,Away,781544,194164,Mason Holgate,mason-holgate,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436902,2,11,Everton,Away,876643,224967,Vitaliy Mykolenko,vitaliy-mykolenko,D,False,,,1.0,11.0,8.0,19.0,1.0,,,5.0,,,,1.0,,,,2.0,5.0,,,0.0212358,,,,0.0,,,,,2.0,,,90.0,,,,,,,5.0,,,6.5,,,,,,3.0,,,,3.0,,15.0,9.0,24.0,,,0,2.0,47.0,,3.0,,2.0
