season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385509,1,11,Everton,Home,110846,106611,Michael Keane,michael-keane,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,4.0,9.0,20.0,29.0,3.0,2.0,9.0,,,,1.0,,,,7.0,2.0,,,0.124046,0.0904,0.1194,3.0,,,,,,2.0,1.0,,90.0,2.0,3.0,,,,,7.0,,7.4,,,,,3.0,,,,8.0,,12.0,24.0,36.0,2,,48.0,,,,
2022-23,10385509,1,11,Everton,Home,326343,160987,Jean-Philippe Gbamin,jean-philippe-gbamin,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,360396,164511,Yerry Mina,yerry-mina,D,False,,,4.0,4.0,10.0,14.0,2.0,,3.0,,,,,,,,3.0,3.0,,,0.00418532,0.0,0.0,1.0,,,,,,1.0,,,70.0,,1.0,,,,,2.0,,6.9,,,,,3.0,,,,5.0,,5.0,11.0,16.0,0,1.0,26.0,,2.0,,
2022-23,10385509,1,11,Everton,Home,754698,198826,Ben Godfrey,ben-godfrey,D,False,,,1.0,2.0,2.0,4.0,1.0,,,,,,,,,,1.0,1.0,,,0.00027475,0.0,0.0,,,,,,,,,,18.0,,,,,,,1.0,,6.7,,,,,,,,,1.0,,2.0,3.0,5.0,0,1.0,6.0,,,,1.0
2022-23,10385509,1,11,Everton,Home,781544,194164,Mason Holgate,mason-holgate,D,True,,,2.0,4.0,11.0,15.0,3.0,2.0,3.0,,,,2.0,,,,6.0,7.0,,,0.00300385,0.2113,0.0,1.0,,,,,,1.0,,,72.0,1.0,1.0,,,,,13.0,,7.0,,,,,9.0,1.0,1.0,,9.0,,15.0,12.0,26.0,1,3.0,47.0,,1.0,1.0,2.0
2022-23,10385509,1,11,Everton,Home,846441,216054,Rúben Vinagre,ruben-vinagre,D,True,,,,6.0,5.0,11.0,1.0,,3.0,,,,1.0,,,1.0,3.0,3.0,,,0.00185234,0.0,0.0,,,,,,,,,,20.0,,,,,,,8.0,,6.5,,,,,1.0,,1.0,,,,9.0,7.0,15.0,0,1.0,26.0,1.0,2.0,,1.0
2022-23,10385509,1,11,Everton,Home,876643,224967,Vitaliy Mykolenko,vitaliy-mykolenko,D,False,1.0,,1.0,13.0,9.0,21.0,1.0,1.0,3.0,,,,1.0,,,,6.0,3.0,,,0.0905277,0.1093,0.0,4.0,,,,,,2.0,1.0,,90.0,,1.0,,,,,11.0,,6.8,,,1.0,,3.0,,2.0,,3.0,,18.0,12.0,28.0,1,2.0,50.0,1.0,,,
2022-23,10385509,1,11,Everton,Home,1020141,243571,Nathan Patterson,nathan-patterson,D,False,,,1.0,17.0,10.0,27.0,,,4.0,,,,2.0,,,1.0,5.0,7.0,,,0.112023,0.0,0.0,1.0,,,,,,,,,90.0,,,,,,,7.0,,6.6,,,,,3.0,2.0,1.0,,1.0,,20.0,11.0,30.0,0,4.0,53.0,1.0,2.0,1.0,2.0
2022-23,10385503,2,11,Everton,Away,76632,59949,Séamus Coleman,seamus-coleman,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,11,Everton,Away,98449,94147,Conor Coady,conor-coady,D,False,,,7.0,10.0,35.0,45.0,,1.0,3.0,,,,,,,,1.0,2.0,,,0.00509421,0.0,0.0,,,,,,,,,,81.0,,1.0,,,,,9.0,,6.8,,,,,4.0,1.0,,,11.0,,15.0,38.0,53.0,0,1.0,61.0,,,,1.0
2022-23,10385503,2,11,Everton,Away,110846,106611,Michael Keane,michael-keane,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,11,Everton,Away,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,5.0,10.0,31.0,41.0,1.0,2.0,4.0,,,1.0,1.0,,,,2.0,5.0,,,0.0540362,0.0973,0.0,,,,,,,1.0,2.0,,90.0,,,,,,,10.0,,6.8,,,,,3.0,,,,8.0,,14.0,35.0,49.0,1,2.0,61.0,1.0,1.0,,2.0
2022-23,10385503,2,11,Everton,Away,781544,194164,Mason Holgate,mason-holgate,D,False,,,6.0,9.0,19.0,28.0,1.0,1.0,2.0,,,2.0,,,,,1.0,7.0,,,0.00776557,0.0904,0.0,,,,,,,2.0,1.0,,90.0,,1.0,,,,,10.0,,7.1,,,,,3.0,1.0,,,10.0,,15.0,22.0,37.0,2,4.0,53.0,1.0,1.0,1.0,1.0
2022-23,10385503,2,11,Everton,Away,846441,216054,Rúben Vinagre,ruben-vinagre,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,11,Everton,Away,876643,224967,Vitaliy Mykolenko,vitaliy-mykolenko,D,False,1.0,,1.0,21.0,9.0,29.0,1.0,,6.0,,,,,1.0,,,2.0,,,,0.0398412,0.0,0.0,,,,,,,2.0,2.0,,90.0,,1.0,,,,,21.0,,7.1,,,,,,1.0,3.0,,5.0,,31.0,15.0,43.0,0,,60.0,1.0,,,
2022-23,10385503,2,11,Everton,Away,1020141,243571,Nathan Patterson,nathan-patterson,D,False,,,1.0,1.0,6.0,7.0,1.0,2.0,5.0,,,2.0,,,,,2.0,6.0,,,0.00097573,0.113,0.0,,,,,,,1.0,,,90.0,,2.0,,,,,15.0,,7.0,,,,,4.0,2.0,1.0,,2.0,,9.0,8.0,16.0,2,1.0,45.0,1.0,2.0,1.0,1.0
2022-23,10385537,3,11,Everton,Home,76632,59949,Séamus Coleman,seamus-coleman,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385537,3,11,Everton,Home,98449,94147,Conor Coady,conor-coady,D,False,,,6.0,9.0,33.0,42.0,1.0,1.0,4.0,,,,,,,,1.0,1.0,,,0.0130039,0.0,0.0,1.0,,,,,,,,,90.0,,2.0,,,,,13.0,,6.9,,,,,5.0,,,,11.0,,17.0,35.0,52.0,0,,65.0,2.0,,,
2022-23,10385537,3,11,Everton,Home,110846,106611,Michael Keane,michael-keane,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385537,3,11,Everton,Home,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,6.0,9.0,19.0,28.0,1.0,6.0,7.0,,,,1.0,,,,4.0,7.0,,1.0,0.00845809,0.0,0.0,1.0,,,,,,1.0,,,90.0,,1.0,,,,,19.0,,6.5,,,,,4.0,1.0,,,10.0,,14.0,29.0,43.0,0,1.0,58.0,2.0,,,1.0
2022-23,10385537,3,11,Everton,Home,326343,160987,Jean-Philippe Gbamin,jean-philippe-gbamin,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385537,3,11,Everton,Home,781544,194164,Mason Holgate,mason-holgate,D,False,,,3.0,6.0,33.0,39.0,1.0,1.0,5.0,,,,1.0,,,,2.0,4.0,,,0.0892078,0.0,0.0,,,,,,,2.0,1.0,,90.0,,,,,,,12.0,,6.9,,,,,3.0,1.0,,,10.0,,15.0,35.0,50.0,0,1.0,61.0,,1.0,1.0,1.0
2022-23,10385537,3,11,Everton,Home,846441,216054,Rúben Vinagre,ruben-vinagre,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385537,3,11,Everton,Home,876643,224967,Vitaliy Mykolenko,vitaliy-mykolenko,D,False,,,,18.0,10.0,28.0,3.0,1.0,9.0,,,,1.0,,,,7.0,5.0,,,0.00770366,0.0,0.0,,,,,,,2.0,1.0,,90.0,,,,,,,20.0,,6.4,,,,,,5.0,1.0,,5.0,,31.0,12.0,42.0,0,1.0,65.0,1.0,1.0,2.0,
2022-23,10385537,3,11,Everton,Home,1020141,243571,Nathan Patterson,nathan-patterson,D,False,,,,13.0,11.0,24.0,1.0,,5.0,,,,,,,2.0,3.0,3.0,,,0.0578981,0.0,0.0,,,,,,,2.0,1.0,,90.0,,,,,,,6.0,,6.8,,,,,1.0,,2.0,,,,16.0,11.0,25.0,0,3.0,45.0,,,,2.0
2022-23,10385556,4,11,Everton,Away,76632,59949,Séamus Coleman,seamus-coleman,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385556,4,11,Everton,Away,98449,94147,Conor Coady,conor-coady,D,False,,,6.0,13.0,28.0,41.0,1.0,1.0,5.0,1.0,,,,,,,1.0,5.0,,,0.156876,0.0,0.0,,1.0,,,,,,1.0,,90.0,,1.0,,,,,5.0,,7.6,,,,,4.0,,,,9.0,,14.0,32.0,46.0,0,,55.0,,4.0,,
2022-23,10385556,4,11,Everton,Away,110846,106611,Michael Keane,michael-keane,D,True,,,,2.0,,2.0,1.0,,,,,,,,,,2.0,,,,0.00056939,0.0,0.0,1.0,,,,,,,,,22.0,,,,,,,3.0,,6.3,,,,,4.0,,,,1.0,,3.0,1.0,4.0,0,,10.0,1.0,,,
