season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767930,1,80,Swansea_City,Away,636,11829,Wayne Routledge,wayne-routledge,F,True,,,,,6.0,6.0,1.0,,3.0,,,,1.0,,,,3.0,,,,,,,,,,,,19.0,1.0,,,,,,6.4,,,,,,1.0,,,,,3.0,7.0,10.0,1,,14.0,1.0,,
2015-16,6767930,1,80,Swansea_City,Away,3530,37998,Bafetimbi Gomis,bafetimbi-gomis,F,False,,,1.0,12.0,5.0,17.0,1.0,3.0,3.0,,2.0,2.0,,,,,2.0,8.0,,,1.0,,1.0,,,,1.0,,79.0,2.0,,,,1.0,,7.5,,,1.0,,3.0,2.0,,,1.0,4.0,15.0,6.0,21.0,5,,38.0,3.0,3.0,2.0
2015-16,6767930,1,80,Swansea_City,Away,27035,45124,André Ayew,andre-ayew,F,False,,,1.0,16.0,9.0,25.0,5.0,,7.0,,1.0,,2.0,,,4.0,12.0,6.0,,,1.0,,1.0,,,,,,90.0,3.0,,,,,,6.7,,,,,,1.0,,,2.0,,20.0,11.0,31.0,3,2.0,49.0,3.0,3.0,1.0
2015-16,6767930,1,80,Swansea_City,Away,43739,52635,Éder,eder,F,True,,,,3.0,,3.0,,2.0,1.0,,,,,,,,4.0,4.0,,,3.0,,,,,,1.0,,11.0,,,,,,,6.7,,,,,2.0,1.0,,,,,4.0,,4.0,0,1.0,10.0,1.0,1.0,
2015-16,6767943,2,80,Swansea_City,Home,636,11829,Wayne Routledge,wayne-routledge,F,True,,,1.0,6.0,3.0,9.0,1.0,,1.0,,,1.0,,,,1.0,3.0,,,,1.0,,,,,,,,13.0,,,,,,,6.4,,,,,,,1.0,,1.0,,7.0,3.0,9.0,1,,12.0,,,
2015-16,6767943,2,80,Swansea_City,Home,3530,37998,Bafetimbi Gomis,bafetimbi-gomis,F,False,,,1.0,18.0,6.0,24.0,,1.0,1.0,,,,,,,2.0,4.0,3.0,,,2.0,,1.0,,,,,,90.0,1.0,,,,,,7.3,,,,,,2.0,,,2.0,3.0,19.0,6.0,25.0,1,,35.0,4.0,,2.0
2015-16,6767943,2,80,Swansea_City,Home,27035,45124,André Ayew,andre-ayew,F,False,,,1.0,18.0,8.0,26.0,1.0,1.0,1.0,,1.0,,2.0,,,,6.0,2.0,,,2.0,,1.0,,,1.0,2.0,,72.0,1.0,,,,,,6.9,,,2.0,,,1.0,,,1.0,,22.0,8.0,30.0,3,1.0,40.0,2.0,,
2015-16,6767943,2,80,Swansea_City,Home,43739,52635,Éder,eder,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767959,3,80,Swansea_City,Away,636,11829,Wayne Routledge,wayne-routledge,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767959,3,80,Swansea_City,Away,3530,37998,Bafetimbi Gomis,bafetimbi-gomis,F,False,,,,18.0,3.0,21.0,4.0,,,,,1.0,1.0,,,5.0,12.0,2.0,,,2.0,,1.0,,,,1.0,,76.0,3.0,,,,,,7.3,,,,,,1.0,,,,1.0,21.0,3.0,24.0,4,,39.0,2.0,1.0,1.0
