matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292815,1,2022-08-07 14:00:00,94,Brentford,Away,222.0,18.0,,1.0,1.0,3.0,,165.0,4.0,,9.0,4.0,1.0,34.0,386.0,,2.0,8.0,14.0,15.0,6.0,,,,,,,,,,,,,,8.0,,,,,,,2.0,5.0,9.0,5.0,3.0,87.0,55.0,2.0,1.0,1.0,,9.0,1.0,8.0,,,6.0,7.0,4.0,,9.0,2.0,40.0,35.0,,16.0,7.0,,,16.0,46.0,5.0,6.0,1.0,,1.0,,,136.0,1.0,,1.0,1.0,,,7.0,2.0,3.0,,7.0,,8.0,8.0,1.0,10.0,109.0,56.0,33.0,5.0,,4.0,3.0,3.0,438.0,3.0,1.0,,85.0,56.0,23.0,,,,,116.0,116.0,6.0,23.0,16.0,44.6,,,1.0,,14.0,0.0,125.0,1.0,2.0,3.0,,,,4.0,,,5.0,7.0,59.0,372.0,9.0,7.0,243.0,37.0,16.0,8.0,5.0,16.0,11.0,,86.0,7.0,230.0,3.0,,16.0,1.0,58.0,2.0,457.0,,0.0,8.0,10.0,3.0,12.0,0.0,604.0,10.0,9.0,4.0,6.0,6.0,0.0
2292822,2,2022-08-13 17:30:00,94,Brentford,Home,57.0,19.0,1.0,2.0,1.0,4.0,1.0,112.0,3.0,1.0,2.0,3.0,1.0,20.0,167.0,,,10.0,14.0,10.0,2.0,1.0,7.0,1.0,,1.0,,,1.0,,,,,,4.0,,,,,,,3.0,7.0,8.0,7.0,6.0,47.0,46.0,2.0,,2.0,3.0,19.0,3.0,10.0,,1.0,8.0,7.0,1.0,1.0,9.0,2.0,42.0,38.0,3.0,13.0,9.0,,,17.0,47.0,6.0,14.0,1.0,,6.0,2.0,1.0,112.0,3.0,,1.0,3.0,,1.0,12.0,3.0,2.0,,9.0,,8.0,8.0,3.0,2.0,51.0,55.0,20.0,2.0,2.0,,6.0,7.0,225.0,4.0,1.0,,36.0,59.0,27.0,,,,,135.0,135.0,6.0,17.0,14.0,33.3,,,,,19.0,0.0,45.0,2.0,2.0,4.0,,3.0,1.0,3.0,1.0,,5.0,11.0,70.0,154.0,10.0,6.0,84.0,46.0,13.0,11.0,7.0,17.0,10.0,2.0,111.0,7.0,188.0,2.0,1.0,10.0,1.0,54.0,1.0,255.0,,0.0,13.0,6.0,,16.0,0.0,421.0,22.0,12.0,8.0,8.0,4.0,0.0
2292833,3,2022-08-20 15:00:00,94,Brentford,Away,201.0,25.0,3.0,4.0,1.0,2.0,,118.0,3.0,1.0,4.0,5.0,3.0,36.0,315.0,,2.0,24.0,20.0,23.0,4.0,3.0,3.0,,,,,,,,,,,,9.0,,,,,,,3.0,13.0,5.0,11.0,2.0,64.0,57.0,3.0,1.0,2.0,1.0,10.0,4.0,4.0,,1.0,3.0,1.0,6.0,,7.0,2.0,43.0,54.0,1.0,9.0,3.0,,1.0,23.0,60.0,7.0,11.0,1.0,,,1.0,,160.0,2.0,1.0,2.0,1.0,1.0,,6.0,1.0,2.0,,3.0,,6.0,6.0,1.0,4.0,102.0,76.0,35.0,6.0,1.0,4.0,5.0,5.0,388.0,5.0,1.0,,57.0,30.0,29.0,,,,,151.0,151.0,6.0,25.0,18.0,56.3,,,,1.0,10.0,0.0,91.0,3.0,3.0,6.0,,,,4.0,,,4.0,11.0,61.0,295.0,6.0,9.0,226.0,61.0,9.0,13.0,3.0,11.0,8.0,,114.0,5.0,202.0,2.0,1.0,21.0,3.0,82.0,7.0,417.0,,0.0,13.0,12.0,3.0,30.0,2.0,592.0,25.0,16.0,8.0,3.0,5.0,0.0
2292842,4,2022-08-27 15:00:00,94,Brentford,Home,185.0,16.0,2.0,7.0,5.0,1.0,,251.0,7.0,,7.0,4.0,3.0,18.0,429.0,1.0,,21.0,17.0,21.0,11.0,2.0,6.0,,,,,,,,,,,,13.0,,,1.0,1.0,1.0,,6.0,8.0,6.0,14.0,6.0,59.0,50.0,2.0,2.0,1.0,1.0,6.0,5.0,9.0,,,8.0,17.0,8.0,,14.0,2.0,56.0,48.0,1.0,12.0,6.0,,,18.0,59.0,8.0,8.0,,,1.0,,,164.0,1.0,,,,1.0,,7.0,,1.0,,6.0,3.0,8.0,8.0,1.0,7.0,147.0,60.0,36.0,5.0,,6.0,8.0,5.0,491.0,5.0,,,74.0,86.0,47.0,,,,,143.0,143.0,3.0,21.0,17.0,57.8,3.0,,1.0,,13.0,0.0,144.0,3.0,3.0,6.0,,1.0,,10.0,,,5.0,7.0,115.0,409.0,6.0,14.0,208.0,36.0,12.0,13.0,5.0,30.0,25.0,,157.0,2.0,336.0,1.0,,18.0,3.0,48.0,,514.0,2.0,0.0,20.0,14.0,1.0,25.0,2.0,708.0,31.0,9.0,5.0,8.0,6.0,0.0
2292852,5,2022-08-30 19:30:00,94,Brentford,Away,208.0,40.0,2.0,4.0,2.0,1.0,,182.0,8.0,1.0,5.0,2.0,7.0,36.0,386.0,,,16.0,14.0,12.0,4.0,3.0,4.0,,,,,,,,,,,,4.0,,,1.0,,,1.0,3.0,7.0,6.0,8.0,1.0,66.0,63.0,5.0,4.0,1.0,1.0,9.0,1.0,7.0,,1.0,6.0,6.0,10.0,,10.0,,50.0,43.0,1.0,5.0,2.0,,1.0,32.0,57.0,8.0,11.0,,,3.0,,,165.0,1.0,,1.0,1.0,,,10.0,1.0,,,2.0,1.0,14.0,14.0,3.0,5.0,134.0,82.0,47.0,4.0,,5.0,3.0,3.0,458.0,3.0,2.0,,74.0,65.0,40.0,,,,,163.0,163.0,4.0,29.0,25.0,51.1,1.0,,1.0,,9.0,0.0,117.0,1.0,2.0,3.0,,,,5.0,,,5.0,19.0,78.0,367.0,5.0,8.0,232.0,65.0,5.0,17.0,6.0,22.0,16.0,,118.0,7.0,272.0,,1.0,15.0,9.0,69.0,,482.0,,0.0,9.0,14.0,,20.0,2.0,664.0,27.0,22.0,6.0,6.0,13.0,0.0
2292861,6,2022-09-03 15:00:00,94,Brentford,Home,90.0,10.0,1.0,3.0,2.0,4.0,,54.0,7.0,,5.0,,2.0,15.0,141.0,,,13.0,11.0,17.0,4.0,1.0,1.0,,1.0,1.0,,,2.0,,,,,1.0,9.0,1.0,,,,,,4.0,9.0,8.0,10.0,4.0,24.0,68.0,3.0,3.0,3.0,1.0,11.0,1.0,16.0,,2.0,2.0,3.0,1.0,,15.0,2.0,59.0,63.0,1.0,21.0,9.0,,,17.0,44.0,8.0,9.0,4.0,,5.0,2.0,2.0,119.0,,,,,,,9.0,3.0,,,9.0,,14.0,14.0,1.0,5.0,45.0,59.0,20.0,6.0,,1.0,4.0,8.0,198.0,3.0,2.0,,38.0,18.0,21.0,,,,1.0,136.0,136.0,9.0,33.0,18.0,31.1,,,,,11.0,0.0,30.0,3.0,1.0,4.0,,,,5.0,1.0,,5.0,9.0,29.0,129.0,8.0,5.0,107.0,27.0,21.0,22.0,2.0,8.0,6.0,,66.0,7.0,119.0,,,12.0,3.0,48.0,1.0,218.0,,0.0,14.0,24.0,1.0,20.0,2.0,429.0,19.0,20.0,13.0,2.0,17.0,0.0
2292878,7,2023-03-15 19:30:00,94,Brentford,Away,109.0,27.0,1.0,4.0,3.0,4.0,,81.0,6.0,2.0,3.0,3.0,,23.0,186.0,,,15.0,17.0,24.0,4.0,1.0,4.0,1.0,,,,,,,,1.0,,1.0,4.0,,,,,,3.0,3.0,3.0,4.0,7.0,4.0,45.0,61.0,3.0,1.0,2.0,2.0,15.0,4.0,12.0,,,3.0,7.0,1.0,,9.0,,53.0,67.0,2.0,24.0,9.0,,,26.0,54.0,10.0,14.0,1.0,,2.0,2.0,,138.0,2.0,,1.0,1.0,1.0,,10.0,1.0,2.0,2.0,9.0,,14.0,14.0,2.0,3.0,44.0,64.0,26.0,3.0,,1.0,6.0,5.0,258.0,3.0,1.0,,58.0,22.0,24.0,,,,,140.0,140.0,2.0,22.0,27.0,33.6,,,,,32.0,0.0,62.0,1.0,,,,1.0,1.0,2.0,,1.0,4.0,18.0,37.0,167.0,15.0,7.0,131.0,53.0,24.0,17.0,1.0,11.0,10.0,1.0,85.0,7.0,169.0,2.0,2.0,12.0,1.0,60.0,1.0,289.0,,0.0,11.0,20.0,,17.0,2.0,491.0,26.0,10.0,10.0,3.0,11.0,0.0
2292881,8,2022-09-18 12:00:00,94,Brentford,Home,151.0,21.0,2.0,6.0,4.0,1.0,1.0,93.0,2.0,,3.0,6.0,2.0,31.0,238.0,,1.0,14.0,8.0,21.0,3.0,2.0,,,,1.0,,,1.0,,,,,,3.0,,,,,,1.0,8.0,8.0,5.0,4.0,1.0,55.0,56.0,1.0,1.0,,1.0,5.0,,10.0,,,3.0,9.0,5.0,,9.0,2.0,40.0,55.0,1.0,16.0,8.0,,,23.0,37.0,10.0,9.0,,,3.0,2.0,1.0,139.0,,,,,,,4.0,,1.0,,8.0,,12.0,12.0,2.0,3.0,69.0,60.0,33.0,3.0,,3.0,2.0,2.0,303.0,1.0,1.0,,34.0,35.0,27.0,,,,,135.0,135.0,4.0,30.0,17.0,36.1,,,,,9.0,0.0,58.0,4.0,,4.0,,1.0,,3.0,,,4.0,13.0,43.0,223.0,5.0,5.0,181.0,48.0,16.0,7.0,2.0,18.0,16.0,,76.0,6.0,158.0,1.0,,12.0,2.0,58.0,3.0,321.0,,0.0,5.0,21.0,2.0,19.0,0.0,487.0,14.0,19.0,4.0,3.0,13.0,0.0
2292890,9,2022-10-01 15:00:00,94,Brentford,Away,239.0,20.0,3.0,6.0,3.0,,,207.0,6.0,,5.0,3.0,7.0,30.0,440.0,,1.0,17.0,12.0,10.0,8.0,2.0,4.0,,,,,,1.0,,,,,,8.0,,,,,,,3.0,5.0,2.0,10.0,3.0,89.0,60.0,1.0,1.0,,,7.0,4.0,5.0,1.0,,8.0,3.0,7.0,,8.0,,40.0,47.0,,19.0,10.0,,,24.0,68.0,10.0,11.0,,,1.0,,1.0,179.0,,,,,,,8.0,,2.0,1.0,10.0,,7.0,7.0,,5.0,138.0,69.0,44.0,7.0,,5.0,5.0,4.0,510.0,3.0,,,47.0,98.0,38.0,,,,,133.0,133.0,12.0,22.0,20.0,58.0,,,,,15.0,0.0,124.0,1.0,,,,,,5.0,,,5.0,11.0,115.0,424.0,7.0,10.0,261.0,45.0,19.0,12.0,8.0,18.0,10.0,,164.0,1.0,287.0,2.0,,8.0,7.0,55.0,2.0,530.0,,0.0,13.0,20.0,1.0,19.0,2.0,706.0,22.0,13.0,6.0,8.0,14.0,0.0
2292907,10,2022-10-08 15:00:00,94,Brentford,Away,116.0,19.0,,3.0,3.0,2.0,,126.0,4.0,,10.0,10.0,4.0,34.0,239.0,,,12.0,15.0,13.0,2.0,2.0,,,,,,,,1.0,,,,,3.0,1.0,,,,,2.0,5.0,11.0,6.0,5.0,1.0,58.0,55.0,,,1.0,2.0,6.0,2.0,10.0,,1.0,5.0,5.0,9.0,,6.0,2.0,48.0,43.0,2.0,15.0,10.0,2.0,,18.0,56.0,9.0,13.0,1.0,,1.0,1.0,,131.0,,,,,,,7.0,,2.0,1.0,10.0,,13.0,13.0,2.0,10.0,66.0,58.0,29.0,9.0,,1.0,3.0,3.0,289.0,6.0,1.0,1.0,42.0,51.0,32.0,,,,1.0,132.0,132.0,4.0,18.0,20.0,45.6,,,,,15.0,0.0,65.0,1.0,1.0,2.0,,,,1.0,,,5.0,7.0,73.0,220.0,6.0,4.0,130.0,47.0,15.0,16.0,3.0,18.0,15.0,,122.0,4.0,208.0,2.0,,18.0,5.0,67.0,3.0,320.0,2.0,0.0,6.0,10.0,1.0,14.0,1.0,496.0,22.0,15.0,7.0,5.0,7.0,0.0
