playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,penaltyGoals,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedGoalsFreekick,goalAssists,cornersTakenInclShortCorners,successfulCrossesAndCorners,successfulCornersIntoBox,penaltyGoalsConceded,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,penaltiesConceded,headedGoals,hitWoodwork,throwInsToOppositionPlayer,clearancesOffTheLine,ownGoalScored,leftFootGoals,secondGoalAssists,otherGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
432793,Ali Koiki,Defender,Burnley,90,England,2019-20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195471,Anthony Glennon,Defender,Burnley,90,England,2019-20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44699,Ashley Barnes,Forward,Burnley,90,England,2019-20,0.0,0.0,4.0,151.0,0.354,8.0,12.0,3.9679,10.0,32.0,3.0,95.0,19.0,7.0,1.0,17.0,114.0,5.0,251.0,6.0,13.0,4.0,2.0,152.0,2.0,1.0,5.0,1361.0,5.0,1.0,88.0,114.0,4.0,20.0,50.0,134.0,55.0,15.2114,5.0,1.0,8.0,21.0,4.0,63.0,51.0,40.0,265.0,6.0,96.0,37.0,19.0,1.0,1.0,6.0,5.0,8.0,102.0,17.0,5.0,4.0,113.0,64.0,250.0,20.0,7.0,187.0,5.0,6.0,2.0,50.0,35.0,5.0,1.0,3.0,54.0,486.0,1.0,12.0,4.0,8.0,35.0,13.0,2.0,6.1985,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60551,Ashley Westwood,Midfielder,Burnley,90,England,2019-20,0.0,0.0,9.0,112.0,5.9753,5.0,3.0,0.6157,54.0,8.0,4.0,203.0,35.0,3.0,,35.0,371.0,31.0,1744.0,2.0,1.0,3.0,,42.0,15.0,1.0,,3150.0,,,26.0,110.0,6.0,36.0,94.0,1257.0,21.0,39.0683,48.0,16.0,26.0,39.0,2.0,86.0,466.0,33.0,222.0,12.0,591.0,262.0,35.0,,1.0,2.0,21.0,12.0,816.0,33.0,107.0,2.0,180.0,16.0,1627.0,5.0,22.0,544.0,33.0,8.0,11.0,417.0,33.0,32.0,,116.0,270.0,2209.0,3.0,,3.0,60.0,596.0,23.0,,1.078,168.0,50.0,11.0,0.2471,6.0,94.0,39.0,20.0,4.0,2.0,2.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,
220037,Bailey Peacock-Farrell,Goalkeeper,Burnley,90,Northern Ireland,2019-20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83312,Ben Gibson,Defender,Burnley,90,England,2019-20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51927,Ben Mee,Defender,Burnley,90,England,2019-20,0.0,0.0,7.0,125.0,1.2149,4.0,7.0,1.2926,41.0,13.0,,170.0,32.0,,,32.0,359.0,2.0,1259.0,1.0,3.0,,,221.0,13.0,,6.0,2880.0,6.0,,90.0,195.0,8.0,22.0,64.0,798.0,46.0,40.301,8.0,34.0,160.0,45.0,4.0,35.0,328.0,21.0,320.0,11.0,603.0,175.0,32.0,,,,19.0,1.0,283.0,37.0,2.0,4.0,99.0,131.0,1214.0,6.0,4.0,384.0,22.0,6.0,31.0,249.0,25.0,42.0,,102.0,79.0,1676.0,7.0,,,78.0,618.0,15.0,1.0,1.6607,189.0,95.0,1.0,,1.0,,1.0,,4.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
461102,Bobby Thomas,Defender,Burnley,90,England,2019-20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103914,Charlie Taylor,Defender,Burnley,90,England,2019-20,0.0,0.0,3.0,95.0,1.0285,,,,39.0,1.0,,120.0,24.0,1.0,,22.0,223.0,68.0,716.0,,2.0,,2.0,75.0,10.0,,,1946.0,,,30.0,130.0,2.0,52.0,85.0,459.0,9.0,24.1193,11.0,9.0,62.0,18.0,,65.0,196.0,28.0,225.0,20.0,345.0,110.0,24.0,,,,15.0,21.0,282.0,16.0,68.0,,150.0,45.0,706.0,1.0,15.0,387.0,24.0,18.0,9.0,33.0,17.0,29.0,,34.0,142.0,1407.0,237.0,2.0,,41.0,231.0,8.0,1.0,0.0297,103.0,62.0,20.0,,1.0,,20.0,,3.0,,,,,,,33.0,1.0,,,,,,,,,,,,,,,,,,,
60689,Chris Wood,Forward,Burnley,90,New Zealand,2019-20,0.0,0.0,1.0,261.0,0.5468,8.0,31.0,14.6996,7.0,57.0,1.0,167.0,32.0,35.0,,29.0,170.0,8.0,460.0,14.0,35.0,1.0,3.0,307.0,6.0,2.0,15.0,2444.0,15.0,7.0,187.0,158.0,5.0,20.0,38.0,287.0,109.0,31.8483,21.0,,18.0,33.0,7.0,74.0,119.0,28.0,419.0,13.0,112.0,50.0,32.0,1.0,2.0,4.0,3.0,8.0,230.0,28.0,8.0,7.0,112.0,120.0,460.0,26.0,11.0,303.0,4.0,6.0,2.0,94.0,34.0,4.0,1.0,3.0,135.0,790.0,,12.0,1.0,1.0,60.0,7.0,3.0,15.7531,3.0,25.0,,,1.0,,,,3.0,,,,,5.0,,2.0,,1.0,5.0,,,,,,,,,,,,,,,,,
433154,Dwight McNeil,Midfielder,Burnley,90,England,2019-20,0.0,0.0,5.0,239.0,6.8011,16.0,14.0,1.9369,47.0,32.0,4.0,149.0,38.0,7.0,,38.0,215.0,141.0,1029.0,2.0,,8.0,,63.0,11.0,10.0,2.0,3344.0,2.0,1.0,35.0,191.0,8.0,111.0,163.0,758.0,48.0,43.8435,49.0,6.0,27.0,48.0,8.0,204.0,279.0,39.0,430.0,52.0,290.0,234.0,38.0,,10.0,,14.0,65.0,575.0,40.0,187.0,8.0,367.0,28.0,992.0,18.0,42.0,607.0,33.0,77.0,8.0,210.0,29.0,30.0,,56.0,250.0,1900.0,10.0,7.0,8.0,25.0,309.0,20.0,,2.2975,66.0,55.0,36.0,0.5588,6.0,60.0,70.0,26.0,3.0,10.0,10.0,32.0,,,2.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,
