matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442005,1,2012-08-18 15:00:00,108,Reading,Home,77.0,12.0,3.0,7.0,4.0,2.0,,133.0,3.0,,1.0,4.0,8.0,30.0,203.0,,,29.0,46.0,22.0,5.0,2.0,,,,1.0,,,2.0,,,,4.0,1.0,,,,7.0,4.0,,,28.0,37.0,,,1.0,4.0,2.0,3.0,,,4.0,7.0,9.0,,9.0,,77.0,55.0,4.0,29.0,20.0,1.0,1.0,74.0,11.0,17.0,1.0,,9.0,5.0,2.0,125.0,,,,,,,9.0,,2.0,,35.0,,6.0,6.0,,1.0,70.0,84.0,29.0,3.0,,5.0,2.0,2.0,,4.0,2.0,60.0,49.0,31.0,,,,1.0,186.0,158.0,,13.0,14.0,52.6,,,0.0,76.0,1.0,1.0,,,,6.0,,,2.0,66.0,,7.0,88.0,32.0,57.0,11.0,4.0,25.0,21.0,,118.0,10.0,236.0,2.0,,35.0,9.0,61.0,1.0,299.0,,0.0,10.0,13.0,,35.0,2.0,520.0,,12.0,3.0,4.0,10.0,0.0
442016,2,2012-12-11 19:45:00,108,Reading,Away,115.0,18.0,2.0,9.0,7.0,,1.0,157.0,1.0,,2.0,10.0,3.0,28.0,263.0,,,26.0,35.0,21.0,7.0,3.0,,,,,,1.0,1.0,,,,9.0,,,,2.0,10.0,6.0,,,62.0,46.0,,,,,5.0,5.0,,1.0,8.0,13.0,7.0,,17.0,4.0,72.0,55.0,,11.0,5.0,,,87.0,12.0,8.0,,1.0,4.0,4.0,1.0,186.0,,,,,,,7.0,,3.0,1.0,16.0,,8.0,6.0,,2.0,73.0,100.0,45.0,6.0,,6.0,4.0,3.0,,3.0,1.0,81.0,63.0,25.0,,,,,205.0,190.0,1.0,18.0,19.0,50.7,,1.0,0.0,65.0,2.0,3.0,,,,7.0,,,1.0,70.0,,10.0,138.0,44.0,26.0,11.0,7.0,31.0,24.0,,135.0,8.0,279.0,3.0,1.0,34.0,3.0,56.0,2.0,386.0,,0.0,15.0,19.0,1.0,29.0,1.0,589.0,,11.0,7.0,8.0,11.0,0.0
442019,3,2012-08-22 19:45:00,108,Reading,Away,70.0,8.0,1.0,3.0,2.0,3.0,,91.0,5.0,,1.0,3.0,5.0,18.0,158.0,,1.0,17.0,28.0,12.0,3.0,,,,1.0,,,,1.0,,,,6.0,,,,,16.0,11.0,,,42.0,57.0,,,,3.0,1.0,12.0,,1.0,5.0,11.0,2.0,,9.0,2.0,66.0,37.0,3.0,22.0,10.0,1.0,,58.0,14.0,12.0,1.0,,4.0,2.0,1.0,111.0,1.0,,1.0,1.0,,,15.0,1.0,1.0,1.0,17.0,,20.0,17.0,5.0,1.0,44.0,67.0,26.0,1.0,1.0,1.0,3.0,4.0,,6.0,1.0,28.0,60.0,11.0,1.0,1.0,1.0,,150.0,134.0,5.0,24.0,22.0,28.4,,,0.0,37.0,1.0,1.0,,,,2.0,,,3.0,55.0,,4.0,81.0,20.0,38.0,7.0,5.0,20.0,15.0,,98.0,11.0,173.0,1.0,,16.0,7.0,38.0,,234.0,,0.0,7.0,10.0,1.0,21.0,2.0,419.0,,13.0,3.0,5.0,8.0,0.0
442036,4,2012-09-16 16:00:00,108,Reading,Home,104.0,11.0,,4.0,4.0,4.0,1.0,133.0,2.0,,3.0,8.0,9.0,22.0,233.0,,,25.0,20.0,16.0,2.0,,,,,,,,,,,,6.0,,,,,13.0,10.0,,,40.0,44.0,1.0,,1.0,2.0,2.0,8.0,1.0,1.0,7.0,19.0,6.0,,7.0,3.0,54.0,47.0,1.0,10.0,5.0,,1.0,71.0,5.0,10.0,,,6.0,4.0,,126.0,1.0,,1.0,1.0,,,16.0,1.0,,,10.0,,13.0,5.0,1.0,4.0,77.0,82.0,35.0,4.0,1.0,,3.0,2.0,,4.0,2.0,42.0,57.0,23.0,,,,,180.0,169.0,3.0,16.0,18.0,42.3,,,0.0,71.0,3.0,2.0,,,,2.0,,,3.0,75.0,,3.0,123.0,28.0,20.0,17.0,7.0,36.0,29.0,,123.0,9.0,227.0,,,21.0,9.0,43.0,1.0,314.0,,0.0,6.0,18.0,1.0,28.0,0.0,527.0,,14.0,3.0,7.0,13.0,0.0
442046,5,2012-09-22 15:00:00,108,Reading,Away,123.0,7.0,,9.0,9.0,6.0,3.0,172.0,4.0,,10.0,18.0,18.0,41.0,286.0,,,27.0,22.0,20.0,6.0,1.0,,,,2.0,,,2.0,,,,7.0,,,,1.0,6.0,5.0,,,55.0,49.0,,,,2.0,3.0,5.0,,,1.0,15.0,13.0,,10.0,2.0,45.0,53.0,2.0,18.0,10.0,,,91.0,7.0,14.0,,,7.0,5.0,2.0,152.0,,,,,,,7.0,,2.0,,20.0,,14.0,12.0,3.0,10.0,98.0,87.0,43.0,9.0,,3.0,4.0,1.0,,1.0,3.0,73.0,78.0,29.0,,,,,170.0,155.0,1.0,16.0,15.0,47.1,,2.0,0.0,77.0,,3.0,,,,6.0,,,2.0,78.0,,7.0,137.0,16.0,33.0,6.0,,33.0,33.0,,139.0,13.0,278.0,2.0,1.0,52.0,18.0,79.0,1.0,382.0,,0.0,10.0,14.0,1.0,31.0,0.0,599.0,,13.0,5.0,1.0,10.0,0.0
442056,6,2012-09-29 15:00:00,108,Reading,Home,68.0,18.0,1.0,12.0,11.0,4.0,2.0,174.0,2.0,,3.0,13.0,2.0,18.0,230.0,,,25.0,41.0,29.0,6.0,2.0,,,,,,,,,,,14.0,,,1.0,1.0,3.0,6.0,,,47.0,56.0,,,,3.0,2.0,11.0,,1.0,6.0,20.0,8.0,,12.0,,82.0,65.0,3.0,19.0,14.0,,,96.0,8.0,9.0,1.0,,4.0,4.0,,170.0,2.0,,1.0,2.0,,,8.0,2.0,3.0,,20.0,1.0,15.0,9.0,,3.0,67.0,92.0,34.0,3.0,1.0,3.0,7.0,5.0,,3.0,1.0,70.0,93.0,20.0,,,,,206.0,195.0,7.0,13.0,27.0,47.4,1.0,,0.0,64.0,,,,1.0,,9.0,,,3.0,86.0,,10.0,84.0,45.0,30.0,16.0,6.0,38.0,32.0,,154.0,17.0,302.0,3.0,,38.0,2.0,53.0,3.0,348.0,,0.0,16.0,21.0,,31.0,0.0,579.0,,13.0,6.0,6.0,15.0,0.0
442064,7,2012-10-06 15:00:00,108,Reading,Away,41.0,10.0,1.0,2.0,1.0,3.0,,92.0,7.0,,1.0,6.0,1.0,16.0,131.0,,,21.0,27.0,27.0,3.0,1.0,,,,,,,,,,,8.0,,,,,20.0,6.0,,,30.0,50.0,,,,3.0,2.0,5.0,,,3.0,7.0,5.0,,7.0,6.0,58.0,57.0,3.0,21.0,9.0,,,67.0,11.0,9.0,2.0,,3.0,1.0,,131.0,1.0,,1.0,1.0,,,12.0,2.0,1.0,1.0,22.0,,20.0,15.0,2.0,1.0,37.0,85.0,40.0,11.0,,2.0,3.0,5.0,,6.0,,53.0,51.0,20.0,,,,,168.0,146.0,3.0,16.0,21.0,28.5,,,0.0,26.0,7.0,1.0,,1.0,,2.0,,,3.0,43.0,,5.0,54.0,24.0,43.0,11.0,3.0,16.0,13.0,1.0,94.0,20.0,186.0,1.0,,27.0,1.0,44.0,5.0,224.0,,0.0,9.0,19.0,,25.0,3.0,440.0,,9.0,2.0,3.0,14.0,0.0
442070,8,2012-10-20 15:00:00,108,Reading,Away,103.0,15.0,1.0,3.0,2.0,1.0,,147.0,3.0,,2.0,7.0,12.0,20.0,247.0,,2.0,30.0,20.0,15.0,5.0,1.0,,2.0,,1.0,,1.0,2.0,,1.0,1.0,6.0,,,,,14.0,13.0,,,54.0,53.0,1.0,1.0,,1.0,3.0,11.0,,,5.0,7.0,2.0,,12.0,2.0,59.0,56.0,1.0,15.0,6.0,,1.0,80.0,6.0,13.0,,,5.0,2.0,2.0,164.0,,,,,,,14.0,,,,10.0,,21.0,16.0,2.0,2.0,66.0,92.0,40.0,6.0,,3.0,3.0,3.0,,8.0,1.0,65.0,49.0,13.0,,,,,186.0,179.0,5.0,26.0,10.0,43.2,,1.0,0.0,82.0,5.0,1.0,,,2.0,4.0,,,3.0,74.0,,6.0,125.0,40.0,22.0,16.0,5.0,16.0,11.0,2.0,142.0,12.0,257.0,,,32.0,16.0,49.0,3.0,366.0,,0.0,10.0,22.0,3.0,31.0,1.0,584.0,,9.0,6.0,5.0,14.0,0.0
442085,9,2012-10-27 15:00:00,108,Reading,Home,68.0,10.0,1.0,7.0,6.0,2.0,3.0,137.0,5.0,,3.0,5.0,5.0,14.0,198.0,,,9.0,28.0,11.0,7.0,2.0,,1.0,,1.0,,,1.0,,,,9.0,,,,4.0,11.0,8.0,,,39.0,51.0,2.0,2.0,2.0,4.0,1.0,4.0,,,6.0,12.0,11.0,,8.0,,53.0,40.0,4.0,22.0,14.0,,,68.0,6.0,16.0,,,6.0,5.0,1.0,127.0,2.0,,1.0,2.0,,,9.0,2.0,1.0,,19.0,,17.0,14.0,2.0,3.0,64.0,85.0,38.0,8.0,3.0,5.0,6.0,8.0,,5.0,2.0,52.0,66.0,23.0,,,,,156.0,148.0,2.0,17.0,23.0,34.1,,2.0,0.0,58.0,3.0,,,,1.0,6.0,,,3.0,61.0,,11.0,73.0,25.0,30.0,9.0,6.0,34.0,28.0,1.0,112.0,13.0,249.0,1.0,,34.0,5.0,39.0,1.0,288.0,,0.0,15.0,11.0,,11.0,1.0,480.0,,7.0,2.0,6.0,6.0,0.0
442093,10,2012-11-04 13:30:00,108,Reading,Away,58.0,5.0,4.0,6.0,2.0,7.0,2.0,134.0,4.0,2.0,1.0,7.0,18.0,17.0,186.0,2.0,1.0,27.0,26.0,21.0,11.0,4.0,,1.0,,1.0,,,1.0,,,,10.0,,1.0,,2.0,8.0,15.0,,,43.0,57.0,,,,7.0,5.0,13.0,,,8.0,12.0,5.0,1.0,5.0,3.0,79.0,57.0,4.0,29.0,18.0,1.0,,78.0,17.0,11.0,,,4.0,3.0,1.0,139.0,,,,,,,12.0,,2.0,1.0,27.0,1.0,16.0,13.0,2.0,1.0,49.0,82.0,32.0,8.0,,8.0,7.0,3.0,,5.0,1.0,103.0,31.0,19.0,,,,,183.0,165.0,4.0,21.0,22.0,43.9,1.0,2.0,0.0,48.0,1.0,4.0,,1.0,1.0,11.0,1.0,,3.0,81.0,,15.0,72.0,17.0,44.0,30.0,7.0,27.0,20.0,1.0,137.0,21.0,234.0,2.0,2.0,35.0,19.0,45.0,4.0,279.0,2.0,0.0,19.0,15.0,1.0,32.0,2.0,533.0,,8.0,10.0,8.0,13.0,0.0
