matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694902,1,2013-08-18 16:00:00,88,Hull,Away,263.0,20.0,,3.0,3.0,1.0,,160.0,4.0,1.0,2.0,2.0,35.0,24.0,420.0,,,23.0,27.0,13.0,5.0,,,,,,,,1.0,,,,,5.0,,,,,,,11.0,13.0,10.0,,,92.0,57.0,,,,1.0,18.0,4.0,5.0,,1.0,1.0,9.0,14.0,,7.0,4.0,60.0,53.0,1.0,18.0,12.0,,2.0,57.0,16.0,7.0,,,3.0,2.0,1.0,171.0,,,,,,,14.0,,,,12.0,,19.0,19.0,1.0,2.0,108.0,83.0,44.0,5.0,,1.0,4.0,2.0,491.0,7.0,1.0,,48.0,53.0,17.0,,1.0,1.0,1.0,,147.0,147.0,3.0,27.0,22.0,48.6,,,18.0,0.0,131.0,4.0,,4.0,,1.0,,1.0,,3.0,66.0,412.0,9.0,5.0,295.0,34.0,18.0,24.0,1.0,26.0,25.0,,98.0,8.0,233.0,,2.0,14.0,37.0,47.0,2.0,502.0,,0.0,7.0,16.0,1.0,26.0,1.0,710.0,,12.0,17.0,1.0,14.0,0.0
694915,2,2013-08-24 15:00:00,88,Hull,Home,124.0,10.0,1.0,1.0,,1.0,,168.0,3.0,,3.0,4.0,21.0,22.0,291.0,,1.0,6.0,10.0,9.0,5.0,1.0,,,,,,,,,,,,5.0,1.0,,,,,,8.0,3.0,10.0,,,61.0,63.0,,,1.0,1.0,19.0,,8.0,,,1.0,5.0,4.0,,6.0,1.0,43.0,52.0,,26.0,16.0,,1.0,58.0,15.0,19.0,,,4.0,4.0,,144.0,,,,,,,12.0,,4.0,1.0,17.0,,18.0,18.0,,3.0,82.0,73.0,33.0,5.0,1.0,5.0,1.0,2.0,336.0,2.0,3.0,,33.0,91.0,18.0,,,,,1.0,127.0,124.0,1.0,27.0,23.0,38.7,,,19.0,0.0,73.0,1.0,3.0,4.0,,1.0,,5.0,,3.0,74.0,275.0,13.0,6.0,138.0,25.0,28.0,16.0,1.0,14.0,13.0,3.0,115.0,5.0,236.0,4.0,,13.0,25.0,42.0,1.0,360.0,,1.0,7.0,19.0,2.0,13.0,1.0,567.0,,9.0,9.0,1.0,12.0,0.0
694925,3,2013-08-31 12:45:00,88,Hull,Away,140.0,20.0,,3.0,3.0,2.0,,135.0,7.0,1.0,1.0,4.0,15.0,21.0,272.0,,1.0,18.0,19.0,19.0,3.0,,,,,,,,,,,,1.0,6.0,,,,,,1.0,8.0,9.0,3.0,,,56.0,55.0,,1.0,,2.0,20.0,1.0,4.0,,,4.0,7.0,5.0,,11.0,1.0,55.0,57.0,2.0,23.0,11.0,,,65.0,14.0,15.0,,,1.0,2.0,,158.0,,,,,,,9.0,,,,11.0,,13.0,13.0,,1.0,85.0,79.0,44.0,7.0,,1.0,2.0,2.0,357.0,1.0,,,41.0,43.0,16.0,,,,,,156.0,156.0,,22.0,28.0,41.8,,1.0,20.0,0.0,77.0,4.0,,4.0,,1.0,,4.0,,2.0,57.0,259.0,11.0,3.0,169.0,34.0,23.0,14.0,4.0,18.0,14.0,,105.0,12.0,225.0,,1.0,25.0,17.0,47.0,1.0,376.0,,0.0,7.0,19.0,4.0,26.0,3.0,568.0,,8.0,7.0,4.0,13.0,0.0
694934,4,2013-09-14 15:00:00,88,Hull,Home,173.0,10.0,1.0,10.0,9.0,2.0,1.0,158.0,3.0,2.0,2.0,5.0,29.0,23.0,321.0,,,26.0,24.0,19.0,11.0,1.0,,,,,,,1.0,,,,,12.0,,,,,,3.0,2.0,3.0,7.0,,,82.0,54.0,1.0,1.0,1.0,,8.0,8.0,6.0,,,6.0,5.0,14.0,1.0,6.0,,46.0,45.0,,34.0,21.0,,,71.0,7.0,8.0,,,3.0,2.0,1.0,147.0,1.0,,1.0,,1.0,,6.0,,,,21.0,,18.0,18.0,1.0,2.0,94.0,86.0,33.0,2.0,,3.0,10.0,5.0,415.0,5.0,,,55.0,54.0,33.0,,,,,,149.0,149.0,,21.0,24.0,46.0,,2.0,8.0,0.0,105.0,,1.0,1.0,,2.0,,5.0,,1.0,60.0,313.0,6.0,13.0,191.0,29.0,34.0,9.0,6.0,27.0,21.0,,114.0,11.0,264.0,,2.0,35.0,29.0,60.0,2.0,428.0,,0.0,18.0,13.0,2.0,30.0,1.0,627.0,,6.0,5.0,6.0,6.0,0.0
694946,5,2013-09-21 15:00:00,88,Hull,Away,154.0,12.0,1.0,4.0,3.0,2.0,1.0,122.0,5.0,,3.0,5.0,11.0,27.0,272.0,,1.0,16.0,21.0,16.0,5.0,1.0,,,,,,,,,,,,10.0,,,,,,1.0,4.0,6.0,9.0,,,48.0,56.0,2.0,2.0,,2.0,14.0,6.0,10.0,,,3.0,4.0,5.0,,13.0,,56.0,60.0,2.0,37.0,26.0,,,47.0,8.0,11.0,1.0,,4.0,1.0,,128.0,3.0,1.0,3.0,2.0,1.0,,11.0,2.0,2.0,,26.0,,20.0,20.0,1.0,3.0,89.0,74.0,39.0,3.0,2.0,1.0,8.0,5.0,320.0,6.0,4.0,,60.0,31.0,11.0,,,,,,133.0,133.0,1.0,23.0,21.0,38.7,,1.0,14.0,0.0,75.0,,,,,,,1.0,,3.0,43.0,258.0,6.0,9.0,173.0,17.0,37.0,9.0,3.0,13.0,10.0,,67.0,8.0,180.0,2.0,,30.0,12.0,51.0,5.0,340.0,,0.0,12.0,28.0,1.0,23.0,1.0,569.0,,17.0,5.0,3.0,21.0,0.0
694954,6,2013-09-28 15:00:00,88,Hull,Home,98.0,14.0,2.0,5.0,3.0,3.0,1.0,136.0,2.0,,2.0,6.0,13.0,24.0,229.0,,,14.0,11.0,19.0,3.0,3.0,,,,,,1.0,2.0,,1.0,,,4.0,1.0,,,1.0,,2.0,1.0,11.0,7.0,,,54.0,45.0,,,1.0,4.0,13.0,3.0,7.0,1.0,,6.0,9.0,6.0,,16.0,2.0,42.0,49.0,4.0,44.0,22.0,,,72.0,11.0,12.0,,,5.0,2.0,2.0,131.0,,,,,,,11.0,,,,22.0,3.0,6.0,6.0,1.0,2.0,52.0,85.0,37.0,6.0,1.0,3.0,3.0,4.0,294.0,6.0,2.0,,36.0,75.0,17.0,,,,,1.0,145.0,145.0,2.0,16.0,16.0,41.1,1.0,2.0,14.0,0.0,75.0,4.0,2.0,5.0,,1.0,,4.0,1.0,3.0,56.0,221.0,11.0,6.0,114.0,24.0,44.0,2.0,6.0,23.0,17.0,,104.0,9.0,221.0,,,28.0,15.0,52.0,2.0,312.0,,0.0,11.0,18.0,,19.0,1.0,520.0,,10.0,2.0,6.0,9.0,0.0
694963,7,2013-10-05 15:00:00,88,Hull,Home,124.0,17.0,,5.0,5.0,1.0,1.0,153.0,4.0,,2.0,3.0,7.0,21.0,272.0,,,21.0,15.0,24.0,3.0,1.0,,,,,,,,,,,,4.0,,,,,,1.0,4.0,8.0,10.0,,,67.0,38.0,,,,,13.0,1.0,14.0,,,7.0,10.0,17.0,,11.0,2.0,56.0,49.0,,28.0,19.0,,2.0,75.0,7.0,9.0,,2.0,2.0,4.0,,147.0,,,,,,,9.0,,,,19.0,,7.0,7.0,1.0,2.0,72.0,88.0,43.0,7.0,,3.0,1.0,1.0,351.0,7.0,2.0,,44.0,89.0,34.0,,,,,,168.0,168.0,,16.0,19.0,45.7,,,13.0,0.0,81.0,1.0,3.0,4.0,,,,4.0,,3.0,64.0,264.0,8.0,4.0,141.0,40.0,28.0,11.0,4.0,35.0,31.0,,116.0,7.0,261.0,1.0,,23.0,8.0,52.0,1.0,367.0,1.0,0.0,6.0,14.0,,26.0,2.0,559.0,,8.0,2.0,7.0,10.0,0.0
694974,8,2013-10-19 15:00:00,88,Hull,Away,114.0,6.0,6.0,9.0,3.0,2.0,,107.0,6.0,,1.0,5.0,9.0,7.0,212.0,,1.0,15.0,16.0,21.0,3.0,4.0,,,,,,,,,,,,3.0,,,,,,1.0,4.0,10.0,4.0,,,40.0,56.0,2.0,2.0,,1.0,22.0,3.0,13.0,,3.0,7.0,6.0,6.0,,19.0,1.0,63.0,57.0,1.0,25.0,13.0,,,55.0,17.0,6.0,1.0,,,1.0,,131.0,1.0,,1.0,1.0,,,6.0,1.0,1.0,1.0,13.0,,15.0,15.0,2.0,1.0,66.0,73.0,26.0,5.0,,5.0,3.0,1.0,288.0,2.0,1.0,,28.0,56.0,15.0,,,,,,139.0,139.0,1.0,30.0,19.0,33.1,,,22.0,0.0,67.0,3.0,1.0,4.0,,1.0,,5.0,1.0,3.0,48.0,205.0,13.0,8.0,134.0,17.0,25.0,7.0,7.0,20.0,13.0,,87.0,11.0,190.0,1.0,,33.0,10.0,41.0,1.0,304.0,,0.0,9.0,24.0,1.0,20.0,1.0,496.0,,10.0,7.0,7.0,20.0,0.0
694990,9,2013-10-27 16:00:00,88,Hull,Away,106.0,14.0,1.0,3.0,2.0,3.0,1.0,89.0,4.0,,2.0,5.0,4.0,21.0,192.0,,,12.0,16.0,10.0,5.0,1.0,1.0,,,1.0,,1.0,2.0,,,,,3.0,,,,,,3.0,3.0,5.0,10.0,6.0,4.0,32.0,63.0,,1.0,,5.0,12.0,2.0,13.0,,1.0,4.0,6.0,1.0,,15.0,3.0,54.0,53.0,5.0,23.0,7.0,,,66.0,10.0,13.0,,,4.0,5.0,2.0,130.0,,,,,,,8.0,,,3.0,7.0,,13.0,13.0,1.0,2.0,65.0,68.0,29.0,6.0,,2.0,4.0,4.0,257.0,3.0,1.0,,25.0,60.0,27.0,1.0,1.0,1.0,,,134.0,134.0,2.0,35.0,21.0,33.8,,,12.0,0.0,49.0,1.0,4.0,5.0,,1.0,,4.0,,3.0,41.0,182.0,8.0,6.0,120.0,30.0,23.0,8.0,4.0,16.0,12.0,,88.0,10.0,172.0,,,23.0,5.0,55.0,1.0,276.0,,0.0,10.0,27.0,,19.0,3.0,462.0,12.0,9.0,4.0,4.0,21.0,0.0
694994,10,2013-11-02 15:00:00,88,Hull,Home,152.0,10.0,2.0,9.0,7.0,2.0,1.0,354.0,4.0,,3.0,4.0,18.0,40.0,497.0,,,28.0,21.0,16.0,18.0,2.0,2.0,,,,,,1.0,,,,,22.0,,,,1.0,,,6.0,3.0,6.0,7.0,18.0,89.0,41.0,,,,1.0,11.0,11.0,,,,4.0,22.0,19.0,,12.0,,54.0,42.0,1.0,9.0,4.0,,,75.0,17.0,11.0,,,2.0,2.0,1.0,182.0,,,,,,,7.0,,1.0,,4.0,1.0,6.0,6.0,,3.0,150.0,82.0,48.0,2.0,,11.0,9.0,2.0,562.0,2.0,2.0,,114.0,124.0,53.0,,,,,,154.0,154.0,2.0,12.0,19.0,70.0,1.0,,11.0,0.0,160.0,1.0,,1.0,,,,12.0,,3.0,169.0,487.0,4.0,20.0,173.0,20.0,9.0,11.0,4.0,47.0,43.0,,207.0,6.0,455.0,1.0,,21.0,19.0,66.0,3.0,581.0,,0.0,25.0,11.0,,32.0,2.0,770.0,22.0,5.0,5.0,4.0,9.0,0.0
