matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755309,1,2014-08-16 15:00:00,88,Hull,Away,161.0,14.0,3.0,5.0,2.0,2.0,,133.0,3.0,3.0,4.0,8.0,17.0,25.0,289.0,,,21.0,30.0,15.0,7.0,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,7.0,,,,,5.0,12.0,7.0,,,58.0,69.0,1.0,1.0,,5.0,9.0,4.0,8.0,1.0,1.0,9.0,7.0,3.0,1.0,10.0,1.0,60.0,44.0,5.0,56.0,34.0,,,58.0,10.0,10.0,,,2.0,1.0,1.0,140.0,1.0,1.0,1.0,,1.0,,9.0,,2.0,1.0,34.0,,13.0,13.0,1.0,5.0,88.0,73.0,28.0,8.0,,2.0,7.0,4.0,360.0,7.0,2.0,41.0,75.0,16.0,,1.0,1.0,1.0,,142.0,142.0,2.0,33.0,21.0,49.0,,2.0,9.0,0.0,96.0,4.0,2.0,5.0,,,1.0,3.0,,3.0,60.0,279.0,7.0,9.0,180.0,26.0,56.0,8.0,9.0,20.0,11.0,1.0,107.0,9.0,222.0,2.0,3.0,35.0,20.0,72.0,2.0,382.0,,0.0,11.0,17.0,,26.0,2.0,600.0,,10.0,4.0,9.0,14.0,0.0
755317,2,2014-08-24 13:30:00,88,Hull,Home,124.0,13.0,,,,,,155.0,3.0,,1.0,4.0,10.0,23.0,279.0,,,21.0,29.0,22.0,5.0,,,,,,,,,,,,,8.0,,,,1.0,3.0,12.0,7.0,,,57.0,69.0,,,1.0,4.0,16.0,4.0,7.0,,,4.0,11.0,5.0,,11.0,1.0,59.0,58.0,4.0,39.0,27.0,,,58.0,10.0,10.0,1.0,,1.0,,,154.0,,,,,,,14.0,1.0,2.0,1.0,27.0,,11.0,11.0,3.0,1.0,74.0,81.0,28.0,5.0,,1.0,4.0,2.0,338.0,5.0,4.0,53.0,73.0,12.0,,,,,,144.0,144.0,1.0,38.0,16.0,42.7,,,16.0,0.0,93.0,1.0,1.0,2.0,,,,3.0,,3.0,57.0,261.0,13.0,5.0,137.0,27.0,39.0,12.0,2.0,18.0,16.0,,106.0,7.0,259.0,2.0,,28.0,13.0,77.0,,378.0,,1.0,9.0,19.0,,24.0,1.0,576.0,,4.0,7.0,4.0,17.0,0.0
755323,3,2014-08-31 13:30:00,88,Hull,Away,278.0,21.0,,5.0,5.0,4.0,2.0,193.0,3.0,1.0,3.0,11.0,9.0,43.0,466.0,,,23.0,15.0,17.0,6.0,,,,,,,1.0,,,,,,6.0,,,,1.0,8.0,7.0,4.0,,,70.0,56.0,,,,4.0,9.0,3.0,5.0,,,7.0,16.0,8.0,,7.0,1.0,41.0,42.0,4.0,37.0,25.0,,1.0,68.0,10.0,9.0,1.0,,3.0,3.0,1.0,156.0,1.0,,1.0,,1.0,,6.0,,1.0,,25.0,,18.0,18.0,,3.0,161.0,77.0,51.0,3.0,,3.0,4.0,3.0,525.0,1.0,3.0,64.0,75.0,28.0,,,,,,131.0,131.0,4.0,27.0,20.0,55.2,,,9.0,0.0,156.0,2.0,,2.0,,,,3.0,,3.0,90.0,454.0,7.0,7.0,293.0,45.0,37.0,8.0,6.0,33.0,27.0,,134.0,11.0,283.0,1.0,1.0,29.0,10.0,76.0,2.0,543.0,,0.0,9.0,13.0,,23.0,4.0,737.0,,9.0,3.0,7.0,11.0,0.0
755336,4,2014-09-15 20:00:00,88,Hull,Home,146.0,24.0,1.0,6.0,5.0,,,115.0,1.0,,3.0,10.0,10.0,27.0,255.0,,,15.0,18.0,17.0,6.0,,,,,,,,,,,,,10.0,,1.0,,,6.0,7.0,10.0,,,69.0,65.0,,,,1.0,18.0,1.0,16.0,1.0,,3.0,11.0,8.0,,12.0,2.0,60.0,66.0,1.0,50.0,29.0,,,65.0,12.0,7.0,1.0,,,,,114.0,1.0,,1.0,1.0,,,7.0,2.0,1.0,1.0,29.0,1.0,29.0,29.0,4.0,3.0,82.0,65.0,27.0,10.0,1.0,3.0,4.0,6.0,314.0,9.0,2.0,56.0,36.0,13.0,,,,,,125.0,125.0,4.0,26.0,30.0,40.9,1.0,2.0,18.0,0.0,67.0,2.0,1.0,3.0,,,,4.0,,3.0,63.0,245.0,12.0,7.0,156.0,38.0,50.0,12.0,3.0,22.0,19.0,,113.0,4.0,198.0,1.0,,31.0,11.0,66.0,1.0,332.0,,0.0,11.0,34.0,,16.0,3.0,579.0,,12.0,8.0,3.0,23.0,0.0
755348,5,2014-09-20 15:00:00,88,Hull,Away,144.0,17.0,,2.0,2.0,4.0,,110.0,4.0,1.0,3.0,5.0,7.0,25.0,252.0,1.0,,18.0,28.0,25.0,4.0,2.0,,,,,,,1.0,,,,,6.0,,,,4.0,6.0,13.0,12.0,,,44.0,67.0,,1.0,,2.0,23.0,2.0,9.0,,,2.0,7.0,1.0,,8.0,2.0,59.0,54.0,2.0,52.0,25.0,,,38.0,11.0,11.0,1.0,,4.0,3.0,,128.0,2.0,,1.0,2.0,,,8.0,2.0,4.0,,25.0,,23.0,23.0,5.0,3.0,82.0,64.0,31.0,4.0,1.0,3.0,5.0,3.0,316.0,9.0,,35.0,34.0,8.0,,,,,,127.0,127.0,4.0,35.0,19.0,37.0,,1.0,23.0,0.0,88.0,5.0,,5.0,,1.0,,5.0,,3.0,49.0,239.0,12.0,8.0,180.0,27.0,52.0,9.0,2.0,13.0,11.0,,81.0,11.0,175.0,4.0,1.0,32.0,8.0,62.0,5.0,342.0,2.0,0.0,10.0,16.0,,23.0,2.0,550.0,,2.0,3.0,2.0,14.0,0.0
755356,6,2014-09-27 15:00:00,88,Hull,Home,196.0,22.0,,4.0,4.0,2.0,,175.0,4.0,,2.0,9.0,5.0,34.0,367.0,,,12.0,10.0,16.0,6.0,,,,,,,,,,,,,9.0,1.0,,,,6.0,13.0,7.0,,,69.0,58.0,1.0,1.0,1.0,1.0,16.0,1.0,15.0,,,3.0,14.0,10.0,,8.0,1.0,45.0,52.0,1.0,29.0,14.0,,,41.0,10.0,6.0,1.0,,1.0,,,136.0,,,,,,,9.0,,,,14.0,,21.0,21.0,3.0,2.0,118.0,60.0,43.0,8.0,,1.0,5.0,5.0,412.0,5.0,3.0,33.0,59.0,21.0,,,,,1.0,112.0,112.0,4.0,27.0,23.0,40.3,,,16.0,0.0,111.0,1.0,1.0,2.0,,1.0,,4.0,,3.0,56.0,352.0,11.0,7.0,209.0,31.0,29.0,13.0,3.0,27.0,24.0,,93.0,12.0,252.0,,,16.0,6.0,52.0,,434.0,,0.0,10.0,20.0,,14.0,0.0,618.0,,6.0,10.0,3.0,15.0,0.0
755365,7,2014-10-04 15:00:00,88,Hull,Home,258.0,21.0,1.0,4.0,3.0,1.0,,177.0,5.0,,4.0,5.0,8.0,37.0,431.0,,,18.0,20.0,30.0,10.0,1.0,,1.0,,,,1.0,,,,,,12.0,,,,1.0,5.0,4.0,7.0,,,74.0,68.0,1.0,,1.0,1.0,17.0,7.0,12.0,1.0,,6.0,10.0,5.0,,12.0,1.0,57.0,66.0,1.0,51.0,39.0,,,69.0,6.0,14.0,1.0,,1.0,,1.0,168.0,2.0,,2.0,2.0,,1.0,8.0,2.0,1.0,,39.0,,23.0,23.0,,4.0,145.0,88.0,42.0,7.0,1.0,6.0,7.0,2.0,495.0,5.0,5.0,74.0,48.0,15.0,,,,,,138.0,138.0,1.0,25.0,36.0,59.1,,1.0,17.0,0.0,132.0,1.0,1.0,1.0,,1.0,1.0,6.0,,3.0,70.0,419.0,12.0,13.0,271.0,38.0,51.0,10.0,6.0,21.0,15.0,2.0,121.0,4.0,269.0,1.0,,30.0,8.0,80.0,,519.0,,0.0,15.0,21.0,,22.0,1.0,743.0,,4.0,2.0,6.0,17.0,0.0
755373,8,2014-10-18 15:00:00,88,Hull,Away,203.0,18.0,,1.0,1.0,2.0,,82.0,3.0,,2.0,8.0,8.0,28.0,284.0,1.0,,16.0,15.0,16.0,1.0,1.0,,1.0,,,,,,,,,1.0,3.0,,,,1.0,9.0,16.0,9.0,,,55.0,71.0,,,1.0,2.0,17.0,,19.0,,,,2.0,,,11.0,6.0,66.0,56.0,2.0,38.0,17.0,,,27.0,13.0,9.0,1.0,,,,,126.0,1.0,,1.0,1.0,,,7.0,2.0,,,17.0,,16.0,16.0,2.0,2.0,100.0,58.0,26.0,10.0,1.0,,3.0,4.0,353.0,10.0,5.0,21.0,46.0,3.0,,,,,,130.0,130.0,2.0,46.0,14.0,34.2,,1.0,17.0,0.0,94.0,4.0,3.0,7.0,,,1.0,,,3.0,17.0,270.0,7.0,3.0,245.0,27.0,38.0,15.0,,2.0,2.0,1.0,41.0,7.0,132.0,,,38.0,9.0,66.0,,375.0,1.0,0.0,4.0,27.0,,17.0,2.0,568.0,,11.0,5.0,,19.0,0.0
755384,9,2014-10-25 15:00:00,88,Hull,Away,98.0,12.0,,1.0,1.0,2.0,,111.0,4.0,1.0,2.0,10.0,8.0,28.0,208.0,1.0,,13.0,13.0,15.0,4.0,,,,,,,,,,,,,6.0,,,,,10.0,6.0,11.0,,,43.0,62.0,,,,4.0,15.0,1.0,20.0,1.0,,1.0,8.0,,,10.0,2.0,70.0,56.0,4.0,47.0,25.0,,,47.0,17.0,10.0,,,,,,132.0,,,,,,,12.0,,1.0,,25.0,,26.0,26.0,3.0,2.0,61.0,81.0,38.0,14.0,,2.0,2.0,3.0,260.0,8.0,4.0,30.0,66.0,7.0,,,,,,129.0,129.0,3.0,30.0,20.0,34.1,,2.0,15.0,0.0,52.0,2.0,2.0,3.0,,1.0,,2.0,,3.0,48.0,196.0,9.0,4.0,111.0,20.0,47.0,19.0,,8.0,8.0,,84.0,10.0,185.0,1.0,1.0,41.0,8.0,73.0,1.0,288.0,1.0,0.0,6.0,24.0,,13.0,2.0,506.0,,16.0,8.0,1.0,19.0,0.0
755398,10,2014-11-01 15:00:00,88,Hull,Home,179.0,23.0,3.0,7.0,4.0,4.0,1.0,200.0,1.0,1.0,2.0,9.0,5.0,36.0,372.0,,,25.0,20.0,14.0,6.0,2.0,,,,,,,,,,,,6.0,,,,,3.0,7.0,3.0,,,66.0,66.0,,,,,15.0,3.0,4.0,,,7.0,9.0,8.0,,20.0,2.0,58.0,45.0,,26.0,15.0,1.0,,78.0,6.0,8.0,,,2.0,1.0,,167.0,,,,,,,5.0,,,,15.0,,13.0,13.0,,2.0,119.0,74.0,29.0,4.0,,4.0,4.0,1.0,454.0,1.0,3.0,63.0,63.0,23.0,,,,,,167.0,167.0,2.0,33.0,25.0,47.2,,,15.0,0.0,121.0,2.0,,2.0,,,,4.0,,3.0,94.0,363.0,9.0,8.0,198.0,41.0,26.0,19.0,6.0,24.0,18.0,,141.0,15.0,299.0,,2.0,36.0,7.0,84.0,1.0,473.0,1.0,0.0,8.0,13.0,,29.0,1.0,672.0,,12.0,10.0,7.0,12.0,0.0
