matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803169,1.0,2015-08-08 12:45:00,6,Spurs,Away,258.0,22.0,1.0,2.0,1.0,5.0,1.0,135.0,7.0,,4.0,7.0,9.0,33.0,391.0,,,18.0,8.0,11.0,5.0,2.0,,,,,,,,1.0,,,,1.0,5.0,,,,,2.0,10.0,6.0,4.0,,,,79.0,66.0,1.0,1.0,,,20.0,3.0,2.0,,,2.0,5.0,3.0,,13.0,,43.0,55.0,,13.0,9.0,,1.0,,,,,,58.0,12.0,12.0,,,3.0,2.0,,147.0,,,,,,,7.0,,,,1.0,,,,,12.0,,29.0,29.0,1.0,4.0,120.0,78.0,42.0,1.0,,1.0,6.0,4.0,467.0,,,4.0,,1.0,42.0,39.0,31.0,,,,,151.0,144.0,5.0,27.0,29.0,50.0,,,20.0,0.0,,,,141.0,1.0,,1.0,1.0,,2.0,1.0,3.0,52.0,372.0,8.0,7.0,285.0,42.0,20.0,14.0,2.0,12.0,10.0,,98.0,7.0,214.0,1.0,,31.0,9.0,74.0,2.0,487.0,,0.0,9.0,26.0,2.0,24.0,3.0,679.0,,9.0,6.0,2.0,25.0,0.0
803180,2.0,2015-08-15 15:00:00,6,Spurs,Home,242.0,13.0,1.0,3.0,2.0,2.0,,168.0,3.0,,4.0,5.0,16.0,27.0,407.0,,,29.0,13.0,17.0,6.0,,,,,,,1.0,1.0,,,,,,11.0,,,,,,4.0,11.0,4.0,,,,78.0,49.0,4.0,3.0,1.0,,12.0,4.0,9.0,,,4.0,4.0,5.0,,8.0,4.0,56.0,53.0,,11.0,6.0,,1.0,,,,,,61.0,15.0,11.0,,,2.0,1.0,1.0,176.0,2.0,1.0,2.0,1.0,1.0,,10.0,,,1.0,1.0,,,,,10.0,,16.0,16.0,2.0,4.0,124.0,88.0,50.0,3.0,2.0,2.0,6.0,7.0,473.0,,,2.0,1.0,,70.0,44.0,26.0,1.0,1.0,1.0,,148.0,142.0,3.0,16.0,23.0,53.2,,1.0,12.0,0.0,,,,122.0,4.0,1.0,5.0,1.0,,2.0,,2.0,58.0,391.0,5.0,9.0,267.0,29.0,17.0,20.0,4.0,14.0,10.0,,104.0,5.0,247.0,1.0,,33.0,17.0,74.0,3.0,500.0,,0.0,13.0,16.0,1.0,35.0,2.0,687.0,,9.0,9.0,4.0,11.0,0.0
803191,3.0,2015-08-22 15:00:00,6,Spurs,Away,200.0,17.0,3.0,5.0,2.0,2.0,,245.0,3.0,2.0,1.0,3.0,8.0,32.0,440.0,,2.0,22.0,16.0,25.0,12.0,3.0,,,,,,,,,,,,,15.0,,,,,,11.0,7.0,6.0,,,,68.0,48.0,2.0,1.0,1.0,2.0,8.0,4.0,11.0,,,7.0,7.0,6.0,,12.0,,60.0,53.0,2.0,34.0,22.0,,1.0,,,,,,73.0,14.0,7.0,,,,,,162.0,1.0,,1.0,1.0,,,5.0,,,1.0,,,,,,28.0,,8.0,8.0,,1.0,137.0,70.0,49.0,2.0,,8.0,8.0,6.0,505.0,,,6.0,3.0,,84.0,86.0,24.0,,,,,138.0,131.0,5.0,24.0,17.0,65.2,,,8.0,0.0,,,,156.0,1.0,,1.0,,,9.0,,3.0,126.0,425.0,4.0,16.0,226.0,30.0,41.0,18.0,5.0,18.0,13.0,,164.0,4.0,315.0,,2.0,19.0,10.0,61.0,,523.0,,0.0,19.0,11.0,2.0,26.0,4.0,715.0,,9.0,11.0,7.0,8.0,0.0
803194,4.0,2015-08-29 17:30:00,6,Spurs,Home,171.0,17.0,1.0,3.0,2.0,3.0,,204.0,7.0,,4.0,4.0,11.0,29.0,372.0,,1.0,14.0,11.0,16.0,17.0,1.0,,1.0,,,,,,,,,,2.0,19.0,,,,,,11.0,4.0,4.0,,,,65.0,66.0,3.0,3.0,,3.0,14.0,6.0,8.0,,,6.0,15.0,4.0,,12.0,1.0,55.0,54.0,3.0,14.0,7.0,,1.0,,,,,,56.0,20.0,9.0,,,,,,134.0,,,,,,,8.0,,,,,,,,1.0,9.0,,13.0,13.0,1.0,4.0,108.0,66.0,41.0,2.0,,7.0,11.0,6.0,416.0,,,1.0,4.0,,48.0,64.0,35.0,,,,,129.0,126.0,1.0,23.0,34.0,49.9,,,14.0,0.0,,,,133.0,1.0,2.0,3.0,1.0,1.0,8.0,,2.0,119.0,351.0,6.0,18.0,188.0,28.0,17.0,10.0,3.0,22.0,19.0,1.0,151.0,9.0,274.0,,,17.0,13.0,57.0,3.0,440.0,2.0,0.0,20.0,25.0,1.0,16.0,4.0,624.0,,13.0,5.0,6.0,19.0,0.0
803211,5.0,2015-09-13 13:30:00,6,Spurs,Away,136.0,25.0,1.0,2.0,1.0,2.0,,193.0,3.0,2.0,6.0,6.0,12.0,33.0,327.0,,1.0,27.0,25.0,9.0,12.0,,,,,,,,,,,,,1.0,13.0,,,,,,4.0,6.0,6.0,,,,50.0,59.0,3.0,2.0,1.0,6.0,14.0,5.0,8.0,,1.0,8.0,11.0,3.0,,18.0,1.0,65.0,55.0,6.0,25.0,9.0,,,,,,,,73.0,12.0,11.0,,,2.0,2.0,,152.0,1.0,,1.0,1.0,,,9.0,,,1.0,1.0,,,,,12.0,,15.0,15.0,3.0,6.0,102.0,77.0,42.0,6.0,1.0,6.0,7.0,4.0,386.0,,,5.0,2.0,,58.0,50.0,34.0,,,,,156.0,150.0,1.0,22.0,28.0,56.1,,1.0,14.0,0.0,,,,107.0,1.0,1.0,2.0,1.0,,6.0,,3.0,99.0,313.0,3.0,13.0,154.0,38.0,31.0,13.0,6.0,22.0,16.0,,142.0,2.0,279.0,2.0,2.0,24.0,12.0,70.0,,411.0,1.0,0.0,15.0,26.0,2.0,30.0,1.0,646.0,,19.0,9.0,8.0,18.0,0.0
803213,6.0,2015-09-20 13:30:00,6,Spurs,Home,149.0,16.0,2.0,3.0,1.0,5.0,,212.0,4.0,1.0,6.0,10.0,16.0,38.0,358.0,,,24.0,18.0,9.0,14.0,2.0,,2.0,,1.0,,1.0,3.0,,,,,,16.0,,,,,,4.0,6.0,6.0,,,,65.0,55.0,,,,2.0,18.0,9.0,10.0,,,6.0,9.0,2.0,,18.0,3.0,68.0,61.0,2.0,21.0,17.0,,,,,,,,65.0,9.0,11.0,,,4.0,1.0,3.0,162.0,1.0,,,1.0,,1.0,5.0,,,1.0,3.0,,,,,18.0,,18.0,18.0,3.0,6.0,108.0,85.0,51.0,5.0,1.0,4.0,13.0,6.0,415.0,,,4.0,,,71.0,49.0,26.0,,,,,156.0,150.0,3.0,20.0,22.0,57.1,,1.0,18.0,0.0,,,,101.0,2.0,2.0,4.0,,2.0,6.0,1.0,3.0,106.0,342.0,12.0,17.0,166.0,22.0,27.0,24.0,5.0,17.0,12.0,3.0,144.0,7.0,287.0,3.0,1.0,32.0,18.0,68.0,3.0,436.0,,0.0,21.0,32.0,,30.0,1.0,698.0,,18.0,11.0,6.0,24.0,0.0
803228,7.0,2015-09-26 12:45:00,6,Spurs,Home,141.0,17.0,1.0,5.0,4.0,1.0,1.0,155.0,5.0,1.0,5.0,9.0,11.0,30.0,291.0,,1.0,21.0,23.0,15.0,7.0,1.0,,,,,1.0,,1.0,,,,,,11.0,,1.0,,,2.0,13.0,13.0,9.0,,,,66.0,57.0,2.0,1.0,2.0,5.0,28.0,4.0,7.0,,1.0,5.0,7.0,5.0,1.0,14.0,4.0,65.0,61.0,5.0,35.0,24.0,,1.0,,,,,,65.0,17.0,5.0,1.0,,2.0,1.0,1.0,176.0,2.0,1.0,2.0,1.0,1.0,,10.0,,,2.0,2.0,,,,,24.0,1.0,26.0,26.0,4.0,5.0,82.0,94.0,45.0,9.0,2.0,1.0,9.0,8.0,382.0,,,8.0,6.0,,55.0,61.0,25.0,,,,,182.0,177.0,3.0,22.0,22.0,46.0,1.0,1.0,28.0,0.0,,,,83.0,3.0,4.0,7.0,1.0,,3.0,1.0,3.0,62.0,278.0,16.0,10.0,166.0,34.0,40.0,17.0,4.0,17.0,13.0,,120.0,7.0,258.0,2.0,1.0,29.0,13.0,72.0,5.0,407.0,2.0,0.0,15.0,28.0,1.0,31.0,5.0,671.0,,10.0,13.0,5.0,16.0,0.0
803238,8.0,2015-10-04 16:00:00,6,Spurs,Away,212.0,17.0,2.0,2.0,,,,198.0,6.0,2.0,5.0,4.0,21.0,27.0,408.0,,,11.0,18.0,5.0,14.0,1.0,,2.0,2.0,,,1.0,3.0,1.0,,,,,15.0,,,,,,6.0,8.0,4.0,,,,69.0,62.0,1.0,1.0,,2.0,10.0,4.0,8.0,,,6.0,15.0,4.0,,6.0,1.0,61.0,43.0,2.0,20.0,18.0,,,,,,,,62.0,19.0,8.0,,,4.0,1.0,3.0,160.0,,,,,,,8.0,,,,1.0,,,,,19.0,,19.0,19.0,2.0,5.0,128.0,69.0,42.0,5.0,2.0,4.0,11.0,11.0,466.0,,,4.0,3.0,1.0,72.0,45.0,32.0,,,,,140.0,132.0,4.0,18.0,34.0,54.4,,,10.0,0.0,,,,126.0,1.0,,1.0,1.0,2.0,4.0,,3.0,91.0,395.0,6.0,15.0,227.0,27.0,28.0,25.0,6.0,26.0,20.0,2.0,128.0,4.0,282.0,1.0,2.0,16.0,23.0,45.0,,483.0,,0.0,19.0,17.0,,13.0,4.0,680.0,,10.0,13.0,6.0,17.0,0.0
803246,9.0,2015-10-17 12:45:00,6,Spurs,Home,167.0,13.0,2.0,6.0,4.0,4.0,,143.0,3.0,3.0,5.0,2.0,9.0,26.0,304.0,,,23.0,20.0,14.0,8.0,1.0,,,,,,,,,,,,,10.0,,,,,,7.0,4.0,8.0,,,,58.0,74.0,,,,4.0,27.0,5.0,12.0,,,8.0,9.0,3.0,,19.0,,74.0,78.0,4.0,30.0,15.0,,,,,,,,59.0,15.0,11.0,,,2.0,2.0,,165.0,,,,,,,4.0,,,,1.0,,,,,16.0,,20.0,20.0,2.0,5.0,99.0,79.0,40.0,6.0,,3.0,6.0,4.0,383.0,,,5.0,1.0,,93.0,37.0,26.0,,,,,186.0,180.0,7.0,29.0,27.0,48.5,,,27.0,0.0,,,,85.0,1.0,2.0,3.0,1.0,,4.0,1.0,2.0,66.0,286.0,11.0,9.0,192.0,25.0,36.0,22.0,7.0,21.0,14.0,,111.0,9.0,236.0,1.0,3.0,28.0,10.0,61.0,2.0,407.0,1.0,0.0,13.0,41.0,2.0,31.0,1.0,687.0,,22.0,12.0,8.0,31.0,0.0
803259,10.0,2015-10-25 14:05:00,6,Spurs,Away,180.0,14.0,2.0,4.0,2.0,,,226.0,2.0,,1.0,11.0,10.0,34.0,402.0,,,18.0,12.0,19.0,4.0,3.0,,,,,,,,,,,,1.0,9.0,1.0,,,1.0,2.0,11.0,6.0,5.0,,,,87.0,65.0,1.0,,5.0,,14.0,3.0,8.0,1.0,,5.0,7.0,4.0,,19.0,,63.0,57.0,,19.0,12.0,1.0,,,,,,,60.0,15.0,8.0,3.0,,3.0,,,165.0,1.0,,1.0,1.0,,,7.0,,,2.0,,,,,1.0,13.0,1.0,26.0,26.0,2.0,1.0,117.0,94.0,55.0,4.0,2.0,1.0,7.0,10.0,468.0,,,3.0,,,85.0,62.0,29.0,,,,1.0,151.0,146.0,6.0,19.0,37.0,54.2,1.0,,14.0,0.0,,,,120.0,1.0,1.0,1.0,1.0,,2.0,,3.0,85.0,390.0,5.0,8.0,200.0,34.0,24.0,16.0,4.0,15.0,11.0,,123.0,12.0,304.0,,,26.0,10.0,70.0,5.0,489.0,,0.0,15.0,24.0,1.0,23.0,1.0,691.0,,9.0,6.0,5.0,17.0,0.0
