matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755312,1.0,2014-08-16 15:00:00,6,Spurs,Away,188.0,13.0,,,,1.0,,198.0,8.0,,4.0,3.0,30.0,16.0,386.0,,1.0,13.0,15.0,12.0,7.0,,1.0,,1.0,,1.0,2.0,,,,,,1.0,7.0,,,,,,,4.0,12.0,6.0,,64.0,46.0,1.0,,1.0,5.0,9.0,4.0,5.0,,1.0,5.0,10.0,1.0,1.0,12.0,3.0,45.0,51.0,5.0,27.0,21.0,,,60.0,10.0,12.0,,,3.0,,2.0,185.0,1.0,,1.0,1.0,,,21.0,,,1.0,1.0,,,,2.0,21.0,,11.0,11.0,3.0,4.0,114.0,81.0,46.0,8.0,,1.0,7.0,4.0,446.0,,,3.0,2.0,,52.0,53.0,15.0,,1.0,1.0,,,139.0,139.0,4.0,17.0,20.0,53.4,,1.0,9.0,0.0,,,,119.0,3.0,1.0,4.0,,2.0,1.0,2.0,,3.0,73.0,366.0,3.0,8.0,207.0,28.0,27.0,14.0,2.0,13.0,11.0,1.0,116.0,6.0,288.0,1.0,,18.0,31.0,55.0,,482.0,1.0,1.0,10.0,19.0,3.0,16.0,0.0,650.0,8.0,9.0,5.0,15.0,0.0
755322,2.0,2014-08-24 13:30:00,6,Spurs,Home,365.0,15.0,1.0,3.0,2.0,1.0,,257.0,10.0,1.0,4.0,3.0,23.0,39.0,619.0,1.0,,13.0,9.0,7.0,10.0,,2.0,,,1.0,,1.0,,,,,,,13.0,,,1.0,,,1.0,5.0,7.0,2.0,,112.0,57.0,3.0,,3.0,6.0,13.0,7.0,3.0,,,7.0,12.0,6.0,1.0,9.0,1.0,46.0,52.0,6.0,15.0,12.0,,1.0,58.0,12.0,6.0,1.0,,2.0,,1.0,179.0,4.0,1.0,4.0,3.0,1.0,,11.0,,,3.0,1.0,,,,1.0,12.0,1.0,17.0,17.0,1.0,4.0,192.0,76.0,49.0,6.0,2.0,4.0,10.0,5.0,661.0,,,1.0,1.0,,108.0,53.0,18.0,,,,,,125.0,125.0,5.0,16.0,31.0,65.5,1.0,1.0,13.0,0.0,,,,203.0,1.0,,1.0,,2.0,2.0,6.0,,3.0,106.0,596.0,6.0,14.0,382.0,25.0,15.0,30.0,3.0,21.0,18.0,3.0,137.0,3.0,325.0,1.0,1.0,10.0,24.0,61.0,1.0,686.0,1.0,0.0,18.0,24.0,5.0,15.0,0.0,879.0,12.0,15.0,7.0,19.0,0.0
755331,3.0,2014-08-31 13:30:00,6,Spurs,Home,184.0,17.0,1.0,6.0,5.0,1.0,1.0,300.0,9.0,1.0,3.0,4.0,13.0,46.0,478.0,,1.0,28.0,4.0,13.0,5.0,1.0,,,,,,,,,,,,1.0,5.0,,,,,,,1.0,11.0,6.0,,80.0,53.0,1.0,1.0,,,15.0,2.0,8.0,,1.0,7.0,13.0,3.0,,15.0,3.0,52.0,51.0,,16.0,12.0,1.0,1.0,69.0,14.0,11.0,,,1.0,1.0,,163.0,,,,,,,10.0,,,,,,,,2.0,12.0,,16.0,16.0,1.0,3.0,151.0,85.0,63.0,3.0,,4.0,2.0,1.0,531.0,,,1.0,6.0,,92.0,76.0,21.0,1.0,1.0,1.0,,,164.0,164.0,5.0,14.0,27.0,60.4,,,15.0,0.0,,,,165.0,4.0,1.0,5.0,,1.0,,4.0,,3.0,121.0,452.0,5.0,6.0,200.0,31.0,16.0,23.0,6.0,23.0,17.0,,160.0,5.0,382.0,,1.0,13.0,13.0,67.0,3.0,559.0,,0.0,7.0,17.0,2.0,34.0,0.0,773.0,23.0,10.0,7.0,15.0,0.0
755341,4.0,2014-09-13 15:00:00,6,Spurs,Away,161.0,14.0,1.0,3.0,2.0,3.0,1.0,357.0,2.0,,2.0,11.0,36.0,34.0,515.0,,,18.0,12.0,7.0,12.0,1.0,,,1.0,,,1.0,1.0,,,,,,13.0,,,1.0,1.0,,,5.0,4.0,4.0,,103.0,67.0,1.0,1.0,2.0,6.0,11.0,6.0,11.0,,,5.0,7.0,2.0,,24.0,,63.0,70.0,6.0,18.0,10.0,,,62.0,14.0,16.0,,,4.0,2.0,1.0,172.0,,,,,,,3.0,,,2.0,,,,,1.0,10.0,2.0,19.0,19.0,2.0,2.0,162.0,66.0,53.0,6.0,2.0,3.0,10.0,6.0,572.0,,,3.0,4.0,1.0,74.0,69.0,20.0,,,,,,135.0,135.0,4.0,32.0,29.0,62.0,2.0,,11.0,0.0,,,,156.0,,,,,,,4.0,2.0,3.0,170.0,495.0,1.0,13.0,181.0,24.0,18.0,22.0,4.0,15.0,11.0,,209.0,3.0,427.0,,,20.0,36.0,52.0,1.0,593.0,1.0,0.0,16.0,30.0,4.0,21.0,1.0,807.0,8.0,17.0,5.0,25.0,0.0
755351,5.0,2014-09-21 13:30:00,6,Spurs,Home,212.0,20.0,4.0,9.0,5.0,1.0,,215.0,7.0,,7.0,8.0,17.0,55.0,418.0,,,22.0,9.0,15.0,4.0,3.0,,,,,,,,,,,,,3.0,,,,,,,7.0,5.0,5.0,,58.0,57.0,,,,3.0,24.0,2.0,8.0,,,9.0,22.0,10.0,,12.0,2.0,45.0,50.0,3.0,26.0,15.0,,,65.0,12.0,7.0,,,2.0,1.0,,178.0,,,,,,,9.0,,,,1.0,,,,1.0,15.0,,18.0,18.0,1.0,7.0,144.0,94.0,63.0,7.0,,4.0,3.0,1.0,491.0,,,1.0,3.0,,62.0,95.0,24.0,,,,,,159.0,159.0,1.0,27.0,20.0,61.8,,1.0,24.0,0.0,,,,132.0,,3.0,3.0,,,,4.0,,3.0,90.0,404.0,6.0,7.0,232.0,34.0,26.0,20.0,8.0,41.0,33.0,,140.0,8.0,321.0,1.0,,22.0,21.0,88.0,,512.0,,0.0,7.0,13.0,2.0,26.0,2.0,722.0,9.0,15.0,9.0,12.0,0.0
755353,6.0,2014-09-27 17:30:00,6,Spurs,Away,118.0,10.0,1.0,3.0,2.0,2.0,,86.0,2.0,,10.0,2.0,6.0,16.0,201.0,,2.0,10.0,15.0,9.0,3.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,4.0,,,,,,1.0,7.0,8.0,8.0,,33.0,51.0,1.0,,1.0,7.0,15.0,,16.0,,,5.0,6.0,2.0,,9.0,3.0,63.0,46.0,7.0,44.0,19.0,,,37.0,16.0,7.0,,,1.0,,1.0,117.0,1.0,,1.0,1.0,,,5.0,,,1.0,3.0,,,,,19.0,,21.0,21.0,3.0,10.0,58.0,53.0,21.0,15.0,1.0,2.0,3.0,4.0,263.0,,,7.0,5.0,,44.0,28.0,8.0,,,,,,121.0,121.0,1.0,18.0,17.0,31.4,,2.0,15.0,0.0,,,,71.0,2.0,3.0,5.0,,1.0,1.0,2.0,,3.0,45.0,193.0,9.0,5.0,144.0,16.0,44.0,15.0,5.0,13.0,8.0,4.0,69.0,8.0,148.0,3.0,,25.0,8.0,48.0,2.0,279.0,,0.0,6.0,23.0,2.0,14.0,6.0,490.0,5.0,7.0,5.0,15.0,0.0
755371,7.0,2014-10-05 14:05:00,6,Spurs,Home,107.0,21.0,2.0,2.0,,3.0,,169.0,6.0,2.0,3.0,8.0,14.0,35.0,274.0,,,22.0,10.0,16.0,6.0,1.0,2.0,,,,,,,,,,,,6.0,,,,,1.0,,10.0,4.0,3.0,,50.0,53.0,1.0,1.0,,3.0,16.0,2.0,1.0,,,10.0,12.0,4.0,,21.0,2.0,58.0,54.0,3.0,33.0,17.0,,2.0,64.0,15.0,9.0,,,1.0,2.0,,157.0,1.0,,1.0,1.0,,,8.0,,,1.0,1.0,,,,,17.0,1.0,23.0,23.0,2.0,3.0,85.0,84.0,54.0,5.0,1.0,2.0,6.0,4.0,338.0,,,3.0,2.0,,80.0,42.0,21.0,,,,,,175.0,175.0,,23.0,20.0,46.2,1.0,,16.0,0.0,,,,68.0,1.0,2.0,3.0,,,2.0,3.0,,3.0,73.0,259.0,6.0,8.0,126.0,33.0,33.0,21.0,9.0,27.0,18.0,2.0,116.0,13.0,261.0,1.0,2.0,24.0,15.0,62.0,6.0,360.0,,0.0,9.0,20.0,1.0,35.0,2.0,599.0,10.0,9.0,10.0,16.0,0.0
755377,8.0,2014-10-18 12:45:00,6,Spurs,Away,125.0,10.0,,2.0,2.0,1.0,,164.0,5.0,,5.0,5.0,17.0,15.0,287.0,,,12.0,6.0,6.0,11.0,,,,1.0,,,3.0,,,,,,1.0,14.0,,1.0,,,,,5.0,17.0,3.0,,46.0,67.0,3.0,3.0,1.0,3.0,19.0,8.0,15.0,,3.0,4.0,8.0,1.0,,9.0,5.0,49.0,56.0,3.0,18.0,9.0,,,43.0,9.0,11.0,,,4.0,,3.0,159.0,1.0,,1.0,1.0,,,7.0,,,1.0,2.0,,,,,9.0,,22.0,22.0,5.0,5.0,84.0,70.0,42.0,3.0,1.0,2.0,10.0,7.0,352.0,,,4.0,4.0,,37.0,39.0,10.0,2.0,3.0,3.0,1.0,1.0,140.0,140.0,4.0,27.0,26.0,38.3,,,19.0,0.0,,,,88.0,6.0,2.0,8.0,,,,4.0,,3.0,74.0,266.0,8.0,12.0,149.0,27.0,18.0,31.0,4.0,13.0,9.0,,107.0,5.0,241.0,2.0,,17.0,18.0,41.0,2.0,377.0,1.0,1.0,19.0,19.0,1.0,14.0,2.0,587.0,11.0,20.0,4.0,17.0,0.0
755390,9.0,2014-10-26 13:30:00,6,Spurs,Home,207.0,20.0,2.0,8.0,6.0,2.0,,250.0,6.0,,5.0,11.0,13.0,47.0,449.0,,,24.0,17.0,13.0,8.0,2.0,,,,,,,,1.0,,,,,14.0,,,,,,1.0,4.0,4.0,4.0,,65.0,57.0,4.0,3.0,1.0,2.0,15.0,8.0,6.0,,1.0,10.0,13.0,9.0,,14.0,,59.0,59.0,2.0,17.0,11.0,1.0,,90.0,9.0,12.0,1.0,,1.0,1.0,,211.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,1.0,11.0,,11.0,11.0,1.0,5.0,147.0,92.0,49.0,2.0,,4.0,7.0,2.0,531.0,,,1.0,3.0,,80.0,75.0,28.0,,,,,,193.0,193.0,2.0,24.0,24.0,66.9,,1.0,15.0,0.0,,,,133.0,,,,,1.0,,8.0,,3.0,123.0,430.0,7.0,11.0,219.0,38.0,17.0,24.0,9.0,32.0,23.0,,182.0,13.0,369.0,1.0,,27.0,14.0,75.0,1.0,556.0,,0.0,18.0,26.0,,32.0,2.0,791.0,21.0,9.0,10.0,20.0,0.0
755394,10.0,2014-11-02 16:00:00,6,Spurs,Away,169.0,16.0,4.0,3.0,,2.0,,247.0,6.0,,6.0,3.0,15.0,35.0,413.0,1.0,2.0,12.0,27.0,17.0,10.0,2.0,,1.0,1.0,,,2.0,,,,,,1.0,11.0,,,,,,1.0,4.0,9.0,3.0,,63.0,54.0,2.0,3.0,1.0,2.0,10.0,5.0,2.0,,,9.0,11.0,6.0,,5.0,,50.0,65.0,2.0,35.0,23.0,,,71.0,11.0,13.0,,,5.0,1.0,2.0,168.0,1.0,1.0,1.0,,1.0,,12.0,,,,2.0,,,,,23.0,,10.0,10.0,,6.0,139.0,87.0,55.0,3.0,1.0,4.0,9.0,7.0,479.0,,,2.0,,,62.0,79.0,23.0,,,,,,141.0,141.0,3.0,22.0,20.0,59.9,,1.0,10.0,0.0,,,,140.0,,,,,,,6.0,,3.0,114.0,393.0,3.0,13.0,186.0,33.0,35.0,21.0,6.0,23.0,18.0,1.0,165.0,6.0,347.0,2.0,,14.0,15.0,66.0,1.0,510.0,2.0,0.0,18.0,19.0,5.0,14.0,3.0,703.0,11.0,16.0,9.0,15.0,0.0
