matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128291,1.0,2020-09-13 16:30:00,6,Spurs,Home,218.0,11.0,2.0,6.0,4.0,5.0,,258.0,8.0,,7.0,1.0,5.0,19.0,470.0,,,31.0,15.0,18.0,8.0,1.0,2.0,1.0,,,,,,,,,,,7.0,,,,,,9.0,10.0,5.0,8.0,1.0,,78.0,49.0,2.0,2.0,,1.0,17.0,3.0,18.0,,,5.0,8.0,10.0,,16.0,,65.0,38.0,1.0,17.0,10.0,,1.0,20.0,65.0,15.0,6.0,,,2.0,1.0,,156.0,,,,,,,8.0,,,,,,,,1.0,10.0,,4.0,4.0,1.0,,7.0,160.0,71.0,46.0,3.0,,1.0,8.0,5.0,535.0,,,4.0,1.0,,83.0,86.0,34.0,,,,,138.0,138.0,3.0,14.0,25.0,,,,,,17.0,0.0,,,,158.0,1.0,2.0,3.0,,1.0,1.0,1.0,2.0,,3.0,5.0,102.0,453.0,8.0,9.0,231.0,37.0,17.0,8.0,5.0,24.0,19.0,1.0,143.0,10.0,345.0,,,5.0,7.0,44.0,,552.0,1.0,0.0,9.0,9.0,,34.0,1.0,730.0,19.0,15.0,,5.0,5.0,4.0,0.0
2128304,2.0,2020-09-20 12:00:00,6,Spurs,Away,191.0,19.0,,,,1.0,,112.0,8.0,1.0,4.0,3.0,2.0,25.0,303.0,,,19.0,16.0,31.0,4.0,,,1.0,,,,,,,1.0,,,1.0,8.0,,,,,,15.0,9.0,5.0,7.0,2.0,,53.0,48.0,3.0,,4.0,1.0,20.0,2.0,11.0,,1.0,2.0,1.0,4.0,,2.0,3.0,52.0,61.0,1.0,21.0,11.0,,,30.0,45.0,18.0,14.0,5.0,,1.0,,,151.0,4.0,,4.0,4.0,,1.0,9.0,,,5.0,,,,,1.0,11.0,1.0,5.0,5.0,1.0,,4.0,111.0,66.0,31.0,3.0,,1.0,7.0,6.0,387.0,,,2.0,2.0,,59.0,35.0,12.0,1.0,1.0,1.0,,157.0,157.0,2.0,22.0,19.0,47.5,,,3.0,1.0,20.0,0.0,,,,104.0,3.0,2.0,5.0,,,1.0,1.0,,,3.0,19.0,34.0,277.0,7.0,8.0,243.0,47.0,21.0,14.0,1.0,6.0,5.0,2.0,67.0,4.0,182.0,,1.0,20.0,2.0,63.0,6.0,419.0,,0.0,9.0,8.0,,29.0,3.0,576.0,8.0,9.0,,8.0,2.0,3.0,0.0
2128313,3.0,2020-09-27 14:00:00,6,Spurs,Home,197.0,17.0,5.0,8.0,3.0,2.0,,375.0,3.0,,1.0,1.0,12.0,26.0,564.0,,,18.0,24.0,17.0,8.0,5.0,5.0,,,,,2.0,2.0,,,,1.0,,14.0,,1.0,1.0,,2.0,11.0,4.0,2.0,15.0,8.0,,78.0,47.0,3.0,3.0,1.0,1.0,8.0,4.0,6.0,,,10.0,7.0,4.0,,11.0,,60.0,43.0,1.0,17.0,10.0,,,15.0,72.0,15.0,8.0,,,3.0,1.0,2.0,155.0,1.0,,1.0,1.0,,,3.0,,,1.0,,,,,1.0,10.0,2.0,8.0,8.0,,,2.0,198.0,67.0,49.0,4.0,1.0,4.0,10.0,12.0,626.0,,,3.0,,,75.0,97.0,30.0,1.0,1.0,1.0,,124.0,124.0,1.0,18.0,26.0,65.8,2.0,2.0,,,8.0,0.0,,,,209.0,,,,,,,7.0,1.0,,3.0,10.0,145.0,551.0,2.0,14.0,207.0,35.0,17.0,13.0,8.0,20.0,12.0,,194.0,6.0,453.0,,,9.0,12.0,46.0,,640.0,,0.0,23.0,10.0,,20.0,1.0,818.0,37.0,17.0,,8.0,10.0,6.0,0.0
2128322,4.0,2020-10-04 16:30:00,6,Spurs,Away,376.0,19.0,2.0,2.0,,2.0,,232.0,4.0,,7.0,,2.0,32.0,606.0,1.0,,11.0,10.0,3.0,11.0,2.0,6.0,1.0,,,,,1.0,,,,1.0,1.0,13.0,1.0,,,,1.0,5.0,2.0,3.0,16.0,6.0,,102.0,50.0,5.0,1.0,6.0,,19.0,8.0,17.0,,,4.0,3.0,1.0,1.0,11.0,1.0,53.0,50.0,,17.0,7.0,,,25.0,42.0,11.0,13.0,4.0,,3.0,1.0,1.0,167.0,4.0,1.0,4.0,3.0,1.0,,4.0,,,4.0,,,,,,7.0,,12.0,12.0,,,7.0,212.0,74.0,53.0,2.0,1.0,5.0,12.0,8.0,652.0,,,1.0,1.0,,85.0,61.0,17.0,1.0,1.0,1.0,1.0,102.0,102.0,6.0,20.0,16.0,61.6,,,3.0,,19.0,0.0,,,,191.0,,1.0,1.0,,1.0,1.0,6.0,1.0,,3.0,12.0,82.0,589.0,12.0,18.0,394.0,33.0,17.0,15.0,3.0,8.0,5.0,1.0,108.0,3.0,286.0,,,7.0,2.0,53.0,,672.0,1.0,0.0,22.0,23.0,,12.0,1.0,862.0,25.0,13.0,,11.0,4.0,11.0,0.0
2128334,5.0,2020-10-18 16:30:00,6,Spurs,Home,244.0,18.0,,3.0,3.0,3.0,,177.0,6.0,,3.0,9.0,3.0,26.0,418.0,,,10.0,19.0,15.0,6.0,,,1.0,,,,1.0,1.0,1.0,,,,,10.0,,,1.0,,,8.0,11.0,3.0,5.0,6.0,,85.0,58.0,3.0,2.0,1.0,5.0,23.0,1.0,11.0,,,3.0,4.0,4.0,,6.0,,57.0,61.0,5.0,30.0,14.0,,,28.0,46.0,13.0,12.0,2.0,1.0,2.0,1.0,1.0,182.0,3.0,,2.0,3.0,,,8.0,,,3.0,,,,,,14.0,1.0,7.0,7.0,,,3.0,115.0,70.0,42.0,7.0,1.0,3.0,6.0,6.0,484.0,,,5.0,3.0,1.0,46.0,39.0,16.0,,,,,138.0,138.0,4.0,29.0,19.0,51.2,1.0,2.0,,,23.0,0.0,,,,129.0,1.0,1.0,2.0,,,1.0,4.0,,,3.0,15.0,64.0,396.0,9.0,9.0,274.0,35.0,30.0,18.0,3.0,12.0,9.0,1.0,96.0,8.0,249.0,,,25.0,5.0,57.0,1.0,511.0,1.0,0.0,11.0,25.0,,10.0,0.0,707.0,13.0,17.0,,10.0,3.0,15.0,0.0
2128339,6.0,2020-10-26 20:00:00,6,Spurs,Away,247.0,20.0,2.0,3.0,1.0,4.0,,257.0,5.0,,8.0,3.0,4.0,27.0,501.0,,1.0,22.0,26.0,27.0,6.0,1.0,2.0,1.0,,,,,,,,,,,6.0,,,,,1.0,4.0,3.0,10.0,8.0,1.0,,93.0,55.0,1.0,,1.0,2.0,11.0,4.0,7.0,1.0,,5.0,5.0,5.0,,7.0,2.0,55.0,52.0,2.0,13.0,7.0,,1.0,33.0,64.0,7.0,8.0,,,2.0,3.0,,192.0,1.0,,1.0,,1.0,,7.0,,,,3.0,,,,,7.0,,12.0,12.0,1.0,,8.0,161.0,79.0,47.0,4.0,1.0,2.0,6.0,3.0,577.0,,,5.0,1.0,,86.0,67.0,34.0,,,,,140.0,140.0,2.0,22.0,21.0,61.7,,,,,11.0,0.0,,,,149.0,1.0,3.0,3.0,,,1.0,2.0,,,3.0,18.0,97.0,487.0,4.0,8.0,278.0,47.0,13.0,15.0,5.0,18.0,13.0,1.0,134.0,5.0,335.0,3.0,,14.0,5.0,61.0,2.0,595.0,,0.0,9.0,11.0,2.0,23.0,0.0,764.0,24.0,12.0,,7.0,5.0,5.0,0.0
2128354,7.0,2020-11-01 19:15:00,6,Spurs,Home,164.0,9.0,1.0,2.0,1.0,1.0,,132.0,3.0,,5.0,10.0,5.0,24.0,294.0,,,17.0,12.0,17.0,4.0,1.0,2.0,,,1.0,,,1.0,,,,1.0,,5.0,1.0,,1.0,1.0,,6.0,5.0,1.0,5.0,4.0,,69.0,53.0,2.0,1.0,2.0,1.0,14.0,,6.0,,1.0,4.0,4.0,1.0,,9.0,,44.0,46.0,1.0,16.0,11.0,,,29.0,39.0,14.0,11.0,1.0,1.0,4.0,,1.0,135.0,1.0,,1.0,1.0,,,5.0,,,1.0,,,,,1.0,11.0,2.0,10.0,10.0,1.0,,5.0,95.0,62.0,25.0,5.0,,4.0,2.0,3.0,363.0,,,2.0,3.0,,58.0,37.0,22.0,,,,1.0,144.0,144.0,7.0,23.0,16.0,43.4,2.0,,,,14.0,0.0,,,,88.0,1.0,,1.0,,,,6.0,,,3.0,19.0,65.0,278.0,6.0,6.0,186.0,29.0,16.0,6.0,4.0,9.0,5.0,,102.0,9.0,210.0,1.0,,28.0,7.0,60.0,,387.0,,0.0,9.0,16.0,1.0,28.0,2.0,555.0,17.0,16.0,,2.0,4.0,9.0,0.0
2128364,8.0,2020-11-08 12:00:00,6,Spurs,Away,182.0,26.0,2.0,7.0,5.0,2.0,1.0,222.0,1.0,,3.0,2.0,6.0,27.0,397.0,,,14.0,31.0,17.0,11.0,2.0,1.0,,,,,,1.0,,,,,,15.0,,,,,2.0,5.0,7.0,5.0,13.0,6.0,,77.0,55.0,2.0,2.0,1.0,6.0,14.0,8.0,11.0,,,6.0,11.0,2.0,,13.0,1.0,73.0,54.0,6.0,33.0,23.0,,,25.0,49.0,12.0,14.0,1.0,,4.0,2.0,1.0,167.0,1.0,,1.0,1.0,,,8.0,,,1.0,1.0,,,,,23.0,,8.0,8.0,2.0,,3.0,139.0,82.0,44.0,9.0,,2.0,12.0,5.0,484.0,,,3.0,,,56.0,70.0,25.0,,,,,165.0,165.0,3.0,19.0,30.0,58.8,,,,1.0,14.0,0.0,,,,125.0,2.0,,2.0,,,,6.0,1.0,,3.0,14.0,90.0,382.0,4.0,14.0,224.0,48.0,33.0,13.0,6.0,21.0,15.0,,120.0,3.0,305.0,1.0,,21.0,8.0,57.0,1.0,508.0,,0.0,19.0,16.0,,18.0,0.0,712.0,22.0,16.0,,7.0,6.0,10.0,0.0
2128374,9.0,2020-11-21 17:30:00,6,Spurs,Home,145.0,27.0,,1.0,1.0,1.0,,89.0,15.0,,4.0,5.0,3.0,27.0,233.0,,1.0,3.0,11.0,8.0,,,,1.0,,,,,1.0,,,,,,3.0,,,,,,5.0,15.0,7.0,1.0,3.0,,47.0,61.0,2.0,,2.0,4.0,12.0,2.0,17.0,,,,1.0,,,8.0,3.0,53.0,53.0,4.0,30.0,17.0,,,27.0,39.0,13.0,16.0,,,5.0,1.0,1.0,136.0,2.0,,2.0,2.0,,1.0,17.0,,,2.0,2.0,,,,,17.0,,8.0,8.0,1.0,,4.0,70.0,55.0,24.0,10.0,1.0,,2.0,2.0,276.0,,,10.0,,,38.0,27.0,11.0,,,,,120.0,120.0,2.0,32.0,17.0,33.9,,,,,12.0,0.0,,,,65.0,3.0,2.0,5.0,,,1.0,,,,3.0,13.0,38.0,199.0,6.0,2.0,177.0,49.0,30.0,9.0,,2.0,2.0,2.0,68.0,7.0,143.0,2.0,,16.0,4.0,62.0,1.0,318.0,,0.0,4.0,25.0,1.0,8.0,2.0,493.0,9.0,15.0,,4.0,,14.0,0.0
2128378,10.0,2020-11-29 16:30:00,6,Spurs,Away,183.0,16.0,1.0,2.0,1.0,2.0,1.0,173.0,9.0,,7.0,1.0,5.0,27.0,354.0,,,12.0,13.0,14.0,3.0,,2.0,,,1.0,,,1.0,,,,,,2.0,,,,,,3.0,9.0,4.0,2.0,3.0,,68.0,55.0,,,,,14.0,1.0,6.0,,,3.0,2.0,1.0,,8.0,1.0,41.0,44.0,,12.0,10.0,,1.0,24.0,39.0,9.0,19.0,,,2.0,1.0,1.0,151.0,,,,,,,10.0,,,,2.0,,,,,10.0,,9.0,9.0,2.0,,7.0,120.0,59.0,38.0,3.0,,1.0,2.0,1.0,404.0,,,3.0,,,54.0,61.0,22.0,,,,,122.0,122.0,3.0,26.0,16.0,39.7,,,,,14.0,0.0,,,,99.0,1.0,2.0,3.0,,,,3.0,,,3.0,13.0,75.0,324.0,7.0,3.0,212.0,40.0,12.0,14.0,3.0,7.0,4.0,,110.0,7.0,233.0,2.0,,15.0,5.0,62.0,1.0,438.0,1.0,0.0,5.0,5.0,,19.0,2.0,588.0,14.0,12.0,,9.0,3.0,1.0,0.0
