matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2210279,1,2021-08-15 16:30:00,6,Spurs,Home,93.0,19.0,,3.0,3.0,2.0,1.0,137.0,8.0,,1.0,5.0,4.0,25.0,227.0,,,13.0,19.0,14.0,7.0,2.0,,3.0,,,,,,,1.0,9.0,,,,,4.0,6.0,11.0,7.0,5.0,8.0,53.0,61.0,,1.0,,3.0,18.0,5.0,20.0,,,3.0,4.0,3.0,,11.0,1.0,66.0,51.0,3.0,24.0,11.0,,,24.0,45.0,11.0,8.0,1.0,,3.0,2.0,,119.0,1.0,,,1.0,,,10.0,1.0,1.0,,11.0,,10.0,10.0,1.0,1.0,66.0,47.0,28.0,11.0,,4.0,6.0,3.0,272.0,5.0,3.0,,35.0,56.0,21.0,,,,,116.0,116.0,5.0,18.0,30.0,34.4,,,,,18.0,0.0,55.0,3.0,1.0,4.0,,,3.0,5.0,,3.0,15.0,63.0,213.0,15.0,10.0,111.0,39.0,24.0,19.0,3.0,12.0,9.0,3.0,92.0,7.0,194.0,1.0,,12.0,4.0,51.0,3.0,293.0,,0.0,13.0,15.0,2.0,17.0,2.0,494.0,19.0,15.0,14.0,3.0,9.0,0.0
2210290,2,2021-08-22 14:00:00,6,Spurs,Away,169.0,12.0,1.0,1.0,,1.0,,116.0,8.0,,7.0,1.0,6.0,15.0,284.0,,2.0,11.0,17.0,12.0,4.0,1.0,1.0,,,,,,,,,6.0,1.0,,,,,4.0,14.0,11.0,7.0,1.0,51.0,52.0,1.0,1.0,1.0,2.0,15.0,2.0,19.0,,,4.0,2.0,,,16.0,2.0,72.0,48.0,2.0,31.0,13.0,,,29.0,43.0,7.0,9.0,,,3.0,2.0,,122.0,,,,,,,16.0,,,,13.0,,8.0,8.0,,7.0,81.0,56.0,28.0,5.0,1.0,,5.0,6.0,328.0,10.0,2.0,,44.0,43.0,13.0,,,,1.0,138.0,138.0,1.0,17.0,23.0,42.2,,,,,15.0,0.0,102.0,4.0,2.0,6.0,,,,,,3.0,16.0,46.0,267.0,9.0,5.0,196.0,30.0,31.0,22.0,4.0,8.0,4.0,,70.0,3.0,168.0,,,10.0,6.0,45.0,,356.0,,0.0,8.0,18.0,2.0,20.0,4.0,567.0,19.0,19.0,9.0,4.0,6.0,0.0
2210298,3,2021-08-29 14:00:00,6,Spurs,Home,159.0,17.0,2.0,4.0,2.0,,,284.0,4.0,1.0,1.0,3.0,3.0,21.0,439.0,1.0,1.0,18.0,10.0,13.0,7.0,2.0,5.0,1.0,1.0,,2.0,3.0,,,,6.0,,,,,1.0,7.0,6.0,3.0,9.0,6.0,79.0,43.0,,,,1.0,20.0,3.0,10.0,,,10.0,11.0,6.0,,11.0,,44.0,53.0,1.0,11.0,6.0,,,25.0,66.0,8.0,14.0,1.0,,5.0,1.0,3.0,139.0,,,,,,,4.0,,,,6.0,,9.0,9.0,,2.0,144.0,54.0,35.0,3.0,,4.0,5.0,8.0,480.0,3.0,1.0,,81.0,98.0,42.0,,,,,113.0,113.0,5.0,16.0,19.0,57.6,,,,,20.0,0.0,138.0,2.0,,2.0,,,1.0,4.0,,2.0,11.0,146.0,424.0,12.0,9.0,167.0,31.0,11.0,14.0,7.0,25.0,18.0,1.0,181.0,,358.0,,1.0,12.0,3.0,40.0,2.0,500.0,1.0,0.0,15.0,19.0,1.0,19.0,3.0,689.0,39.0,10.0,9.0,10.0,11.0,0.0
2210304,4,2021-09-11 12:30:00,6,Spurs,Away,125.0,16.0,,1.0,1.0,2.0,,107.0,6.0,,1.0,1.0,4.0,19.0,231.0,,,17.0,12.0,18.0,2.0,,,,,,,,,,,2.0,,,,,,7.0,12.0,6.0,1.0,1.0,49.0,43.0,,,,1.0,20.0,,14.0,,,2.0,1.0,3.0,,7.0,,54.0,59.0,1.0,36.0,21.0,,,26.0,36.0,15.0,13.0,,,1.0,,,108.0,,,,,,,13.0,,2.0,4.0,21.0,,11.0,11.0,1.0,1.0,80.0,64.0,36.0,8.0,,1.0,1.0,1.0,280.0,7.0,1.0,,38.0,49.0,12.0,1.0,1.0,1.0,,125.0,125.0,4.0,18.0,15.0,37.7,,,,1.0,20.0,0.0,77.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,14.0,31.0,212.0,12.0,2.0,150.0,33.0,36.0,22.0,2.0,6.0,4.0,,62.0,5.0,170.0,2.0,,7.0,5.0,50.0,,314.0,,1.0,2.0,16.0,,20.0,1.0,497.0,3.0,16.0,12.0,2.0,10.0,0.0
2210318,5,2021-09-19 16:30:00,6,Spurs,Home,232.0,14.0,1.0,4.0,3.0,1.0,,167.0,6.0,,1.0,2.0,4.0,20.0,395.0,,,14.0,18.0,12.0,6.0,,1.0,,,,,1.0,,,1.0,6.0,,,,,,4.0,17.0,3.0,3.0,5.0,80.0,54.0,1.0,1.0,,1.0,21.0,2.0,8.0,1.0,,5.0,4.0,5.0,,8.0,2.0,45.0,54.0,1.0,23.0,13.0,,,26.0,36.0,4.0,15.0,,,2.0,,1.0,160.0,,,,,,,6.0,,,,13.0,,9.0,9.0,1.0,1.0,123.0,59.0,35.0,11.0,,3.0,3.0,2.0,451.0,7.0,,,85.0,48.0,19.0,,,,,131.0,131.0,5.0,29.0,16.0,47.0,,,,,21.0,0.0,117.0,7.0,,6.0,,,,4.0,,3.0,16.0,59.0,372.0,11.0,6.0,254.0,36.0,23.0,14.0,4.0,13.0,9.0,,93.0,3.0,239.0,1.0,,13.0,4.0,47.0,,480.0,,0.0,8.0,20.0,2.0,16.0,0.0,671.0,14.0,20.0,7.0,5.0,12.0,0.0
2210321,6,2021-09-26 16:30:00,6,Spurs,Away,178.0,16.0,3.0,6.0,3.0,1.0,,241.0,7.0,,2.0,4.0,5.0,29.0,413.0,,1.0,24.0,15.0,11.0,4.0,3.0,3.0,1.0,,,,,,,,6.0,,,,,1.0,7.0,7.0,5.0,7.0,3.0,66.0,53.0,2.0,1.0,1.0,1.0,18.0,1.0,5.0,,,4.0,7.0,7.0,,16.0,2.0,54.0,47.0,1.0,8.0,2.0,,1.0,25.0,57.0,13.0,12.0,1.0,,1.0,1.0,,154.0,1.0,,1.0,1.0,,,7.0,1.0,,1.0,2.0,1.0,8.0,8.0,1.0,2.0,131.0,57.0,34.0,4.0,,5.0,3.0,4.0,458.0,1.0,2.0,,78.0,71.0,23.0,,,,,131.0,131.0,2.0,17.0,28.0,53.4,,,,,18.0,0.0,134.0,2.0,2.0,4.0,,2.0,1.0,5.0,,3.0,10.0,89.0,390.0,8.0,8.0,197.0,39.0,8.0,16.0,4.0,19.0,15.0,1.0,123.0,6.0,307.0,,,10.0,6.0,56.0,4.0,485.0,,0.0,10.0,14.0,2.0,27.0,1.0,664.0,12.0,15.0,10.0,4.0,11.0,0.0
2210338,7,2021-10-03 14:00:00,6,Spurs,Home,176.0,14.0,1.0,4.0,3.0,2.0,1.0,177.0,7.0,1.0,4.0,3.0,6.0,18.0,349.0,,,13.0,22.0,21.0,10.0,,,,,,2.0,2.0,,1.0,,15.0,,,,,,7.0,9.0,5.0,9.0,8.0,76.0,60.0,3.0,3.0,,,14.0,3.0,4.0,,,5.0,7.0,2.0,,12.0,1.0,58.0,65.0,,37.0,21.0,,,24.0,47.0,11.0,14.0,,,4.0,1.0,2.0,164.0,1.0,,,1.0,,,10.0,1.0,,,21.0,,12.0,12.0,2.0,4.0,97.0,65.0,34.0,8.0,1.0,5.0,6.0,8.0,407.0,5.0,1.0,,48.0,51.0,16.0,,,,,143.0,143.0,4.0,25.0,23.0,56.3,,,,,14.0,0.0,101.0,1.0,1.0,2.0,,1.0,,6.0,1.0,2.0,15.0,87.0,324.0,6.0,11.0,200.0,32.0,37.0,25.0,1.0,11.0,10.0,,124.0,8.0,249.0,1.0,1.0,18.0,6.0,49.0,,438.0,1.0,0.0,17.0,14.0,2.0,22.0,2.0,659.0,28.0,16.0,16.0,5.0,8.0,0.0
2210347,8,2021-10-17 16:30:00,6,Spurs,Away,277.0,21.0,2.0,2.0,,,,264.0,10.0,,7.0,3.0,4.0,24.0,539.0,,2.0,10.0,23.0,12.0,5.0,2.0,4.0,,,,,1.0,1.0,,,9.0,,1.0,,,,2.0,4.0,4.0,9.0,5.0,104.0,60.0,2.0,,2.0,,17.0,7.0,13.0,,2.0,9.0,9.0,6.0,,12.0,,66.0,64.0,,10.0,4.0,,,21.0,44.0,4.0,13.0,1.0,,1.0,,1.0,174.0,3.0,,3.0,3.0,,,11.0,3.0,,,4.0,1.0,5.0,5.0,,7.0,172.0,81.0,56.0,2.0,2.0,3.0,7.0,4.0,585.0,2.0,2.0,1.0,60.0,59.0,33.0,,,,,145.0,145.0,5.0,28.0,19.0,64.5,1.0,,3.0,,17.0,0.0,162.0,,,,,,,3.0,,,10.0,95.0,515.0,9.0,10.0,303.0,38.0,10.0,26.0,9.0,24.0,15.0,,125.0,2.0,333.0,,,10.0,4.0,46.0,1.0,612.0,,0.0,14.0,27.0,5.0,15.0,1.0,814.0,30.0,16.0,12.0,9.0,14.0,0.0
2210360,9,2021-10-24 14:00:00,6,Spurs,Away,262.0,17.0,,3.0,3.0,,,284.0,3.0,2.0,3.0,1.0,4.0,19.0,543.0,,2.0,18.0,11.0,15.0,5.0,,1.0,,,,,,,,,5.0,,,,,1.0,2.0,10.0,3.0,4.0,3.0,86.0,53.0,1.0,1.0,,1.0,22.0,1.0,9.0,,1.0,4.0,7.0,5.0,,11.0,3.0,46.0,50.0,1.0,12.0,5.0,,,24.0,72.0,4.0,10.0,,,,,,191.0,,,,,,,7.0,,,1.0,5.0,,16.0,16.0,2.0,3.0,192.0,73.0,44.0,2.0,,1.0,4.0,4.0,614.0,4.0,2.0,,69.0,53.0,33.0,,,,,147.0,147.0,2.0,24.0,22.0,62.3,,,,,22.0,0.0,168.0,3.0,,3.0,,1.0,,2.0,,3.0,14.0,96.0,528.0,8.0,5.0,280.0,46.0,12.0,22.0,4.0,16.0,12.0,,140.0,1.0,373.0,,2.0,8.0,4.0,49.0,,637.0,,0.0,7.0,15.0,4.0,20.0,1.0,810.0,17.0,13.0,10.0,4.0,8.0,0.0
2210368,10,2021-10-30 17:30:00,6,Spurs,Home,235.0,15.0,2.0,3.0,1.0,,,254.0,5.0,,2.0,1.0,6.0,10.0,486.0,,,14.0,13.0,17.0,3.0,2.0,3.0,,,,,1.0,,,,4.0,,,,,1.0,11.0,8.0,2.0,4.0,5.0,87.0,60.0,2.0,2.0,,,29.0,3.0,8.0,,,10.0,12.0,6.0,,5.0,1.0,49.0,69.0,,6.0,3.0,,,25.0,47.0,12.0,14.0,,,2.0,1.0,1.0,166.0,,,,,,,5.0,,,,3.0,,10.0,10.0,,2.0,164.0,66.0,46.0,2.0,,5.0,,,547.0,4.0,1.0,,63.0,111.0,37.0,,,,,146.0,146.0,6.0,31.0,20.0,58.2,,,,,29.0,0.0,153.0,,1.0,1.0,,2.0,,6.0,1.0,3.0,14.0,129.0,465.0,10.0,5.0,263.0,32.0,6.0,31.0,10.0,29.0,19.0,,171.0,3.0,336.0,,,13.0,6.0,32.0,4.0,570.0,1.0,0.0,9.0,19.0,1.0,16.0,2.0,758.0,22.0,12.0,19.0,10.0,10.0,0.0
