matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367545,1.0,2023-08-13 14:00:00,6,Spurs,Away,183.0,8.0,1.0,3.0,2.0,1.0,1.0,458.0,5.0,3.0,3.0,1.0,7.0,11.0,638.0,,1.0,14.0,15.0,12.0,8.0,1.0,7.0,,,,,,1.0,,,,10.0,,,,,1.0,4.0,9.0,2.0,12.0,6.0,,116.0,56.0,1.0,,1.0,1.0,5.0,6.0,5.0,,,6.0,8.0,7.0,2.0,7.0,2.0,50.0,54.0,1.0,17.0,6.0,,,81.0,13.0,11.0,,,3.0,2.0,,189.0,2.0,1.0,1.0,1.0,1.0,,5.0,,,1.0,2.0,,,,,6.0,,10.0,10.0,2.0,4.0,211.0,52.0,34.0,3.0,,1.0,10.0,6.0,693.0,,,3.0,1.0,,86.0,124.0,36.0,1.0,1.0,1.0,,124.0,124.0,6.0,21.0,23.0,69.6,,2.0,1.0,,16.0,0.0,,,,195.0,4.0,,4.0,,1.0,,6.0,,,3.0,247.0,622.0,5.0,11.0,199.0,27.0,17.0,26.0,6.0,23.0,17.0,,286.0,3.0,535.0,2.0,4.0,7.0,8.0,30.0,,711.0,3.0,0.0,18.0,16.0,2.0,16.0,4.0,907.0,33.0,10.0,16.0,6.0,10.0,0.0
2367555,2.0,2023-08-19 17:30:00,6,Spurs,Home,239.0,18.0,3.0,5.0,2.0,,,194.0,8.0,1.0,12.0,,8.0,21.0,428.0,,1.0,15.0,10.0,3.0,11.0,2.0,2.0,,,,,,,,,,14.0,,1.0,,,1.0,6.0,16.0,6.0,13.0,4.0,,76.0,64.0,2.0,2.0,1.0,,9.0,4.0,10.0,,,5.0,6.0,3.0,,9.0,1.0,51.0,40.0,,20.0,14.0,,,42.0,9.0,8.0,,,2.0,2.0,,172.0,,,,,,,9.0,,,1.0,,,,,,14.0,2.0,5.0,5.0,,12.0,128.0,49.0,32.0,6.0,1.0,7.0,6.0,6.0,482.0,,,9.0,1.0,,56.0,46.0,33.0,,,,,128.0,128.0,4.0,24.0,21.0,55.7,1.0,,,,25.0,0.0,,,,126.0,4.0,2.0,6.0,,,,7.0,1.0,,5.0,101.0,409.0,9.0,13.0,264.0,36.0,20.0,27.0,5.0,16.0,11.0,,131.0,4.0,254.0,,1.0,3.0,8.0,33.0,1.0,502.0,2.0,0.0,17.0,15.0,4.0,18.0,1.0,715.0,40.0,16.0,14.0,5.0,9.0,0.0
2367558,3.0,2023-08-26 12:30:00,6,Spurs,Away,252.0,20.0,1.0,2.0,1.0,1.0,1.0,227.0,4.0,2.0,4.0,2.0,3.0,16.0,477.0,1.0,4.0,15.0,12.0,8.0,9.0,1.0,1.0,1.0,,,1.0,,,,,,12.0,,,,,3.0,7.0,6.0,5.0,12.0,5.0,,104.0,61.0,4.0,2.0,2.0,3.0,7.0,4.0,14.0,,,2.0,4.0,2.0,,10.0,2.0,54.0,60.0,3.0,27.0,11.0,,,45.0,11.0,16.0,,,5.0,2.0,1.0,177.0,2.0,,2.0,2.0,,,6.0,,,2.0,,,,,,11.0,,12.0,12.0,2.0,4.0,137.0,49.0,38.0,6.0,2.0,5.0,7.0,6.0,512.0,,,3.0,3.0,,50.0,66.0,27.0,,,,,105.0,105.0,8.0,25.0,20.0,56.9,,,,1.0,18.0,0.0,,,,119.0,1.0,2.0,3.0,,3.0,1.0,7.0,,,5.0,124.0,456.0,7.0,12.0,272.0,33.0,27.0,21.0,2.0,10.0,8.0,1.0,154.0,3.0,275.0,,2.0,3.0,3.0,31.0,,537.0,1.0,0.0,17.0,22.0,4.0,17.0,3.0,750.0,47.0,15.0,14.0,2.0,14.0,0.0
2367571,4.0,2023-09-02 15:00:00,6,Spurs,Away,268.0,16.0,,3.0,3.0,,,223.0,8.0,,4.0,,6.0,22.0,488.0,,1.0,10.0,8.0,9.0,11.0,,2.0,,,,,,1.0,,,,19.0,,,,,,5.0,8.0,8.0,11.0,10.0,,98.0,68.0,3.0,1.0,2.0,2.0,8.0,7.0,9.0,,,4.0,4.0,,1.0,13.0,2.0,53.0,57.0,2.0,17.0,8.0,,,50.0,9.0,15.0,3.0,,2.0,,,180.0,4.0,,3.0,4.0,,,9.0,,,4.0,,,,,,8.0,,13.0,13.0,,4.0,140.0,52.0,33.0,7.0,1.0,3.0,12.0,11.0,533.0,,,5.0,2.0,,66.0,58.0,26.0,,,,,123.0,123.0,11.0,23.0,30.0,53.9,,,3.0,,13.0,0.0,,,,145.0,2.0,,3.0,,2.0,,3.0,2.0,,5.0,109.0,461.0,8.0,15.0,289.0,37.0,17.0,28.0,3.0,7.0,4.0,,147.0,3.0,281.0,,,6.0,7.0,44.0,1.0,563.0,,0.0,21.0,19.0,2.0,11.0,3.0,766.0,54.0,13.0,14.0,4.0,13.0,0.0
2367585,5.0,2023-09-16 15:00:00,6,Spurs,Home,215.0,10.0,2.0,7.0,5.0,,,337.0,1.0,,6.0,1.0,6.0,16.0,545.0,,,21.0,22.0,16.0,21.0,3.0,5.0,,,,,,,,,,21.0,,,,,2.0,5.0,6.0,1.0,19.0,9.0,,81.0,65.0,3.0,2.0,1.0,2.0,10.0,9.0,5.0,,,15.0,18.0,7.0,,10.0,1.0,59.0,58.0,2.0,5.0,2.0,,,72.0,13.0,12.0,,,4.0,,,200.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,,2.0,2.0,,6.0,6.0,,6.0,164.0,56.0,46.0,2.0,1.0,9.0,17.0,10.0,592.0,,,,,,76.0,85.0,67.0,,,,,141.0,141.0,7.0,32.0,20.0,70.1,,,3.0,,26.0,0.0,,,,175.0,3.0,1.0,4.0,,,,9.0,,1.0,5.0,207.0,518.0,10.0,26.0,233.0,22.0,5.0,26.0,7.0,32.0,25.0,,257.0,2.0,419.0,1.0,,6.0,7.0,33.0,2.0,620.0,2.0,0.0,28.0,17.0,5.0,23.0,6.0,833.0,56.0,15.0,14.0,15.0,7.0,0.0
2367588,6.0,2023-09-24 14:00:00,6,Spurs,Away,241.0,11.0,,,,,,144.0,10.0,,5.0,1.0,4.0,15.0,385.0,2.0,2.0,14.0,14.0,8.0,6.0,,1.0,,,,,1.0,,,,,11.0,,,,,1.0,6.0,9.0,5.0,9.0,4.0,,78.0,56.0,3.0,2.0,2.0,1.0,4.0,4.0,8.0,,,4.0,5.0,1.0,,13.0,4.0,64.0,53.0,1.0,21.0,13.0,,2.0,43.0,19.0,11.0,2.0,,1.0,,,150.0,2.0,,2.0,2.0,,,12.0,,,2.0,2.0,,,,1.0,13.0,,6.0,6.0,,6.0,105.0,46.0,31.0,11.0,,1.0,7.0,5.0,420.0,,,3.0,,1.0,34.0,60.0,18.0,1.0,1.0,1.0,,114.0,114.0,5.0,27.0,17.0,53.5,,,1.0,,16.0,0.0,,,,116.0,3.0,2.0,4.0,,3.0,,4.0,,,3.0,61.0,361.0,4.0,8.0,272.0,31.0,21.0,17.0,4.0,10.0,6.0,,85.0,1.0,187.0,2.0,,4.0,4.0,34.0,3.0,449.0,2.0,0.0,13.0,28.0,2.0,17.0,4.0,627.0,20.0,9.0,6.0,4.0,15.0,0.0
2367605,7.0,2023-09-30 17:30:00,6,Spurs,Home,229.0,11.0,1.0,2.0,1.0,,,376.0,4.0,,4.0,,7.0,13.0,603.0,1.0,1.0,20.0,9.0,10.0,19.0,1.0,2.0,1.0,,,,,,,,,22.0,,,,,,6.0,9.0,3.0,10.0,14.0,,107.0,63.0,2.0,2.0,1.0,1.0,14.0,12.0,7.0,,,11.0,12.0,11.0,,5.0,2.0,42.0,57.0,1.0,14.0,6.0,,,58.0,11.0,17.0,1.0,,4.0,1.0,,190.0,1.0,,1.0,1.0,,,4.0,,,1.0,1.0,,,,,6.0,1.0,11.0,11.0,1.0,4.0,179.0,55.0,48.0,5.0,,3.0,18.0,8.0,633.0,,,3.0,2.0,,72.0,85.0,48.0,,,,,118.0,118.0,9.0,24.0,26.0,64.5,,,,,24.0,0.0,,,,186.0,2.0,1.0,3.0,,,1.0,4.0,1.0,,5.0,223.0,575.0,14.0,21.0,246.0,23.0,14.0,19.0,5.0,29.0,24.0,1.0,257.0,,445.0,1.0,,1.0,8.0,18.0,4.0,662.0,2.0,0.0,24.0,23.0,3.0,20.0,5.0,886.0,51.0,11.0,9.0,12.0,19.0,0.0
2367614,8.0,2023-10-07 12:30:00,6,Spurs,Away,251.0,11.0,1.0,4.0,3.0,2.0,,226.0,7.0,1.0,3.0,,15.0,17.0,473.0,1.0,2.0,22.0,9.0,15.0,9.0,1.0,3.0,,1.0,,1.0,,,,,,11.0,,,,,,3.0,8.0,4.0,10.0,5.0,,96.0,57.0,4.0,3.0,1.0,3.0,8.0,2.0,8.0,,,6.0,5.0,3.0,1.0,11.0,1.0,48.0,60.0,3.0,26.0,14.0,,,62.0,7.0,16.0,,,4.0,1.0,1.0,193.0,1.0,,1.0,,1.0,,9.0,,,,1.0,,,,1.0,14.0,,9.0,9.0,2.0,3.0,126.0,77.0,47.0,5.0,,7.0,4.0,4.0,520.0,,,4.0,1.0,,49.0,99.0,30.0,,,,,149.0,149.0,8.0,29.0,13.0,66.9,,,,,26.0,0.0,,,,138.0,1.0,1.0,2.0,1.0,1.0,,9.0,,,5.0,120.0,449.0,8.0,11.0,264.0,29.0,26.0,24.0,4.0,13.0,9.0,,161.0,3.0,302.0,1.0,1.0,9.0,15.0,49.0,4.0,553.0,1.0,1.0,15.0,20.0,4.0,29.0,1.0,785.0,40.0,22.0,9.0,6.0,14.0,0.0
2367627,9.0,2023-10-23 20:00:00,6,Spurs,Home,296.0,14.0,,1.0,1.0,1.0,1.0,223.0,4.0,3.0,4.0,1.0,10.0,15.0,518.0,1.0,1.0,17.0,4.0,5.0,8.0,2.0,1.0,1.0,,,,,,,,,11.0,,,,,3.0,8.0,7.0,3.0,10.0,5.0,,92.0,59.0,1.0,1.0,1.0,2.0,11.0,6.0,12.0,,,3.0,8.0,,,12.0,2.0,45.0,47.0,2.0,12.0,8.0,,,57.0,10.0,14.0,1.0,,4.0,1.0,,175.0,2.0,,1.0,2.0,,,4.0,,,2.0,1.0,,,,,8.0,,6.0,6.0,1.0,4.0,153.0,61.0,44.0,5.0,1.0,4.0,8.0,5.0,568.0,,,3.0,2.0,,61.0,55.0,21.0,,,,,122.0,122.0,9.0,27.0,19.0,55.6,,,,,30.0,0.0,,,,173.0,3.0,,3.0,,,1.0,4.0,,,5.0,109.0,495.0,11.0,12.0,316.0,25.0,12.0,16.0,2.0,11.0,9.0,1.0,146.0,3.0,288.0,1.0,3.0,6.0,10.0,27.0,4.0,593.0,3.0,0.0,15.0,19.0,2.0,19.0,2.0,778.0,33.0,10.0,9.0,3.0,12.0,0.0
2367633,10.0,2023-10-27 20:00:00,6,Spurs,Away,384.0,12.0,,2.0,2.0,,,287.0,7.0,1.0,4.0,1.0,8.0,28.0,669.0,2.0,,21.0,4.0,6.0,5.0,,,,1.0,,1.0,,,,,,9.0,,,,,,4.0,8.0,5.0,4.0,6.0,,112.0,53.0,1.0,,1.0,,8.0,5.0,8.0,,,2.0,13.0,3.0,,11.0,2.0,46.0,52.0,,23.0,7.0,,,68.0,11.0,18.0,1.0,,2.0,,1.0,199.0,1.0,,1.0,1.0,,,8.0,,,1.0,1.0,,,,,7.0,,6.0,6.0,,4.0,210.0,66.0,55.0,11.0,,2.0,4.0,1.0,701.0,,,6.0,1.0,,67.0,114.0,29.0,,,,,118.0,118.0,7.0,23.0,19.0,75.7,,,,1.0,20.0,0.0,,,,211.0,2.0,,2.0,,1.0,,4.0,,,5.0,130.0,641.0,8.0,6.0,397.0,23.0,23.0,21.0,,16.0,16.0,,164.0,1.0,351.0,1.0,1.0,4.0,8.0,44.0,3.0,732.0,2.0,0.0,10.0,20.0,5.0,21.0,1.0,943.0,19.0,13.0,8.0,2.0,14.0,0.0
