matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292817,1,2022-08-06 15:00:00,6,Spurs,Home,253.0,16.0,1.0,6.0,5.0,,,224.0,6.0,,4.0,4.0,2.0,45.0,471.0,,1.0,20.0,11.0,13.0,11.0,1.0,3.0,1.0,,,,,,,1.0,,,,15.0,,,,,,,8.0,6.0,4.0,14.0,4.0,85.0,61.0,1.0,,1.0,2.0,21.0,4.0,9.0,,,10.0,10.0,8.0,1.0,9.0,1.0,45.0,49.0,2.0,18.0,11.0,,,18.0,54.0,11.0,5.0,1.0,,1.0,,,172.0,3.0,,3.0,2.0,1.0,,6.0,2.0,,,11.0,,3.0,3.0,,4.0,152.0,62.0,50.0,2.0,1.0,4.0,11.0,8.0,535.0,3.0,,,68.0,72.0,39.0,,,,,,132.0,132.0,4.0,24.0,28.0,57.5,,,3.0,,21.0,0.0,145.0,1.0,,1.0,,1.0,1.0,6.0,1.0,,5.0,9.0,110.0,453.0,9.0,15.0,284.0,28.0,18.0,12.0,6.0,24.0,18.0,1.0,147.0,2.0,294.0,,,15.0,3.0,67.0,2.0,554.0,,0.0,18.0,24.0,1.0,20.0,3.0,733.0,32.0,15.0,7.0,10.0,15.0,0.0
2292824,2,2022-08-14 16:30:00,6,Spurs,Away,195.0,18.0,3.0,3.0,,1.0,,77.0,11.0,,3.0,,2.0,19.0,269.0,,1.0,14.0,14.0,16.0,3.0,3.0,3.0,,,,,,,,,,,1.0,4.0,,,,,,2.0,6.0,11.0,5.0,8.0,2.0,33.0,52.0,4.0,3.0,1.0,2.0,29.0,3.0,11.0,,1.0,5.0,5.0,,,14.0,,62.0,56.0,2.0,32.0,14.0,,,22.0,28.0,9.0,8.0,1.0,,2.0,2.0,,133.0,2.0,1.0,2.0,1.0,1.0,,11.0,1.0,,,14.0,,15.0,15.0,1.0,3.0,76.0,40.0,22.0,8.0,1.0,1.0,7.0,5.0,316.0,7.0,,,27.0,23.0,16.0,,,,,,132.0,132.0,2.0,27.0,19.0,36.3,,,1.0,,29.0,0.0,98.0,1.0,,1.0,,,,2.0,,,4.0,14.0,43.0,245.0,10.0,8.0,233.0,28.0,32.0,21.0,5.0,12.0,7.0,,60.0,3.0,119.0,,,9.0,3.0,35.0,1.0,340.0,,0.0,10.0,25.0,1.0,19.0,0.0,557.0,12.0,18.0,7.0,5.0,12.0,0.0
2292838,3,2022-08-20 12:30:00,6,Spurs,Home,216.0,15.0,2.0,6.0,4.0,1.0,,201.0,7.0,1.0,5.0,2.0,1.0,30.0,411.0,2.0,,12.0,9.0,5.0,7.0,1.0,2.0,1.0,,,,,,,,,,,9.0,,,1.0,,1.0,,7.0,7.0,13.0,10.0,1.0,73.0,56.0,1.0,,1.0,,18.0,2.0,9.0,,,8.0,11.0,3.0,,10.0,,46.0,38.0,,17.0,7.0,,,19.0,45.0,10.0,8.0,1.0,,1.0,1.0,,151.0,1.0,,1.0,,1.0,,8.0,,1.0,,7.0,2.0,4.0,4.0,1.0,5.0,122.0,71.0,54.0,6.0,,5.0,4.0,4.0,451.0,9.0,1.0,,65.0,59.0,27.0,,,,,,121.0,121.0,3.0,17.0,27.0,49.9,2.0,,,,18.0,0.0,126.0,1.0,2.0,3.0,,,1.0,5.0,,,3.0,6.0,97.0,395.0,8.0,9.0,229.0,27.0,17.0,15.0,7.0,22.0,15.0,1.0,130.0,3.0,265.0,1.0,1.0,8.0,1.0,52.0,2.0,472.0,3.0,0.0,11.0,18.0,,14.0,2.0,661.0,32.0,21.0,7.0,8.0,8.0,0.0
2292847,4,2022-08-28 16:30:00,6,Spurs,Away,253.0,14.0,,4.0,4.0,1.0,,123.0,8.0,1.0,7.0,,,20.0,372.0,,2.0,17.0,15.0,15.0,11.0,,,2.0,,,,,,,1.0,,,,17.0,,1.0,,,,,4.0,9.0,8.0,11.0,7.0,62.0,64.0,1.0,1.0,1.0,2.0,1.0,4.0,8.0,,,1.0,5.0,4.0,,14.0,1.0,55.0,42.0,2.0,25.0,11.0,,,27.0,40.0,13.0,9.0,2.0,,2.0,,,158.0,2.0,,1.0,2.0,,,10.0,2.0,2.0,2.0,11.0,,18.0,18.0,2.0,8.0,125.0,48.0,30.0,6.0,,5.0,8.0,7.0,438.0,7.0,,,40.0,42.0,9.0,,,,,1.0,135.0,135.0,3.0,37.0,14.0,44.7,,,,1.0,11.0,0.0,117.0,,1.0,1.0,,,2.0,7.0,,,4.0,15.0,64.0,352.0,1.0,13.0,303.0,35.0,25.0,13.0,1.0,10.0,9.0,2.0,89.0,3.0,169.0,2.0,1.0,9.0,,49.0,3.0,462.0,,0.0,18.0,12.0,2.0,19.0,1.0,653.0,25.0,12.0,6.0,1.0,7.0,0.0
2292856,5,2022-08-31 19:45:00,6,Spurs,Away,372.0,22.0,1.0,6.0,5.0,,,189.0,10.0,,4.0,4.0,9.0,29.0,555.0,,1.0,17.0,18.0,10.0,9.0,,1.0,1.0,,,,,,,,,,,11.0,,,,,,,5.0,9.0,5.0,8.0,4.0,97.0,43.0,,,,3.0,12.0,7.0,1.0,,1.0,4.0,12.0,2.0,,9.0,2.0,41.0,29.0,3.0,17.0,5.0,,1.0,15.0,42.0,10.0,8.0,,,,,,180.0,,,,,,,11.0,,1.0,,5.0,,6.0,6.0,3.0,4.0,181.0,73.0,57.0,3.0,,1.0,8.0,3.0,597.0,1.0,1.0,,64.0,45.0,29.0,,,,,,106.0,106.0,2.0,24.0,13.0,61.7,,2.0,,1.0,12.0,0.0,163.0,,3.0,3.0,,,1.0,2.0,,,1.0,7.0,62.0,533.0,6.0,9.0,395.0,40.0,17.0,9.0,4.0,18.0,14.0,1.0,88.0,6.0,244.0,1.0,,12.0,10.0,52.0,,621.0,2.0,0.0,12.0,7.0,3.0,19.0,5.0,779.0,24.0,12.0,5.0,4.0,3.0,0.0
2292868,6,2022-09-03 15:00:00,6,Spurs,Home,225.0,33.0,2.0,7.0,5.0,1.0,,200.0,7.0,,3.0,1.0,2.0,24.0,418.0,2.0,,15.0,11.0,17.0,12.0,2.0,7.0,,,,,,1.0,,,,,,14.0,,,1.0,1.0,,1.0,5.0,6.0,3.0,17.0,6.0,77.0,53.0,1.0,2.0,1.0,1.0,19.0,6.0,8.0,,2.0,10.0,11.0,5.0,,6.0,2.0,46.0,49.0,1.0,17.0,13.0,,,18.0,42.0,9.0,6.0,1.0,1.0,1.0,,1.0,146.0,1.0,,1.0,1.0,,,7.0,2.0,2.0,,13.0,2.0,8.0,8.0,,3.0,124.0,60.0,41.0,3.0,1.0,5.0,10.0,10.0,453.0,1.0,,,61.0,46.0,34.0,,,,,,109.0,109.0,5.0,22.0,19.0,51.9,2.0,,,,19.0,0.0,128.0,,2.0,2.0,,,,7.0,,,2.0,10.0,94.0,402.0,8.0,15.0,241.0,42.0,17.0,19.0,5.0,21.0,16.0,,118.0,3.0,255.0,2.0,,8.0,3.0,44.0,3.0,475.0,2.0,0.0,23.0,19.0,,18.0,3.0,659.0,38.0,13.0,7.0,10.0,9.0,0.0
2292877,7,2023-01-19 20:00:00,6,Spurs,Away,232.0,20.0,,2.0,2.0,,,122.0,7.0,1.0,6.0,3.0,3.0,22.0,352.0,1.0,,16.0,11.0,11.0,5.0,,1.0,,,,,,,,,,,,8.0,,,,,,,10.0,10.0,6.0,6.0,3.0,60.0,49.0,1.0,1.0,,3.0,8.0,2.0,4.0,,,3.0,8.0,1.0,,10.0,1.0,43.0,40.0,3.0,27.0,11.0,2.0,,24.0,35.0,14.0,9.0,1.0,,1.0,,,146.0,,,,,,,8.0,2.0,,1.0,11.0,1.0,6.0,6.0,1.0,6.0,104.0,44.0,30.0,8.0,1.0,2.0,3.0,3.0,398.0,5.0,,,31.0,55.0,17.0,,,,,,111.0,111.0,3.0,24.0,14.0,42.1,,3.0,,1.0,19.0,0.0,114.0,1.0,1.0,2.0,,,,4.0,1.0,,4.0,15.0,65.0,331.0,8.0,5.0,269.0,35.0,27.0,9.0,2.0,11.0,9.0,,87.0,1.0,166.0,,1.0,15.0,3.0,47.0,1.0,424.0,2.0,0.0,9.0,16.0,1.0,16.0,2.0,588.0,23.0,14.0,4.0,3.0,9.0,0.0
2292888,8,2022-09-17 17:30:00,6,Spurs,Home,264.0,32.0,2.0,5.0,3.0,1.0,1.0,144.0,7.0,2.0,4.0,1.0,5.0,36.0,403.0,,,19.0,10.0,12.0,5.0,2.0,3.0,4.0,,,,,,,,,,,12.0,,,,,,1.0,5.0,8.0,11.0,10.0,6.0,89.0,60.0,2.0,,3.0,1.0,5.0,3.0,4.0,,1.0,6.0,7.0,4.0,1.0,7.0,2.0,37.0,43.0,1.0,8.0,6.0,,,20.0,36.0,9.0,8.0,1.0,,1.0,1.0,,170.0,5.0,1.0,3.0,3.0,2.0,2.0,8.0,4.0,2.0,1.0,6.0,1.0,14.0,14.0,1.0,4.0,112.0,49.0,37.0,1.0,1.0,,12.0,11.0,460.0,5.0,,,39.0,59.0,21.0,1.0,1.0,1.0,,,121.0,121.0,2.0,32.0,21.0,43.7,,,3.0,,16.0,0.0,111.0,2.0,3.0,5.0,,1.0,4.0,2.0,,3.0,4.0,13.0,64.0,384.0,5.0,12.0,308.0,52.0,8.0,18.0,4.0,16.0,12.0,6.0,87.0,4.0,190.0,2.0,2.0,9.0,5.0,59.0,1.0,482.0,,0.0,16.0,14.0,,19.0,1.0,652.0,23.0,14.0,9.0,6.0,4.0,0.0
2292891,9,2022-10-01 12:30:00,6,Spurs,Away,160.0,17.0,,2.0,2.0,1.0,1.0,82.0,8.0,,6.0,1.0,,22.0,240.0,,,13.0,9.0,7.0,4.0,1.0,1.0,1.0,,,,,,,,,,,3.0,1.0,,,,,2.0,4.0,11.0,11.0,4.0,3.0,34.0,45.0,1.0,1.0,1.0,3.0,4.0,2.0,10.0,,,2.0,5.0,3.0,,8.0,4.0,43.0,37.0,3.0,26.0,12.0,2.0,1.0,16.0,29.0,10.0,10.0,1.0,,2.0,1.0,,114.0,,,,,,,12.0,,,,12.0,,5.0,5.0,1.0,6.0,76.0,43.0,22.0,5.0,,2.0,3.0,3.0,281.0,4.0,,,25.0,33.0,16.0,,,,,1.0,104.0,104.0,3.0,25.0,8.0,35.3,,,,2.0,9.0,0.0,83.0,4.0,2.0,6.0,,1.0,1.0,2.0,,,5.0,5.0,44.0,223.0,4.0,5.0,189.0,49.0,26.0,10.0,2.0,11.0,9.0,1.0,66.0,1.0,129.0,,,11.0,,59.0,3.0,307.0,,1.0,7.0,16.0,1.0,17.0,1.0,468.0,13.0,7.0,4.0,2.0,10.0,0.0
2292902,10,2022-10-08 17:30:00,6,Spurs,Away,242.0,23.0,,2.0,2.0,1.0,1.0,158.0,5.0,,2.0,1.0,5.0,18.0,398.0,,1.0,13.0,12.0,11.0,5.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,5.0,,,,,,1.0,6.0,8.0,6.0,4.0,4.0,78.0,68.0,1.0,,1.0,2.0,8.0,1.0,9.0,,,2.0,5.0,,,9.0,3.0,51.0,42.0,2.0,19.0,11.0,,1.0,25.0,54.0,14.0,8.0,1.0,,2.0,1.0,1.0,155.0,1.0,,1.0,,1.0,,7.0,,,1.0,11.0,,11.0,11.0,2.0,2.0,118.0,63.0,37.0,6.0,,4.0,3.0,3.0,466.0,5.0,1.0,,51.0,57.0,17.0,,,,,,134.0,134.0,6.0,34.0,20.0,41.1,,,,,18.0,0.0,138.0,2.0,2.0,4.0,,2.0,1.0,4.0,,,3.0,14.0,58.0,379.0,8.0,7.0,270.0,42.0,19.0,16.0,1.0,7.0,6.0,1.0,99.0,2.0,226.0,2.0,,10.0,5.0,51.0,3.0,489.0,,0.0,8.0,15.0,2.0,14.0,2.0,655.0,16.0,16.0,8.0,2.0,12.0,0.0
