matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321665,1,2010-08-14 12:45:00,6,Spurs,Home,133.0,18.0,2.0,6.0,4.0,2.0,1.0,158.0,4.0,,8.0,6.0,11.0,38.0,285.0,,2.0,17.0,23.0,9.0,12.0,1.0,4.0,,,,,,,,,16.0,,,,1.0,1.0,2.0,6.0,8.0,53.0,63.0,1.0,2.0,,3.0,7.0,6.0,,10.0,13.0,10.0,,15.0,1.0,70.0,60.0,3.0,9.0,7.0,,,56.0,13.0,16.0,,,4.0,3.0,,127.0,,,,,,,9.0,,1.0,,10.0,2.0,32.0,25.0,3.0,8.0,100.0,92.0,49.0,3.0,,4.0,9.0,8.0,8.0,3.0,,49.0,60.0,29.0,,,,,,176.0,165.0,3.0,24.0,27.0,39.2,2.0,,0.0,94.0,1.0,1.0,3.0,4.0,6.0,1.0,3.0,63.0,13.0,149.0,38.0,20.0,21.0,8.0,34.0,26.0,4.0,106.0,7.0,259.0,1.0,,24.0,13.0,69.0,1.0,374.0,,0.0,21.0,27.0,2.0,21.0,0.0,613.0,7.0,8.0,10.0,24.0,0.0
321673,2,2010-08-21 15:00:00,6,Spurs,Away,217.0,21.0,1.0,1.0,,4.0,,152.0,6.0,,9.0,5.0,25.0,49.0,368.0,,3.0,8.0,20.0,14.0,4.0,,1.0,,,,1.0,,,,,7.0,,,,,,1.0,13.0,6.0,64.0,55.0,3.0,4.0,,7.0,2.0,4.0,1.0,2.0,8.0,2.0,,12.0,3.0,50.0,58.0,7.0,33.0,22.0,1.0,1.0,79.0,5.0,15.0,,,2.0,,1.0,167.0,1.0,,1.0,1.0,,,15.0,2.0,1.0,,36.0,,15.0,13.0,3.0,9.0,114.0,102.0,44.0,6.0,2.0,,5.0,6.0,7.0,2.0,,76.0,39.0,25.0,,,,,,171.0,151.0,,25.0,17.0,58.3,,3.0,0.0,121.0,4.0,2.0,,1.0,1.0,,1.0,53.0,5.0,237.0,37.0,53.0,20.0,1.0,11.0,10.0,1.0,102.0,14.0,240.0,1.0,,31.0,28.0,84.0,1.0,466.0,,0.0,9.0,18.0,6.0,11.0,1.0,678.0,7.0,11.0,2.0,15.0,0.0
321685,3,2010-08-28 15:00:00,6,Spurs,Home,189.0,33.0,5.0,10.0,5.0,6.0,1.0,231.0,9.0,1.0,8.0,1.0,22.0,46.0,410.0,,2.0,23.0,9.0,18.0,6.0,3.0,,1.0,,,3.0,,,,,8.0,,,,,,1.0,7.0,10.0,66.0,53.0,1.0,1.0,,,6.0,4.0,,16.0,16.0,14.0,,13.0,,46.0,52.0,,15.0,11.0,,,93.0,12.0,11.0,,,5.0,4.0,3.0,178.0,,,,,,,11.0,,,2.0,17.0,,14.0,12.0,,8.0,130.0,88.0,52.0,7.0,,4.0,5.0,3.0,6.0,1.0,,89.0,55.0,35.0,,,,,,194.0,186.0,1.0,17.0,26.0,63.4,,1.0,0.0,137.0,1.0,1.0,,,6.0,1.0,3.0,105.0,9.0,204.0,61.0,23.0,17.0,12.0,46.0,34.0,,166.0,21.0,353.0,,1.0,12.0,23.0,76.0,2.0,511.0,,0.0,15.0,16.0,7.0,28.0,3.0,739.0,16.0,7.0,16.0,11.0,0.0
321694,4,2010-09-11 15:00:00,6,Spurs,Away,208.0,13.0,2.0,4.0,2.0,4.0,,182.0,11.0,,4.0,4.0,20.0,39.0,386.0,,2.0,19.0,6.0,7.0,8.0,1.0,1.0,1.0,,3.0,4.0,,,,,12.0,,,,,,,12.0,6.0,57.0,49.0,2.0,2.0,1.0,4.0,4.0,7.0,,4.0,7.0,2.0,,16.0,4.0,46.0,42.0,4.0,17.0,11.0,,,60.0,11.0,11.0,,,6.0,2.0,4.0,153.0,,,,,,,13.0,1.0,3.0,2.0,16.0,,15.0,14.0,1.0,4.0,127.0,72.0,43.0,9.0,1.0,3.0,6.0,6.0,4.0,2.0,,76.0,48.0,9.0,,,,,,132.0,123.0,1.0,24.0,17.0,59.7,,,0.0,122.0,4.0,2.0,,1.0,7.0,,3.0,75.0,9.0,224.0,21.0,26.0,14.0,4.0,15.0,11.0,1.0,113.0,10.0,250.0,3.0,,15.0,21.0,50.0,1.0,459.0,1.0,0.0,17.0,18.0,3.0,24.0,1.0,657.0,5.0,6.0,4.0,13.0,0.0
321704,5,2010-09-18 15:00:00,6,Spurs,Home,198.0,20.0,2.0,12.0,10.0,9.0,1.0,183.0,6.0,,4.0,12.0,13.0,35.0,369.0,,1.0,22.0,5.0,15.0,18.0,2.0,2.0,,,1.0,1.0,,,,,20.0,1.0,,,,,1.0,4.0,2.0,59.0,52.0,,,2.0,7.0,8.0,4.0,,5.0,12.0,11.0,1.0,14.0,,35.0,48.0,7.0,11.0,4.0,,,63.0,9.0,11.0,1.0,,5.0,3.0,1.0,154.0,,,,,,,7.0,2.0,2.0,2.0,12.0,,19.0,18.0,,4.0,129.0,88.0,53.0,5.0,1.0,10.0,10.0,8.0,2.0,2.0,,44.0,67.0,34.0,,,,,1.0,152.0,140.0,,19.0,28.0,57.7,,1.0,0.0,110.0,,,1.0,2.0,10.0,,3.0,73.0,20.0,220.0,41.0,23.0,11.0,4.0,30.0,26.0,2.0,113.0,11.0,262.0,2.0,,24.0,14.0,60.0,4.0,452.0,,0.0,26.0,16.0,5.0,26.0,3.0,658.0,9.0,6.0,5.0,10.0,0.0
321715,6,2010-09-25 15:00:00,6,Spurs,Away,213.0,15.0,,8.0,8.0,,,245.0,8.0,,9.0,5.0,19.0,42.0,450.0,,1.0,10.0,17.0,13.0,16.0,1.0,,,,,1.0,,,,,16.0,,,,,,1.0,15.0,10.0,66.0,48.0,2.0,2.0,,12.0,8.0,13.0,,7.0,10.0,11.0,,10.0,4.0,57.0,54.0,12.0,19.0,11.0,,,66.0,12.0,10.0,,,5.0,2.0,1.0,160.0,,,,,,,8.0,,1.0,1.0,22.0,1.0,11.0,10.0,2.0,9.0,139.0,63.0,43.0,14.0,,7.0,10.0,5.0,10.0,2.0,,72.0,63.0,26.0,,,,,,142.0,124.0,,22.0,15.0,63.9,,,0.0,156.0,2.0,4.0,1.0,,7.0,,3.0,108.0,17.0,225.0,30.0,37.0,17.0,6.0,29.0,23.0,,149.0,5.0,325.0,1.0,,19.0,21.0,62.0,,521.0,,0.0,20.0,20.0,4.0,13.0,0.0,753.0,11.0,11.0,7.0,13.0,0.0
321723,7,2010-10-02 15:00:00,6,Spurs,Home,118.0,18.0,3.0,10.0,7.0,4.0,,189.0,8.0,,12.0,9.0,18.0,31.0,297.0,1.0,1.0,22.0,6.0,15.0,14.0,4.0,1.0,1.0,,,1.0,,,,,17.0,,,,,,1.0,6.0,7.0,43.0,41.0,3.0,4.0,1.0,2.0,12.0,5.0,,10.0,11.0,5.0,,13.0,,41.0,53.0,2.0,10.0,4.0,1.0,,67.0,12.0,18.0,,,6.0,3.0,1.0,154.0,2.0,,2.0,1.0,1.0,,14.0,1.0,1.0,,4.0,,11.0,6.0,3.0,14.0,95.0,98.0,54.0,4.0,2.0,6.0,14.0,4.0,1.0,2.0,,63.0,53.0,20.0,,,,,,163.0,158.0,3.0,13.0,10.0,53.1,,,0.0,102.0,1.0,1.0,1.0,1.0,11.0,,3.0,104.0,20.0,131.0,28.0,15.0,11.0,9.0,28.0,19.0,1.0,151.0,9.0,291.0,1.0,,33.0,18.0,54.0,2.0,394.0,1.0,0.0,27.0,14.0,1.0,25.0,1.0,591.0,10.0,6.0,10.0,9.0,0.0
321733,8,2010-10-16 15:00:00,6,Spurs,Away,145.0,20.0,2.0,6.0,4.0,4.0,,222.0,2.0,2.0,5.0,9.0,24.0,47.0,361.0,1.0,,20.0,19.0,18.0,9.0,2.0,1.0,,,,,,,,,13.0,,,1.0,,,,11.0,7.0,63.0,65.0,,,1.0,4.0,4.0,2.0,,11.0,17.0,9.0,,18.0,2.0,64.0,60.0,4.0,13.0,3.0,,,76.0,13.0,7.0,1.0,,1.0,,,164.0,,,,,,,9.0,1.0,1.0,2.0,11.0,1.0,17.0,14.0,1.0,8.0,119.0,90.0,41.0,4.0,1.0,5.0,6.0,5.0,3.0,2.0,,84.0,79.0,13.0,,,,,,190.0,179.0,3.0,27.0,26.0,50.6,1.0,1.0,0.0,112.0,2.0,2.0,1.0,1.0,9.0,1.0,3.0,119.0,11.0,165.0,34.0,24.0,24.0,6.0,32.0,26.0,1.0,166.0,7.0,325.0,1.0,2.0,35.0,26.0,76.0,2.0,458.0,2.0,0.0,18.0,25.0,2.0,21.0,1.0,703.0,9.0,10.0,11.0,20.0,0.0
321743,9,2010-10-23 12:45:00,6,Spurs,Home,164.0,23.0,1.0,8.0,7.0,1.0,1.0,165.0,8.0,,6.0,5.0,16.0,31.0,321.0,,1.0,22.0,11.0,8.0,9.0,1.0,,,,,,,,,,11.0,,,,,,,,7.0,46.0,59.0,2.0,1.0,1.0,5.0,3.0,3.0,,4.0,13.0,10.0,,15.0,1.0,54.0,60.0,5.0,19.0,14.0,,,71.0,15.0,14.0,,,4.0,5.0,,150.0,1.0,,,1.0,,,10.0,1.0,2.0,,28.0,,18.0,16.0,,6.0,97.0,79.0,49.0,4.0,1.0,4.0,7.0,4.0,1.0,1.0,,62.0,60.0,30.0,,,,,,164.0,145.0,2.0,30.0,20.0,53.4,,1.0,0.0,110.0,,1.0,1.0,,7.0,,2.0,77.0,11.0,181.0,46.0,38.0,21.0,4.0,32.0,28.0,,129.0,9.0,254.0,2.0,,17.0,17.0,63.0,,403.0,2.0,0.0,14.0,27.0,4.0,24.0,3.0,641.0,9.0,11.0,4.0,16.0,0.0
321754,10,2010-10-30 17:30:00,6,Spurs,Away,191.0,12.0,2.0,3.0,2.0,2.0,,182.0,9.0,,7.0,4.0,10.0,37.0,370.0,,,16.0,12.0,13.0,8.0,3.0,,,,,,,,,,,,,,1.0,,,9.0,10.0,65.0,60.0,,,,3.0,4.0,5.0,,4.0,13.0,4.0,,11.0,4.0,47.0,49.0,3.0,7.0,2.0,1.0,,61.0,11.0,12.0,,,,,,150.0,,,,,,,13.0,,1.0,1.0,5.0,1.0,23.0,18.0,,7.0,127.0,87.0,48.0,1.0,,5.0,6.0,2.0,1.0,1.0,,80.0,58.0,15.0,,,,,,152.0,146.0,1.0,18.0,28.0,48.7,1.0,,0.0,117.0,3.0,5.0,1.0,,7.0,,3.0,70.0,11.0,206.0,24.0,13.0,18.0,4.0,21.0,18.0,,116.0,12.0,274.0,1.0,,24.0,11.0,61.0,2.0,459.0,1.0,0.0,13.0,15.0,,19.0,3.0,654.0,9.0,9.0,4.0,11.0,0.0
