matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694903,1.0,2013-08-18 13:30:00,6,Spurs,Away,181.0,21.0,1.0,7.0,6.0,4.0,1.0,259.0,4.0,3.0,4.0,3.0,18.0,31.0,433.0,,,19.0,29.0,16.0,13.0,2.0,,1.0,,,,,,,,,,14.0,1.0,,1.0,,,1.0,2.0,3.0,2.0,,,,97.0,65.0,2.0,2.0,1.0,,12.0,3.0,7.0,,,7.0,11.0,6.0,,15.0,2.0,62.0,62.0,,37.0,22.0,,,78.0,8.0,6.0,1.0,,2.0,1.0,,175.0,,,,,,,5.0,,,,1.0,,,,,22.0,1.0,19.0,19.0,,4.0,108.0,87.0,51.0,3.0,,11.0,4.0,3.0,492.0,,,,3.0,,73.0,125.0,18.0,,,,,1.0,140.0,140.0,6.0,22.0,26.0,58.2,1.0,1.0,12.0,0.0,,,,130.0,3.0,,3.0,,1.0,12.0,,3.0,123.0,423.0,6.0,15.0,192.0,33.0,37.0,23.0,6.0,24.0,18.0,1.0,173.0,7.0,342.0,1.0,3.0,22.0,18.0,61.0,,510.0,2.0,0.0,18.0,24.0,,22.0,0.0,744.0,,18.0,17.0,7.0,16.0,0.0
694920,2.0,2013-08-25 16:00:00,6,Spurs,Home,172.0,6.0,3.0,5.0,2.0,3.0,1.0,214.0,2.0,1.0,5.0,5.0,13.0,28.0,381.0,1.0,,12.0,22.0,14.0,11.0,5.0,,2.0,,1.0,,1.0,,,,,1.0,14.0,1.0,,,,,2.0,3.0,3.0,4.0,,,,78.0,65.0,2.0,3.0,1.0,1.0,11.0,4.0,10.0,,1.0,8.0,11.0,2.0,,5.0,2.0,53.0,72.0,1.0,30.0,18.0,,,81.0,10.0,15.0,1.0,,8.0,3.0,1.0,160.0,,,,,,,7.0,,,,2.0,,,,,18.0,1.0,10.0,10.0,,5.0,100.0,82.0,50.0,3.0,,7.0,9.0,7.0,439.0,,,,2.0,,78.0,47.0,12.0,,,,,1.0,125.0,125.0,1.0,21.0,35.0,47.6,,,11.0,0.0,,,,116.0,3.0,2.0,5.0,2.0,2.0,10.0,,3.0,89.0,373.0,4.0,16.0,180.0,21.0,30.0,31.0,8.0,24.0,16.0,2.0,129.0,6.0,298.0,3.0,1.0,16.0,15.0,54.0,,454.0,1.0,0.0,21.0,22.0,1.0,18.0,1.0,672.0,,6.0,22.0,8.0,18.0,0.0
694930,3.0,2013-09-01 16:00:00,6,Spurs,Away,226.0,16.0,,4.0,4.0,4.0,,214.0,4.0,4.0,5.0,4.0,30.0,39.0,436.0,,,17.0,19.0,15.0,10.0,1.0,,,,1.0,,1.0,,,,,,9.0,,,,,,4.0,,5.0,7.0,4.0,10.0,,87.0,66.0,,,,3.0,7.0,4.0,9.0,,,6.0,19.0,,,20.0,4.0,68.0,57.0,3.0,19.0,12.0,1.0,,64.0,14.0,15.0,,,4.0,1.0,1.0,171.0,,,,,,,9.0,,,,,,,,,12.0,,12.0,12.0,,5.0,111.0,82.0,52.0,3.0,,3.0,8.0,5.0,490.0,,,2.0,2.0,,82.0,68.0,36.0,,,,,,154.0,154.0,3.0,22.0,34.0,56.6,,1.0,14.0,0.0,,,,149.0,2.0,2.0,4.0,2.0,,5.0,,3.0,87.0,416.0,7.0,11.0,236.0,32.0,19.0,23.0,5.0,25.0,20.0,1.0,135.0,7.0,307.0,,4.0,22.0,31.0,64.0,,518.0,,0.0,14.0,14.0,1.0,27.0,2.0,725.0,24.0,10.0,14.0,6.0,10.0,0.0
694940,4.0,2013-09-14 15:00:00,6,Spurs,Home,222.0,14.0,2.0,6.0,4.0,4.0,,354.0,1.0,,3.0,2.0,32.0,42.0,570.0,,,35.0,13.0,24.0,18.0,,,,,,,,,,,,,19.0,,,,1.0,,1.0,,3.0,2.0,,,,94.0,62.0,3.0,1.0,2.0,1.0,13.0,6.0,5.0,,,8.0,20.0,5.0,,16.0,,49.0,64.0,1.0,23.0,18.0,,,73.0,4.0,12.0,,,2.0,1.0,,208.0,2.0,,2.0,2.0,,,1.0,,,2.0,1.0,,,,2.0,18.0,1.0,14.0,14.0,,3.0,156.0,94.0,68.0,1.0,2.0,8.0,12.0,7.0,635.0,,,4.0,1.0,,115.0,117.0,17.0,,,,,,161.0,161.0,7.0,16.0,34.0,69.0,1.0,2.0,13.0,0.0,,,,195.0,1.0,,1.0,,,10.0,1.0,3.0,169.0,557.0,4.0,20.0,232.0,22.0,23.0,29.0,7.0,33.0,26.0,1.0,221.0,6.0,454.0,1.0,,23.0,33.0,67.0,1.0,653.0,,0.0,23.0,15.0,1.0,41.0,1.0,894.0,,14.0,16.0,8.0,14.0,0.0
694941,5.0,2013-09-22 16:00:00,6,Spurs,Away,139.0,16.0,2.0,5.0,3.0,2.0,,283.0,3.0,,2.0,7.0,30.0,33.0,417.0,,1.0,22.0,23.0,21.0,18.0,2.0,,,,,,1.0,,,,,,22.0,,,1.0,,,1.0,2.0,3.0,3.0,,,,89.0,57.0,,1.0,,2.0,9.0,8.0,5.0,,,12.0,16.0,5.0,,13.0,,58.0,50.0,2.0,16.0,12.0,,,77.0,8.0,4.0,,,1.0,1.0,1.0,164.0,1.0,,1.0,1.0,,,8.0,,,1.0,1.0,,,,1.0,12.0,1.0,9.0,9.0,,2.0,137.0,97.0,45.0,2.0,1.0,7.0,14.0,12.0,498.0,,,2.0,2.0,,77.0,107.0,20.0,,,,,,171.0,171.0,3.0,21.0,28.0,63.7,1.0,,9.0,0.0,,,,123.0,,,,,,9.0,,3.0,170.0,411.0,5.0,21.0,162.0,27.0,16.0,20.0,11.0,33.0,22.0,,211.0,8.0,384.0,1.0,,42.0,30.0,68.0,1.0,513.0,2.0,0.0,29.0,15.0,1.0,29.0,4.0,720.0,,9.0,10.0,12.0,11.0,0.0
694960,6.0,2013-09-28 12:45:00,6,Spurs,Home,136.0,6.0,,1.0,1.0,2.0,1.0,192.0,2.0,,5.0,6.0,10.0,31.0,327.0,,2.0,14.0,24.0,7.0,10.0,,,,,,,,,,,,2.0,12.0,,,,,1.0,,7.0,5.0,6.0,,,,56.0,52.0,2.0,1.0,1.0,2.0,13.0,3.0,3.0,,,4.0,4.0,4.0,,15.0,3.0,61.0,57.0,2.0,28.0,14.0,,,58.0,16.0,14.0,,1.0,2.0,1.0,,151.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,,14.0,1.0,16.0,16.0,2.0,5.0,92.0,81.0,38.0,5.0,1.0,5.0,6.0,3.0,381.0,,,3.0,1.0,,67.0,79.0,11.0,,,,,,138.0,138.0,6.0,15.0,18.0,53.5,1.0,2.0,13.0,0.0,,,,110.0,1.0,3.0,4.0,,,6.0,,3.0,93.0,309.0,7.0,11.0,151.0,14.0,28.0,29.0,4.0,13.0,9.0,,134.0,7.0,271.0,1.0,,29.0,13.0,62.0,2.0,409.0,,0.0,12.0,14.0,2.0,18.0,5.0,616.0,,10.0,23.0,4.0,11.0,0.0
694969,7.0,2013-10-06 16:00:00,6,Spurs,Home,183.0,7.0,1.0,4.0,3.0,1.0,1.0,239.0,4.0,,7.0,6.0,12.0,36.0,418.0,,1.0,22.0,13.0,13.0,10.0,,,,,,,1.0,,,,,1.0,11.0,,,,,,,1.0,11.0,5.0,,,,58.0,61.0,1.0,1.0,,2.0,12.0,4.0,8.0,,,6.0,16.0,3.0,,20.0,1.0,53.0,55.0,2.0,16.0,8.0,,,58.0,5.0,9.0,,,4.0,1.0,1.0,157.0,,,,,,,11.0,,,,1.0,,,,,8.0,,13.0,13.0,1.0,8.0,134.0,90.0,56.0,7.0,,4.0,6.0,4.0,487.0,,,2.0,2.0,,52.0,70.0,15.0,,,,,,153.0,153.0,3.0,19.0,27.0,60.8,,1.0,12.0,0.0,,,,153.0,2.0,,2.0,,,6.0,,3.0,100.0,404.0,3.0,10.0,200.0,19.0,16.0,21.0,4.0,24.0,20.0,,142.0,7.0,326.0,1.0,,24.0,13.0,61.0,3.0,502.0,,0.0,14.0,19.0,5.0,24.0,0.0,709.0,,7.0,14.0,6.0,17.0,0.0
694971,8.0,2013-10-20 16:00:00,6,Spurs,Away,252.0,10.0,,6.0,6.0,3.0,,178.0,9.0,1.0,5.0,6.0,21.0,42.0,424.0,,,17.0,17.0,15.0,8.0,,,,,,,,,,,,,10.0,,,,,,,4.0,6.0,9.0,,,,79.0,62.0,3.0,2.0,1.0,3.0,22.0,1.0,9.0,,1.0,7.0,15.0,2.0,,10.0,,55.0,54.0,3.0,22.0,12.0,,1.0,57.0,12.0,12.0,1.0,,3.0,1.0,,184.0,2.0,,1.0,2.0,,,15.0,,,2.0,1.0,,,,,12.0,,13.0,13.0,1.0,6.0,128.0,95.0,51.0,4.0,1.0,4.0,6.0,6.0,512.0,,,2.0,5.0,,84.0,62.0,15.0,,,,,,170.0,170.0,3.0,22.0,29.0,62.9,,1.0,22.0,0.0,,,,140.0,1.0,1.0,2.0,,,6.0,,3.0,83.0,410.0,10.0,10.0,282.0,27.0,22.0,18.0,5.0,23.0,18.0,2.0,129.0,7.0,272.0,1.0,1.0,31.0,21.0,76.0,1.0,531.0,,0.0,13.0,18.0,,19.0,4.0,746.0,,14.0,11.0,7.0,13.0,0.0
694990,9.0,2013-10-27 16:00:00,6,Spurs,Home,182.0,11.0,3.0,4.0,1.0,5.0,,296.0,6.0,,3.0,3.0,27.0,46.0,474.0,,,23.0,10.0,16.0,7.0,3.0,1.0,2.0,,,1.0,1.0,,,,,,10.0,1.0,,,,,2.0,4.0,6.0,4.0,5.0,10.0,,61.0,67.0,1.0,1.0,1.0,2.0,12.0,3.0,4.0,,,6.0,9.0,4.0,,18.0,2.0,53.0,54.0,2.0,28.0,20.0,,1.0,66.0,13.0,7.0,1.0,,5.0,2.0,1.0,165.0,,,,,,,9.0,,,,,,,,,20.0,,12.0,12.0,,3.0,153.0,62.0,46.0,4.0,,5.0,5.0,6.0,532.0,,,2.0,4.0,,57.0,85.0,35.0,,,,,1.0,144.0,144.0,10.0,27.0,24.0,66.2,,1.0,12.0,0.0,,,,172.0,2.0,2.0,4.0,4.0,2.0,6.0,,3.0,122.0,460.0,5.0,10.0,201.0,17.0,28.0,22.0,6.0,21.0,15.0,3.0,163.0,7.0,371.0,,,14.0,27.0,59.0,1.0,551.0,,0.0,15.0,19.0,1.0,26.0,3.0,765.0,22.0,15.0,13.0,6.0,16.0,0.0
694992,10.0,2013-11-03 13:30:00,6,Spurs,Away,123.0,13.0,1.0,3.0,2.0,2.0,,177.0,8.0,3.0,3.0,8.0,12.0,34.0,297.0,,,16.0,19.0,14.0,11.0,,,,,,1.0,1.0,,,,,,14.0,,,,,,,1.0,4.0,4.0,,,,49.0,66.0,,,,7.0,17.0,6.0,10.0,,1.0,4.0,10.0,4.0,,12.0,1.0,55.0,53.0,7.0,30.0,12.0,,,56.0,9.0,11.0,,,3.0,2.0,1.0,136.0,,,,,,,12.0,,,,1.0,,,,1.0,12.0,,23.0,23.0,2.0,3.0,90.0,74.0,45.0,7.0,,3.0,8.0,6.0,364.0,,,3.0,5.0,,61.0,73.0,16.0,,,,,,139.0,139.0,3.0,18.0,39.0,47.8,,1.0,17.0,0.0,,,,99.0,1.0,,1.0,1.0,,4.0,,3.0,107.0,289.0,7.0,11.0,144.0,25.0,30.0,17.0,4.0,20.0,16.0,,147.0,11.0,250.0,1.0,3.0,22.0,15.0,54.0,,374.0,,0.0,16.0,17.0,,22.0,1.0,597.0,,12.0,11.0,4.0,15.0,0.0
695010,11.0,2013-11-10 12:00:00,6,Spurs,Home,205.0,17.0,2.0,6.0,4.0,3.0,,198.0,1.0,1.0,7.0,4.0,15.0,53.0,397.0,,,30.0,12.0,14.0,14.0,5.0,,,,1.0,2.0,4.0,,,,,,20.0,,,1.0,,,2.0,2.0,6.0,2.0,,,,60.0,56.0,2.0,4.0,,,11.0,7.0,10.0,,1.0,11.0,18.0,7.0,,19.0,3.0,56.0,58.0,,31.0,25.0,1.0,,73.0,5.0,15.0,,,4.0,,4.0,161.0,,,,,,,3.0,,,,,,,,,25.0,1.0,18.0,18.0,1.0,8.0,120.0,68.0,44.0,4.0,,8.0,11.0,14.0,449.0,,,1.0,2.0,,54.0,82.0,17.0,,,,,,156.0,156.0,1.0,20.0,26.0,65.3,1.0,2.0,11.0,0.0,,,,131.0,2.0,1.0,3.0,1.0,,10.0,1.0,3.0,90.0,378.0,3.0,19.0,215.0,31.0,31.0,20.0,11.0,36.0,25.0,,133.0,5.0,293.0,,1.0,14.0,15.0,68.0,2.0,472.0,1.0,0.0,31.0,20.0,2.0,33.0,1.0,733.0,,12.0,10.0,11.0,18.0,0.0
695015,12.0,2013-11-24 13:30:00,6,Spurs,Away,184.0,8.0,1.0,3.0,2.0,,,249.0,3.0,,5.0,3.0,21.0,29.0,430.0,1.0,,15.0,10.0,10.0,9.0,1.0,,,,,,,1.0,,,,,10.0,,,,,,1.0,4.0,11.0,5.0,,,,74.0,57.0,1.0,1.0,,,18.0,2.0,14.0,1.0,,7.0,10.0,,,20.0,1.0,61.0,51.0,,12.0,8.0,2.0,,47.0,11.0,6.0,,,1.0,,,163.0,,,,,,,7.0,,,,,,,,,8.0,,13.0,13.0,2.0,5.0,131.0,80.0,51.0,4.0,,4.0,6.0,5.0,488.0,,,3.0,1.0,1.0,66.0,70.0,22.0,,,,,,134.0,134.0,2.0,21.0,28.0,53.1,,,18.0,0.0,,,,142.0,3.0,2.0,4.0,1.0,,6.0,,3.0,93.0,413.0,7.0,10.0,197.0,19.0,12.0,18.0,7.0,17.0,10.0,,131.0,3.0,330.0,,,16.0,21.0,47.0,5.0,510.0,2.0,0.0,13.0,23.0,2.0,19.0,3.0,685.0,,4.0,12.0,7.0,19.0,0.0
695029,13.0,2013-12-01 12:00:00,6,Spurs,Home,99.0,10.0,2.0,4.0,2.0,4.0,,126.0,1.0,1.0,3.0,4.0,3.0,17.0,221.0,,2.0,21.0,20.0,14.0,3.0,3.0,,1.0,1.0,1.0,,3.0,,,,,,4.0,,,,,,2.0,1.0,6.0,2.0,,,,39.0,56.0,,,,8.0,16.0,3.0,8.0,,,7.0,7.0,4.0,1.0,18.0,1.0,59.0,51.0,8.0,20.0,13.0,1.0,,52.0,9.0,13.0,,,8.0,3.0,3.0,125.0,1.0,,,1.0,,,8.0,,,1.0,1.0,,,,,13.0,,14.0,14.0,2.0,3.0,64.0,83.0,31.0,7.0,1.0,1.0,6.0,4.0,289.0,,,3.0,2.0,,60.0,35.0,12.0,1.0,1.0,1.0,,,157.0,157.0,1.0,26.0,22.0,40.0,,1.0,16.0,0.0,,,,76.0,1.0,,1.0,,1.0,3.0,1.0,3.0,66.0,211.0,11.0,7.0,116.0,19.0,20.0,6.0,7.0,21.0,14.0,2.0,102.0,6.0,209.0,1.0,2.0,28.0,6.0,41.0,2.0,304.0,,0.0,10.0,24.0,3.0,30.0,1.0,525.0,,15.0,2.0,7.0,17.0,0.0
695040,14.0,2013-12-04 20:00:00,6,Spurs,Away,187.0,10.0,1.0,4.0,3.0,6.0,,256.0,6.0,1.0,5.0,1.0,19.0,34.0,439.0,1.0,,22.0,17.0,10.0,11.0,2.0,,3.0,,,,,,,,,,16.0,,,,,,,5.0,11.0,5.0,,,,64.0,66.0,2.0,2.0,,4.0,22.0,6.0,13.0,,,7.0,10.0,2.0,1.0,13.0,4.0,66.0,39.0,4.0,34.0,17.0,,1.0,71.0,16.0,6.0,,,1.0,,,173.0,1.0,,,1.0,,,8.0,,,1.0,2.0,,,,2.0,17.0,,15.0,15.0,4.0,6.0,146.0,82.0,49.0,9.0,1.0,7.0,7.0,5.0,515.0,,,3.0,3.0,,68.0,100.0,11.0,,,,,,150.0,150.0,2.0,30.0,23.0,60.6,,3.0,22.0,0.0,,,,150.0,4.0,1.0,5.0,2.0,3.0,7.0,1.0,3.0,125.0,427.0,11.0,14.0,212.0,25.0,34.0,18.0,6.0,18.0,12.0,3.0,166.0,11.0,339.0,2.0,1.0,18.0,21.0,55.0,,533.0,2.0,0.0,18.0,15.0,,25.0,1.0,755.0,,10.0,8.0,7.0,12.0,0.0
