matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855177,1,2016-08-13 15:00:00,6,Spurs,Away,158.0,27.0,1.0,4.0,3.0,3.0,,230.0,4.0,1.0,5.0,1.0,8.0,51.0,384.0,,,33.0,16.0,10.0,6.0,1.0,4.0,,1.0,,,1.0,,,,,,8.0,,,,,,,,8.0,6.0,6.0,8.0,5.0,74.0,40.0,,1.0,,1.0,27.0,5.0,9.0,,,6.0,10.0,5.0,,16.0,1.0,63.0,50.0,1.0,14.0,10.0,,1.0,77.0,14.0,10.0,,,2.0,,1.0,168.0,1.0,,1.0,1.0,,,6.0,1.0,2.0,,13.0,1.0,15.0,15.0,1.0,5.0,122.0,73.0,39.0,5.0,1.0,3.0,5.0,4.0,461.0,2.0,2.0,,97.0,50.0,35.0,,,,,164.0,164.0,2.0,19.0,11.0,57.5,,,1.0,,27.0,0.0,119.0,4.0,1.0,5.0,1.0,,4.0,,2.0,129.0,368.0,12.0,8.0,182.0,48.0,22.0,22.0,6.0,21.0,15.0,,176.0,7.0,322.0,2.0,1.0,16.0,8.0,84.0,,483.0,,0.0,13.0,18.0,,42.0,0.0,710.0,20.0,12.0,13.0,6.0,13.0,0.0
855188,2,2016-08-20 15:00:00,6,Spurs,Home,165.0,18.0,6.0,6.0,,1.0,,194.0,1.0,,9.0,12.0,13.0,36.0,353.0,,2.0,13.0,8.0,13.0,8.0,5.0,6.0,,,,,1.0,,,,,1.0,13.0,,,,,,,,16.0,4.0,6.0,10.0,10.0,63.0,55.0,3.0,4.0,1.0,5.0,14.0,6.0,13.0,,,10.0,9.0,2.0,,13.0,,68.0,59.0,5.0,31.0,18.0,,,66.0,19.0,9.0,,,3.0,,1.0,167.0,1.0,,,,1.0,,7.0,,,,18.0,,8.0,8.0,2.0,9.0,108.0,72.0,40.0,3.0,1.0,7.0,7.0,5.0,425.0,2.0,3.0,,76.0,42.0,29.0,,,,,149.0,149.0,1.0,20.0,23.0,56.9,,,,,14.0,0.0,102.0,1.0,1.0,2.0,,,9.0,1.0,3.0,90.0,345.0,7.0,14.0,186.0,32.0,42.0,23.0,10.0,21.0,11.0,,129.0,4.0,275.0,,,21.0,14.0,59.0,2.0,440.0,,0.0,20.0,29.0,3.0,18.0,3.0,674.0,19.0,9.0,8.0,11.0,22.0,0.0
855199,3,2016-08-27 12:30:00,6,Spurs,Home,147.0,20.0,3.0,5.0,2.0,6.0,,164.0,,2.0,4.0,9.0,13.0,50.0,306.0,,,20.0,6.0,16.0,5.0,2.0,2.0,,,,2.0,2.0,,,1.0,1.0,,7.0,,,,,,,,6.0,10.0,3.0,5.0,6.0,55.0,58.0,,,,,35.0,2.0,5.0,,,5.0,7.0,4.0,1.0,14.0,1.0,42.0,67.0,,19.0,8.0,,,70.0,11.0,17.0,,,3.0,1.0,2.0,167.0,1.0,,1.0,1.0,,,9.0,1.0,,,10.0,,10.0,10.0,,4.0,93.0,86.0,48.0,5.0,,4.0,4.0,4.0,388.0,6.0,1.0,,41.0,65.0,27.0,1.0,1.0,1.0,,166.0,166.0,3.0,23.0,24.0,49.3,,,1.0,,35.0,0.0,104.0,2.0,,2.0,1.0,,5.0,,3.0,75.0,289.0,17.0,8.0,168.0,42.0,27.0,18.0,5.0,17.0,12.0,,138.0,13.0,268.0,,3.0,25.0,15.0,91.0,2.0,419.0,,0.0,11.0,22.0,,27.0,3.0,631.0,10.0,11.0,12.0,5.0,17.0,0.0
855208,4,2016-09-10 15:00:00,6,Spurs,Away,199.0,22.0,,2.0,2.0,2.0,,229.0,6.0,,3.0,5.0,12.0,44.0,426.0,,,19.0,15.0,17.0,11.0,1.0,1.0,1.0,,,,,,,,,,18.0,,,,,,,1.0,7.0,9.0,7.0,14.0,6.0,84.0,57.0,2.0,1.0,2.0,2.0,15.0,8.0,11.0,,,8.0,11.0,2.0,,14.0,2.0,64.0,42.0,2.0,23.0,13.0,,,71.0,18.0,11.0,1.0,,4.0,,,167.0,4.0,,3.0,4.0,,1.0,7.0,4.0,1.0,2.0,14.0,1.0,11.0,11.0,,4.0,121.0,65.0,42.0,11.0,3.0,2.0,14.0,8.0,483.0,7.0,1.0,,49.0,71.0,38.0,,,,,135.0,135.0,2.0,22.0,26.0,60.3,,,,1.0,15.0,0.0,138.0,1.0,1.0,2.0,,1.0,4.0,,3.0,106.0,406.0,6.0,16.0,220.0,42.0,32.0,16.0,5.0,18.0,13.0,2.0,153.0,4.0,308.0,1.0,,11.0,13.0,69.0,,510.0,,0.0,20.0,8.0,,22.0,2.0,700.0,30.0,7.0,7.0,8.0,4.0,0.0
855219,5,2016-09-18 16:30:00,6,Spurs,Home,235.0,19.0,5.0,9.0,4.0,2.0,,320.0,5.0,,6.0,6.0,9.0,50.0,546.0,,,25.0,10.0,19.0,20.0,2.0,5.0,,2.0,,,2.0,,1.0,,,,24.0,,,,,1.0,,,5.0,5.0,1.0,16.0,15.0,82.0,58.0,,1.0,1.0,,8.0,7.0,10.0,1.0,,14.0,12.0,4.0,,12.0,,53.0,63.0,,15.0,11.0,,1.0,72.0,7.0,15.0,1.0,,4.0,3.0,2.0,172.0,,,,,,,6.0,1.0,,,12.0,1.0,6.0,6.0,,7.0,176.0,71.0,54.0,1.0,,10.0,12.0,9.0,591.0,2.0,5.0,,103.0,70.0,47.0,,,,,133.0,133.0,1.0,23.0,26.0,73.7,1.0,,,,8.0,0.0,183.0,2.0,,1.0,1.0,,15.0,1.0,3.0,151.0,527.0,3.0,22.0,249.0,29.0,17.0,27.0,11.0,30.0,19.0,,190.0,7.0,394.0,,,13.0,10.0,67.0,,613.0,,0.0,31.0,16.0,,28.0,1.0,835.0,38.0,10.0,13.0,14.0,15.0,0.0
855227,6,2016-09-24 15:00:00,6,Spurs,Away,202.0,18.0,2.0,2.0,,2.0,,252.0,5.0,4.0,1.0,1.0,17.0,38.0,452.0,,,22.0,16.0,18.0,13.0,1.0,1.0,,,,,,,,,,,18.0,,,,,,,,2.0,5.0,1.0,10.0,9.0,88.0,61.0,1.0,1.0,,1.0,18.0,7.0,12.0,,3.0,10.0,4.0,4.0,,19.0,,67.0,65.0,1.0,11.0,7.0,,,81.0,9.0,13.0,2.0,,2.0,1.0,,197.0,1.0,,,1.0,,,8.0,2.0,,1.0,7.0,,7.0,7.0,,1.0,123.0,85.0,45.0,2.0,,7.0,8.0,5.0,524.0,2.0,2.0,,87.0,45.0,37.0,,,,,158.0,158.0,6.0,21.0,30.0,58.4,,,,,18.0,0.0,142.0,1.0,,1.0,2.0,,7.0,,3.0,130.0,432.0,9.0,15.0,218.0,38.0,15.0,32.0,8.0,17.0,9.0,,182.0,4.0,349.0,,4.0,21.0,19.0,74.0,3.0,550.0,1.0,0.0,19.0,15.0,1.0,25.0,1.0,750.0,35.0,6.0,20.0,10.0,12.0,0.0
855239,7,2016-10-02 14:15:00,6,Spurs,Home,106.0,16.0,1.0,1.0,,,,143.0,4.0,,6.0,3.0,3.0,26.0,248.0,,1.0,13.0,13.0,11.0,6.0,,,,1.0,,,1.0,,,,,,10.0,,,1.0,,,,1.0,10.0,6.0,6.0,7.0,6.0,52.0,70.0,1.0,1.0,1.0,,19.0,2.0,22.0,,,4.0,8.0,1.0,,20.0,4.0,82.0,56.0,,26.0,15.0,,,67.0,20.0,9.0,,,5.0,1.0,1.0,154.0,1.0,,1.0,1.0,,,8.0,1.0,,,16.0,,14.0,14.0,,6.0,73.0,77.0,29.0,3.0,1.0,2.0,5.0,7.0,325.0,3.0,1.0,,70.0,63.0,28.0,,,,1.0,175.0,175.0,5.0,21.0,32.0,42.3,,,,,19.0,0.0,69.0,4.0,2.0,6.0,,,4.0,,3.0,85.0,238.0,9.0,7.0,122.0,32.0,31.0,19.0,4.0,14.0,10.0,,140.0,,240.0,,,20.0,4.0,67.0,8.0,348.0,1.0,0.0,13.0,23.0,1.0,24.0,2.0,576.0,18.0,15.0,12.0,4.0,20.0,0.0
855251,8,2016-10-15 15:00:00,6,Spurs,Away,224.0,16.0,,3.0,3.0,3.0,1.0,319.0,6.0,,6.0,4.0,17.0,49.0,540.0,,,13.0,9.0,14.0,15.0,,,,,,1.0,1.0,,,,,1.0,18.0,,,,,,,1.0,5.0,7.0,1.0,10.0,10.0,92.0,51.0,1.0,1.0,,2.0,19.0,9.0,9.0,,,8.0,14.0,2.0,,9.0,2.0,43.0,52.0,2.0,37.0,23.0,,,81.0,10.0,14.0,,,5.0,2.0,1.0,174.0,1.0,,1.0,1.0,,,6.0,1.0,1.0,,23.0,,8.0,8.0,,6.0,158.0,52.0,37.0,5.0,1.0,3.0,13.0,8.0,578.0,1.0,3.0,,105.0,57.0,34.0,,,,,113.0,113.0,4.0,20.0,21.0,71.5,,,1.0,,19.0,0.0,177.0,3.0,,3.0,2.0,,3.0,,3.0,168.0,517.0,9.0,16.0,236.0,28.0,48.0,20.0,5.0,23.0,18.0,,205.0,3.0,388.0,1.0,,13.0,17.0,72.0,3.0,601.0,,0.0,20.0,11.0,,15.0,2.0,812.0,35.0,8.0,13.0,8.0,9.0,0.0
855252,9,2016-10-22 12:30:00,6,Spurs,Away,192.0,11.0,2.0,2.0,,2.0,,261.0,5.0,2.0,2.0,2.0,16.0,42.0,451.0,,,16.0,7.0,4.0,12.0,2.0,3.0,,,,1.0,1.0,,,,,,12.0,,,,1.0,,,,11.0,7.0,1.0,9.0,7.0,91.0,61.0,,,,,20.0,6.0,9.0,,,4.0,3.0,3.0,,16.0,1.0,54.0,41.0,,22.0,7.0,,,80.0,15.0,9.0,,,1.0,,1.0,191.0,,,,,,,10.0,,3.0,,10.0,1.0,9.0,9.0,1.0,2.0,121.0,76.0,49.0,7.0,,6.0,8.0,4.0,520.0,4.0,4.0,,88.0,61.0,29.0,,,,,160.0,160.0,4.0,25.0,26.0,61.6,1.0,,,,20.0,0.0,140.0,1.0,,1.0,2.0,,6.0,,2.0,130.0,434.0,9.0,14.0,213.0,27.0,34.0,17.0,3.0,9.0,6.0,,176.0,5.0,339.0,3.0,2.0,13.0,17.0,69.0,3.0,543.0,,0.0,16.0,18.0,1.0,27.0,4.0,756.0,26.0,20.0,10.0,4.0,14.0,0.0
855269,10,2016-10-29 15:00:00,6,Spurs,Home,175.0,17.0,,6.0,6.0,,1.0,236.0,4.0,1.0,3.0,5.0,11.0,43.0,405.0,,,33.0,12.0,30.0,15.0,1.0,3.0,,2.0,,,3.0,,,,,,15.0,1.0,,,2.0,,,,5.0,4.0,2.0,10.0,12.0,66.0,56.0,,,1.0,4.0,7.0,6.0,5.0,,,8.0,14.0,3.0,,15.0,,46.0,72.0,4.0,38.0,23.0,1.0,,73.0,11.0,20.0,1.0,,8.0,2.0,3.0,158.0,,,,,,,7.0,,,1.0,23.0,2.0,9.0,9.0,3.0,3.0,138.0,73.0,46.0,1.0,,7.0,9.0,5.0,467.0,1.0,2.0,,82.0,55.0,44.0,,,,1.0,146.0,146.0,,28.0,24.0,64.1,2.0,2.0,,,7.0,0.0,131.0,,,,,,11.0,,2.0,119.0,384.0,3.0,16.0,199.0,35.0,38.0,18.0,7.0,26.0,19.0,,161.0,3.0,320.0,,1.0,17.0,11.0,76.0,2.0,493.0,,0.0,22.0,11.0,2.0,36.0,3.0,724.0,31.0,12.0,14.0,8.0,7.0,0.0
