matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
918899,1,2017-08-13 13:30:00,6,Spurs,Away,253.0,14.0,1.0,3.0,2.0,1.0,1.0,378.0,4.0,2.0,8.0,1.0,15.0,20.0,628.0,,3.0,24.0,16.0,15.0,10.0,2.0,,,,,,,,,,1.0,16.0,,,,1.0,,1.0,6.0,6.0,,10.0,8.0,112.0,56.0,2.0,2.0,1.0,4.0,19.0,7.0,4.0,,,7.0,10.0,5.0,1.0,5.0,2.0,39.0,47.0,4.0,22.0,9.0,,,69.0,10.0,6.0,,,2.0,1.0,,194.0,2.0,,1.0,2.0,,,5.0,2.0,3.0,1.0,9.0,1.0,5.0,5.0,1.0,8.0,194.0,74.0,52.0,5.0,1.0,5.0,9.0,6.0,685.0,,5.0,,99.0,101.0,32.0,,,,,123.0,123.0,4.0,15.0,27.0,73.1,1.0,,,,19.0,0.0,202.0,2.0,,2.0,,,,5.0,1.0,3.0,159.0,614.0,5.0,14.0,266.0,28.0,22.0,17.0,3.0,19.0,16.0,,201.0,4.0,455.0,3.0,2.0,12.0,15.0,43.0,1.0,702.0,,0.0,18.0,16.0,5.0,26.0,2.0,892.0,25.0,13.0,10.0,7.0,11.0,0.0
918911,2,2017-08-20 16:00:00,6,Spurs,Home,207.0,9.0,5.0,7.0,2.0,1.0,,301.0,3.0,,5.0,5.0,3.0,43.0,501.0,,,23.0,16.0,12.0,10.0,4.0,,,,,,,,,,,12.0,,,,,1.0,,7.0,6.0,3.0,10.0,8.0,87.0,47.0,,,,1.0,25.0,6.0,9.0,,,14.0,14.0,8.0,,20.0,,68.0,59.0,1.0,14.0,5.0,1.0,,98.0,14.0,20.0,,,8.0,4.0,,190.0,,,,,,,5.0,,1.0,,5.0,1.0,4.0,4.0,,5.0,153.0,73.0,54.0,4.0,,5.0,9.0,6.0,563.0,3.0,2.0,,91.0,86.0,50.0,,,,,166.0,166.0,2.0,17.0,22.0,67.7,1.0,,,,25.0,0.0,162.0,,,,,,,6.0,,3.0,143.0,477.0,7.0,14.0,227.0,18.0,14.0,27.0,11.0,37.0,26.0,,199.0,4.0,402.0,1.0,,14.0,3.0,66.0,,592.0,1.0,0.0,18.0,14.0,,25.0,4.0,820.0,30.0,10.0,16.0,14.0,9.0,0.0
918920,3,2017-08-27 16:00:00,6,Spurs,Home,208.0,22.0,3.0,8.0,5.0,2.0,1.0,303.0,4.0,2.0,9.0,3.0,16.0,33.0,503.0,,1.0,14.0,27.0,15.0,16.0,3.0,,,,,1.0,,,,,1.0,16.0,,,,,,1.0,5.0,11.0,2.0,15.0,13.0,93.0,58.0,,1.0,1.0,2.0,19.0,17.0,6.0,,1.0,10.0,9.0,8.0,,8.0,1.0,58.0,42.0,2.0,19.0,9.0,,1.0,72.0,9.0,9.0,,,2.0,1.0,1.0,174.0,,,,,,,13.0,,,,9.0,,6.0,6.0,,9.0,157.0,71.0,47.0,7.0,1.0,4.0,15.0,5.0,557.0,2.0,3.0,,84.0,74.0,45.0,,,,,133.0,133.0,4.0,25.0,19.0,67.3,,2.0,,,19.0,0.0,164.0,2.0,,2.0,,,,6.0,3.0,3.0,144.0,484.0,5.0,19.0,229.0,42.0,19.0,18.0,8.0,26.0,18.0,,193.0,6.0,385.0,,2.0,10.0,16.0,63.0,1.0,588.0,,0.0,28.0,9.0,1.0,14.0,0.0,765.0,33.0,10.0,10.0,10.0,7.0,0.0
918926,4,2017-09-09 15:00:00,6,Spurs,Away,172.0,26.0,,5.0,5.0,3.0,,200.0,3.0,,7.0,5.0,7.0,41.0,367.0,1.0,,16.0,12.0,15.0,8.0,,,,,,1.0,,,,,,13.0,,,,,,,7.0,10.0,2.0,10.0,5.0,78.0,59.0,3.0,2.0,2.0,3.0,17.0,3.0,6.0,,,3.0,10.0,3.0,,10.0,,47.0,52.0,3.0,31.0,19.0,,1.0,74.0,14.0,14.0,2.0,,5.0,1.0,1.0,173.0,2.0,,1.0,1.0,1.0,,6.0,2.0,,2.0,19.0,,11.0,11.0,,7.0,97.0,79.0,40.0,7.0,1.0,5.0,5.0,6.0,434.0,6.0,3.0,,83.0,66.0,32.0,,,,,140.0,140.0,2.0,27.0,21.0,49.3,,,,,17.0,0.0,110.0,1.0,,1.0,,,,6.0,1.0,3.0,114.0,350.0,11.0,11.0,191.0,46.0,31.0,17.0,3.0,17.0,14.0,,159.0,6.0,284.0,,,18.0,8.0,81.0,3.0,458.0,1.0,0.0,15.0,13.0,,22.0,1.0,664.0,23.0,8.0,10.0,3.0,9.0,0.0
918940,5,2017-09-16 17:30:00,6,Spurs,Home,173.0,28.0,3.0,7.0,4.0,1.0,,508.0,4.0,,7.0,1.0,7.0,47.0,674.0,,1.0,25.0,13.0,17.0,17.0,2.0,,1.0,,1.0,2.0,,,,,,16.0,,,1.0,,,,5.0,2.0,2.0,10.0,16.0,113.0,58.0,,,,1.0,20.0,4.0,10.0,,2.0,11.0,18.0,14.0,,8.0,,50.0,46.0,1.0,11.0,4.0,,,110.0,11.0,9.0,,,5.0,1.0,2.0,208.0,,,,,,,4.0,,,1.0,4.0,1.0,4.0,4.0,1.0,7.0,201.0,71.0,56.0,1.0,,8.0,11.0,8.0,744.0,,2.0,,165.0,126.0,58.0,,,,,154.0,154.0,6.0,21.0,24.0,74.9,1.0,,,1.0,20.0,0.0,235.0,,,,,,,14.0,,2.0,267.0,663.0,7.0,19.0,190.0,49.0,11.0,16.0,9.0,42.0,33.0,,320.0,7.0,609.0,,,10.0,7.0,69.0,,757.0,,0.0,26.0,14.0,1.0,27.0,1.0,955.0,30.0,15.0,7.0,11.0,8.0,0.0
918952,6,2017-09-23 12:30:00,6,Spurs,Away,145.0,13.0,,3.0,3.0,2.0,,151.0,3.0,3.0,3.0,4.0,11.0,29.0,293.0,,2.0,24.0,16.0,22.0,8.0,,,,1.0,,2.0,,,,,,10.0,,,,1.0,1.0,1.0,10.0,6.0,4.0,7.0,8.0,33.0,66.0,1.0,,2.0,3.0,24.0,3.0,6.0,,,3.0,5.0,8.0,,14.0,,60.0,60.0,3.0,39.0,25.0,,,53.0,20.0,10.0,2.0,,2.0,,2.0,163.0,1.0,,1.0,1.0,,,8.0,2.0,,,25.0,2.0,9.0,9.0,,3.0,99.0,81.0,42.0,4.0,1.0,4.0,5.0,5.0,368.0,1.0,3.0,,72.0,46.0,28.0,,,,,160.0,160.0,3.0,31.0,28.0,51.1,2.0,,,,24.0,0.0,99.0,2.0,,2.0,1.0,,,7.0,,3.0,58.0,276.0,11.0,9.0,167.0,32.0,39.0,14.0,3.0,16.0,13.0,,100.0,9.0,243.0,,3.0,20.0,12.0,69.0,5.0,394.0,,1.0,15.0,19.0,5.0,29.0,2.0,618.0,15.0,14.0,9.0,3.0,13.0,0.0
918957,7,2017-09-30 12:30:00,6,Spurs,Away,276.0,22.0,4.0,5.0,1.0,2.0,,181.0,9.0,2.0,5.0,1.0,10.0,34.0,452.0,,,26.0,11.0,14.0,6.0,,1.0,,,,,,,,,2.0,13.0,,,,1.0,,,2.0,2.0,4.0,10.0,4.0,77.0,64.0,1.0,,2.0,5.0,24.0,2.0,5.0,,,7.0,7.0,2.0,,16.0,1.0,44.0,48.0,5.0,31.0,19.0,,,67.0,4.0,6.0,2.0,,1.0,1.0,,181.0,3.0,1.0,1.0,2.0,1.0,,10.0,4.0,,,19.0,1.0,7.0,7.0,,5.0,150.0,80.0,46.0,4.0,1.0,2.0,7.0,7.0,536.0,3.0,3.0,,60.0,72.0,28.0,,,,,164.0,164.0,2.0,29.0,28.0,59.5,1.0,,,1.0,24.0,0.0,150.0,,1.0,1.0,,,1.0,5.0,1.0,3.0,72.0,431.0,10.0,9.0,304.0,49.0,31.0,21.0,6.0,16.0,10.0,1.0,119.0,7.0,270.0,,2.0,14.0,11.0,66.0,2.0,558.0,,0.0,14.0,16.0,,30.0,1.0,769.0,34.0,13.0,12.0,7.0,11.0,0.0
918971,8,2017-10-14 15:00:00,6,Spurs,Home,251.0,18.0,3.0,7.0,4.0,2.0,1.0,369.0,4.0,,2.0,2.0,19.0,65.0,613.0,1.0,,31.0,16.0,19.0,12.0,1.0,1.0,,,1.0,1.0,,,,,,15.0,,,,,,,3.0,4.0,1.0,9.0,9.0,116.0,47.0,2.0,2.0,,2.0,18.0,8.0,2.0,,,9.0,12.0,10.0,,7.0,2.0,37.0,52.0,2.0,18.0,13.0,,,95.0,9.0,7.0,,,2.0,1.0,1.0,204.0,,,,,,,6.0,1.0,,1.0,13.0,,7.0,7.0,1.0,2.0,185.0,79.0,53.0,5.0,1.0,3.0,10.0,6.0,675.0,1.0,2.0,,106.0,125.0,50.0,,,,,133.0,133.0,4.0,18.0,21.0,72.9,,,,,18.0,0.0,183.0,1.0,,2.0,,,1.0,4.0,,3.0,161.0,603.0,11.0,13.0,263.0,37.0,18.0,12.0,9.0,32.0,23.0,1.0,212.0,5.0,457.0,,,10.0,19.0,93.0,3.0,688.0,1.0,0.0,18.0,19.0,,32.0,1.0,890.0,33.0,16.0,8.0,9.0,9.0,0.0
918981,9,2017-10-22 16:00:00,6,Spurs,Home,170.0,17.0,1.0,1.0,,1.0,,105.0,2.0,1.0,6.0,5.0,3.0,30.0,274.0,,2.0,19.0,8.0,10.0,4.0,1.0,1.0,,,,,,1.0,,,,8.0,,,1.0,,,3.0,2.0,4.0,8.0,11.0,3.0,58.0,67.0,3.0,1.0,3.0,1.0,24.0,3.0,10.0,,,3.0,6.0,1.0,,13.0,4.0,46.0,46.0,1.0,29.0,17.0,,,40.0,2.0,8.0,3.0,,1.0,1.0,,142.0,2.0,,2.0,2.0,,1.0,7.0,2.0,1.0,,17.0,1.0,9.0,9.0,,6.0,67.0,65.0,31.0,5.0,1.0,2.0,5.0,6.0,339.0,4.0,3.0,,46.0,53.0,14.0,,,,,134.0,134.0,1.0,30.0,26.0,36.2,1.0,,,1.0,24.0,0.0,92.0,3.0,3.0,6.0,,,1.0,5.0,,3.0,42.0,264.0,12.0,7.0,195.0,29.0,29.0,19.0,3.0,11.0,8.0,2.0,75.0,5.0,175.0,1.0,1.0,27.0,3.0,69.0,1.0,359.0,,0.0,14.0,22.0,3.0,24.0,0.0,560.0,14.0,4.0,6.0,3.0,19.0,0.0
918990,10,2017-10-28 12:30:00,6,Spurs,Away,157.0,6.0,2.0,2.0,,,,239.0,6.0,2.0,2.0,8.0,16.0,31.0,394.0,,1.0,17.0,16.0,13.0,10.0,2.0,,,,,,,,,,,10.0,,,,,,,8.0,8.0,3.0,6.0,7.0,79.0,66.0,1.0,1.0,,5.0,23.0,4.0,7.0,,,3.0,8.0,6.0,,5.0,3.0,46.0,42.0,5.0,33.0,14.0,,,65.0,14.0,11.0,,,,,,192.0,,,,,,,7.0,,,,14.0,,14.0,14.0,2.0,2.0,122.0,82.0,46.0,6.0,,5.0,7.0,4.0,486.0,3.0,,,67.0,77.0,32.0,,,,,171.0,171.0,5.0,29.0,26.0,55.2,,,,,23.0,0.0,116.0,1.0,1.0,2.0,,1.0,,5.0,,2.0,116.0,374.0,10.0,12.0,195.0,24.0,33.0,12.0,3.0,17.0,14.0,,160.0,4.0,331.0,,2.0,32.0,16.0,74.0,1.0,509.0,,0.0,13.0,11.0,2.0,29.0,0.0,719.0,18.0,19.0,8.0,3.0,6.0,0.0
