matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOboxOwnGoal,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987598,1.0,2018-08-11 12:30:00,6,Spurs,Away,229.0,14.0,2.0,7.0,5.0,1.0,,245.0,7.0,1.0,6.0,8.0,4.0,28.0,467.0,,,18.0,33.0,21.0,6.0,3.0,,,,,,1.0,1.0,,,,,,,9.0,,,,,1.0,8.0,9.0,6.0,12.0,3.0,,93.0,60.0,4.0,3.0,2.0,2.0,23.0,3.0,16.0,,,5.0,7.0,4.0,1.0,10.0,1.0,75.0,62.0,2.0,43.0,21.0,,,59.0,12.0,10.0,,,4.0,1.0,1.0,181.0,2.0,,1.0,1.0,1.0,,10.0,,,1.0,2.0,,,,,21.0,,10.0,10.0,,6.0,139.0,76.0,53.0,3.0,1.0,4.0,7.0,5.0,550.0,,,5.0,2.0,,97.0,65.0,23.0,,,,,,166.0,166.0,2.0,16.0,34.0,59.6,,,,1.0,23.0,0.0,,,,160.0,1.0,,1.0,,1.0,,7.0,,3.0,83.0,450.0,12.0,11.0,268.0,34.0,43.0,9.0,5.0,17.0,12.0,,122.0,3.0,322.0,2.0,1.0,23.0,4.0,63.0,,573.0,,0.0,15.0,27.0,2.0,24.0,2.0,809.0,23.0,27.0,4.0,5.0,16.0,0.0
987610,2.0,2018-08-18 15:00:00,6,Spurs,Home,223.0,37.0,2.0,8.0,6.0,1.0,,342.0,5.0,1.0,4.0,1.0,16.0,36.0,557.0,2.0,1.0,23.0,7.0,14.0,10.0,1.0,,1.0,1.0,,,1.0,2.0,,,,,,1.0,21.0,,1.0,,,,6.0,5.0,5.0,18.0,7.0,,98.0,51.0,3.0,5.0,,1.0,11.0,4.0,11.0,,1.0,5.0,16.0,7.0,,7.0,2.0,40.0,37.0,1.0,8.0,1.0,,,79.0,9.0,5.0,2.0,1.0,2.0,,2.0,178.0,1.0,,1.0,1.0,,1.0,5.0,,,2.0,1.0,,,,,1.0,1.0,12.0,12.0,1.0,4.0,168.0,75.0,61.0,3.0,1.0,5.0,7.0,11.0,614.0,,,2.0,,,78.0,95.0,46.0,,,,,,121.0,121.0,5.0,18.0,23.0,59.6,1.0,,,,11.0,0.0,,,,185.0,1.0,1.0,2.0,,,1.0,10.0,,3.0,149.0,544.0,2.0,12.0,235.0,58.0,8.0,12.0,4.0,27.0,23.0,2.0,195.0,5.0,421.0,1.0,2.0,4.0,17.0,51.0,1.0,629.0,2.0,0.0,25.0,12.0,2.0,25.0,0.0,803.0,48.0,13.0,6.0,6.0,8.0,0.0
987617,3.0,2018-08-27 20:00:00,6,Spurs,Away,144.0,17.0,2.0,3.0,1.0,1.0,,118.0,7.0,,3.0,4.0,5.0,22.0,259.0,1.0,1.0,20.0,24.0,13.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,7.0,,,,,,11.0,16.0,7.0,8.0,1.0,,47.0,68.0,2.0,2.0,1.0,2.0,22.0,2.0,7.0,,1.0,2.0,1.0,2.0,,5.0,4.0,58.0,51.0,2.0,26.0,16.0,,2.0,54.0,16.0,10.0,3.0,,,1.0,,160.0,3.0,1.0,2.0,2.0,1.0,1.0,15.0,,,2.0,,,,,,16.0,,21.0,21.0,,3.0,87.0,88.0,37.0,5.0,,1.0,6.0,5.0,353.0,,,6.0,,,32.0,48.0,15.0,,,,,,163.0,163.0,3.0,29.0,29.0,43.0,,,,2.0,22.0,0.0,,,,88.0,2.0,3.0,5.0,,1.0,1.0,2.0,1.0,3.0,37.0,242.0,9.0,7.0,182.0,38.0,26.0,11.0,2.0,6.0,4.0,2.0,80.0,7.0,206.0,,,25.0,6.0,69.0,1.0,382.0,1.0,0.0,9.0,23.0,2.0,25.0,3.0,577.0,17.0,20.0,5.0,2.0,16.0,0.0
987630,4.0,2018-09-02 16:00:00,6,Spurs,Away,176.0,21.0,1.0,6.0,5.0,,1.0,250.0,3.0,,8.0,4.0,5.0,30.0,420.0,,1.0,28.0,26.0,15.0,7.0,1.0,,,,,,,,,,,,,,6.0,,,,,,3.0,4.0,3.0,5.0,6.0,,67.0,68.0,1.0,1.0,,,26.0,2.0,8.0,,1.0,10.0,12.0,10.0,,7.0,,57.0,57.0,,19.0,10.0,,,81.0,8.0,9.0,,,2.0,2.0,,162.0,,,,,,,6.0,,,,1.0,,,,,10.0,,8.0,8.0,,8.0,150.0,70.0,43.0,3.0,,4.0,4.0,2.0,512.0,,,1.0,3.0,,64.0,95.0,48.0,,,,,,186.0,186.0,5.0,21.0,34.0,65.6,,3.0,,,26.0,0.0,,,,153.0,,1.0,1.0,,,,7.0,,3.0,112.0,403.0,5.0,8.0,204.0,40.0,19.0,18.0,8.0,32.0,24.0,,169.0,4.0,360.0,1.0,,18.0,5.0,58.0,2.0,532.0,1.0,0.0,11.0,23.0,3.0,35.0,1.0,756.0,25.0,21.0,10.0,10.0,15.0,0.0
987639,5.0,2018-09-15 12:30:00,6,Spurs,Home,302.0,24.0,1.0,2.0,1.0,,,143.0,3.0,1.0,9.0,5.0,6.0,30.0,443.0,,,19.0,10.0,15.0,5.0,,,,,,,1.0,2.0,,1.0,,,,,8.0,,,1.0,,,8.0,14.0,3.0,7.0,4.0,,72.0,68.0,,,,,22.0,3.0,6.0,,1.0,5.0,2.0,4.0,,9.0,4.0,47.0,42.0,,17.0,5.0,,2.0,53.0,17.0,12.0,,,4.0,1.0,2.0,183.0,1.0,1.0,1.0,,1.0,,4.0,,,,,,,,1.0,5.0,1.0,6.0,6.0,2.0,9.0,143.0,76.0,42.0,4.0,,3.0,3.0,3.0,528.0,,,2.0,2.0,,54.0,44.0,29.0,,,,,,153.0,153.0,1.0,26.0,31.0,60.4,1.0,,,1.0,22.0,0.0,,,,151.0,6.0,2.0,8.0,,,,5.0,,3.0,53.0,424.0,11.0,6.0,330.0,52.0,17.0,15.0,5.0,12.0,7.0,,101.0,1.0,231.0,,1.0,16.0,6.0,66.0,3.0,549.0,2.0,0.0,11.0,9.0,2.0,22.0,0.0,722.0,21.0,12.0,7.0,5.0,4.0,0.0
987643,6.0,2018-09-22 17:30:00,6,Spurs,Away,292.0,16.0,1.0,5.0,4.0,,,296.0,5.0,1.0,4.0,2.0,7.0,23.0,583.0,,,18.0,13.0,9.0,10.0,2.0,,,,,,,1.0,,,,,,,11.0,1.0,,,,,6.0,4.0,4.0,11.0,5.0,,104.0,47.0,2.0,1.0,2.0,1.0,10.0,4.0,6.0,,,7.0,9.0,2.0,,5.0,3.0,41.0,43.0,1.0,15.0,7.0,,,68.0,9.0,12.0,1.0,,3.0,,1.0,193.0,1.0,,1.0,1.0,,,6.0,,,1.0,1.0,,,,,7.0,,14.0,14.0,1.0,4.0,175.0,67.0,47.0,5.0,,4.0,9.0,7.0,632.0,,,1.0,,,83.0,77.0,26.0,,,,,1.0,114.0,114.0,5.0,14.0,23.0,71.4,,,,1.0,10.0,0.0,,,,186.0,1.0,2.0,3.0,,,,5.0,,2.0,129.0,561.0,2.0,13.0,309.0,31.0,15.0,14.0,4.0,15.0,11.0,,168.0,2.0,364.0,1.0,1.0,15.0,7.0,50.0,,658.0,1.0,0.0,16.0,16.0,,20.0,1.0,822.0,26.0,14.0,6.0,7.0,14.0,0.0
987657,7.0,2018-09-29 15:00:00,6,Spurs,Away,161.0,17.0,,4.0,4.0,4.0,1.0,125.0,2.0,,2.0,8.0,1.0,27.0,282.0,,1.0,14.0,22.0,31.0,4.0,1.0,,2.0,,,,,,,,,,,,7.0,1.0,,,,2.0,10.0,4.0,5.0,10.0,,,56.0,78.0,1.0,1.0,2.0,2.0,21.0,,6.0,,,,5.0,1.0,,15.0,4.0,67.0,69.0,2.0,40.0,28.0,,,42.0,16.0,17.0,2.0,,4.0,2.0,,147.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,1.0,28.0,,13.0,13.0,1.0,2.0,92.0,87.0,41.0,3.0,,4.0,2.0,6.0,362.0,,,1.0,5.0,,41.0,57.0,15.0,,,,,1.0,166.0,166.0,3.0,33.0,37.0,47.3,,,,1.0,21.0,0.0,,,,93.0,3.0,2.0,5.0,,2.0,2.0,4.0,,3.0,55.0,267.0,11.0,6.0,201.0,32.0,40.0,15.0,,8.0,8.0,2.0,85.0,5.0,195.0,1.0,,33.0,1.0,74.0,1.0,388.0,,0.0,10.0,16.0,3.0,21.0,2.0,611.0,25.0,19.0,6.0,,12.0,0.0
987670,8.0,2018-10-06 15:00:00,6,Spurs,Home,261.0,16.0,,4.0,4.0,1.0,1.0,333.0,4.0,,7.0,3.0,6.0,22.0,590.0,1.0,,35.0,16.0,9.0,15.0,,,1.0,,,,,,,,,,,,16.0,,,,,1.0,3.0,5.0,3.0,13.0,6.0,,119.0,49.0,1.0,2.0,1.0,1.0,17.0,6.0,5.0,1.0,1.0,6.0,8.0,1.0,,11.0,3.0,43.0,50.0,1.0,24.0,11.0,,,54.0,7.0,11.0,,,4.0,4.0,,204.0,,,,,,,4.0,,,,,,,,1.0,11.0,,5.0,5.0,,7.0,183.0,56.0,37.0,2.0,1.0,5.0,10.0,7.0,668.0,,,1.0,2.0,,62.0,141.0,35.0,,,,,,142.0,142.0,2.0,21.0,19.0,75.5,,,,,17.0,0.0,,,,179.0,4.0,2.0,5.0,,,1.0,6.0,,3.0,183.0,574.0,5.0,15.0,290.0,29.0,24.0,17.0,4.0,17.0,13.0,1.0,227.0,4.0,412.0,,,13.0,7.0,39.0,,685.0,4.0,0.0,19.0,18.0,1.0,36.0,3.0,910.0,42.0,15.0,12.0,6.0,10.0,0.0
987680,9.0,2018-10-20 15:00:00,6,Spurs,Away,207.0,23.0,1.0,2.0,1.0,,,232.0,5.0,,3.0,4.0,10.0,33.0,437.0,,,15.0,22.0,3.0,6.0,1.0,,,,,,,,,,,,,,6.0,,,,,2.0,7.0,8.0,5.0,7.0,3.0,,87.0,60.0,2.0,1.0,1.0,2.0,21.0,4.0,7.0,,,6.0,9.0,1.0,,19.0,3.0,70.0,38.0,2.0,25.0,12.0,,1.0,50.0,10.0,8.0,,,2.0,1.0,,150.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,,12.0,,7.0,7.0,2.0,3.0,133.0,55.0,41.0,10.0,1.0,4.0,4.0,2.0,487.0,,,2.0,,,58.0,53.0,19.0,,,,,,122.0,122.0,1.0,28.0,27.0,56.0,,,,,21.0,0.0,,,,136.0,3.0,1.0,4.0,,,,4.0,,3.0,74.0,423.0,5.0,8.0,227.0,33.0,25.0,26.0,4.0,15.0,11.0,,104.0,3.0,294.0,1.0,,14.0,10.0,53.0,2.0,506.0,,0.0,10.0,13.0,3.0,17.0,0.0,705.0,21.0,5.0,14.0,6.0,7.0,0.0
987690,10.0,2018-10-29 20:00:00,6,Spurs,Home,234.0,22.0,1.0,2.0,1.0,3.0,,150.0,8.0,,3.0,7.0,7.0,39.0,382.0,,,20.0,11.0,12.0,3.0,1.0,,1.0,,,,,,,,,,,,3.0,,,,,,6.0,10.0,3.0,3.0,1.0,,72.0,55.0,1.0,1.0,,,14.0,,13.0,1.0,,3.0,5.0,4.0,,9.0,3.0,47.0,48.0,,20.0,15.0,1.0,,50.0,13.0,12.0,,,1.0,1.0,,173.0,,,,,,,12.0,,,,,,,,1.0,15.0,,7.0,7.0,,3.0,120.0,65.0,38.0,6.0,,3.0,1.0,1.0,441.0,,,6.0,2.0,,47.0,43.0,29.0,,,,,,142.0,142.0,3.0,22.0,22.0,48.0,,,,,14.0,0.0,,,,111.0,4.0,1.0,4.0,,2.0,1.0,3.0,,3.0,63.0,359.0,5.0,4.0,260.0,49.0,20.0,10.0,3.0,13.0,10.0,1.0,108.0,8.0,229.0,,,18.0,8.0,73.0,4.0,476.0,1.0,0.0,4.0,17.0,1.0,24.0,2.0,651.0,12.0,15.0,7.0,3.0,7.0,0.0
