matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360476,1,2012-01-11 19:45:00,6,Spurs,Home,253.0,29.0,,5.0,5.0,1.0,,302.0,4.0,,11.0,8.0,34.0,53.0,550.0,,3.0,16.0,11.0,19.0,10.0,,1.0,,,,,,,1.0,,15.0,,,,,,,8.0,5.0,101.0,56.0,2.0,2.0,,3.0,5.0,,,6.0,10.0,5.0,1.0,14.0,,35.0,51.0,3.0,25.0,16.0,,1.0,85.0,6.0,15.0,,,,,,178.0,2.0,,,2.0,,,8.0,2.0,,,32.0,,13.0,10.0,,11.0,157.0,83.0,59.0,4.0,1.0,6.0,6.0,4.0,5.0,5.0,,81.0,88.0,16.0,,,,,161.0,135.0,2.0,16.0,27.0,62.1,,1.0,0.0,184.0,,,,,1.0,7.0,,2.0,133.0,12.0,262.0,39.0,51.0,10.0,5.0,20.0,15.0,1.0,169.0,3.0,378.0,,,22.0,36.0,70.0,1.0,620.0,,0.0,16.0,11.0,4.0,19.0,1.0,835.0,19.0,6.0,6.0,6.0,0.0
360484,2,2011-08-22 20:00:00,6,Spurs,Away,143.0,15.0,1.0,1.0,,3.0,,179.0,5.0,2.0,7.0,2.0,23.0,19.0,321.0,,2.0,16.0,11.0,9.0,11.0,3.0,3.0,,,,1.0,2.0,,1.0,,16.0,,,,1.0,,1.0,15.0,13.0,67.0,68.0,,,,4.0,5.0,8.0,,3.0,7.0,2.0,,14.0,7.0,45.0,56.0,2.0,11.0,4.0,,,68.0,9.0,12.0,,1.0,1.0,,2.0,167.0,,,,,,,8.0,,2.0,,12.0,1.0,21.0,16.0,2.0,7.0,86.0,90.0,47.0,11.0,,6.0,8.0,9.0,8.0,1.0,,52.0,53.0,10.0,,,,,158.0,141.0,1.0,33.0,22.0,47.0,1.0,,0.0,92.0,5.0,6.0,,1.0,3.0,7.0,,3.0,60.0,14.0,162.0,33.0,26.0,16.0,2.0,11.0,9.0,3.0,110.0,11.0,261.0,2.0,2.0,19.0,25.0,51.0,2.0,412.0,,0.0,21.0,22.0,8.0,25.0,2.0,638.0,7.0,13.0,3.0,18.0,0.0
360496,3,2011-08-28 13:30:00,6,Spurs,Home,142.0,21.0,3.0,9.0,6.0,4.0,,188.0,11.0,1.0,5.0,6.0,15.0,51.0,321.0,,,22.0,8.0,20.0,16.0,1.0,,,,,1.0,2.0,,,1.0,17.0,,,,,,,11.0,11.0,51.0,48.0,2.0,2.0,,1.0,10.0,7.0,,9.0,12.0,5.0,1.0,5.0,4.0,38.0,58.0,1.0,13.0,7.0,,,61.0,14.0,9.0,,,3.0,,2.0,124.0,1.0,1.0,1.0,,1.0,,15.0,,1.0,3.0,15.0,,22.0,17.0,3.0,6.0,105.0,74.0,52.0,5.0,,6.0,12.0,5.0,3.0,2.0,,52.0,63.0,20.0,,,,,134.0,120.0,2.0,17.0,23.0,41.5,,,0.0,120.0,2.0,2.0,,1.0,,6.0,2.0,3.0,77.0,18.0,163.0,41.0,27.0,18.0,7.0,23.0,17.0,,121.0,11.0,260.0,1.0,1.0,12.0,19.0,71.0,1.0,400.0,,0.0,21.0,18.0,6.0,22.0,2.0,605.0,7.0,11.0,10.0,14.0,0.0
360508,4,2011-09-10 15:00:00,6,Spurs,Away,227.0,16.0,5.0,6.0,1.0,1.0,,210.0,4.0,1.0,7.0,8.0,12.0,37.0,431.0,,3.0,16.0,9.0,12.0,9.0,2.0,,,,,,1.0,,,,13.0,,,,,,,6.0,4.0,96.0,59.0,1.0,,1.0,1.0,5.0,4.0,1.0,10.0,11.0,4.0,,19.0,1.0,52.0,47.0,1.0,18.0,9.0,,1.0,64.0,12.0,6.0,2.0,,2.0,,1.0,174.0,2.0,,2.0,2.0,,,15.0,2.0,,,14.0,,16.0,14.0,3.0,7.0,114.0,96.0,54.0,4.0,,6.0,7.0,5.0,1.0,,,57.0,72.0,18.0,,,,,166.0,154.0,3.0,30.0,13.0,56.6,,,0.0,123.0,3.0,3.0,,,,6.0,,2.0,96.0,13.0,248.0,34.0,30.0,11.0,8.0,23.0,15.0,,130.0,2.0,282.0,1.0,1.0,26.0,13.0,59.0,1.0,507.0,,0.0,16.0,26.0,5.0,19.0,2.0,733.0,19.0,3.0,10.0,19.0,0.0
360517,5,2011-09-18 13:30:00,6,Spurs,Home,210.0,14.0,1.0,6.0,5.0,2.0,,354.0,6.0,,5.0,5.0,28.0,40.0,558.0,,2.0,16.0,9.0,10.0,15.0,,3.0,,1.0,,,3.0,,,,21.0,,,,,,,,3.0,110.0,57.0,4.0,3.0,2.0,,7.0,4.0,,4.0,12.0,4.0,,16.0,,44.0,43.0,,10.0,8.0,,,77.0,14.0,9.0,3.0,,5.0,2.0,3.0,177.0,2.0,,2.0,2.0,,,7.0,4.0,1.0,4.0,17.0,,13.0,9.0,,5.0,174.0,77.0,59.0,1.0,1.0,6.0,11.0,9.0,,1.0,,118.0,67.0,21.0,,,,,121.0,108.0,9.0,23.0,19.0,62.3,,,0.0,153.0,,1.0,,2.0,3.0,10.0,,3.0,157.0,17.0,219.0,25.0,23.0,11.0,2.0,20.0,18.0,3.0,190.0,7.0,415.0,1.0,,15.0,28.0,56.0,3.0,614.0,,0.0,26.0,18.0,3.0,18.0,1.0,793.0,10.0,6.0,4.0,13.0,0.0
360528,6,2011-09-24 15:00:00,6,Spurs,Away,261.0,21.0,7.0,9.0,2.0,2.0,,275.0,3.0,2.0,13.0,4.0,29.0,32.0,527.0,1.0,1.0,17.0,5.0,10.0,9.0,4.0,,,,,,1.0,,,,10.0,,,,,,,1.0,4.0,110.0,73.0,1.0,2.0,,1.0,4.0,10.0,,9.0,8.0,4.0,,18.0,,46.0,50.0,1.0,12.0,2.0,,,75.0,6.0,13.0,,1.0,2.0,,1.0,198.0,2.0,1.0,2.0,1.0,1.0,,7.0,1.0,1.0,,4.0,1.0,19.0,16.0,1.0,13.0,143.0,94.0,53.0,1.0,2.0,6.0,9.0,6.0,1.0,4.0,,65.0,85.0,17.0,,,,,157.0,150.0,7.0,26.0,25.0,63.9,,1.0,0.0,159.0,,2.0,,2.0,,6.0,1.0,2.0,117.0,15.0,276.0,40.0,19.0,17.0,8.0,20.0,12.0,,159.0,9.0,354.0,1.0,2.0,18.0,31.0,58.0,2.0,610.0,1.0,0.0,16.0,17.0,3.0,21.0,1.0,815.0,16.0,10.0,9.0,11.0,0.0
360537,7,2011-10-02 16:00:00,6,Spurs,Home,106.0,10.0,2.0,4.0,2.0,,,125.0,4.0,,5.0,11.0,2.0,22.0,227.0,,2.0,17.0,8.0,21.0,11.0,3.0,3.0,,,,,2.0,,,,12.0,,,,,,,7.0,6.0,34.0,63.0,4.0,4.0,,2.0,4.0,4.0,,9.0,13.0,2.0,1.0,16.0,3.0,45.0,70.0,2.0,27.0,11.0,,,57.0,12.0,8.0,,1.0,4.0,2.0,2.0,127.0,1.0,,1.0,1.0,,,7.0,2.0,1.0,1.0,23.0,,20.0,16.0,3.0,5.0,76.0,85.0,44.0,7.0,1.0,8.0,7.0,6.0,3.0,1.0,,49.0,30.0,19.0,,,,,165.0,148.0,4.0,25.0,23.0,38.3,,,0.0,65.0,1.0,3.0,,,3.0,8.0,1.0,3.0,61.0,15.0,120.0,21.0,44.0,17.0,7.0,24.0,17.0,3.0,96.0,8.0,206.0,1.0,,27.0,3.0,47.0,6.0,302.0,,0.0,18.0,30.0,2.0,23.0,2.0,553.0,14.0,11.0,9.0,21.0,0.0
360543,8,2011-10-16 16:00:00,6,Spurs,Away,156.0,10.0,1.0,4.0,3.0,1.0,,128.0,4.0,,5.0,9.0,4.0,20.0,280.0,1.0,1.0,11.0,9.0,14.0,8.0,1.0,,,,,,,,,,11.0,1.0,,,,,,7.0,7.0,50.0,69.0,,,1.0,4.0,4.0,8.0,,2.0,6.0,3.0,,12.0,2.0,50.0,57.0,4.0,24.0,13.0,,,55.0,15.0,11.0,1.0,,2.0,,,155.0,1.0,,,1.0,,,12.0,1.0,,2.0,27.0,,11.0,10.0,1.0,5.0,87.0,80.0,39.0,5.0,1.0,2.0,8.0,6.0,2.0,3.0,,40.0,33.0,15.0,,,,1.0,169.0,149.0,4.0,26.0,29.0,45.0,,,0.0,81.0,2.0,2.0,,2.0,,3.0,,3.0,61.0,10.0,185.0,28.0,44.0,16.0,1.0,10.0,9.0,,100.0,4.0,198.0,,,31.0,5.0,43.0,3.0,373.0,1.0,0.0,13.0,24.0,7.0,15.0,2.0,577.0,12.0,8.0,2.0,19.0,0.0
360551,9,2011-10-23 15:00:00,6,Spurs,Away,188.0,25.0,,1.0,1.0,1.0,,168.0,3.0,2.0,8.0,12.0,8.0,48.0,355.0,1.0,2.0,20.0,16.0,7.0,6.0,1.0,,,,,,,,,,8.0,,,,,,,17.0,2.0,69.0,42.0,3.0,2.0,1.0,3.0,1.0,12.0,1.0,5.0,8.0,4.0,,10.0,1.0,53.0,47.0,3.0,24.0,15.0,,2.0,63.0,8.0,19.0,,,2.0,1.0,,159.0,2.0,,2.0,2.0,,,13.0,2.0,2.0,,23.0,,9.0,6.0,1.0,8.0,100.0,92.0,45.0,8.0,2.0,2.0,7.0,6.0,5.0,,,65.0,55.0,14.0,,,,,164.0,146.0,1.0,20.0,7.0,55.5,,2.0,0.0,105.0,3.0,1.0,,1.0,,2.0,,2.0,80.0,9.0,210.0,34.0,42.0,15.0,4.0,17.0,13.0,,116.0,6.0,240.0,3.0,2.0,34.0,8.0,78.0,4.0,433.0,1.0,0.0,9.0,13.0,2.0,28.0,1.0,640.0,13.0,8.0,5.0,11.0,0.0
360566,10,2011-10-30 16:00:00,6,Spurs,Home,193.0,24.0,2.0,8.0,7.0,3.0,1.0,201.0,4.0,2.0,1.0,7.0,12.0,43.0,386.0,1.0,1.0,15.0,18.0,11.0,13.0,4.0,2.0,,1.0,,1.0,2.0,,,,16.0,,,,,,2.0,6.0,8.0,63.0,46.0,5.0,4.0,2.0,2.0,6.0,4.0,1.0,4.0,9.0,,,16.0,1.0,53.0,53.0,2.0,18.0,8.0,,,62.0,12.0,14.0,,,3.0,1.0,2.0,163.0,2.0,,2.0,2.0,,,14.0,3.0,,,16.0,,12.0,9.0,1.0,1.0,125.0,99.0,55.0,8.0,3.0,8.0,11.0,10.0,6.0,,,58.0,51.0,18.0,,,,,151.0,140.0,3.0,20.0,19.0,55.8,,,0.0,126.0,1.0,1.0,,1.0,2.0,9.0,1.0,1.0,93.0,19.0,213.0,43.0,29.0,8.0,3.0,12.0,10.0,2.0,132.0,10.0,276.0,,2.0,20.0,13.0,62.0,3.0,477.0,1.0,0.0,25.0,23.0,6.0,22.0,0.0,674.0,6.0,5.0,4.0,15.0,0.0
