season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437077,1,13,Leicester_City,Away,30530,13152,Andy King,andy-king,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437077,1,13,Leicester_City,Away,47737,51938,Marc Albrighton,marc-albrighton,M,False,2.0,,3.0,12.0,4.0,14.0,1.0,,5.0,1.0,,,2.0,,,2.0,6.0,3.0,,,,1.0,,,,,2.0,,88.0,,1.0,,,,,,,14.0,,6.9,,,,,2.0,1.0,6.0,,4.0,,19.0,5.0,18.0,0,1.0,40.0,2.0,2.0,,
2017-18,7437077,1,13,Leicester_City,Away,54331,61604,Matty James,matty-james,M,False,,,1.0,6.0,5.0,11.0,,1.0,4.0,,,,,,,1.0,4.0,5.0,,,3.0,,,,,2.0,,,82.0,,,,,,,,,6.0,,6.8,,,,,2.0,,,,1.0,,10.0,6.0,16.0,0,4.0,26.0,,,,2.0
2017-18,7437077,1,13,Leicester_City,Away,158213,103025,Riyad Mahrez,riyad-mahrez,M,False,1.0,,3.0,15.0,9.0,23.0,2.0,2.0,6.0,,,,4.0,,,4.0,14.0,9.0,,,,1.0,,,,2.0,1.0,,90.0,,,,,,,,,21.0,,6.2,,,2.0,,,6.0,4.0,,4.0,2.0,22.0,12.0,30.0,2,2.0,63.0,2.0,3.0,2.0,1.0
2017-18,7437077,1,13,Leicester_City,Away,308526,155569,Daniel Amartey,daniel-amartey,M,True,,,,2.0,3.0,5.0,1.0,,1.0,,,,1.0,,,,3.0,2.0,,,1.0,,,,,,,,18.0,,,,,,,,,2.0,,6.3,,,,,1.0,,,,1.0,,4.0,3.0,7.0,0,2.0,10.0,,,,1.0
2017-18,7437077,1,13,Leicester_City,Away,355152,172632,Demarai Gray,demarai-gray,M,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,6.5,,,,,,,,,,,3.0,,3.0,0,,3.0,,,,
2017-18,7437077,1,13,Leicester_City,Away,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,1.0,7.0,6.0,13.0,1.0,1.0,6.0,,,,2.0,,,2.0,6.0,4.0,,,,,,,,2.0,,,90.0,,1.0,,,,,,,12.0,,6.2,,,,,3.0,1.0,,,3.0,,11.0,10.0,21.0,0,3.0,36.0,,,,2.0
2017-18,7437729,2,13,Leicester_City,Home,30530,13152,Andy King,andy-king,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437729,2,13,Leicester_City,Home,47737,51938,Marc Albrighton,marc-albrighton,M,False,1.0,,1.0,10.0,11.0,20.0,2.0,,2.0,,,2.0,,,,,2.0,4.0,,,,,,,,,2.0,,90.0,,,,,,,,,18.0,,7.1,,,1.0,,,,7.0,,3.0,,26.0,11.0,30.0,3,2.0,46.0,2.0,2.0,,
2017-18,7437729,2,13,Leicester_City,Home,54331,61604,Matty James,matty-james,M,False,,,2.0,10.0,26.0,36.0,,1.0,11.0,,,1.0,,,,,2.0,2.0,,,1.0,,,,,,1.0,,90.0,,1.0,,,,,,,10.0,,6.8,,,1.0,,,1.0,,,3.0,,16.0,28.0,44.0,2,,51.0,1.0,1.0,,
2017-18,7437729,2,13,Leicester_City,Home,158213,103025,Riyad Mahrez,riyad-mahrez,M,False,1.0,,2.0,27.0,10.0,36.0,1.0,,8.0,,,2.0,,,,,4.0,5.0,,,,1.0,,,,2.0,2.0,,90.0,2.0,,,,,,,,17.0,,7.7,,,,,,5.0,6.0,,3.0,,36.0,11.0,41.0,4,1.0,69.0,4.0,2.0,2.0,
2017-18,7437729,2,13,Leicester_City,Home,308526,155569,Daniel Amartey,daniel-amartey,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437729,2,13,Leicester_City,Home,355152,172632,Demarai Gray,demarai-gray,M,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0,,1.0,,,,
2017-18,7437729,2,13,Leicester_City,Home,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,2.0,12.0,22.0,34.0,,5.0,7.0,,,,1.0,,,1.0,4.0,9.0,,,2.0,,,,,1.0,,,90.0,,,,,,,,,24.0,,6.8,,,,,1.0,2.0,1.0,,6.0,,27.0,28.0,54.0,0,2.0,69.0,2.0,,2.0,
2017-18,7437750,3,13,Leicester_City,Away,30530,13152,Andy King,andy-king,M,True,,,1.0,4.0,5.0,9.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,30.0,,,,,,,,,2.0,,6.6,,,,,,,,,1.0,,6.0,5.0,11.0,0,1.0,12.0,,,,
2017-18,7437750,3,13,Leicester_City,Away,47737,51938,Marc Albrighton,marc-albrighton,M,False,,,,4.0,2.0,6.0,,,2.0,,,,1.0,,,,3.0,,,,1.0,,,,,1.0,,,60.0,,1.0,,,,,,,9.0,,6.2,,,,,2.0,1.0,2.0,,1.0,,11.0,3.0,12.0,0,,20.0,,,,
2017-18,7437750,3,13,Leicester_City,Away,54331,61604,Matty James,matty-james,M,False,,,1.0,14.0,16.0,30.0,2.0,6.0,6.0,,,,3.0,,,,7.0,8.0,,,1.0,,,,,2.0,,,90.0,,,,,,,,,15.0,,6.4,,,1.0,,4.0,1.0,,,1.0,,21.0,20.0,41.0,1,2.0,58.0,3.0,,,
2017-18,7437750,3,13,Leicester_City,Away,158213,103025,Riyad Mahrez,riyad-mahrez,M,False,,,4.0,16.0,13.0,29.0,2.0,1.0,9.0,,,2.0,2.0,,,,6.0,10.0,,,1.0,,,,,,,,90.0,1.0,,,,,,,,13.0,,6.9,,,1.0,,,6.0,,,8.0,,23.0,14.0,37.0,4,,58.0,2.0,4.0,5.0,
2017-18,7437750,3,13,Leicester_City,Away,308526,155569,Daniel Amartey,daniel-amartey,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437750,3,13,Leicester_City,Away,355152,172632,Demarai Gray,demarai-gray,M,True,2.0,,,10.0,1.0,9.0,,,2.0,1.0,,,,,,,,,,,,,,,,,3.0,,30.0,1.0,,,,,,,,5.0,,7.2,,,1.0,,,,5.0,,,1.0,15.0,1.0,11.0,2,,18.0,,,,
