team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
A_Villa_7,2010-11,321657,1,2010-08-14 15:00:00,"Villa Park, Birmingham",36604.0,Home,Aston Villa,West Ham,W,325.0,11.0,13.0,,2.0,3.0,5.0,1.0,10.0,10.0,1.0,15.0,9.0,54.0,67.0,11.0,,,54.0,16.0,16.0,2.0,3.0,0,,3,0,2,3.0,23.0,13.0,5.0,3.0,,18.0,,153.0,56.8,0.0,0,0,,12.0,22.0,24.0,1.0,395.0,27.0,27.0,,16.0,20.0,0.0
A_Villa_7,2010-11,321672,2,2010-08-22 13:30:00,"St. James' Park, Newcastle",43546.0,Away,Aston Villa,Newcastle,L,315.0,14.0,12.0,,,1.0,2.0,,2.0,6.0,,2.0,12.0,51.0,53.0,18.0,1.0,,58.0,13.0,15.0,,,6,6.0,0,3,0,,22.0,2.0,,5.0,,15.0,1.0,153.0,49.9,0.0,0,0,,4.0,5.0,33.0,5.0,394.0,6.0,26.0,,2.0,16.0,0.0
A_Villa_7,2010-11,321677,3,2010-08-29 16:00:00,"Villa Park, Birmingham",34725.0,Home,Aston Villa,Everton,W,146.0,8.0,14.0,,1.0,,2.0,,5.0,10.0,1.0,4.0,6.0,49.0,50.0,28.0,,,46.0,20.0,9.0,1.0,1.0,0,,1,0,1,,20.0,6.0,5.0,12.0,,12.0,,169.0,31.7,0.0,0,0,,5.0,10.0,50.0,1.0,243.0,15.0,22.0,,4.0,17.0,0.0
A_Villa_7,2010-11,321693,4,2010-09-13 20:00:00,"bet365 Stadium, Stoke",25899.0,Away,Aston Villa,Stoke,L,277.0,29.0,14.0,,,1.0,1.0,,2.0,6.0,,7.0,10.0,64.0,52.0,25.0,,,55.0,14.0,11.0,1.0,1.0,2,2.0,1,0,1,,7.0,7.0,5.0,4.0,,22.0,,190.0,56.7,0.0,0,0,,4.0,10.0,49.0,1.0,382.0,11.0,20.0,,7.0,15.0,0.0
A_Villa_7,2010-11,321697,5,2010-09-18 15:00:00,"Villa Park, Birmingham",34655.0,Home,Aston Villa,Bolton,D,300.0,23.0,16.0,,,,,,6.0,3.0,,8.0,6.0,61.0,44.0,17.0,,1.0,64.0,16.0,6.0,,1.0,1,1.0,1,1,1,,17.0,4.0,2.0,3.0,,19.0,,189.0,56.7,0.0,0,0,,9.0,9.0,32.0,3.0,399.0,17.0,11.0,,8.0,9.0,0.0
A_Villa_7,2010-11,321716,6,2010-09-26 14:05:00,"Molineux Stadium, Wolverhampton",27511.0,Away,Aston Villa,Wolves,W,220.0,20.0,28.0,,,2.0,1.0,1.0,,7.0,,4.0,3.0,55.0,68.0,37.0,,,63.0,20.0,14.0,2.0,2.0,1,1.0,2,0,1,,16.0,6.0,8.0,5.0,,15.0,,182.0,42.3,0.0,0,0,,2.0,8.0,62.0,3.0,324.0,10.0,25.0,,4.0,17.0,0.0
A_Villa_7,2010-11,321723,7,2010-10-02 15:00:00,"White Hart Lane, London",35871.0,Away,Aston Villa,Spurs,L,271.0,15.0,6.0,,,2.0,1.0,1.0,1.0,6.0,,4.0,9.0,53.0,41.0,14.0,,,60.0,19.0,12.0,1.0,1.0,2,2.0,1,1,1,,32.0,3.0,3.0,12.0,,20.0,,150.0,46.9,0.0,0,0,,9.0,9.0,25.0,6.0,357.0,13.0,18.0,,4.0,14.0,0.0
A_Villa_7,2010-11,321728,8,2010-10-16 17:30:00,"Villa Park, Birmingham",40122.0,Home,Aston Villa,Chelsea,D,278.0,10.0,14.0,,2.0,1.0,2.0,,3.0,10.0,1.0,9.0,11.0,54.0,49.0,15.0,,1.0,48.0,11.0,11.0,,,0,,0,0,0,1.0,22.0,4.0,2.0,1.0,,15.0,,153.0,40.0,0.0,0,0,,7.0,9.0,25.0,2.0,355.0,12.0,24.0,,9.0,18.0,0.0
A_Villa_7,2010-11,321742,9,2010-10-23 15:00:00,"Stadium of Light, Sunderland",41506.0,Away,Aston Villa,Sunderland,L,245.0,20.0,22.0,,1.0,4.0,5.0,,4.0,6.0,,11.0,10.0,58.0,59.0,13.0,,,67.0,13.0,12.0,,,1,1.0,0,1,0,1.0,20.0,5.0,3.0,4.0,1.0,18.0,,190.0,52.3,0.0,0,0,,5.0,9.0,20.0,2.0,350.0,12.0,18.0,,11.0,13.0,0.0
A_Villa_7,2010-11,321748,10,2010-10-31 12:00:00,"Villa Park, Birmingham",40688.0,Home,Aston Villa,Birmingham,D,279.0,29.0,19.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,11.0,64.0,47.0,21.0,,,55.0,15.0,11.0,,,0,,0,0,0,1.0,9.0,4.0,4.0,5.0,,20.0,,177.0,48.3,0.0,0,0,,4.0,8.0,39.0,3.0,385.0,9.0,16.0,,1.0,12.0,0.0
A_Villa_7,2010-11,321762,11,2010-11-06 15:00:00,"Craven Cottage, London",23654.0,Away,Aston Villa,Fulham,D,266.0,25.0,20.0,,1.0,2.0,3.0,,2.0,6.0,,3.0,13.0,59.0,63.0,18.0,,,75.0,6.0,14.0,1.0,1.0,1,1.0,1,0,1,,17.0,8.0,6.0,5.0,,19.0,,208.0,42.9,0.0,0,0,,7.0,13.0,32.0,2.0,395.0,15.0,25.0,,3.0,15.0,0.0
