season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,expectedGoals_h,expectedGoals_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a,expectedAssists_h,expectedAssists_a,touchesInOppBox_h,touchesInOppBox_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a
2015-16,803162,1,2015-08-08 15:00:00,"Vitality Stadium, Bournemouth",11155,Bournemouth,Aston Villa,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,11.0,7.0,2.0,3.0,7.0,2.0,2.0,2.0,,1.0,,1.0,1.0,,,,,1.0,9.0,4.0,4.0,3.0,41.0,18.0,82.0,56.0,548.0,391.0,464.0,310.0,58.4,41.6,14.0,24.0,6.0,20.0,16.0,28.0,16.0,39.0,13.0,30.0,14.0,15.0,2.0,2.0,1.0,1.0,,,10.0,3.0,15.0,7.0,150.0,135.0,2.0,2.0,1.0,,,1.0,,,45.0,64.0,64.0,45.0,17.0,17.0,17.0,17.0,6.0,3.0,6.0,3.0,2.0,,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2015-16,803163,1,2015-08-08 15:00:00,"Carrow Road, Norwich",27036,Norwich,Crystal Palace,1,3,3,1,L,W,0,1,1,0,0,0,0,0,1.0,3.0,17.0,11.0,6.0,7.0,9.0,2.0,2.0,2.0,,4.0,,3.0,1.0,1.0,,,1.0,3.0,12.0,10.0,6.0,8.0,32.0,23.0,75.0,47.0,470.0,272.0,388.0,200.0,62.9,37.1,20.0,14.0,17.0,14.0,7.0,12.0,26.0,34.0,23.0,28.0,8.0,8.0,2.0,3.0,1.0,,,,10.0,3.0,12.0,13.0,126.0,124.0,4.0,4.0,3.0,1.0,,,,,50.0,46.0,46.0,50.0,10.0,8.0,8.0,10.0,1.0,4.0,1.0,4.0,1.0,,14.0,20.0,18.0,14.0,0.0,0.0,0.0,0.0,,,,,4.0,2.0,,,,,,,,,,
2015-16,803164,1,2015-08-09 16:00:00,"bet365 Stadium, Stoke",27654,Stoke,Liverpool,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,7.0,8.0,1.0,3.0,4.0,1.0,2.0,4.0,,,,,,,,,,1.0,4.0,5.0,2.0,5.0,23.0,29.0,66.0,75.0,412.0,478.0,301.0,378.0,47.0,53.0,25.0,19.0,20.0,15.0,13.0,13.0,16.0,33.0,12.0,23.0,19.0,20.0,4.0,2.0,1.0,,,,10.0,5.0,8.0,16.0,171.0,160.0,2.0,1.0,1.0,,,1.0,,,62.0,58.0,58.0,62.0,16.0,21.0,21.0,16.0,3.0,5.0,3.0,5.0,,1.0,9.0,16.0,16.0,9.0,0.0,0.0,0.0,0.0,,,,,3.0,2.0,,,,,,,,,,
2015-16,803165,1,2015-08-10 20:00:00,"The Hawthorns, West Bromwich",24564,West Brom,Man City,0,3,3,0,L,W,0,2,2,0,0,0,0,0,,3.0,9.0,20.0,2.0,7.0,6.0,2.0,1.0,11.0,,1.0,,,,2.0,,,,3.0,6.0,15.0,3.0,14.0,26.0,24.0,47.0,69.0,328.0,764.0,267.0,693.0,30.9,69.1,17.0,10.0,11.0,9.0,16.0,14.0,21.0,21.0,15.0,14.0,11.0,12.0,10.0,1.0,,,,,7.0,7.0,8.0,14.0,110.0,118.0,4.0,2.0,3.0,,,1.0,,,39.0,40.0,40.0,39.0,6.0,12.0,12.0,6.0,6.0,6.0,6.0,6.0,,,12.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,,,,,2.0,,,,,,,,,,,
2015-16,803166,1,2015-08-09 13:30:00,"St. James' Park, Newcastle",49019,Newcastle,Southampton,2,2,2,2,D,D,1,1,1,1,0,0,0,0,2.0,2.0,9.0,14.0,4.0,4.0,3.0,7.0,2.0,3.0,,1.0,1.0,,,1.0,,,1.0,2.0,8.0,12.0,5.0,6.0,30.0,28.0,69.0,59.0,485.0,389.0,396.0,309.0,56.3,43.7,13.0,18.0,13.0,14.0,15.0,34.0,24.0,32.0,20.0,23.0,11.0,8.0,3.0,3.0,,1.0,,,7.0,10.0,7.0,8.0,162.0,140.0,2.0,2.0,2.0,2.0,,,,,49.0,54.0,54.0,49.0,14.0,21.0,21.0,14.0,6.0,6.0,6.0,6.0,1.0,1.0,9.0,12.0,12.0,9.0,0.0,0.0,0.0,0.0,,,,,,3.0,,,,,,,,,,
2015-16,803167,1,2015-08-08 15:00:00,"King Power Stadium, Leicester",32242,Leicester,Sunderland,4,2,2,4,W,L,3,0,0,3,0,0,0,0,4.0,2.0,20.0,11.0,8.0,5.0,8.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,,1.0,,2.0,2.0,18.0,9.0,10.0,5.0,28.0,31.0,75.0,53.0,342.0,442.0,250.0,347.0,44.0,56.0,19.0,19.0,15.0,15.0,18.0,11.0,21.0,14.0,19.0,13.0,16.0,15.0,2.0,4.0,1.0,3.0,,1.0,5.0,6.0,12.0,14.0,145.0,152.0,3.0,4.0,2.0,4.0,,,,,57.0,60.0,60.0,57.0,16.0,25.0,25.0,16.0,6.0,3.0,6.0,3.0,2.0,,13.0,17.0,16.0,12.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,1.0,,,,,,,,,,
2015-16,803168,1,2015-08-08 17:30:00,"Stamford Bridge, London",41232,Chelsea,Swansea,2,2,2,2,D,D,2,1,1,2,1,0,0,1,2.0,2.0,11.0,17.0,3.0,10.0,5.0,2.0,3.0,5.0,,2.0,,2.0,,3.0,,1.0,,,8.0,12.0,4.0,10.0,35.0,25.0,75.0,55.0,433.0,399.0,347.0,322.0,52.0,48.0,16.0,22.0,12.0,19.0,13.0,12.0,14.0,29.0,10.0,23.0,11.0,11.0,5.0,2.0,1.0,,,,13.0,14.0,9.0,10.0,150.0,141.0,7.0,2.0,2.0,2.0,,,,1.0,59.0,70.0,70.0,59.0,14.0,21.0,21.0,14.0,4.0,8.0,4.0,8.0,1.0,,15.0,16.0,15.0,15.0,0.0,0.0,0.0,0.0,,1.0,,1.0,2.0,4.0,,,,,,,,,,
2015-16,803169,1,2015-08-08 12:45:00,"Old Trafford, Manchester",75261,Man Utd,Spurs,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,9.0,9.0,1.0,4.0,4.0,2.0,4.0,3.0,,1.0,,,,1.0,,,,,5.0,7.0,3.0,6.0,17.0,31.0,65.0,58.0,487.0,487.0,401.0,391.0,50.0,50.0,21.0,26.0,19.0,25.0,19.0,29.0,30.0,20.0,24.0,13.0,19.0,20.0,3.0,4.0,1.0,1.0,,,6.0,2.0,19.0,13.0,143.0,151.0,4.0,1.0,,1.0,1.0,,,1.0,43.0,55.0,55.0,43.0,8.0,11.0,11.0,8.0,1.0,2.0,1.0,2.0,1.0,2.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,,,,,,,,,,
2015-16,803170,1,2015-08-08 15:00:00,"Goodison Park, Liverpool",39063,Everton,Watford,2,2,2,2,D,D,0,1,1,0,0,0,0,0,2.0,2.0,10.0,11.0,5.0,5.0,3.0,3.0,2.0,3.0,1.0,,,,1.0,,,,2.0,1.0,8.0,8.0,5.0,7.0,50.0,24.0,102.0,68.0,558.0,286.0,451.0,200.0,66.6,33.4,14.0,25.0,10.0,19.0,10.0,37.0,25.0,53.0,20.0,42.0,11.0,10.0,3.0,2.0,,,1.0,1.0,11.0,6.0,16.0,9.0,181.0,142.0,3.0,3.0,2.0,2.0,,,,,53.0,72.0,72.0,53.0,20.0,29.0,29.0,20.0,8.0,2.0,8.0,2.0,,,7.0,13.0,13.0,7.0,0.0,0.0,0.0,0.0,,,,,4.0,1.0,,,,,,,,,,
2015-16,803171,1,2015-08-09 13:30:00,"Emirates Stadium, London",59996,Arsenal,West Ham,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,22.0,8.0,6.0,4.0,7.0,2.0,9.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,17.0,7.0,11.0,5.0,50.0,11.0,64.0,63.0,556.0,359.0,481.0,256.0,61.8,38.2,12.0,21.0,9.0,16.0,18.0,12.0,18.0,25.0,12.0,19.0,18.0,18.0,2.0,9.0,,,2.0,,12.0,22.0,16.0,6.0,142.0,148.0,2.0,6.0,2.0,,,1.0,,,75.0,64.0,64.0,75.0,32.0,19.0,19.0,32.0,5.0,4.0,5.0,4.0,1.0,1.0,12.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0,,,,,,,,,,
