season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard,attFreekickPost,attFreekickTarget,attLgRight,attObxdLeft,attObxdRight,attPenMiss,attPenTarget,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,secondYellow,attLgLeft,expectedGoalsFreekick,totalDistance
2020-21,2128289,1,2020-09-12 17:30:00,2,Leeds,Away,258.0,32.0,,3.0,3.0,1.0,,92.0,6.0,1.0,10.0,2.0,6.0,29.0,347.0,,1.0,22.0,14.0,12.0,1.0,,,,,1.0,1.0,,,,,5.0,,,,,,4.0,17.0,5.0,4.0,2.0,68.0,69.0,,,,2.0,13.0,2.0,19.0,,,,1.0,8.0,,9.0,2.0,51.0,64.0,2.0,34.0,14.0,,,23.0,44.0,6.0,9.0,1.0,,1.0,,1.0,156.0,2.0,,1.0,2.0,,,12.0,3.0,,1.0,14.0,,12.0,12.0,,,11.0,115.0,61.0,32.0,9.0,2.0,,3.0,3.0,432.0,12.0,2.0,,53.0,47.0,15.0,2.0,2.0,2.0,,,163.0,163.0,3.0,35.0,18.0,51.2,,,,1.0,13.0,0.0,120.0,1.0,1.0,3.0,,,1.0,,,3.0,12.0,40.0,326.0,7.0,3.0,302.0,56.0,34.0,13.0,,9.0,9.0,,80.0,4.0,166.0,,1.0,17.0,6.0,70.0,5.0,459.0,,0.0,6.0,34.0,1.0,25.0,0.0,695.0,14.0,21.0,,9.0,,20.0,0.0,,,,,,,,,,,,,,,
2020-21,2128300,2,2020-09-19 15:00:00,2,Leeds,Home,220.0,34.0,1.0,3.0,2.0,4.0,1.0,120.0,8.0,,5.0,3.0,10.0,37.0,337.0,1.0,,28.0,20.0,18.0,2.0,3.0,2.0,,,,1.0,,,,,5.0,1.0,,,,1.0,6.0,7.0,7.0,8.0,2.0,75.0,74.0,,,1.0,3.0,20.0,1.0,20.0,,,5.0,6.0,7.0,,13.0,,70.0,69.0,3.0,11.0,5.0,,,17.0,52.0,13.0,17.0,1.0,,7.0,3.0,1.0,176.0,2.0,,2.0,2.0,,,9.0,2.0,,1.0,5.0,,10.0,10.0,,,5.0,80.0,60.0,35.0,3.0,3.0,2.0,5.0,7.0,418.0,3.0,1.0,,47.0,58.0,27.0,1.0,1.0,1.0,,1.0,174.0,174.0,9.0,28.0,30.0,50.3,,,,1.0,20.0,0.0,113.0,1.0,2.0,3.0,,,2.0,,,2.0,8.0,68.0,314.0,4.0,7.0,264.0,52.0,11.0,17.0,4.0,20.0,16.0,,108.0,7.0,200.0,,,17.0,12.0,66.0,3.0,444.0,3.0,0.0,10.0,22.0,2.0,31.0,1.0,658.0,19.0,25.0,,12.0,5.0,17.0,0.0,,,,,,,,,,,,,,,
2020-21,2128312,3,2020-09-27 12:00:00,2,Leeds,Away,262.0,23.0,1.0,7.0,6.0,2.0,2.0,215.0,6.0,1.0,10.0,,8.0,35.0,470.0,,,28.0,23.0,25.0,13.0,2.0,2.0,1.0,,,,,,,,14.0,,,,,1.0,3.0,9.0,5.0,9.0,8.0,68.0,56.0,2.0,1.0,1.0,1.0,22.0,3.0,12.0,,,7.0,9.0,7.0,,16.0,2.0,62.0,60.0,1.0,10.0,4.0,,1.0,21.0,50.0,4.0,15.0,1.0,,4.0,4.0,,172.0,1.0,,1.0,1.0,,,6.0,1.0,,,4.0,,7.0,7.0,2.0,,10.0,158.0,83.0,49.0,5.0,,5.0,11.0,9.0,553.0,5.0,2.0,,91.0,67.0,41.0,,,,,,170.0,170.0,2.0,28.0,16.0,63.7,,,,,22.0,0.0,180.0,3.0,1.0,4.0,,1.0,5.0,,,3.0,4.0,116.0,447.0,13.0,16.0,286.0,49.0,10.0,14.0,5.0,25.0,20.0,1.0,163.0,8.0,317.0,,1.0,13.0,8.0,71.0,1.0,578.0,1.0,0.0,17.0,13.0,1.0,28.0,1.0,801.0,22.0,18.0,,7.0,7.0,7.0,0.0,,,,,,,,,,,,,,,
2020-21,2128320,4,2020-10-03 17:30:00,2,Leeds,Home,249.0,31.0,2.0,3.0,2.0,1.0,,110.0,13.0,,6.0,2.0,7.0,29.0,356.0,1.0,,16.0,13.0,6.0,9.0,,1.0,,,,,,,,,11.0,,,,,,8.0,16.0,7.0,11.0,1.0,64.0,53.0,3.0,4.0,1.0,,15.0,3.0,22.0,1.0,,7.0,4.0,4.0,,5.0,1.0,57.0,55.0,,19.0,6.0,,4.0,32.0,37.0,11.0,12.0,,,1.0,,,138.0,,,,,,,14.0,,1.0,,6.0,2.0,9.0,9.0,,,7.0,114.0,54.0,24.0,10.0,,2.0,7.0,7.0,397.0,8.0,1.0,,44.0,45.0,20.0,,,,,,117.0,117.0,2.0,25.0,19.0,52.1,,,1.0,1.0,15.0,0.0,113.0,1.0,,1.0,,,2.0,,,3.0,12.0,59.0,327.0,11.0,9.0,265.0,58.0,19.0,16.0,6.0,13.0,8.0,,90.0,4.0,177.0,1.0,,6.0,9.0,57.0,2.0,429.0,1.0,0.0,12.0,27.0,,17.0,2.0,633.0,23.0,18.0,,10.0,7.0,14.0,0.0,,,,,,,,,,,,,,,
2020-21,2128329,5,2020-10-19 20:00:00,2,Leeds,Home,238.0,34.0,4.0,8.0,6.0,1.0,,231.0,7.0,,5.0,1.0,2.0,40.0,461.0,1.0,,17.0,20.0,10.0,9.0,1.0,3.0,,,,,,,,,9.0,,,,,1.0,8.0,4.0,3.0,13.0,,76.0,57.0,1.0,1.0,,2.0,8.0,4.0,14.0,,,8.0,23.0,6.0,,6.0,1.0,61.0,41.0,2.0,5.0,1.0,,,28.0,67.0,13.0,11.0,,1.0,2.0,2.0,,178.0,,,,,,,7.0,,,,1.0,,12.0,12.0,,,5.0,136.0,60.0,43.0,3.0,,7.0,3.0,2.0,530.0,3.0,2.0,,94.0,88.0,50.0,,,,,,147.0,147.0,2.0,24.0,26.0,67.8,,,,,8.0,0.0,163.0,1.0,1.0,2.0,1.0,,7.0,1.0,,3.0,12.0,136.0,438.0,5.0,10.0,262.0,57.0,5.0,15.0,8.0,37.0,31.0,,189.0,3.0,328.0,,,7.0,2.0,61.0,1.0,553.0,2.0,0.0,13.0,14.0,2.0,19.0,2.0,728.0,35.0,6.0,,7.0,8.0,8.0,0.0,,,,,,,,,,,,,,,
2020-21,2128337,6,2020-10-23 20:00:00,2,Leeds,Away,159.0,31.0,1.0,5.0,4.0,1.0,,213.0,5.0,1.0,6.0,5.0,5.0,39.0,367.0,2.0,,24.0,17.0,13.0,19.0,1.0,4.0,1.0,,1.0,1.0,,,,,22.0,,,,,,5.0,7.0,5.0,20.0,7.0,63.0,63.0,2.0,2.0,1.0,3.0,13.0,5.0,12.0,1.0,2.0,5.0,11.0,5.0,,8.0,1.0,60.0,46.0,3.0,12.0,6.0,,2.0,33.0,62.0,17.0,14.0,3.0,,5.0,1.0,1.0,169.0,2.0,,1.0,2.0,,,6.0,3.0,1.0,,6.0,,12.0,12.0,2.0,,7.0,106.0,60.0,42.0,6.0,,11.0,11.0,9.0,424.0,4.0,3.0,,80.0,67.0,38.0,,,,,,131.0,131.0,4.0,30.0,22.0,59.2,,,,1.0,13.0,0.0,107.0,3.0,1.0,3.0,2.0,1.0,13.0,2.0,,3.0,16.0,124.0,351.0,5.0,22.0,187.0,48.0,12.0,12.0,3.0,20.0,17.0,1.0,159.0,3.0,278.0,1.0,1.0,14.0,6.0,64.0,,445.0,2.0,0.0,27.0,14.0,,28.0,2.0,648.0,46.0,16.0,,6.0,5.0,4.0,0.0,,,,,,,,,,,,,,,
2020-21,2128349,7,2020-11-02 20:00:00,2,Leeds,Home,254.0,22.0,1.0,2.0,1.0,,1.0,289.0,2.0,,5.0,1.0,5.0,24.0,541.0,1.0,1.0,26.0,7.0,17.0,6.0,1.0,3.0,,,,,,,,,8.0,,,,1.0,,5.0,9.0,1.0,6.0,5.0,70.0,70.0,3.0,3.0,,1.0,14.0,2.0,9.0,,,10.0,6.0,9.0,1.0,14.0,2.0,45.0,51.0,1.0,11.0,4.0,1.0,,29.0,68.0,9.0,5.0,,1.0,3.0,2.0,,170.0,1.0,,,,1.0,,2.0,,,,4.0,1.0,7.0,7.0,1.0,,6.0,195.0,69.0,52.0,3.0,,3.0,5.0,4.0,627.0,1.0,1.0,,115.0,110.0,42.0,1.0,1.0,1.0,,,164.0,164.0,3.0,30.0,31.0,67.5,1.0,,,,14.0,0.0,204.0,3.0,1.0,4.0,,,5.0,,,3.0,11.0,129.0,529.0,4.0,8.0,280.0,48.0,11.0,16.0,8.0,25.0,17.0,,179.0,4.0,384.0,1.0,,5.0,7.0,45.0,2.0,639.0,2.0,0.0,11.0,19.0,2.0,26.0,1.0,834.0,25.0,18.0,,10.0,10.0,9.0,0.0,,,,,,,,,,,,,,,
2020-21,2128359,8,2020-11-07 15:00:00,2,Leeds,Away,259.0,28.0,3.0,4.0,1.0,2.0,,238.0,5.0,,8.0,5.0,4.0,42.0,493.0,,,22.0,15.0,14.0,4.0,2.0,4.0,1.0,,1.0,1.0,,,1.0,,4.0,,,,,,10.0,7.0,4.0,5.0,4.0,85.0,73.0,1.0,,1.0,3.0,18.0,2.0,8.0,,1.0,6.0,5.0,10.0,,8.0,1.0,53.0,55.0,3.0,11.0,6.0,1.0,,27.0,68.0,16.0,8.0,1.0,,2.0,2.0,1.0,166.0,1.0,,1.0,1.0,,,5.0,1.0,,1.0,6.0,,14.0,14.0,,,9.0,168.0,79.0,52.0,3.0,,3.0,4.0,3.0,582.0,2.0,3.0,1.0,92.0,98.0,36.0,,,,,,167.0,167.0,9.0,22.0,33.0,64.8,,,,,18.0,0.0,180.0,2.0,1.0,3.0,1.0,1.0,4.0,,,2.0,12.0,111.0,477.0,8.0,7.0,282.0,57.0,11.0,15.0,6.0,23.0,17.0,1.0,173.0,6.0,340.0,,,11.0,5.0,69.0,1.0,599.0,,0.0,9.0,25.0,,22.0,2.0,806.0,21.0,22.0,,8.0,6.0,15.0,0.0,,,,,,,,,,,,,,,
2020-21,2128369,9,2020-11-22 16:30:00,2,Leeds,Home,226.0,16.0,2.0,7.0,5.0,2.0,,300.0,4.0,2.0,2.0,2.0,6.0,16.0,519.0,2.0,,16.0,11.0,11.0,14.0,2.0,2.0,,,,,,,,,22.0,,1.0,2.0,,1.0,8.0,5.0,4.0,15.0,10.0,81.0,69.0,2.0,2.0,,1.0,6.0,5.0,14.0,,,5.0,9.0,15.0,,8.0,1.0,44.0,41.0,1.0,14.0,7.0,,,,64.0,9.0,8.0,,1.0,1.0,,,169.0,,,,,,,5.0,,,,7.0,3.0,9.0,9.0,,,2.0,184.0,45.0,29.0,3.0,,10.0,6.0,4.0,592.0,1.0,,,68.0,87.0,50.0,,,,,,129.0,129.0,2.0,24.0,41.0,66.3,3.0,,,,6.0,0.0,176.0,2.0,,2.0,,,16.0,,,2.0,,149.0,503.0,3.0,16.0,246.0,36.0,14.0,6.0,3.0,27.0,24.0,,202.0,4.0,391.0,,2.0,6.0,7.0,33.0,,610.0,3.0,0.0,25.0,18.0,,16.0,3.0,774.0,36.0,7.0,,4.0,5.0,8.0,0.0,,,,,,,,,,,,,,,
2020-21,2128380,10,2020-11-28 17:30:00,2,Leeds,Away,215.0,27.0,1.0,5.0,4.0,1.0,,243.0,8.0,,15.0,2.0,9.0,35.0,453.0,3.0,,23.0,16.0,13.0,17.0,,,2.0,,,,,,,,23.0,,,,1.0,,4.0,10.0,5.0,17.0,6.0,69.0,65.0,5.0,5.0,,1.0,13.0,6.0,13.0,,,2.0,8.0,5.0,,10.0,5.0,62.0,46.0,1.0,11.0,5.0,,1.0,26.0,54.0,14.0,8.0,,1.0,2.0,1.0,,158.0,1.0,,,1.0,,,8.0,1.0,,,5.0,1.0,4.0,4.0,,,15.0,149.0,66.0,48.0,4.0,1.0,7.0,11.0,6.0,524.0,1.0,,,85.0,79.0,24.0,,,,,,148.0,148.0,6.0,18.0,26.0,58.2,1.0,,,,13.0,0.0,166.0,5.0,3.0,8.0,,2.0,11.0,1.0,,3.0,12.0,122.0,436.0,3.0,18.0,232.0,49.0,11.0,15.0,2.0,16.0,14.0,2.0,174.0,2.0,326.0,,,9.0,9.0,54.0,6.0,542.0,4.0,0.0,23.0,19.0,,24.0,2.0,751.0,37.0,21.0,,6.0,2.0,8.0,0.0,,,,,,,,,,,,,,,
