season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,ownGoals_h,ownGoals_a
2017-18,918893,1,2017-08-11 19:45:00,"Emirates Stadium, London",59387,Arsenal,Leicester,4,3,3,4,W,L,2,2,2,2,0,0,0,0,4.0,3.0,27.0,6.0,10.0,3.0,9.0,3.0,8.0,,4.0,2.0,1.0,2.0,3.0,,,,4.0,3.0,25.0,4.0,17.0,3.0,32.0,27.0,79.0,60.0,632.0,263.0,538.0,167.0,70.0,30.0,30.0,11.0,23.0,17.0,17.0,8.0,13.0,11.0,30.0,24.0,30.0,24.0,21.0,19.0,,8.0,,,1.0,,5.0,16.0,14.0,12.0,146.0,158.0,,6.0,3.0,4.0,,,69.0,48.0,48.0,69.0,18.0,18.0,18.0,18.0,9.0,4.0,9.0,4.0,1.0,,9.0,12.0,12.0,9.0,0.0,0.0,0.0,0.0,,,,,5.0,3.0,,
2017-18,918894,1,2017-08-12 17:30:00,"Amex Stadium, Falmer",30415,Brighton,Man City,0,2,2,0,L,W,0,0,0,0,0,0,0,0,,2.0,6.0,14.0,2.0,4.0,2.0,5.0,2.0,5.0,,3.0,,1.0,,4.0,,1.0,,1.0,2.0,10.0,2.0,6.0,11.0,51.0,30.0,91.0,213.0,768.0,130.0,691.0,21.8,78.2,9.0,28.0,10.0,10.0,8.0,6.0,12.0,9.0,39.0,8.0,39.0,8.0,12.0,16.0,5.0,2.0,1.0,1.0,,,6.0,7.0,8.0,4.0,114.0,127.0,3.0,2.0,2.0,,,1.0,38.0,35.0,35.0,38.0,13.0,13.0,13.0,13.0,3.0,10.0,3.0,10.0,1.0,,6.0,9.0,8.0,6.0,0.0,0.0,0.0,0.0,,,,,6.0,1.0,1.0,
2017-18,918895,1,2017-08-12 15:00:00,"Stamford Bridge, London",41616,Chelsea,Burnley,2,3,3,2,L,W,0,3,3,0,2,0,0,2,2.0,3.0,19.0,10.0,6.0,5.0,6.0,4.0,7.0,1.0,2.0,,2.0,,,,,1.0,2.0,3.0,14.0,8.0,10.0,5.0,37.0,28.0,61.0,55.0,521.0,320.0,446.0,241.0,61.9,38.1,25.0,12.0,10.0,8.0,8.0,4.0,9.0,13.0,22.0,42.0,22.0,42.0,14.0,12.0,1.0,7.0,,,,,2.0,5.0,5.0,9.0,127.0,111.0,2.0,4.0,3.0,2.0,,,41.0,46.0,46.0,41.0,17.0,22.0,22.0,17.0,8.0,5.0,8.0,5.0,1.0,2.0,16.0,11.0,11.0,15.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,,
2017-18,918896,1,2017-08-12 15:00:00,"Selhurst Park, London",25448,Crystal Palace,Huddersfield,0,3,3,0,L,W,0,2,2,0,0,0,0,0,,3.0,14.0,9.0,4.0,6.0,7.0,3.0,3.0,,1.0,2.0,,1.0,2.0,1.0,,,,2.0,8.0,6.0,3.0,4.0,40.0,21.0,66.0,67.0,391.0,306.0,304.0,199.0,56.7,43.3,23.0,16.0,24.0,28.0,19.0,19.0,19.0,9.0,18.0,29.0,18.0,29.0,21.0,20.0,,3.0,,,,,5.0,18.0,23.0,18.0,157.0,158.0,4.0,4.0,3.0,,,1.0,79.0,56.0,56.0,79.0,18.0,16.0,16.0,18.0,12.0,9.0,12.0,9.0,,,7.0,19.0,19.0,7.0,0.0,0.0,0.0,0.0,,,,,,2.0,1.0,
2017-18,918897,1,2017-08-12 15:00:00,"Goodison Park, Liverpool",39045,Everton,Stoke,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,9.0,9.0,4.0,1.0,3.0,6.0,2.0,2.0,1.0,,1.0,,,,,,1.0,,6.0,6.0,5.0,2.0,27.0,43.0,69.0,65.0,497.0,292.0,392.0,211.0,61.6,38.4,23.0,18.0,17.0,18.0,12.0,12.0,19.0,24.0,43.0,24.0,43.0,24.0,14.0,16.0,2.0,2.0,,1.0,,,10.0,1.0,12.0,14.0,160.0,161.0,1.0,3.0,,1.0,1.0,,47.0,64.0,64.0,47.0,19.0,25.0,25.0,19.0,6.0,7.0,6.0,7.0,,2.0,13.0,10.0,10.0,13.0,0.0,0.0,0.0,0.0,,,,,2.0,6.0,,
2017-18,918898,1,2017-08-13 16:00:00,"Old Trafford, Manchester",74928,Man Utd,West Ham,4,0,0,4,W,L,1,0,0,1,0,0,0,0,4.0,,21.0,9.0,5.0,1.0,8.0,6.0,8.0,2.0,3.0,1.0,3.0,,,1.0,1.0,1.0,4.0,,16.0,7.0,10.0,2.0,33.0,20.0,62.0,56.0,493.0,397.0,417.0,316.0,55.4,44.6,36.0,12.0,14.0,21.0,8.0,16.0,11.0,12.0,19.0,26.0,19.0,26.0,14.0,13.0,1.0,8.0,,1.0,,,3.0,23.0,13.0,12.0,132.0,129.0,1.0,1.0,,4.0,1.0,,65.0,56.0,56.0,65.0,23.0,13.0,13.0,23.0,11.0,1.0,11.0,1.0,1.0,,19.0,7.0,7.0,19.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,,
2017-18,918899,1,2017-08-13 13:30:00,"St. James' Park, Newcastle",52077,Newcastle,Spurs,0,2,2,0,L,W,0,0,0,0,1,0,0,1,,2.0,6.0,18.0,2.0,6.0,4.0,5.0,,7.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,2.0,5.0,14.0,1.0,9.0,24.0,32.0,40.0,69.0,245.0,702.0,157.0,628.0,26.9,73.1,16.0,25.0,12.0,16.0,9.0,11.0,8.0,5.0,29.0,22.0,29.0,22.0,19.0,19.0,7.0,,,,,,10.0,4.0,13.0,5.0,137.0,123.0,4.0,2.0,2.0,,,1.0,39.0,47.0,47.0,39.0,16.0,15.0,15.0,16.0,5.0,7.0,5.0,7.0,1.0,1.0,6.0,10.0,9.0,6.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,,
2017-18,918900,1,2017-08-12 15:00:00,"St. Mary's Stadium, Southampton",31447,Southampton,Swansea,0,0,0,0,D,D,0,0,0,0,0,0,0,0,,,29.0,4.0,2.0,,16.0,2.0,11.0,2.0,2.0,,,,2.0,,1.0,,,,23.0,3.0,9.0,2.0,54.0,14.0,55.0,45.0,518.0,365.0,432.0,284.0,59.6,40.4,38.0,7.0,12.0,11.0,10.0,8.0,12.0,8.0,11.0,38.0,11.0,38.0,23.0,20.0,2.0,11.0,,1.0,,,4.0,6.0,9.0,10.0,136.0,115.0,,2.0,,,1.0,1.0,47.0,42.0,42.0,47.0,17.0,18.0,18.0,17.0,13.0,,13.0,,,,10.0,13.0,12.0,10.0,0.0,0.0,0.0,0.0,,,,,,1.0,,
2017-18,918901,1,2017-08-12 12:30:00,"Vicarage Road, Watford",20407,Watford,Liverpool,3,3,3,3,D,D,2,1,1,2,0,0,0,0,3.0,3.0,9.0,14.0,4.0,5.0,4.0,8.0,1.0,1.0,1.0,2.0,3.0,3.0,,,,1.0,1.0,2.0,5.0,12.0,3.0,5.0,29.0,31.0,79.0,60.0,395.0,477.0,277.0,352.0,45.6,54.4,11.0,24.0,19.0,20.0,12.0,15.0,11.0,11.0,28.0,22.0,28.0,22.0,29.0,25.0,1.0,1.0,1.0,,,,6.0,11.0,14.0,14.0,173.0,178.0,2.0,1.0,3.0,3.0,,,60.0,64.0,64.0,60.0,22.0,25.0,25.0,22.0,3.0,3.0,3.0,3.0,1.0,,14.0,8.0,8.0,13.0,0.0,0.0,0.0,0.0,,1.0,,1.0,3.0,1.0,,
2017-18,918902,1,2017-08-12 15:00:00,"The Hawthorns, West Bromwich",25011,West Brom,Bournemouth,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,16.0,9.0,6.0,2.0,9.0,2.0,1.0,5.0,1.0,,1.0,,,,,,1.0,,15.0,8.0,6.0,6.0,32.0,38.0,59.0,98.0,242.0,612.0,157.0,527.0,28.7,71.3,19.0,19.0,19.0,16.0,15.0,13.0,14.0,5.0,26.0,17.0,26.0,17.0,10.0,11.0,5.0,1.0,,,,,5.0,1.0,6.0,15.0,130.0,136.0,2.0,5.0,,1.0,1.0,,34.0,52.0,52.0,34.0,12.0,18.0,18.0,12.0,8.0,2.0,8.0,2.0,1.0,1.0,15.0,3.0,2.0,15.0,0.0,0.0,0.0,0.0,,,,,2.0,,,
