season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,ownGoals_h,ownGoals_a,expectedGoals_h,expectedGoals_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a,expectedAssists_h,expectedAssists_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a
2019-20,1059702,1,2019-08-09 20:00:00,"Anfield, Liverpool",53333.0,Liverpool,Norwich,4,1,1,4,W,L,4,0,0,4,0,0,0,0,4.0,1.0,15.0,12.0,7.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,,2.0,1.0,3.0,1.0,12.0,10.0,8.0,5.0,49.0,10.0,52.0,32.0,477.0,363.0,387.0,278.0,57.9,42.1,37.0,17.0,21.0,12.0,13.0,8.0,14.0,11.0,5.0,35.0,5.0,35.0,20.0,16.0,2.0,3.0,1.0,,,,10.0,11.0,8.0,15.0,145.0,130.0,4.0,4.0,1.0,4.0,,,56.0,38.0,38.0,56.0,15.0,7.0,7.0,15.0,11.0,2.0,11.0,2.0,1.0,,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,,,,,,5.0,,1.0,,,,,,,,
2019-20,1059703,1,2019-08-10 15:00:00,"Vitality Stadium, Bournemouth",10714.0,Bournemouth,Sheff Utd,1,1,1,1,D,D,0,0,0,0,0,0,0,0,1.0,1.0,13.0,8.0,3.0,3.0,7.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,7.0,5.0,3.0,3.0,22.0,25.0,50.0,66.0,485.0,428.0,384.0,332.0,52.9,47.1,16.0,11.0,18.0,14.0,13.0,11.0,13.0,14.0,13.0,16.0,13.0,16.0,17.0,19.0,1.0,2.0,,,,,6.0,8.0,5.0,9.0,151.0,145.0,2.0,2.0,1.0,1.0,,,56.0,49.0,49.0,56.0,14.0,21.0,21.0,14.0,3.0,4.0,3.0,4.0,5.0,2.0,10.0,19.0,17.0,9.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,,,
2019-20,1059704,1,2019-08-10 15:00:00,"Turf Moor, Burnley",19784.0,Burnley,Southampton,3,0,0,3,W,L,0,0,0,0,0,0,0,0,3.0,,10.0,11.0,4.0,3.0,4.0,5.0,2.0,3.0,1.0,1.0,1.0,,,1.0,,,2.0,,7.0,5.0,4.0,2.0,29.0,27.0,64.0,72.0,332.0,393.0,183.0,249.0,46.5,53.5,15.0,29.0,21.0,7.0,12.0,5.0,14.0,10.0,13.0,18.0,13.0,18.0,20.0,21.0,3.0,1.0,,1.0,,,6.0,14.0,6.0,16.0,201.0,205.0,3.0,1.0,,3.0,1.0,,68.0,41.0,41.0,68.0,23.0,22.0,22.0,23.0,2.0,7.0,2.0,7.0,,1.0,6.0,12.0,11.0,6.0,0.0,0.0,0.0,0.0,,,,,5.0,1.0,,,,,,,,,,
2019-20,1059705,1,2019-08-10 15:00:00,"Selhurst Park, London",25151.0,Crystal Palace,Everton,0,0,0,0,D,D,0,0,0,0,0,1,1,0,,,6.0,10.0,2.0,3.0,,3.0,4.0,4.0,1.0,,,,1.0,2.0,,,,,5.0,7.0,5.0,6.0,25.0,30.0,59.0,55.0,268.0,500.0,161.0,401.0,35.4,64.6,19.0,17.0,21.0,14.0,14.0,7.0,10.0,14.0,21.0,18.0,21.0,18.0,19.0,22.0,5.0,4.0,1.0,,,,5.0,8.0,10.0,12.0,166.0,169.0,2.0,2.0,,,1.0,1.0,71.0,53.0,53.0,71.0,30.0,18.0,18.0,30.0,6.0,2.0,6.0,2.0,1.0,,16.0,14.0,12.0,16.0,0.0,0.0,0.0,0.0,,,,,4.0,,,,,,,,,,,
2019-20,1059706,1,2019-08-11 14:00:00,"King Power Stadium, Leicester",32015.0,Leicester,Wolves,0,0,0,0,D,D,0,0,0,0,0,0,0,0,,,16.0,8.0,1.0,2.0,10.0,4.0,5.0,2.0,1.0,1.0,,,1.0,1.0,,,,,11.0,8.0,3.0,4.0,38.0,12.0,65.0,30.0,665.0,291.0,564.0,202.0,70.0,30.0,29.0,15.0,20.0,19.0,13.0,11.0,7.0,9.0,12.0,33.0,12.0,33.0,24.0,23.0,1.0,5.0,,,,,12.0,16.0,7.0,12.0,164.0,146.0,2.0,1.0,,,1.0,1.0,71.0,55.0,55.0,71.0,24.0,22.0,22.0,24.0,12.0,3.0,12.0,3.0,3.0,,3.0,13.0,11.0,3.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,
2019-20,1059707,1,2019-08-10 17:30:00,"Tottenham Hotspur Stadium, London",60407.0,Spurs,Aston Villa,3,1,1,3,W,L,0,1,1,0,0,0,0,0,3.0,1.0,31.0,7.0,7.0,4.0,14.0,2.0,10.0,1.0,3.0,1.0,1.0,1.0,3.0,,,,2.0,1.0,22.0,7.0,12.0,5.0,54.0,10.0,66.0,33.0,587.0,256.0,526.0,200.0,70.1,29.9,43.0,8.0,17.0,29.0,12.0,13.0,5.0,9.0,6.0,39.0,6.0,39.0,22.0,15.0,1.0,11.0,,1.0,1.0,,4.0,11.0,15.0,13.0,131.0,95.0,3.0,3.0,1.0,3.0,,,47.0,58.0,58.0,47.0,10.0,12.0,12.0,10.0,14.0,,14.0,,,1.0,13.0,9.0,9.0,13.0,0.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,,,,
2019-20,1059708,1,2019-08-10 15:00:00,"Vicarage Road, Watford",20245.0,Watford,Brighton,0,3,3,0,L,W,0,1,1,0,0,0,0,0,,3.0,11.0,5.0,3.0,3.0,4.0,2.0,4.0,,,2.0,,2.0,,,,,,2.0,5.0,4.0,3.0,3.0,29.0,21.0,59.0,40.0,414.0,442.0,325.0,347.0,48.2,51.8,15.0,12.0,12.0,24.0,4.0,14.0,12.0,11.0,10.0,24.0,10.0,24.0,19.0,21.0,,4.0,,1.0,,,6.0,9.0,18.0,6.0,145.0,146.0,1.0,3.0,3.0,,,1.0,46.0,62.0,62.0,46.0,14.0,19.0,19.0,14.0,5.0,2.0,5.0,2.0,3.0,,15.0,11.0,11.0,14.0,0.0,0.0,0.0,0.0,,,,,,3.0,1.0,,,,,,,,,
2019-20,1059709,1,2019-08-10 12:30:00,"London Stadium, London",59870.0,West Ham,Man City,0,5,5,0,L,W,0,1,1,0,0,0,0,0,,5.0,5.0,14.0,3.0,9.0,2.0,3.0,,2.0,1.0,4.0,,4.0,2.0,1.0,,,,4.0,2.0,12.0,1.0,9.0,14.0,26.0,58.0,47.0,403.0,547.0,325.0,473.0,42.9,57.1,8.0,33.0,18.0,18.0,10.0,13.0,9.0,13.0,9.0,13.0,9.0,13.0,13.0,14.0,2.0,,1.0,,,,13.0,8.0,14.0,13.0,129.0,114.0,4.0,3.0,5.0,,,1.0,57.0,54.0,54.0,57.0,18.0,17.0,17.0,18.0,1.0,1.0,1.0,1.0,1.0,,6.0,13.0,13.0,6.0,0.0,0.0,0.0,0.0,,1.0,,1.0,2.0,4.0,,,,,,,,,,
2019-20,1059710,1,2019-08-11 16:30:00,"Old Trafford, Manchester",73620.0,Man Utd,Chelsea,4,0,0,4,W,L,1,0,0,1,0,0,0,0,4.0,,11.0,18.0,5.0,7.0,2.0,7.0,4.0,4.0,2.0,,3.0,,,1.0,,2.0,3.0,,9.0,15.0,7.0,9.0,18.0,27.0,31.0,48.0,449.0,523.0,363.0,442.0,46.2,53.8,28.0,15.0,16.0,21.0,10.0,9.0,12.0,15.0,19.0,11.0,19.0,11.0,25.0,23.0,4.0,4.0,,1.0,,,13.0,14.0,15.0,5.0,140.0,133.0,7.0,1.0,,4.0,1.0,,55.0,58.0,58.0,55.0,13.0,9.0,9.0,13.0,3.0,5.0,3.0,5.0,,1.0,15.0,13.0,12.0,15.0,0.0,0.0,0.0,0.0,1.0,,1.0,,2.0,,,,,,,,,,,
2019-20,1059711,1,2019-08-11 14:00:00,"St. James' Park, Newcastle",47635.0,Newcastle,Arsenal,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,9.0,8.0,2.0,2.0,4.0,4.0,3.0,2.0,,2.0,,1.0,,1.0,1.0,,,1.0,7.0,8.0,4.0,4.0,27.0,23.0,54.0,65.0,378.0,616.0,287.0,523.0,38.1,61.9,13.0,24.0,26.0,11.0,17.0,6.0,20.0,6.0,17.0,22.0,17.0,22.0,13.0,12.0,2.0,3.0,,,,,12.0,11.0,4.0,13.0,143.0,149.0,1.0,2.0,1.0,,,1.0,65.0,48.0,48.0,65.0,21.0,14.0,14.0,21.0,5.0,3.0,5.0,3.0,,1.0,12.0,7.0,7.0,11.0,0.0,0.0,0.0,0.0,,,,,1.0,3.0,,,,,,,,,,
