season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attCorner,attFreekickTarget,attObxdRight,ptsGainedLosingPos,attPenMiss,goalFastbreak,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,successfulFiftyFifty
2015-16,803170,1,2015-08-08 15:00:00,57,Watford,Away,77.0,12.0,1.0,3.0,2.0,5.0,,126.0,3.0,1.0,1.0,9.0,16.0,22.0,200.0,1.0,,10.0,20.0,29.0,7.0,,1.0,,,,,,,,,11.0,,,,,,,8.0,6.0,4.0,,,47.0,67.0,,,,2.0,10.0,3.0,6.0,,1.0,2.0,9.0,2.0,,9.0,1.0,53.0,72.0,2.0,42.0,19.0,1.0,,68.0,13.0,7.0,,1.0,1.0,,,140.0,1.0,,,1.0,,9.0,2.0,2.0,,21.0,,37.0,37.0,8.0,3.0,47.0,85.0,37.0,8.0,1.0,1.0,7.0,5.0,255.0,2.0,2.0,,53.0,41.0,24.0,,,,,,142.0,131.0,4.0,31.0,20.0,33.4,,,3.0,10.0,0.0,52.0,3.0,,3.0,,4.0,1.0,3.0,,3.0,73.0,186.0,6.0,8.0,84.0,21.0,53.0,16.0,2.0,13.0,11.0,1.0,120.0,17.0,215.0,2.0,1.0,31.0,17.0,59.0,1.0,286.0,1.0,0.0,11.0,25.0,3.0,14.0,2.0,510.0,,11.0,11.0,2.0,19.0,0.0,,,,,,,,,,,,,
2015-16,803181,2,2015-08-15 15:00:00,57,Watford,Home,167.0,21.0,1.0,10.0,9.0,6.0,,261.0,5.0,1.0,6.0,12.0,31.0,45.0,418.0,,,26.0,26.0,18.0,15.0,,1.0,,1.0,,1.0,,,,,15.0,,,,,,,5.0,4.0,2.0,,,73.0,56.0,,,,3.0,20.0,3.0,4.0,,,2.0,17.0,12.0,,17.0,,64.0,52.0,3.0,18.0,5.0,,,83.0,13.0,10.0,,1.0,4.0,2.0,1.0,145.0,,,,,,8.0,,,2.0,5.0,,20.0,20.0,,6.0,133.0,67.0,42.0,4.0,,7.0,8.0,5.0,480.0,1.0,3.0,,85.0,94.0,34.0,,,,,,151.0,149.0,2.0,21.0,26.0,63.9,,,1.0,20.0,0.0,147.0,,,,,1.0,1.0,8.0,,2.0,134.0,403.0,11.0,15.0,182.0,36.0,20.0,16.0,2.0,33.0,31.0,1.0,183.0,11.0,349.0,,1.0,37.0,32.0,85.0,,498.0,,0.0,16.0,15.0,,32.0,1.0,721.0,,12.0,9.0,2.0,9.0,0.0,,,,,,,,,,,,,
2015-16,803188,3,2015-08-23 16:00:00,57,Watford,Home,115.0,19.0,1.0,4.0,3.0,4.0,1.0,205.0,9.0,,10.0,8.0,7.0,33.0,316.0,,,25.0,23.0,25.0,7.0,2.0,,,,,,,,,,9.0,,,,,,1.0,6.0,8.0,6.0,,,71.0,75.0,1.0,2.0,,,18.0,7.0,5.0,,1.0,5.0,17.0,9.0,,8.0,4.0,51.0,62.0,,14.0,11.0,,,80.0,10.0,11.0,,2.0,1.0,2.0,,187.0,,,,,,14.0,,2.0,,11.0,,14.0,14.0,,13.0,88.0,82.0,43.0,2.0,,4.0,5.0,,401.0,,2.0,,90.0,64.0,36.0,,,,,,185.0,184.0,4.0,26.0,30.0,52.0,,,1.0,18.0,0.0,85.0,3.0,1.0,4.0,,,,6.0,1.0,2.0,93.0,294.0,10.0,10.0,138.0,40.0,15.0,17.0,2.0,30.0,28.0,,153.0,16.0,323.0,2.0,,30.0,10.0,80.0,4.0,431.0,,0.0,13.0,15.0,,31.0,0.0,639.0,,12.0,11.0,5.0,12.0,0.0,,,,,,,,,,,,,
2015-16,803199,4,2015-08-29 15:00:00,57,Watford,Away,185.0,18.0,1.0,1.0,,3.0,,209.0,8.0,,3.0,2.0,26.0,27.0,393.0,,,9.0,9.0,3.0,4.0,,,,,,1.0,,1.0,,,4.0,,,,,,,7.0,8.0,10.0,,,75.0,51.0,,,,3.0,14.0,5.0,13.0,,,3.0,8.0,2.0,,11.0,3.0,48.0,50.0,3.0,16.0,5.0,,2.0,42.0,12.0,9.0,,,2.0,,1.0,138.0,,,,,,13.0,,,,6.0,,19.0,19.0,1.0,4.0,126.0,66.0,44.0,9.0,,2.0,2.0,,432.0,5.0,2.0,,61.0,49.0,19.0,,,,,,115.0,108.0,4.0,30.0,12.0,41.3,,,1.0,14.0,0.0,119.0,2.0,1.0,3.0,,,,2.0,,3.0,68.0,377.0,9.0,4.0,211.0,29.0,23.0,12.0,3.0,13.0,10.0,,93.0,7.0,260.0,,,16.0,29.0,52.0,1.0,458.0,,0.0,7.0,30.0,,11.0,2.0,634.0,,10.0,8.0,3.0,21.0,0.0,,,,,,,,,,,,,
2015-16,803210,5,2015-09-12 15:00:00,57,Watford,Home,90.0,9.0,,1.0,1.0,4.0,,147.0,3.0,1.0,1.0,19.0,15.0,34.0,236.0,,,18.0,20.0,13.0,10.0,,1.0,,,,,,,,,14.0,,,,,,3.0,6.0,3.0,5.0,,,55.0,56.0,2.0,1.0,1.0,2.0,17.0,4.0,6.0,,,1.0,6.0,4.0,,4.0,1.0,44.0,47.0,2.0,20.0,9.0,,1.0,71.0,11.0,13.0,1.0,,5.0,4.0,,139.0,1.0,,1.0,,1.0,11.0,,1.0,,11.0,,25.0,25.0,3.0,2.0,64.0,80.0,32.0,3.0,,4.0,7.0,6.0,299.0,1.0,2.0,,65.0,48.0,21.0,,,,,,141.0,134.0,2.0,25.0,24.0,39.2,,,3.0,17.0,0.0,72.0,1.0,2.0,3.0,,3.0,1.0,7.0,,3.0,84.0,222.0,11.0,11.0,102.0,17.0,27.0,9.0,1.0,15.0,14.0,1.0,134.0,14.0,243.0,1.0,1.0,56.0,17.0,87.0,,330.0,,1.0,17.0,17.0,,21.0,1.0,520.0,,12.0,5.0,1.0,12.0,0.0,,,,,,,,,,,,,
2015-16,803219,6,2015-09-19 15:00:00,57,Watford,Away,100.0,8.0,2.0,2.0,,3.0,,177.0,5.0,,4.0,21.0,21.0,39.0,275.0,,,11.0,11.0,11.0,7.0,3.0,,,,,,,,,1.0,11.0,,,,,,,5.0,9.0,6.0,,,69.0,79.0,2.0,1.0,1.0,9.0,19.0,3.0,15.0,,,5.0,4.0,1.0,,15.0,3.0,56.0,56.0,9.0,14.0,5.0,,1.0,74.0,12.0,7.0,2.0,,,,,156.0,2.0,,2.0,2.0,,14.0,2.0,7.0,,5.0,,18.0,18.0,4.0,8.0,78.0,93.0,41.0,5.0,,6.0,6.0,4.0,346.0,3.0,5.0,,59.0,35.0,32.0,,,,,,166.0,161.0,6.0,33.0,22.0,42.4,,,2.0,19.0,0.0,78.0,2.0,2.0,4.0,,,,6.0,,3.0,79.0,257.0,12.0,12.0,119.0,17.0,19.0,13.0,4.0,9.0,5.0,,128.0,9.0,271.0,7.0,,54.0,25.0,85.0,1.0,381.0,,0.0,13.0,29.0,1.0,16.0,2.0,587.0,,14.0,9.0,5.0,24.0,0.0,,,,,,,,,,,,,
2015-16,803226,7,2015-09-27 16:00:00,57,Watford,Home,129.0,11.0,1.0,5.0,4.0,5.0,1.0,166.0,5.0,1.0,7.0,17.0,15.0,34.0,290.0,,,15.0,10.0,21.0,8.0,2.0,,,,1.0,2.0,,,,,8.0,,,1.0,,,4.0,11.0,8.0,8.0,,,56.0,44.0,,,,5.0,12.0,4.0,10.0,,,6.0,12.0,8.0,,2.0,2.0,51.0,58.0,5.0,15.0,7.0,,,85.0,17.0,22.0,,2.0,7.0,4.0,2.0,159.0,,,,,,11.0,,3.0,,9.0,1.0,10.0,10.0,2.0,7.0,79.0,79.0,32.0,4.0,,6.0,4.0,2.0,354.0,5.0,,,41.0,44.0,41.0,1.0,1.0,1.0,,,164.0,159.0,1.0,22.0,9.0,55.3,1.0,,2.0,12.0,0.0,92.0,1.0,1.0,2.0,,1.0,,9.0,,3.0,86.0,270.0,7.0,10.0,151.0,19.0,20.0,15.0,6.0,30.0,24.0,,136.0,17.0,265.0,3.0,1.0,56.0,17.0,83.0,,386.0,,0.0,15.0,14.0,,30.0,4.0,585.0,,7.0,3.0,6.0,10.0,0.0,,,,,,,,,,,,,
2015-16,803239,8,2015-10-03 15:00:00,57,Watford,Away,149.0,18.0,,3.0,3.0,7.0,,163.0,3.0,4.0,2.0,13.0,11.0,36.0,309.0,,1.0,18.0,26.0,20.0,6.0,,,,1.0,,1.0,,,,2.0,7.0,,,1.0,,,2.0,12.0,6.0,6.0,,,72.0,62.0,1.0,1.0,1.0,3.0,23.0,4.0,15.0,,,3.0,6.0,4.0,,5.0,4.0,64.0,57.0,3.0,11.0,7.0,,,71.0,13.0,8.0,1.0,,3.0,3.0,1.0,169.0,,,,,,6.0,1.0,2.0,,8.0,1.0,16.0,16.0,2.0,5.0,83.0,96.0,42.0,5.0,,2.0,4.0,2.0,398.0,2.0,1.0,,63.0,67.0,18.0,,1.0,1.0,1.0,,175.0,170.0,3.0,32.0,14.0,45.6,1.0,,1.0,23.0,0.0,97.0,3.0,2.0,5.0,,1.0,,5.0,1.0,3.0,76.0,298.0,11.0,6.0,175.0,35.0,16.0,16.0,3.0,16.0,13.0,,127.0,14.0,262.0,2.0,4.0,43.0,12.0,86.0,1.0,421.0,,0.0,11.0,18.0,1.0,31.0,1.0,614.0,,17.0,11.0,3.0,15.0,0.0,,,,,,,,,,,,,
2015-16,803242,9,2015-10-17 17:30:00,57,Watford,Home,85.0,17.0,1.0,3.0,2.0,7.0,,144.0,5.0,1.0,3.0,21.0,15.0,38.0,226.0,1.0,,12.0,12.0,10.0,6.0,1.0,,,,,,,,,,7.0,,,,,,1.0,6.0,13.0,4.0,,,41.0,58.0,,,,5.0,19.0,1.0,18.0,,,3.0,8.0,4.0,,12.0,3.0,58.0,55.0,5.0,22.0,7.0,,,67.0,11.0,12.0,,,3.0,1.0,,127.0,,,,,,7.0,,2.0,,8.0,,17.0,17.0,3.0,4.0,75.0,63.0,36.0,9.0,,6.0,1.0,1.0,278.0,6.0,2.0,,37.0,34.0,31.0,,,,,,139.0,136.0,5.0,17.0,28.0,33.3,,,,19.0,0.0,63.0,2.0,1.0,3.0,,1.0,,6.0,,3.0,68.0,205.0,12.0,7.0,98.0,33.0,25.0,13.0,3.0,16.0,13.0,,118.0,14.0,224.0,2.0,1.0,43.0,16.0,75.0,1.0,306.0,2.0,0.0,8.0,25.0,,18.0,2.0,510.0,,16.0,8.0,3.0,20.0,0.0,,,,,,,,,,,,,
2015-16,803260,10,2015-10-24 15:00:00,57,Watford,Away,78.0,8.0,1.0,4.0,3.0,5.0,,114.0,8.0,,2.0,14.0,11.0,29.0,188.0,,,9.0,13.0,13.0,6.0,1.0,,,1.0,,1.0,,1.0,,,11.0,,,2.0,,,,9.0,4.0,7.0,,,38.0,52.0,1.0,1.0,,4.0,18.0,5.0,7.0,,,5.0,3.0,3.0,,11.0,,54.0,45.0,4.0,21.0,9.0,,,59.0,18.0,10.0,1.0,,3.0,2.0,1.0,133.0,2.0,,,2.0,,13.0,2.0,,1.0,10.0,2.0,20.0,20.0,5.0,2.0,42.0,74.0,34.0,11.0,1.0,2.0,7.0,3.0,238.0,3.0,2.0,,33.0,44.0,27.0,,,,,,141.0,137.0,8.0,22.0,19.0,33.8,2.0,,4.0,18.0,0.0,56.0,,,,,,,5.0,,3.0,67.0,169.0,14.0,9.0,91.0,21.0,25.0,11.0,4.0,12.0,8.0,,111.0,17.0,190.0,,,40.0,12.0,64.0,,269.0,,0.0,13.0,20.0,,18.0,1.0,455.0,13.0,18.0,3.0,5.0,18.0,0.0,,,,,,,,,,,,,
