season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard,backwardPass,bigChanceCreated,bigChanceMissed,bigChanceScored,fwdPass,leftsidePass,overrun,rightsidePass,unsuccessfulTouch,attOneOnOne,contentiousDecision,ptsGainedLosingPos,attLgRight,attemptedTackleFoul,blockedPass,putThrough,subsGoals,successfulPutThrough,ptsDroppedWinningPos,attPenMiss,fiftyFifty,keeperGoals,successfulFiftyFifty,winningGoal,attLgLeft,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedGoalsFreekick,totalDistance
2009-10,284003,1.0,2009-08-15 12:45:00,8,Chelsea,Home,167.0,20.0,4.0,13.0,9.0,3.0,,279.0,6.0,,4.0,5.0,21.0,26.0,433.0,,1.0,28.0,16.0,19.0,18.0,5.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,5.0,3.0,,,,61.0,1.0,6.0,5.0,,12.0,20.0,5.0,,13.0,2.0,56.0,51.0,1.0,22.0,13.0,,,86.0,14.0,15.0,2.0,,,,1.0,1.0,,,1.0,,,6.0,,,,3.0,,,,,28.0,,6.0,5.0,,4.0,61.0,49.0,4.0,,13.0,11.0,10.0,,,,2.0,,63.0,45.0,32.0,,,,,,140.0,124.0,3.0,25.0,27.0,67.6,,2.0,0.0,,,,,1.0,,,2.0,1.0,17.0,,3.0,151.0,,24.0,174.0,34.0,38.0,11.0,11.0,39.0,28.0,,208.0,11.0,372.0,4.0,,8.0,23.0,42.0,2.0,507.0,,0.0,33.0,14.0,9.0,29.0,1.0,798.0,,3.0,12.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284015,2.0,2009-08-18 19:45:00,8,Chelsea,Away,250.0,31.0,5.0,11.0,6.0,6.0,,333.0,3.0,,4.0,7.0,37.0,49.0,572.0,,,22.0,14.0,15.0,18.0,2.0,,,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,53.0,2.0,9.0,,,14.0,18.0,6.0,,13.0,,47.0,52.0,2.0,20.0,8.0,,,92.0,11.0,15.0,,,,,,2.0,,1.0,2.0,,,4.0,,,,,,,,1.0,20.0,,9.0,9.0,2.0,4.0,103.0,80.0,1.0,3.0,10.0,12.0,6.0,,,,2.0,,76.0,84.0,36.0,,,,,1.0,155.0,140.0,2.0,17.0,27.0,73.9,,,0.0,,,,,,,,1.0,,12.0,2.0,3.0,141.0,,22.0,263.0,49.0,35.0,19.0,12.0,38.0,26.0,,195.0,14.0,433.0,,,16.0,38.0,68.0,1.0,658.0,,0.0,27.0,13.0,8.0,24.0,2.0,918.0,,9.0,14.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284023,3.0,2009-08-23 16:00:00,8,Chelsea,Away,247.0,38.0,,3.0,3.0,2.0,,237.0,3.0,,7.0,5.0,25.0,57.0,481.0,,5.0,10.0,15.0,14.0,11.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,2.0,4.0,,,,70.0,5.0,4.0,5.0,,7.0,6.0,9.0,,10.0,1.0,44.0,52.0,5.0,17.0,7.0,,,85.0,11.0,11.0,2.0,,,,1.0,2.0,,2.0,2.0,,,6.0,,,,2.0,,,,2.0,15.0,,22.0,22.0,1.0,7.0,85.0,62.0,4.0,,6.0,7.0,4.0,,,,1.0,,75.0,41.0,33.0,,,,,,152.0,138.0,,26.0,33.0,60.3,,3.0,0.0,,,,,1.0,,,2.0,,8.0,,2.0,113.0,,13.0,267.0,56.0,31.0,17.0,7.0,23.0,16.0,,173.0,7.0,330.0,2.0,,19.0,29.0,77.0,5.0,574.0,,0.0,16.0,15.0,13.0,12.0,0.0,830.0,,12.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284033,4.0,2009-08-29 12:45:00,8,Chelsea,Home,206.0,30.0,3.0,9.0,6.0,2.0,,295.0,6.0,,11.0,,22.0,38.0,492.0,2.0,9.0,21.0,11.0,8.0,22.0,3.0,6.0,1.0,,2.0,,,2.0,,,,,25.0,,,1.0,,,,1.0,3.0,18.0,15.0,,83.0,2.0,8.0,10.0,,10.0,19.0,2.0,1.0,23.0,,61.0,56.0,2.0,9.0,5.0,,1.0,73.0,9.0,5.0,1.0,,3.0,1.0,2.0,3.0,,3.0,3.0,,1.0,8.0,,,3.0,3.0,,,,2.0,10.0,1.0,26.0,26.0,,11.0,83.0,66.0,1.0,1.0,9.0,19.0,15.0,558.0,,,1.0,,41.0,72.0,47.0,,,,,,147.0,139.0,6.0,26.0,39.0,60.0,1.0,,0.0,,,,,,,,1.0,1.0,10.0,,3.0,139.0,483.0,28.0,221.0,36.0,17.0,28.0,10.0,32.0,22.0,1.0,187.0,9.0,381.0,3.0,,4.0,24.0,47.0,3.0,570.0,3.0,0.0,33.0,25.0,15.0,23.0,0.0,820.0,57.0,18.0,10.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284046,5.0,2009-09-12 15:00:00,8,Chelsea,Away,133.0,16.0,4.0,8.0,4.0,2.0,,267.0,1.0,,8.0,4.0,22.0,33.0,392.0,,4.0,29.0,10.0,15.0,13.0,3.0,,,,,,1.0,3.0,,,,1.0,,,,,,,,3.0,1.0,,,,48.0,,15.0,3.0,,14.0,22.0,9.0,,10.0,,43.0,52.0,,10.0,7.0,1.0,1.0,82.0,12.0,14.0,1.0,2.0,,,3.0,2.0,,2.0,2.0,,,2.0,,,,4.0,,,,,18.0,,9.0,9.0,,8.0,62.0,44.0,4.0,1.0,5.0,13.0,6.0,,,,,,78.0,62.0,31.0,,,,,,160.0,145.0,2.0,15.0,23.0,72.2,,2.0,0.0,,,,1.0,,,,,,8.0,1.0,3.0,115.0,,18.0,147.0,33.0,25.0,15.0,13.0,44.0,31.0,,168.0,8.0,372.0,4.0,,18.0,25.0,55.0,1.0,475.0,1.0,0.0,29.0,17.0,12.0,32.0,3.0,724.0,,6.0,14.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284054,6.0,2009-09-20 16:00:00,8,Chelsea,Home,111.0,12.0,2.0,9.0,7.0,2.0,,208.0,2.0,,2.0,3.0,12.0,30.0,310.0,2.0,3.0,17.0,15.0,7.0,18.0,1.0,,2.0,,1.0,,,4.0,,,1.0,,,,,1.0,1.0,,,4.0,5.0,,,,64.0,,7.0,2.0,,11.0,13.0,12.0,1.0,11.0,2.0,40.0,37.0,,14.0,6.0,,,64.0,8.0,10.0,1.0,,,,4.0,3.0,,2.0,3.0,,1.0,5.0,,,,1.0,,,,1.0,7.0,2.0,21.0,21.0,1.0,4.0,64.0,37.0,3.0,1.0,10.0,12.0,10.0,,,,2.0,,50.0,83.0,19.0,,,,,,117.0,112.0,,30.0,24.0,49.1,2.0,1.0,0.0,,,,2.0,1.0,,,,2.0,11.0,,3.0,118.0,,22.0,126.0,19.0,19.0,8.0,9.0,34.0,25.0,,156.0,9.0,281.0,1.0,,14.0,14.0,51.0,2.0,373.0,2.0,0.0,28.0,17.0,5.0,18.0,0.0,620.0,,3.0,11.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284069,7.0,2009-09-26 15:00:00,8,Chelsea,Away,155.0,22.0,1.0,4.0,3.0,5.0,,167.0,7.0,1.0,5.0,5.0,17.0,21.0,318.0,,2.0,15.0,15.0,10.0,10.0,2.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,5.0,11.0,,,,59.0,3.0,6.0,7.0,,7.0,10.0,1.0,,17.0,5.0,54.0,54.0,3.0,6.0,5.0,,,73.0,15.0,11.0,1.0,,,,2.0,1.0,,1.0,1.0,,,9.0,,,,,,,,3.0,11.0,,23.0,23.0,3.0,5.0,90.0,59.0,4.0,,7.0,6.0,2.0,,,,,,34.0,39.0,16.0,1.0,1.0,1.0,,,153.0,146.0,2.0,25.0,23.0,53.2,,,0.0,,,,2.0,5.0,,,,1.0,8.0,1.0,3.0,72.0,,13.0,182.0,38.0,13.0,13.0,7.0,18.0,11.0,,127.0,13.0,255.0,,2.0,20.0,18.0,37.0,3.0,419.0,,1.0,16.0,23.0,7.0,21.0,2.0,672.0,,10.0,7.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284074,8.0,2009-10-04 16:00:00,8,Chelsea,Home,132.0,15.0,1.0,8.0,7.0,3.0,,198.0,8.0,,7.0,6.0,17.0,26.0,322.0,,,13.0,13.0,19.0,6.0,3.0,,1.0,,2.0,,,2.0,,1.0,,,,,,,,,3.0,7.0,10.0,,,,64.0,4.0,3.0,7.0,,5.0,9.0,4.0,,11.0,2.0,65.0,79.0,4.0,26.0,18.0,,,87.0,15.0,17.0,1.0,,,,2.0,2.0,,2.0,2.0,,1.0,11.0,,,,4.0,,,,,34.0,,21.0,20.0,1.0,7.0,90.0,57.0,8.0,1.0,4.0,7.0,8.0,,,,5.0,,42.0,57.0,22.0,,,,,,168.0,145.0,1.0,30.0,24.0,51.0,,2.0,0.0,,,,1.0,2.0,,,1.0,1.0,6.0,,1.0,78.0,,11.0,154.0,39.0,49.0,31.0,5.0,20.0,15.0,,133.0,9.0,283.0,4.0,,19.0,19.0,48.0,,417.0,1.0,0.0,17.0,31.0,8.0,18.0,1.0,729.0,,12.0,5.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284081,9.0,2009-10-17 12:45:00,8,Chelsea,Away,190.0,17.0,2.0,3.0,1.0,5.0,,270.0,5.0,5.0,5.0,9.0,24.0,33.0,457.0,,2.0,20.0,17.0,13.0,16.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,7.0,2.0,,,,64.0,1.0,7.0,1.0,,9.0,6.0,4.0,,19.0,1.0,64.0,63.0,1.0,18.0,5.0,1.0,1.0,80.0,13.0,19.0,1.0,1.0,,,1.0,1.0,,,1.0,,,7.0,,,,7.0,,,,,7.0,,21.0,21.0,1.0,5.0,93.0,59.0,6.0,,6.0,12.0,7.0,,,,3.0,,58.0,54.0,24.0,,,,,,152.0,143.0,2.0,31.0,17.0,65.5,,3.0,0.0,,,,1.0,,,,,1.0,7.0,,2.0,127.0,,18.0,206.0,27.0,27.0,26.0,8.0,19.0,11.0,,173.0,10.0,357.0,7.0,5.0,25.0,25.0,55.0,3.0,544.0,3.0,0.0,21.0,19.0,8.0,21.0,1.0,823.0,,12.0,9.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284093,10.0,2009-10-24 17:30:00,8,Chelsea,Home,197.0,31.0,4.0,9.0,5.0,4.0,,313.0,2.0,2.0,11.0,4.0,25.0,38.0,501.0,,3.0,25.0,13.0,7.0,16.0,2.0,,,,1.0,,,2.0,,,,,21.0,1.0,,,,,1.0,3.0,6.0,,,,52.0,4.0,4.0,2.0,1.0,8.0,12.0,12.0,,12.0,,42.0,35.0,4.0,12.0,7.0,,,70.0,8.0,10.0,1.0,,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,7.0,,,2.0,4.0,,,,,18.0,,16.0,16.0,1.0,11.0,73.0,60.0,,3.0,7.0,13.0,13.0,,,,2.0,,67.0,75.0,34.0,,,,,1.0,133.0,116.0,2.0,21.0,17.0,68.1,,,0.0,,,,1.0,1.0,,,,,11.0,,3.0,138.0,,20.0,212.0,35.0,29.0,15.0,7.0,32.0,25.0,,174.0,5.0,386.0,4.0,2.0,10.0,26.0,46.0,1.0,566.0,1.0,0.0,28.0,10.0,6.0,28.0,0.0,783.0,,8.0,8.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
