season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,expectedGoals_h,expectedGoals_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a,hitWoodwork_h,hitWoodwork_a,expectedAssists_h,expectedAssists_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,bigChanceScored_h,bigChanceScored_a
2009-10,284000,1,2009-08-15 15:00:00,"Villa Park, Birmingham",35578.0,Aston Villa,Wigan,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,12.0,21.0,3.0,7.0,7.0,6.0,2.0,8.0,,,,,,1.0,,,,1.0,7.0,12.0,4.0,9.0,22.0,14.0,82.0,74.0,274.0,320.0,164.0,239.0,47.0,53.0,,,33.0,18.0,29.0,15.0,12.0,20.0,34.0,51.0,18.0,28.0,9.0,3.0,,,1.0,,11.0,8.0,11.0,20.0,175.0,164.0,,,2.0,,,,,1.0,,,67.0,56.0,56.0,67.0,10.0,15.0,15.0,10.0,4.0,6.0,4.0,6.0,,2.0,14.0,17.0,16.0,12.0,0.0,0.0,0.0,0.0,,,,,1.0,,,
2009-10,284001,1,2009-08-15 15:00:00,"Ewood Park, Blackburn",29584.0,Blackburn,Man City,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,18.0,9.0,6.0,5.0,8.0,4.0,4.0,,,,,,,,,,,1.0,9.0,7.0,6.0,4.0,43.0,15.0,93.0,79.0,287.0,395.0,176.0,290.0,43.5,56.5,,,24.0,19.0,20.0,16.0,22.0,15.0,21.0,53.0,11.0,31.0,,5.0,,,,,16.0,6.0,13.0,15.0,181.0,179.0,,,2.0,,,,,1.0,,,56.0,63.0,63.0,56.0,17.0,16.0,16.0,17.0,5.0,4.0,5.0,4.0,,1.0,12.0,11.0,9.0,12.0,0.0,0.0,0.0,0.0,,,,,3.0,3.0,,
2009-10,284002,1,2009-08-15 15:00:00,"Toughsheet Community Stadium, Bolton",22247.0,Bolton,Sunderland,0,1,1,0,L,W,0,1,1,0,0,0,0,0,,1.0,13.0,20.0,3.0,6.0,8.0,8.0,2.0,6.0,,,,,,1.0,,,,1.0,10.0,14.0,5.0,8.0,45.0,29.0,105.0,77.0,285.0,233.0,182.0,150.0,54.3,45.7,,,22.0,18.0,17.0,17.0,11.0,14.0,55.0,84.0,31.0,42.0,6.0,2.0,,1.0,,,7.0,3.0,14.0,16.0,187.0,191.0,,,1.0,,,,,1.0,,,66.0,70.0,70.0,66.0,28.0,29.0,29.0,28.0,4.0,7.0,4.0,7.0,1.0,3.0,16.0,13.0,13.0,16.0,0.0,0.0,0.0,0.0,,,,,,3.0,,
2009-10,284003,1,2009-08-15 12:45:00,"Stamford Bridge, London",41597.0,Chelsea,Hull,2,1,1,2,W,L,1,1,1,1,0,0,0,0,2.0,1.0,33.0,8.0,10.0,2.0,17.0,4.0,6.0,2.0,,,,,,,,,1.0,,24.0,3.0,11.0,1.0,32.0,23.0,86.0,67.0,507.0,225.0,433.0,153.0,67.6,32.4,,,14.0,21.0,9.0,14.0,6.0,18.0,38.0,43.0,22.0,26.0,2.0,6.0,,2.0,,,5.0,3.0,13.0,11.0,140.0,143.0,,,1.0,2.0,,,,,,,51.0,56.0,56.0,51.0,19.0,16.0,16.0,19.0,12.0,4.0,12.0,4.0,,2.0,14.0,16.0,15.0,14.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,,
2009-10,284004,1,2009-08-15 17:30:00,"Goodison Park, Liverpool",39309.0,Everton,Arsenal,1,6,6,1,L,W,0,3,3,0,0,0,0,0,1.0,6.0,11.0,18.0,5.0,9.0,4.0,4.0,2.0,5.0,,,,,,1.0,,,,5.0,5.0,14.0,3.0,11.0,27.0,27.0,95.0,84.0,398.0,470.0,285.0,381.0,45.7,54.3,,,19.0,20.0,16.0,12.0,26.0,29.0,30.0,45.0,15.0,22.0,4.0,2.0,,,,,7.0,5.0,17.0,14.0,174.0,162.0,,,6.0,1.0,,,,,,,52.0,55.0,55.0,52.0,15.0,16.0,16.0,15.0,4.0,9.0,4.0,9.0,1.0,2.0,12.0,14.0,13.0,12.0,0.0,0.0,0.0,0.0,,,,,6.0,4.0,,
2009-10,284005,1,2009-08-16 13:30:00,"Old Trafford, Manchester",75062.0,Man Utd,Birmingham,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,30.0,7.0,11.0,2.0,9.0,3.0,10.0,2.0,,,,,1.0,,,,,,26.0,6.0,18.0,4.0,23.0,15.0,74.0,78.0,587.0,344.0,515.0,266.0,63.0,37.0,,,25.0,26.0,20.0,20.0,13.0,30.0,23.0,34.0,14.0,19.0,2.0,10.0,,1.0,,,7.0,12.0,19.0,19.0,135.0,146.0,,,,1.0,,,1.0,,,,54.0,58.0,58.0,54.0,9.0,12.0,12.0,9.0,12.0,2.0,13.0,2.0,,,13.0,9.0,8.0,13.0,0.0,0.0,0.0,0.0,,,,,2.0,,,
2009-10,284006,1,2009-08-15 15:00:00,"Fratton Park, Portsmouth",17510.0,Portsmouth,Fulham,0,1,1,0,L,W,0,1,1,0,0,0,0,0,,1.0,17.0,13.0,2.0,2.0,11.0,8.0,4.0,3.0,,,,,,,,,,1.0,12.0,11.0,6.0,5.0,24.0,22.0,84.0,66.0,415.0,338.0,330.0,252.0,55.1,44.9,,,26.0,18.0,18.0,15.0,15.0,15.0,22.0,29.0,14.0,18.0,2.0,4.0,1.0,,,,3.0,4.0,8.0,20.0,143.0,150.0,,,1.0,,,,,1.0,,,58.0,44.0,44.0,58.0,10.0,13.0,13.0,10.0,6.0,4.0,6.0,4.0,1.0,4.0,11.0,18.0,18.0,10.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,,
2009-10,284007,1,2009-08-15 15:00:00,"bet365 Stadium, Stoke",27385.0,Stoke,Burnley,2,0,0,2,W,L,2,0,0,2,0,0,0,0,2.0,,13.0,14.0,4.0,3.0,8.0,5.0,1.0,6.0,,,,,1.0,,,,1.0,,11.0,11.0,5.0,7.0,34.0,46.0,77.0,98.0,226.0,362.0,126.0,257.0,37.7,62.3,12.0,20.0,15.0,11.0,6.0,9.0,22.0,12.0,43.0,57.0,19.0,28.0,6.0,2.0,,,,,6.0,1.0,8.0,8.0,166.0,181.0,3.0,2.0,,2.0,,,1.0,,,1.0,37.0,44.0,44.0,37.0,11.0,11.0,11.0,11.0,3.0,6.0,3.0,6.0,2.0,2.0,16.0,10.0,10.0,16.0,0.0,0.0,0.0,0.0,,,,,3.0,,,
2009-10,284008,1,2009-08-16 16:00:00,"White Hart Lane, London",35935.0,Spurs,Liverpool,2,1,1,2,W,L,1,0,0,1,0,0,0,0,2.0,1.0,20.0,9.0,7.0,3.0,7.0,4.0,6.0,2.0,,,,,,,,,1.0,,12.0,6.0,8.0,3.0,26.0,19.0,64.0,76.0,383.0,424.0,288.0,342.0,47.5,52.5,,,33.0,22.0,25.0,16.0,23.0,18.0,27.0,34.0,16.0,17.0,2.0,6.0,,,,,9.0,8.0,15.0,13.0,149.0,159.0,,,1.0,2.0,,,,,,,67.0,47.0,47.0,67.0,10.0,4.0,4.0,10.0,6.0,5.0,6.0,5.0,3.0,,12.0,17.0,16.0,12.0,0.0,0.0,0.0,0.0,,1.0,,1.0,2.0,2.0,,
2009-10,284009,1,2009-08-15 15:00:00,"Molineux Stadium, Wolverhampton",28674.0,Wolves,West Ham,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,19.0,17.0,5.0,10.0,8.0,3.0,6.0,4.0,,,,,,,,,,2.0,15.0,13.0,8.0,10.0,48.0,30.0,95.0,67.0,360.0,408.0,278.0,327.0,48.6,51.4,,,17.0,7.0,14.0,5.0,9.0,7.0,26.0,59.0,20.0,31.0,6.0,6.0,1.0,,,,6.0,8.0,5.0,7.0,141.0,156.0,,,2.0,,,,,1.0,,,46.0,32.0,32.0,46.0,16.0,10.0,10.0,16.0,7.0,6.0,8.0,6.0,,,9.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,,,,,1.0,7.0,,
