season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attLgLeft,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attCorner,attFreekickPost,attIboxOwnGoal,attObxdRight,attPenMiss,attemptsIbox,attemptsObox,goalFastbreak,ownGoals,ptsDroppedWinningPos,ptsGainedLosingPos,secondYellow,touchesInOppBox,attFreekickGoal,attPenPost,fiftyFifty,subsGoals,successfulFiftyFifty,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,rescindedRedCard,totalDistance,attLgRight,keeperGoals,winningGoal
2015-16,803162,1.0,2015-08-08 15:00:00,91,Bournemouth,Home,200.0,30.0,1.0,4.0,3.0,1.0,,268.0,2.0,,4.0,5.0,11.0,50.0,464.0,,1.0,29.0,17.0,17.0,9.0,,,,,,,,,,9.0,,,,,,2.0,5.0,4.0,3.0,,66.0,62.0,,1.0,,4.0,14.0,2.0,10.0,,,6.0,18.0,5.0,,15.0,1.0,64.0,45.0,4.0,13.0,9.0,,1.0,82.0,13.0,13.0,,1.0,1.0,,,171.0,,,,,,3.0,,,,3.0,,,,,10.0,,16.0,16.0,1.0,4.0,147.0,81.0,59.0,3.0,,5.0,4.0,2.0,528.0,,,2.0,1.0,75.0,103.0,41.0,,,,,,150.0,147.0,5.0,20.0,33.0,58.4,,,14.0,0.0,,,,164.0,1.0,1.0,2.0,,,7.0,,3.0,134.0,446.0,10.0,9.0,214.0,46.0,16.0,12.0,4.0,27.0,23.0,,184.0,3.0,361.0,3.0,,16.0,11.0,73.0,,548.0,,0.0,11.0,14.0,3.0,30.0,3.0,747.0,13.0,3.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,803173,2.0,2015-08-17 20:00:00,91,Bournemouth,Away,134.0,20.0,3.0,3.0,,3.0,,162.0,11.0,,4.0,3.0,8.0,25.0,293.0,,,25.0,23.0,17.0,10.0,3.0,,,,,,,,,9.0,,,,,1.0,,8.0,8.0,10.0,,40.0,55.0,,,,2.0,23.0,5.0,12.0,,2.0,8.0,8.0,9.0,,14.0,1.0,72.0,62.0,2.0,20.0,12.0,,1.0,51.0,18.0,11.0,,,2.0,1.0,,143.0,,,,,,15.0,,,,,,,,1.0,12.0,1.0,14.0,14.0,3.0,4.0,107.0,56.0,31.0,6.0,,6.0,7.0,2.0,358.0,,,5.0,1.0,57.0,54.0,32.0,,,,,,164.0,161.0,4.0,30.0,17.0,45.1,1.0,,23.0,0.0,,,,97.0,1.0,,1.0,3.0,,6.0,,3.0,90.0,270.0,12.0,13.0,169.0,36.0,23.0,22.0,7.0,25.0,18.0,,128.0,15.0,243.0,,,12.0,8.0,49.0,,387.0,1.0,0.0,13.0,22.0,,31.0,4.0,612.0,14.0,12.0,8.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,803183,3.0,2015-08-22 15:00:00,91,Bournemouth,Away,151.0,19.0,2.0,1.0,,4.0,,182.0,2.0,1.0,7.0,9.0,6.0,30.0,332.0,,1.0,28.0,21.0,27.0,9.0,,,,,,,,,1.0,13.0,1.0,,,,,,4.0,6.0,4.0,,64.0,58.0,2.0,2.0,2.0,1.0,21.0,2.0,7.0,,,4.0,10.0,,,9.0,1.0,59.0,64.0,1.0,29.0,21.0,,,78.0,11.0,8.0,3.0,,2.0,,,188.0,2.0,,2.0,2.0,,7.0,,,3.0,1.0,,,,,23.0,,10.0,10.0,1.0,7.0,103.0,97.0,42.0,5.0,,6.0,5.0,7.0,426.0,,,3.0,3.0,87.0,55.0,26.0,1.0,1.0,1.0,,1.0,178.0,170.0,3.0,23.0,21.0,54.2,,1.0,21.0,0.0,,,,97.0,1.0,,1.0,,,6.0,,3.0,103.0,318.0,11.0,11.0,176.0,41.0,37.0,23.0,2.0,11.0,10.0,,164.0,11.0,287.0,3.0,1.0,30.0,6.0,76.0,1.0,452.0,,0.0,15.0,17.0,3.0,33.0,1.0,659.0,11.0,12.0,4.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,803195,4.0,2015-08-29 15:00:00,91,Bournemouth,Home,159.0,13.0,1.0,3.0,2.0,,,166.0,3.0,,2.0,5.0,7.0,31.0,322.0,1.0,,30.0,21.0,26.0,1.0,1.0,,,1.0,1.0,,,,,3.0,,,,,,1.0,3.0,4.0,,,77.0,58.0,,,,,26.0,3.0,12.0,,2.0,4.0,12.0,1.0,,21.0,1.0,72.0,66.0,,24.0,12.0,,,61.0,9.0,18.0,1.0,,6.0,4.0,1.0,176.0,,,,,,6.0,,,1.0,1.0,,,,,12.0,,21.0,21.0,1.0,2.0,96.0,79.0,39.0,4.0,,,2.0,2.0,409.0,,,,2.0,70.0,73.0,23.0,1.0,1.0,1.0,,,193.0,187.0,7.0,21.0,26.0,56.1,,,26.0,0.0,,,,86.0,1.0,,1.0,1.0,,,,3.0,83.0,304.0,11.0,2.0,199.0,27.0,30.0,15.0,2.0,19.0,17.0,,129.0,8.0,255.0,1.0,,23.0,9.0,63.0,1.0,435.0,2.0,0.0,5.0,16.0,1.0,36.0,2.0,659.0,19.0,6.0,4.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,803203,5.0,2015-09-12 15:00:00,91,Bournemouth,Away,158.0,21.0,,3.0,3.0,1.0,,219.0,3.0,,6.0,3.0,5.0,27.0,374.0,1.0,,32.0,16.0,11.0,5.0,1.0,,,,,,,,,4.0,,,,,,2.0,3.0,7.0,5.0,,58.0,54.0,,,,3.0,16.0,2.0,7.0,,,4.0,8.0,4.0,1.0,11.0,1.0,54.0,38.0,3.0,13.0,6.0,2.0,,52.0,11.0,9.0,,,3.0,2.0,,164.0,1.0,,1.0,,1.0,11.0,,,,2.0,,,,,7.0,1.0,18.0,18.0,1.0,7.0,115.0,80.0,48.0,4.0,,3.0,4.0,2.0,451.0,,,,3.0,63.0,97.0,23.0,,,,,,164.0,162.0,1.0,27.0,19.0,52.3,,,16.0,0.0,,,,139.0,1.0,,1.0,,,3.0,,3.0,84.0,358.0,10.0,7.0,189.0,38.0,15.0,15.0,2.0,16.0,14.0,,120.0,7.0,303.0,2.0,1.0,20.0,5.0,63.0,2.0,476.0,1.0,0.0,7.0,13.0,,35.0,3.0,663.0,17.0,5.0,4.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,803218,6.0,2015-09-19 15:00:00,91,Bournemouth,Home,174.0,14.0,3.0,5.0,2.0,2.0,,193.0,,,5.0,10.0,10.0,29.0,362.0,,,15.0,21.0,18.0,10.0,2.0,,1.0,1.0,3.0,,,,,7.0,,,1.0,,,2.0,10.0,3.0,6.0,,72.0,55.0,,,,3.0,21.0,6.0,14.0,,,7.0,8.0,2.0,,13.0,2.0,73.0,72.0,3.0,13.0,5.0,,,57.0,14.0,14.0,1.0,,9.0,3.0,3.0,183.0,1.0,,1.0,1.0,,7.0,,,1.0,1.0,,,,1.0,5.0,1.0,13.0,13.0,1.0,5.0,105.0,76.0,39.0,3.0,1.0,4.0,9.0,5.0,436.0,,,4.0,,97.0,57.0,22.0,,,,,,155.0,153.0,2.0,25.0,23.0,53.1,1.0,,21.0,0.0,,,,103.0,1.0,1.0,2.0,1.0,,4.0,,3.0,104.0,344.0,10.0,13.0,199.0,26.0,15.0,29.0,4.0,17.0,13.0,,144.0,2.0,281.0,1.0,,27.0,10.0,64.0,2.0,463.0,1.0,0.0,15.0,23.0,,18.0,2.0,672.0,10.0,17.0,7.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,803224,7.0,2015-09-26 15:00:00,91,Bournemouth,Away,201.0,10.0,,1.0,1.0,2.0,,194.0,2.0,1.0,7.0,3.0,7.0,17.0,394.0,1.0,,27.0,15.0,14.0,10.0,,,,1.0,2.0,,1.0,,,8.0,,,,,,2.0,7.0,7.0,1.0,,69.0,66.0,1.0,1.0,,2.0,15.0,4.0,8.0,,,7.0,8.0,2.0,,12.0,1.0,48.0,52.0,2.0,18.0,10.0,,,54.0,11.0,13.0,,,3.0,1.0,2.0,179.0,,,,,,3.0,,,1.0,1.0,,,,,10.0,,13.0,13.0,2.0,7.0,120.0,73.0,44.0,3.0,1.0,2.0,8.0,6.0,466.0,,,1.0,2.0,59.0,70.0,31.0,,,,,,143.0,143.0,5.0,21.0,29.0,56.3,,,15.0,0.0,,,,120.0,2.0,1.0,3.0,,,2.0,1.0,3.0,80.0,377.0,7.0,10.0,231.0,22.0,18.0,12.0,6.0,17.0,11.0,,116.0,8.0,274.0,1.0,1.0,15.0,9.0,45.0,4.0,488.0,1.0,0.0,12.0,16.0,1.0,31.0,0.0,676.0,8.0,9.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,803239,8.0,2015-10-03 15:00:00,91,Bournemouth,Home,185.0,14.0,,6.0,6.0,1.0,,209.0,3.0,1.0,7.0,5.0,8.0,34.0,388.0,,,32.0,20.0,26.0,8.0,1.0,,,,,,,,,9.0,,1.0,,,,1.0,5.0,6.0,5.0,,67.0,59.0,1.0,1.0,1.0,3.0,23.0,2.0,11.0,,,5.0,9.0,11.0,,12.0,1.0,57.0,64.0,3.0,17.0,14.0,1.0,,62.0,8.0,13.0,1.0,,5.0,2.0,,192.0,1.0,,1.0,1.0,,6.0,,,1.0,3.0,,,,,16.0,,18.0,18.0,3.0,7.0,115.0,79.0,37.0,3.0,,3.0,7.0,6.0,473.0,,,4.0,4.0,90.0,98.0,28.0,,,,,1.0,175.0,170.0,4.0,22.0,25.0,54.4,,,23.0,0.0,,,,122.0,1.0,,1.0,,,4.0,,2.0,110.0,368.0,12.0,10.0,214.0,26.0,22.0,21.0,2.0,24.0,22.0,,154.0,8.0,306.0,3.0,1.0,26.0,10.0,69.0,4.0,496.0,,0.0,12.0,10.0,,38.0,1.0,718.0,12.0,15.0,5.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,803244,9.0,2015-10-17 15:00:00,91,Bournemouth,Away,175.0,7.0,1.0,5.0,4.0,4.0,1.0,185.0,5.0,,5.0,3.0,10.0,26.0,355.0,,,24.0,19.0,14.0,4.0,,,,,,,,,,5.0,,,,,,,2.0,12.0,4.0,,56.0,47.0,,,,,27.0,1.0,17.0,,1.0,7.0,11.0,7.0,,8.0,4.0,54.0,50.0,,9.0,4.0,1.0,2.0,45.0,5.0,11.0,1.0,,5.0,2.0,,155.0,1.0,,,1.0,,8.0,,,1.0,1.0,,,,,5.0,,18.0,18.0,1.0,5.0,126.0,63.0,38.0,1.0,,3.0,2.0,1.0,424.0,,,,,75.0,70.0,30.0,,,,,,149.0,144.0,1.0,16.0,23.0,45.6,,,27.0,0.0,,,,114.0,3.0,3.0,6.0,,,3.0,,3.0,67.0,333.0,14.0,5.0,194.0,20.0,14.0,16.0,6.0,26.0,20.0,,116.0,9.0,283.0,1.0,1.0,14.0,11.0,51.0,1.0,451.0,2.0,0.0,5.0,15.0,,25.0,1.0,631.0,11.0,10.0,7.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,803259,10.0,2015-10-25 14:05:00,91,Bournemouth,Home,148.0,16.0,2.0,9.0,7.0,,,163.0,3.0,,6.0,11.0,4.0,32.0,302.0,1.0,,20.0,19.0,12.0,8.0,,,,,,,,,,8.0,,,,,1.0,2.0,7.0,10.0,5.0,,69.0,62.0,,,,3.0,14.0,2.0,6.0,,,4.0,12.0,3.0,,19.0,4.0,57.0,63.0,3.0,15.0,11.0,2.0,,44.0,8.0,14.0,,,3.0,1.0,,152.0,1.0,,1.0,1.0,,7.0,,,1.0,1.0,,,,,11.0,1.0,19.0,19.0,2.0,6.0,93.0,70.0,34.0,5.0,1.0,5.0,4.0,3.0,367.0,,,3.0,3.0,72.0,66.0,25.0,1.0,1.0,1.0,,,158.0,154.0,4.0,27.0,22.0,45.8,1.0,,14.0,0.0,,,,87.0,5.0,,5.0,,,6.0,,3.0,75.0,278.0,9.0,9.0,176.0,25.0,19.0,13.0,3.0,19.0,16.0,,110.0,8.0,244.0,3.0,,38.0,5.0,72.0,3.0,401.0,1.0,0.0,11.0,29.0,,24.0,0.0,624.0,11.0,8.0,4.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
