season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,expectedGoals_h,expectedGoals_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,expectedAssists_h,expectedAssists_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,totalDistance_h,totalDistance_a
2024-25,2444470,1,2024-08-16 20:00:00,"Old Trafford, Manchester",73297.0,Man Utd,Fulham,1,0,0,1,W,L,0,0,0,0,0,0,0,0,1.0,,14.0,10.0,5.0,2.0,7.0,4.0,2.0,4.0,,,,,3.0,,,,4.0,,,,,,1.0,,10.0,9.0,5.0,5.0,29.0,21.0,46.0,40.0,482.0,384.0,408.0,306.0,55.4,44.6,22.0,22.0,21.0,24.0,14.0,17.0,19.0,9.0,20.0,19.0,20.0,19.0,8.0,7.0,3.0,2.0,,2.0,,,8.0,8.0,13.0,9.0,128.0,134.0,2.0,4.0,,1.0,,,1.0,,,,58.0,59.0,59.0,58.0,19.0,16.0,16.0,19.0,7.0,8.0,7.0,8.0,,1.0,12.0,10.0,10.0,11.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0,,
2024-25,2444471,1,2024-08-17 15:00:00,"Emirates Stadium, London",60261.0,Arsenal,Wolves,2,0,0,2,W,L,1,0,0,1,0,0,0,0,2.0,,18.0,9.0,6.0,3.0,6.0,5.0,6.0,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,,17.0,4.0,12.0,2.0,30.0,16.0,40.0,56.0,420.0,375.0,357.0,307.0,53.0,47.0,50.0,18.0,18.0,19.0,13.0,12.0,8.0,7.0,15.0,14.0,15.0,14.0,5.0,7.0,1.0,6.0,2.0,,,,8.0,9.0,9.0,10.0,110.0,116.0,3.0,4.0,,2.0,,,1.0,,,,58.0,57.0,57.0,58.0,17.0,13.0,13.0,17.0,8.0,2.0,8.0,2.0,2.0,,17.0,14.0,14.0,17.0,0.0,0.0,0.0,0.0,,,,,,1.0,,
2024-25,2444472,1,2024-08-17 15:00:00,"Goodison Park, Liverpool",39572.0,Everton,Brighton,0,3,3,0,L,W,0,1,1,0,1,0,0,1,0.0,3.0,9.0,10.0,1.0,5.0,4.0,3.0,4.0,2.0,0.4547,1.4304,0.0498,2.3748,,2.0,,1.0,,1.0,,1.0,0.667151,0.970824,,3.0,4.0,10.0,3.0,7.0,24.0,23.0,69.0,36.0,344.0,574.0,266.0,491.0,38.3,61.7,18.0,29.0,23.0,21.0,11.0,13.0,13.0,8.0,11.0,19.0,11.0,19.0,10.0,7.0,2.0,4.0,1.0,1.0,,,6.0,5.0,10.0,11.0,138.0,133.0,2.0,1.0,3.0,0.0,2.3748,0.0498,,1.0,0.0,0.0,54.0,48.0,48.0,54.0,18.0,13.0,13.0,18.0,1.0,5.0,1.0,5.0,1.0,1.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0,1.0,,
2024-25,2444473,1,2024-08-17 12:30:00,"Portman Road, Ipswich",30014.0,Ipswich,Liverpool,0,2,2,0,L,W,0,0,0,0,0,0,0,0,,2.0,7.0,18.0,2.0,5.0,2.0,6.0,3.0,7.0,0.4522,2.6525,0.2438,2.3469,,5.0,,2.0,,4.0,,,0.226199,2.44335,,1.0,4.0,12.0,3.0,7.0,17.0,33.0,41.0,47.0,347.0,570.0,272.0,492.0,37.8,62.2,17.0,50.0,20.0,9.0,10.0,4.0,9.0,5.0,28.0,16.0,28.0,16.0,9.0,12.0,6.0,2.0,,1.0,,,11.0,3.0,4.0,9.0,111.0,129.0,3.0,2.0,2.0,,2.3469,0.2438,,1.0,,,51.0,46.0,46.0,51.0,11.0,18.0,18.0,11.0,2.0,10.0,2.0,10.0,2.0,,9.0,18.0,17.0,8.0,0.0,0.0,0.0,0.0,,,,,5.0,,,
2024-25,2444474,1,2024-08-17 15:00:00,"St. James' Park, Newcastle",52196.0,Newcastle,Southampton,1,0,0,1,W,L,1,0,0,1,1,0,0,1,1.0,,3.0,19.0,1.0,4.0,,4.0,2.0,11.0,,,,,1.0,2.0,1.0,,,3.0,,,,,1.0,,3.0,15.0,3.0,11.0,22.0,50.0,31.0,67.0,181.0,649.0,117.0,579.0,22.2,77.8,14.0,48.0,16.0,13.0,14.0,6.0,4.0,3.0,34.0,14.0,34.0,14.0,13.0,6.0,11.0,2.0,,,,1.0,6.0,1.0,8.0,9.0,102.0,126.0,3.0,,,1.0,,,1.0,,,,40.0,43.0,43.0,40.0,7.0,9.0,9.0,7.0,3.0,12.0,3.0,12.0,1.0,2.0,15.0,16.0,16.0,15.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,,
2024-25,2444475,1,2024-08-17 15:00:00,"The City Ground, Nottingham",29763.0,Nott'm Forest,Bournemouth,1,1,1,1,D,D,1,0,0,1,0,0,0,0,1.0,1.0,14.0,13.0,8.0,4.0,3.0,6.0,3.0,3.0,,,,,,2.0,1.0,1.0,,2.0,,,,,,,11.0,7.0,8.0,4.0,30.0,29.0,51.0,63.0,503.0,432.0,402.0,335.0,52.9,47.1,29.0,23.0,24.0,18.0,12.0,7.0,7.0,14.0,25.0,29.0,25.0,29.0,9.0,10.0,3.0,3.0,,,,1.0,5.0,9.0,8.0,14.0,156.0,155.0,3.0,7.0,1.0,1.0,,,,,,,66.0,55.0,55.0,66.0,25.0,15.0,15.0,25.0,2.0,6.0,2.0,6.0,,,17.0,8.0,8.0,17.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,,
2024-25,2444476,1,2024-08-17 17:30:00,"London Stadium, London",62463.0,West Ham,Aston Villa,1,2,2,1,L,W,1,1,1,1,0,0,0,0,1.0,2.0,14.0,15.0,3.0,3.0,7.0,6.0,4.0,6.0,,,,,2.0,4.0,1.0,2.0,3.0,2.0,,1.0,,,,2.0,10.0,12.0,6.0,7.0,31.0,32.0,39.0,51.0,417.0,394.0,352.0,329.0,52.1,47.9,26.0,23.0,14.0,24.0,10.0,15.0,6.0,7.0,22.0,20.0,22.0,20.0,8.0,9.0,6.0,4.0,,,,,8.0,4.0,18.0,7.0,127.0,116.0,1.0,3.0,2.0,1.0,,,,,,,43.0,62.0,62.0,43.0,14.0,13.0,13.0,14.0,5.0,3.0,5.0,3.0,,,18.0,11.0,11.0,18.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,1.0,,
2024-25,2444477,1,2024-08-18 14:00:00,"Gtech Community Stadium, Brentford",16988.0,Brentford,Crystal Palace,2,1,1,2,W,L,1,0,0,1,0,0,0,0,2.0,1.0,9.0,14.0,5.0,6.0,3.0,4.0,1.0,4.0,1.5903,1.1701,3.1136,1.0152,2.0,1.0,1.0,,2.0,1.0,,,0.56523,0.637502,1.0,,7.0,9.0,4.0,7.0,23.0,25.0,45.0,59.0,403.0,481.0,311.0,389.0,46.0,54.0,13.0,21.0,19.0,22.0,10.0,13.0,11.0,5.0,21.0,29.0,21.0,29.0,9.0,9.0,4.0,1.0,,1.0,,,3.0,5.0,14.0,5.0,141.0,137.0,6.0,3.0,1.0,2.0,1.0152,3.1136,,,1.0,,58.0,45.0,45.0,58.0,19.0,14.0,14.0,19.0,4.0,7.0,4.0,7.0,,,6.0,15.0,15.0,6.0,0.0,0.0,0.0,0.0,,,,,1.0,3.0,,
2024-25,2444478,1,2024-08-18 16:30:00,"Stamford Bridge, London",39818.0,Chelsea,Man City,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,10.0,11.0,3.0,5.0,3.0,3.0,4.0,3.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,9.0,8.0,6.0,6.0,23.0,21.0,47.0,37.0,490.0,535.0,436.0,477.0,48.2,51.8,26.0,27.0,20.0,16.0,14.0,9.0,10.0,10.0,13.0,17.0,13.0,17.0,7.0,2.0,3.0,4.0,1.0,,,,15.0,4.0,9.0,12.0,97.0,97.0,3.0,3.0,2.0,,,,,1.0,,,36.0,48.0,48.0,36.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,,,12.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,,
2024-25,2444479,1,2024-08-19 20:00:00,"King Power Stadium, Leicester",31977.0,Leicester,Spurs,1,1,1,1,D,D,0,1,1,0,0,0,0,0,1.0,1.0,7.0,15.0,3.0,7.0,3.0,3.0,1.0,5.0,,,,,2.0,2.0,1.0,,1.0,2.0,,,,,1.0,1.0,5.0,12.0,3.0,9.0,22.0,46.0,34.0,70.0,275.0,671.0,211.0,601.0,29.5,70.5,11.0,62.0,22.0,23.0,15.0,13.0,10.0,6.0,38.0,16.0,38.0,16.0,14.0,7.0,6.0,1.0,,,,,13.0,7.0,14.0,11.0,114.0,129.0,5.0,2.0,1.0,1.0,,,,,,,49.0,56.0,56.0,49.0,8.0,9.0,9.0,8.0,2.0,13.0,2.0,13.0,1.0,3.0,11.0,12.0,12.0,11.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,,
