season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,blockedPass_h,blockedPass_a
2011-12,360469,1,2011-08-13 15:00:00,"Ewood Park, Blackburn",21996,Blackburn,Wolves,1,2,2,1,L,W,1,1,1,1,0,0,0,0,1.0,2.0,17.0,15.0,2.0,4.0,8.0,10.0,7.0,1.0,2.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,13.0,10.0,8.0,2.0,27.0,18.0,65.0,97.0,330.0,298.0,228.0,210.0,52.0,48.0,,,13.0,24.0,10.0,19.0,18.0,8.0,33.0,25.0,12.0,12.0,1.0,6.0,,1.0,,,5.0,7.0,8.0,12.0,193.0,161.0,,,2.0,1.0,,,,,44.0,57.0,57.0,44.0,14.0,15.0,15.0,14.0,12.0,6.0,12.0,6.0,2.0,1.0,13.0,11.0,10.0,13.0,0.0,0.0,0.0,0.0,,1.0,,,,1.0,,
2011-12,360470,1,2011-08-13 15:00:00,"Craven Cottage, London",25700,Fulham,Aston Villa,0,0,0,0,D,D,0,0,0,0,0,0,0,0,,,15.0,7.0,5.0,1.0,5.0,5.0,5.0,1.0,2.0,,,,2.0,,,,,,12.0,7.0,9.0,2.0,33.0,22.0,75.0,99.0,419.0,352.0,314.0,269.0,54.1,45.9,,,9.0,11.0,6.0,8.0,10.0,25.0,25.0,43.0,15.0,17.0,1.0,4.0,,,,,2.0,3.0,8.0,1.0,167.0,156.0,,,,,1.0,1.0,,,50.0,42.0,42.0,50.0,19.0,19.0,19.0,19.0,2.0,3.0,2.0,3.0,1.0,2.0,10.0,19.0,19.0,10.0,0.0,0.0,0.0,0.0,,,,,5.0,4.0,,
2011-12,360471,1,2011-08-13 15:00:00,"Anfield, Liverpool",45018,Liverpool,Sunderland,1,1,1,1,D,D,1,0,0,1,0,0,0,0,1.0,1.0,14.0,14.0,3.0,4.0,10.0,9.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,12.0,10.0,4.0,3.0,22.0,18.0,77.0,81.0,480.0,316.0,367.0,241.0,60.1,39.9,,,18.0,16.0,13.0,15.0,16.0,12.0,17.0,32.0,10.0,17.0,1.0,1.0,,,,,5.0,4.0,8.0,9.0,163.0,149.0,,,1.0,1.0,,,,,59.0,47.0,47.0,59.0,25.0,9.0,9.0,25.0,6.0,3.0,6.0,3.0,1.0,,17.0,13.0,12.0,17.0,0.0,0.0,0.0,0.0,1.0,,,,1.0,2.0,,
2011-12,360472,1,2011-08-15 20:00:00,"Etihad Stadium, Manchester",46802,Man City,Swansea,4,0,0,4,W,L,0,0,0,0,0,0,0,0,4.0,,30.0,8.0,15.0,3.0,9.0,3.0,6.0,2.0,4.0,,3.0,,2.0,,2.0,,3.0,,26.0,7.0,19.0,5.0,23.0,10.0,53.0,53.0,424.0,580.0,342.0,486.0,42.4,57.6,,,19.0,20.0,13.0,15.0,14.0,13.0,18.0,27.0,9.0,16.0,2.0,6.0,,,,1.0,12.0,14.0,12.0,13.0,144.0,156.0,,,,4.0,1.0,,,,45.0,48.0,48.0,45.0,10.0,6.0,6.0,10.0,7.0,4.0,7.0,4.0,1.0,,10.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,,,,,4.0,1.0,,
2011-12,360473,1,2011-08-13 17:30:00,"St. James' Park, Newcastle",46894,Newcastle,Arsenal,0,0,0,0,D,D,0,0,0,0,0,1,1,0,,,8.0,11.0,1.0,2.0,5.0,6.0,2.0,3.0,,1.0,,,,1.0,,,,,3.0,8.0,2.0,3.0,27.0,24.0,65.0,77.0,320.0,548.0,222.0,459.0,37.8,62.2,,,23.0,22.0,18.0,17.0,16.0,20.0,31.0,27.0,21.0,15.0,4.0,2.0,,,,,14.0,2.0,16.0,17.0,171.0,165.0,,,,,1.0,1.0,,,49.0,58.0,58.0,49.0,13.0,12.0,12.0,13.0,2.0,5.0,2.0,5.0,,,10.0,11.0,11.0,10.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0,,
2011-12,360474,1,2011-08-13 15:00:00,"Kiyan Prince Foundation Stadium, London",15195,QPR,Bolton,0,4,4,0,L,W,0,1,1,0,1,0,0,1,,4.0,17.0,18.0,2.0,5.0,7.0,6.0,8.0,7.0,,2.0,,,1.0,2.0,,,,3.0,12.0,16.0,5.0,11.0,22.0,24.0,88.0,97.0,332.0,418.0,213.0,284.0,45.2,54.8,,,16.0,23.0,12.0,16.0,13.0,13.0,45.0,38.0,25.0,26.0,7.0,7.0,,1.0,,,9.0,5.0,18.0,10.0,200.0,199.0,,,4.0,,,1.0,1.0,,51.0,59.0,59.0,51.0,14.0,18.0,18.0,14.0,3.0,2.0,3.0,2.0,,2.0,9.0,16.0,16.0,9.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,,
2011-12,360475,1,2011-08-14 13:30:00,"bet365 Stadium, Stoke",27421,Stoke,Chelsea,0,0,0,0,D,D,0,0,0,0,0,0,0,0,,,6.0,19.0,1.0,7.0,3.0,8.0,2.0,4.0,,1.0,,,,1.0,,1.0,,,6.0,9.0,3.0,6.0,28.0,23.0,71.0,62.0,228.0,454.0,126.0,362.0,34.4,65.6,,,32.0,16.0,20.0,14.0,24.0,20.0,40.0,26.0,23.0,14.0,4.0,2.0,,,,,15.0,6.0,9.0,15.0,183.0,187.0,,,,,1.0,1.0,,,64.0,57.0,57.0,64.0,14.0,13.0,13.0,14.0,4.0,6.0,4.0,6.0,,1.0,13.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0,,,,,1.0,5.0,,
2011-12,360476,1,2012-01-11 19:45:00,"White Hart Lane, London",36132,Spurs,Everton,2,0,0,2,W,L,1,0,0,1,0,0,0,0,2.0,,16.0,13.0,4.0,,7.0,8.0,5.0,5.0,2.0,1.0,,,2.0,1.0,,,2.0,,12.0,8.0,6.0,4.0,16.0,23.0,85.0,70.0,620.0,361.0,550.0,281.0,62.1,37.9,,,11.0,18.0,6.0,16.0,13.0,29.0,51.0,35.0,25.0,15.0,5.0,4.0,1.0,,,,,6.0,14.0,6.0,161.0,161.0,,,,2.0,1.0,,,,51.0,35.0,35.0,51.0,19.0,11.0,11.0,19.0,6.0,4.0,6.0,4.0,,1.0,6.0,16.0,15.0,6.0,0.0,0.0,0.0,0.0,,,,,1.0,,,
2011-12,360477,1,2011-08-14 16:00:00,"The Hawthorns, West Bromwich",25360,West Brom,Man Utd,1,2,2,1,L,W,1,1,1,1,0,0,0,0,1.0,2.0,16.0,11.0,3.0,1.0,7.0,6.0,6.0,4.0,,1.0,,,,2.0,,,1.0,1.0,12.0,8.0,7.0,3.0,15.0,22.0,62.0,67.0,346.0,496.0,275.0,432.0,40.8,59.2,,,14.0,14.0,10.0,10.0,14.0,11.0,29.0,30.0,16.0,15.0,4.0,6.0,,,,1.0,11.0,4.0,10.0,9.0,135.0,147.0,,,2.0,1.0,,,1.0,,40.0,50.0,50.0,40.0,12.0,8.0,8.0,12.0,6.0,5.0,6.0,5.0,1.0,2.0,19.0,11.0,10.0,17.0,0.0,0.0,0.0,0.0,,,,,1.0,,,
2011-12,360478,1,2011-08-13 15:00:00,"DW Stadium, Wigan",17454,Wigan,Norwich,1,1,1,1,D,D,1,1,1,1,0,0,0,0,1.0,1.0,20.0,13.0,7.0,2.0,8.0,9.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,15.0,10.0,8.0,2.0,13.0,26.0,74.0,95.0,363.0,378.0,294.0,291.0,49.5,50.5,,,16.0,24.0,14.0,19.0,13.0,11.0,48.0,19.0,23.0,8.0,2.0,6.0,1.0,,1.0,,2.0,15.0,14.0,15.0,151.0,156.0,,,1.0,1.0,,,,,52.0,49.0,49.0,52.0,13.0,12.0,12.0,13.0,7.0,3.0,7.0,3.0,,1.0,12.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,5.0,,
