season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attFreekickGoal,attLgLeft,attPenTarget,penaltySave,secondYellow,attCorner,attFreekickPost,attOneOnOne,attPenMiss,contentiousDecision,attLgRight,attObxdRight,attemptedTackleFoul,blockedPass,putThrough,successfulPutThrough,ptsDroppedWinningPos,ptsGainedLosingPos,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,keeperGoals,subsGoals,successfulFiftyFifty,winningGoal,totalDistance
2010-11,321663,1.0,2010-08-16 20:00:00,4,Newcastle,Away,114.0,11.0,2.0,6.0,4.0,6.0,,125.0,10.0,1.0,2.0,10.0,16.0,20.0,233.0,,,11.0,10.0,22.0,5.0,2.0,,,,,,,,6.0,,,,,,9.0,10.0,,,,50.0,56.0,1.0,1.0,,2.0,1.0,6.0,,3.0,9.0,4.0,,13.0,1.0,45.0,61.0,2.0,19.0,7.0,,,60.0,7.0,9.0,,,2.0,2.0,,131.0,,,,,,,15.0,,,,1.0,,,,1.0,14.0,,35.0,23.0,5.0,2.0,59.0,69.0,38.0,5.0,,4.0,3.0,4.0,,,,8.0,2.0,,33.0,47.0,19.0,,,,,151.0,138.0,2.0,30.0,18.0,34.4,,,0.0,,,,73.0,1.0,,,3.0,,4.0,,2.0,60.0,,7.0,134.0,23.0,32.0,19.0,2.0,17.0,15.0,,104.0,14.0,196.0,1.0,1.0,24.0,16.0,44.0,,313.0,,0.0,9.0,21.0,1.0,14.0,2.0,527.0,,14.0,9.0,3.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321672,2.0,2010-08-22 13:30:00,4,Newcastle,Home,124.0,13.0,3.0,5.0,2.0,6.0,,169.0,4.0,,2.0,11.0,14.0,23.0,288.0,,3.0,18.0,12.0,14.0,7.0,1.0,2.0,1.0,,1.0,,,,12.0,,,,,1.0,3.0,3.0,,,,60.0,33.0,4.0,3.0,4.0,3.0,4.0,,,9.0,18.0,4.0,,14.0,,53.0,51.0,3.0,8.0,4.0,,,80.0,15.0,12.0,3.0,,4.0,2.0,1.0,168.0,3.0,,2.0,3.0,,,6.0,,,4.0,,,,,,11.0,,13.0,12.0,1.0,2.0,70.0,90.0,47.0,2.0,3.0,1.0,10.0,11.0,,,,2.0,1.0,,61.0,50.0,27.0,,1.0,1.0,,171.0,161.0,2.0,15.0,10.0,50.1,,,0.0,,,,82.0,,,,2.0,2.0,2.0,,3.0,89.0,,11.0,132.0,27.0,18.0,18.0,8.0,32.0,24.0,2.0,148.0,14.0,280.0,,,36.0,14.0,58.0,1.0,380.0,,0.0,17.0,19.0,8.0,23.0,3.0,571.0,,7.0,6.0,10.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321686,3.0,2010-08-28 15:00:00,4,Newcastle,Away,100.0,18.0,,11.0,11.0,5.0,2.0,168.0,3.0,1.0,2.0,13.0,14.0,27.0,257.0,1.0,1.0,16.0,16.0,21.0,6.0,1.0,,,,1.0,,,,6.0,,,,,3.0,4.0,2.0,,,,41.0,41.0,2.0,3.0,,2.0,2.0,,,3.0,17.0,6.0,,16.0,,58.0,60.0,2.0,25.0,16.0,,,60.0,21.0,20.0,1.0,,3.0,2.0,1.0,148.0,1.0,1.0,1.0,,1.0,,7.0,,,,,,,,2.0,32.0,,10.0,8.0,,2.0,88.0,87.0,42.0,5.0,,4.0,4.0,4.0,,,,1.0,3.0,,47.0,54.0,28.0,,,,,183.0,162.0,,22.0,11.0,55.1,,,0.0,,,,73.0,,,,1.0,,5.0,,1.0,88.0,,8.0,115.0,35.0,46.0,13.0,2.0,27.0,25.0,,135.0,11.0,262.0,,1.0,38.0,19.0,59.0,3.0,350.0,1.0,0.0,11.0,13.0,2.0,22.0,5.0,560.0,,14.0,6.0,3.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321692,4.0,2010-09-11 15:00:00,4,Newcastle,Home,119.0,20.0,1.0,11.0,10.0,5.0,1.0,197.0,3.0,,3.0,17.0,20.0,43.0,305.0,,4.0,27.0,10.0,19.0,13.0,3.0,,,,,,,,17.0,,,,1.0,2.0,5.0,3.0,,,,46.0,39.0,2.0,5.0,,5.0,7.0,8.0,,3.0,21.0,11.0,,5.0,2.0,46.0,56.0,5.0,8.0,5.0,,,86.0,16.0,14.0,,,5.0,5.0,,170.0,,,,,,,6.0,,,,3.0,,,,,13.0,1.0,12.0,10.0,2.0,3.0,93.0,86.0,58.0,2.0,,6.0,10.0,7.0,,,,1.0,7.0,,52.0,49.0,38.0,1.0,1.0,1.0,,168.0,159.0,,22.0,10.0,56.5,1.0,,0.0,,,,87.0,2.0,1.0,,1.0,,7.0,,3.0,100.0,,16.0,132.0,28.0,17.0,22.0,3.0,40.0,37.0,,163.0,25.0,304.0,3.0,,28.0,21.0,65.0,4.0,396.0,1.0,0.0,21.0,8.0,5.0,31.0,2.0,597.0,,9.0,15.0,3.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321700,5.0,2010-09-18 15:00:00,4,Newcastle,Away,125.0,10.0,2.0,4.0,2.0,1.0,,172.0,1.0,1.0,1.0,5.0,14.0,22.0,293.0,,1.0,19.0,13.0,8.0,3.0,1.0,,,1.0,1.0,,1.0,,5.0,,,,,2.0,10.0,2.0,,,,54.0,58.0,,,,5.0,1.0,4.0,1.0,6.0,11.0,4.0,,15.0,3.0,62.0,51.0,5.0,13.0,5.0,,,57.0,22.0,15.0,,,4.0,5.0,1.0,136.0,1.0,,,1.0,,,8.0,,,1.0,4.0,,,,1.0,18.0,,24.0,17.0,3.0,3.0,86.0,78.0,35.0,3.0,1.0,2.0,3.0,4.0,,,,4.0,7.0,,63.0,53.0,17.0,,,,,176.0,161.0,2.0,19.0,24.0,48.3,,,0.0,,,,90.0,2.0,1.0,,,,5.0,,2.0,69.0,,5.0,135.0,19.0,28.0,17.0,6.0,26.0,20.0,,106.0,10.0,257.0,4.0,1.0,22.0,14.0,46.0,1.0,366.0,,0.0,10.0,20.0,1.0,27.0,3.0,596.0,,17.0,8.0,6.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321714,6.0,2010-09-26 16:10:00,4,Newcastle,Home,190.0,10.0,1.0,5.0,4.0,1.0,,193.0,7.0,,4.0,7.0,14.0,32.0,378.0,,1.0,22.0,19.0,10.0,9.0,,,2.0,,3.0,1.0,,,10.0,1.0,,,,,6.0,3.0,,,,70.0,57.0,1.0,1.0,1.0,3.0,5.0,,,3.0,14.0,14.0,,21.0,,53.0,47.0,3.0,10.0,5.0,,,63.0,8.0,10.0,,,5.0,1.0,3.0,159.0,,,,,,,10.0,,,,3.0,,,,,19.0,,12.0,9.0,2.0,4.0,124.0,82.0,44.0,5.0,1.0,3.0,6.0,3.0,,,,1.0,,1.0,66.0,54.0,30.0,,,,1.0,186.0,168.0,1.0,26.0,22.0,63.0,,,0.0,,,,119.0,,,,2.0,,6.0,,2.0,79.0,,9.0,212.0,28.0,28.0,16.0,2.0,31.0,29.0,,129.0,7.0,291.0,3.0,,28.0,17.0,63.0,2.0,472.0,,0.0,14.0,16.0,2.0,26.0,0.0,686.0,,13.0,11.0,3.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321720,7.0,2010-10-03 13:30:00,4,Newcastle,Away,155.0,7.0,1.0,5.0,4.0,3.0,,194.0,5.0,1.0,2.0,10.0,20.0,24.0,344.0,,2.0,26.0,5.0,11.0,4.0,1.0,,,,1.0,,,,6.0,,,,,1.0,9.0,2.0,,,,65.0,56.0,1.0,1.0,1.0,4.0,1.0,11.0,,4.0,11.0,11.0,,21.0,1.0,61.0,47.0,4.0,18.0,13.0,,,68.0,13.0,11.0,,,4.0,2.0,1.0,157.0,,,,,,,9.0,,,1.0,2.0,,,,,18.0,,16.0,14.0,2.0,2.0,102.0,81.0,46.0,4.0,1.0,4.0,1.0,3.0,,,,3.0,3.0,,70.0,49.0,25.0,1.0,1.0,1.0,,164.0,153.0,4.0,26.0,14.0,48.1,,,0.0,,,,90.0,3.0,,,,,5.0,,3.0,91.0,,5.0,169.0,16.0,29.0,18.0,3.0,27.0,24.0,,129.0,11.0,272.0,2.0,1.0,23.0,21.0,45.0,,414.0,1.0,0.0,9.0,18.0,3.0,30.0,2.0,646.0,,18.0,7.0,4.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321735,8.0,2010-10-16 15:00:00,4,Newcastle,Home,164.0,13.0,4.0,15.0,11.0,1.0,1.0,225.0,5.0,,6.0,9.0,19.0,32.0,374.0,,1.0,18.0,4.0,10.0,6.0,3.0,,1.0,,1.0,,,,8.0,,,,,,3.0,5.0,,,,62.0,46.0,4.0,2.0,2.0,,3.0,7.0,,6.0,10.0,18.0,1.0,22.0,,61.0,55.0,,7.0,4.0,,,70.0,16.0,16.0,1.0,,2.0,1.0,1.0,186.0,2.0,,2.0,1.0,1.0,,6.0,,,1.0,3.0,,,,1.0,8.0,,12.0,9.0,2.0,6.0,111.0,87.0,60.0,3.0,,5.0,6.0,4.0,,,,,2.0,,89.0,42.0,33.0,,,,,147.0,141.0,4.0,19.0,14.0,57.5,,1.0,0.0,,,,90.0,,1.0,,,,7.0,,3.0,69.0,,11.0,172.0,27.0,13.0,19.0,5.0,34.0,29.0,,117.0,10.0,311.0,3.0,,16.0,21.0,49.0,1.0,449.0,,0.0,14.0,23.0,1.0,18.0,2.0,649.0,,8.0,6.0,6.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321745,9.0,2010-10-23 17:30:00,4,Newcastle,Away,206.0,13.0,1.0,5.0,4.0,4.0,,234.0,4.0,,9.0,5.0,31.0,24.0,435.0,,,18.0,20.0,15.0,10.0,,,,,,,,,15.0,,,,,,6.0,5.0,,,,72.0,64.0,1.0,,1.0,2.0,6.0,6.0,,6.0,7.0,17.0,,23.0,,65.0,53.0,2.0,14.0,8.0,,,73.0,6.0,12.0,1.0,,2.0,1.0,,185.0,1.0,,1.0,1.0,,,9.0,,,2.0,4.0,,,,,12.0,,16.0,13.0,2.0,9.0,135.0,92.0,55.0,2.0,1.0,2.0,9.0,5.0,,,,4.0,1.0,,88.0,47.0,30.0,,,,,173.0,165.0,4.0,27.0,21.0,59.3,,,0.0,,,,131.0,,,,,,4.0,,,95.0,,11.0,224.0,28.0,22.0,15.0,6.0,31.0,25.0,,143.0,8.0,330.0,4.0,,20.0,33.0,48.0,,523.0,,0.0,15.0,21.0,1.0,19.0,0.0,731.0,,11.0,5.0,6.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,321755,10.0,2010-10-31 13:30:00,4,Newcastle,Home,122.0,22.0,6.0,10.0,4.0,1.0,,212.0,4.0,,1.0,10.0,15.0,31.0,324.0,,,24.0,17.0,17.0,7.0,4.0,,,,3.0,,,,13.0,1.0,1.0,,,1.0,9.0,5.0,,,,63.0,53.0,4.0,3.0,4.0,1.0,8.0,3.0,,8.0,8.0,12.0,,19.0,1.0,63.0,63.0,1.0,9.0,7.0,,,73.0,10.0,19.0,2.0,1.0,8.0,3.0,3.0,152.0,2.0,,,1.0,1.0,,7.0,,,2.0,1.0,,,,1.0,17.0,1.0,10.0,6.0,,1.0,101.0,77.0,46.0,6.0,3.0,5.0,8.0,8.0,,,,3.0,2.0,,74.0,52.0,25.0,,,,1.0,160.0,147.0,4.0,22.0,19.0,54.4,1.0,,0.0,,,,80.0,4.0,,,,,9.0,1.0,1.0,85.0,,13.0,133.0,31.0,22.0,23.0,8.0,31.0,23.0,,122.0,12.0,294.0,1.0,,21.0,18.0,52.0,1.0,396.0,,0.0,25.0,19.0,,28.0,3.0,623.0,,9.0,8.0,8.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
