season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,touchesInOppBox_h,touchesInOppBox_a
2014-15,755303,1,2014-08-16 17:30:00,"Emirates Stadium, London",59962,Arsenal,Crystal Palace,2,1,1,2,W,L,1,1,1,1,0,1,1,0,2.0,1.0,14.0,4.0,6.0,2.0,5.0,,3.0,2.0,2.0,,2.0,,1.0,,,,1.0,1.0,11.0,3.0,7.0,3.0,21.0,4.0,95.0,38.0,730.0,222.0,640.0,127.0,76.9,23.1,26.0,33.0,20.0,23.0,16.0,19.0,30.0,40.0,30.0,40.0,24.0,25.0,2.0,2.0,1.0,,,,7.0,12.0,11.0,9.0,167.0,151.0,1.0,4.0,1.0,2.0,,,,,78.0,68.0,68.0,78.0,23.0,17.0,17.0,23.0,9.0,3.0,9.0,3.0,1.0,,13.0,19.0,18.0,13.0,0.0,0.0,0.0,0.0,,,,,,1.0,,
2014-15,755304,1,2014-08-18 20:00:00,"Turf Moor, Burnley",20699,Burnley,Chelsea,1,3,3,1,L,W,1,3,3,1,0,0,0,0,1.0,3.0,9.0,11.0,2.0,3.0,6.0,4.0,1.0,4.0,,2.0,,3.0,,,,1.0,1.0,2.0,7.0,9.0,2.0,6.0,14.0,17.0,82.0,61.0,413.0,668.0,288.0,551.0,38.6,61.4,12.0,19.0,9.0,17.0,11.0,17.0,21.0,29.0,21.0,29.0,20.0,20.0,4.0,1.0,,1.0,,,12.0,3.0,10.0,4.0,178.0,160.0,,1.0,3.0,1.0,,,,,46.0,57.0,57.0,46.0,27.0,20.0,20.0,27.0,4.0,3.0,4.0,3.0,,,6.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0,,
2014-15,755305,1,2014-08-16 15:00:00,"King Power Stadium, Leicester",31603,Leicester,Everton,2,2,2,2,D,D,1,2,2,1,0,0,0,0,2.0,2.0,11.0,13.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,,2.0,,1.0,,,,,1.0,6.0,6.0,2.0,2.0,23.0,33.0,68.0,74.0,344.0,605.0,265.0,509.0,36.5,63.5,13.0,19.0,7.0,15.0,18.0,5.0,37.0,28.0,37.0,28.0,22.0,24.0,4.0,3.0,1.0,1.0,,1.0,9.0,6.0,16.0,6.0,121.0,142.0,1.0,1.0,2.0,2.0,,,,,55.0,54.0,54.0,55.0,27.0,14.0,14.0,27.0,3.0,6.0,3.0,6.0,,,16.0,10.0,10.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,
2014-15,755306,1,2014-08-17 13:30:00,"Anfield, Liverpool",44736,Liverpool,Southampton,2,1,1,2,W,L,1,0,0,1,0,0,0,0,2.0,1.0,12.0,12.0,5.0,6.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,,1.0,2.0,1.0,10.0,9.0,7.0,7.0,10.0,19.0,74.0,57.0,601.0,450.0,514.0,345.0,56.1,43.9,16.0,35.0,11.0,23.0,17.0,19.0,50.0,14.0,50.0,14.0,13.0,13.0,2.0,2.0,1.0,,,,10.0,15.0,23.0,12.0,156.0,169.0,5.0,3.0,1.0,2.0,,,,,64.0,67.0,67.0,64.0,23.0,14.0,14.0,23.0,2.0,6.0,2.0,6.0,,,8.0,11.0,11.0,8.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,,
2014-15,755307,1,2014-08-16 12:45:00,"Old Trafford, Manchester",75339,Man Utd,Swansea,1,2,2,1,L,W,0,1,1,0,0,0,0,0,1.0,2.0,14.0,5.0,5.0,4.0,5.0,,4.0,1.0,,,1.0,,,,1.0,,,2.0,11.0,5.0,7.0,5.0,41.0,4.0,61.0,34.0,558.0,383.0,482.0,307.0,59.6,40.4,13.0,19.0,13.0,19.0,17.0,17.0,12.0,35.0,12.0,35.0,14.0,13.0,1.0,3.0,,,,,4.0,13.0,11.0,7.0,133.0,115.0,2.0,4.0,2.0,1.0,,,,,65.0,44.0,44.0,65.0,20.0,10.0,10.0,20.0,4.0,,4.0,,,,14.0,20.0,20.0,11.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,
2014-15,755308,1,2014-08-17 16:00:00,"St. James' Park, Newcastle",50816,Newcastle,Man City,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,12.0,13.0,,5.0,9.0,5.0,3.0,3.0,1.0,2.0,,2.0,1.0,1.0,,,,1.0,9.0,11.0,1.0,7.0,22.0,13.0,41.0,68.0,460.0,593.0,382.0,511.0,44.2,55.8,23.0,29.0,18.0,24.0,14.0,15.0,21.0,32.0,21.0,32.0,13.0,13.0,3.0,3.0,1.0,,,,6.0,14.0,19.0,16.0,136.0,123.0,3.0,,2.0,,,1.0,,,62.0,58.0,58.0,62.0,14.0,16.0,16.0,14.0,3.0,3.0,3.0,3.0,2.0,,8.0,11.0,11.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,
2014-15,755309,1,2014-08-16 15:00:00,"MATRADE Loftus Road, London",17603,QPR,Hull,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,19.0,11.0,6.0,4.0,7.0,3.0,6.0,4.0,1.0,1.0,,,2.0,1.0,,,,1.0,14.0,9.0,9.0,7.0,30.0,16.0,77.0,58.0,383.0,382.0,296.0,289.0,51.0,49.0,14.0,17.0,12.0,14.0,13.0,13.0,40.0,56.0,40.0,56.0,9.0,9.0,3.0,7.0,,,,,4.0,8.0,9.0,10.0,148.0,142.0,3.0,5.0,1.0,,,1.0,,,60.0,44.0,44.0,60.0,30.0,15.0,15.0,30.0,8.0,9.0,8.0,9.0,1.0,,10.0,10.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,,,,,2.0,,
2014-15,755310,1,2014-08-16 15:00:00,"bet365 Stadium, Stoke",27478,Stoke,Aston Villa,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,12.0,7.0,2.0,1.0,4.0,4.0,6.0,2.0,,1.0,,,,1.0,,,,,10.0,5.0,7.0,2.0,19.0,13.0,71.0,56.0,517.0,289.0,432.0,197.0,63.1,36.9,27.0,19.0,20.0,12.0,17.0,14.0,43.0,26.0,43.0,26.0,13.0,12.0,2.0,6.0,1.0,,,,4.0,9.0,11.0,17.0,135.0,160.0,,2.0,1.0,,,1.0,,,75.0,46.0,46.0,75.0,30.0,9.0,9.0,30.0,2.0,8.0,2.0,8.0,2.0,2.0,14.0,9.0,9.0,14.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,
2014-15,755311,1,2014-08-16 15:00:00,"The Hawthorns, West Bromwich",25468,West Brom,Sunderland,2,2,2,2,D,D,1,1,1,1,0,0,0,0,2.0,2.0,10.0,7.0,5.0,2.0,5.0,2.0,,3.0,1.0,2.0,2.0,1.0,,1.0,,,1.0,1.0,8.0,4.0,3.0,2.0,24.0,20.0,80.0,40.0,439.0,323.0,349.0,242.0,57.8,42.2,18.0,29.0,11.0,21.0,11.0,22.0,15.0,42.0,15.0,42.0,14.0,15.0,3.0,,,,,,8.0,5.0,25.0,10.0,158.0,131.0,,3.0,2.0,2.0,,,,,48.0,68.0,68.0,48.0,16.0,15.0,15.0,16.0,6.0,3.0,6.0,3.0,,2.0,18.0,9.0,9.0,17.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,3.0,,
2014-15,755312,1,2014-08-16 15:00:00,"Boleyn Ground, London",34977,West Ham,Spurs,0,1,1,0,L,W,0,0,0,0,1,1,1,1,,1.0,18.0,10.0,4.0,4.0,10.0,2.0,4.0,4.0,1.0,1.0,,1.0,2.0,,,,,1.0,13.0,8.0,7.0,7.0,19.0,15.0,58.0,60.0,414.0,482.0,344.0,386.0,46.6,53.4,17.0,19.0,14.0,15.0,19.0,11.0,35.0,27.0,35.0,27.0,9.0,9.0,4.0,3.0,,,,,9.0,5.0,10.0,12.0,126.0,139.0,4.0,4.0,1.0,,,1.0,,,45.0,51.0,51.0,45.0,15.0,12.0,12.0,15.0,8.0,5.0,8.0,5.0,,,12.0,10.0,8.0,12.0,0.0,0.0,0.0,0.0,1.0,,,,1.0,,,
