season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2023-24,2367541,1.0,2023-08-12 15:00:00,102,Luton,Away,87.0,24.0,3.0,6.0,3.0,,,87.0,9.0,,6.0,5.0,2.0,31.0,168.0,1.0,,9.0,12.0,21.0,6.0,1.0,3.0,2.0,,,,,,,,5.0,1.0,,,,,8.0,20.0,7.0,7.0,2.0,,32.0,52.0,1.0,1.0,1.0,2.0,5.0,2.0,6.0,,1.0,7.0,11.0,4.0,,6.0,2.0,43.0,48.0,2.0,27.0,11.0,1.0,1.0,,,,,38.0,12.0,9.0,1.0,1.0,,,108.0,,,,,,,11.0,,,,,,,,,11.0,,9.0,9.0,1.0,6.0,43.0,56.0,34.0,6.0,,4.0,3.0,3.0,204.0,,,5.0,1.0,,41.0,26.0,28.0,1.0,1.0,1.0,1.0,114.0,114.0,1.0,24.0,16.0,29.3,,,,1.0,11.0,0.0,,,,51.0,6.0,2.0,8.0,1.0,2.0,4.0,,,5.0,43.0,145.0,5.0,7.0,110.0,41.0,27.0,8.0,7.0,22.0,15.0,2.0,70.0,6.0,146.0,,,16.0,3.0,60.0,3.0,234.0,2.0,0.0,9.0,17.0,,11.0,2.0,417.0,21.0,13.0,1.0,7.0,12.0,0.0
2023-24,2367552,2.0,2023-10-03 19:30:00,102,Luton,Home,98.0,23.0,6.0,13.0,7.0,2.0,,169.0,3.0,,4.0,15.0,3.0,36.0,254.0,,,21.0,26.0,35.0,8.0,6.0,8.0,,,,,,,,,10.0,,,,,,9.0,7.0,7.0,15.0,3.0,,53.0,68.0,,1.0,,3.0,9.0,5.0,8.0,,,7.0,13.0,11.0,,9.0,3.0,59.0,64.0,3.0,14.0,8.0,,,,,,,66.0,14.0,6.0,,,,,159.0,1.0,,1.0,1.0,,,10.0,,,1.0,,,,,1.0,8.0,,8.0,8.0,1.0,4.0,75.0,84.0,32.0,6.0,,9.0,6.0,3.0,348.0,,,2.0,,,51.0,75.0,42.0,,,,,180.0,180.0,9.0,29.0,25.0,48.6,,,,,22.0,0.0,,,,83.0,2.0,,2.0,,,10.0,,1.0,3.0,91.0,242.0,9.0,15.0,128.0,45.0,14.0,15.0,7.0,31.0,24.0,,144.0,6.0,273.0,,,43.0,3.0,88.0,3.0,370.0,,0.0,18.0,14.0,,29.0,4.0,591.0,36.0,20.0,9.0,7.0,8.0,0.0
2023-24,2367563,3.0,2023-08-25 20:00:00,102,Luton,Away,109.0,17.0,2.0,2.0,,2.0,,133.0,6.0,1.0,4.0,,4.0,17.0,240.0,,,10.0,14.0,6.0,5.0,1.0,2.0,,,1.0,,1.0,,,,7.0,,,,,1.0,5.0,16.0,3.0,7.0,4.0,,50.0,54.0,,,,1.0,2.0,5.0,7.0,,,4.0,11.0,1.0,,6.0,3.0,42.0,46.0,1.0,18.0,9.0,,,,,,,48.0,12.0,15.0,,2.0,2.0,1.0,110.0,,,,,,,8.0,,,,,,,,1.0,9.0,,5.0,5.0,1.0,4.0,68.0,62.0,29.0,6.0,,3.0,3.0,1.0,279.0,,,5.0,,,64.0,44.0,24.0,,,,,100.0,100.0,6.0,24.0,17.0,32.8,,,,,9.0,0.0,,,,78.0,5.0,,5.0,1.0,,5.0,,,5.0,72.0,224.0,2.0,6.0,122.0,47.0,18.0,11.0,4.0,18.0,14.0,,108.0,5.0,202.0,,1.0,7.0,4.0,52.0,,306.0,,0.0,11.0,18.0,,10.0,3.0,459.0,17.0,8.0,7.0,4.0,10.0,0.0
2023-24,2367575,4.0,2023-09-01 20:00:00,102,Luton,Home,121.0,19.0,4.0,10.0,6.0,4.0,,155.0,4.0,,1.0,10.0,5.0,24.0,266.0,,,18.0,19.0,21.0,7.0,4.0,5.0,,,,,,,,,11.0,,,,,,2.0,6.0,3.0,13.0,3.0,,47.0,67.0,3.0,2.0,1.0,1.0,12.0,5.0,8.0,,,9.0,16.0,5.0,1.0,8.0,,56.0,54.0,1.0,24.0,12.0,,,,,,,63.0,8.0,11.0,,,1.0,,150.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,1.0,12.0,,7.0,7.0,,1.0,88.0,75.0,30.0,6.0,,6.0,6.0,1.0,335.0,,,2.0,1.0,,55.0,54.0,42.0,,,,,164.0,164.0,8.0,25.0,27.0,38.8,,,,,22.0,0.0,,,,81.0,1.0,,1.0,1.0,,10.0,1.0,,5.0,88.0,249.0,12.0,12.0,141.0,45.0,24.0,23.0,9.0,31.0,22.0,,142.0,11.0,256.0,1.0,,27.0,5.0,71.0,,366.0,,0.0,16.0,14.0,,21.0,1.0,576.0,31.0,17.0,9.0,9.0,12.0,0.0
2023-24,2367581,5.0,2023-09-16 15:00:00,102,Luton,Away,94.0,14.0,,5.0,5.0,,,61.0,4.0,,7.0,1.0,1.0,12.0,150.0,,,14.0,12.0,19.0,7.0,,,1.0,,,,,,,,7.0,,,,1.0,,8.0,6.0,7.0,7.0,,,35.0,52.0,3.0,3.0,,1.0,5.0,1.0,4.0,,,2.0,6.0,1.0,,10.0,,45.0,48.0,1.0,17.0,7.0,1.0,,,,,,42.0,14.0,6.0,,2.0,3.0,,114.0,,,,,,,10.0,,,,2.0,,,,,7.0,1.0,11.0,11.0,1.0,7.0,38.0,52.0,19.0,6.0,,4.0,3.0,2.0,207.0,,,6.0,1.0,,15.0,53.0,15.0,,,,,118.0,118.0,3.0,30.0,11.0,22.4,1.0,,,1.0,10.0,0.0,,,,35.0,,1.0,1.0,1.0,1.0,4.0,,,5.0,32.0,142.0,5.0,7.0,113.0,43.0,17.0,11.0,2.0,12.0,10.0,1.0,64.0,3.0,121.0,2.0,,7.0,2.0,39.0,1.0,222.0,,0.0,7.0,20.0,,18.0,2.0,391.0,17.0,16.0,4.0,2.0,13.0,0.0
2023-24,2367595,6.0,2023-09-23 15:00:00,102,Luton,Home,130.0,20.0,3.0,7.0,4.0,,2.0,209.0,1.0,,5.0,3.0,2.0,27.0,332.0,2.0,,20.0,21.0,19.0,13.0,2.0,1.0,,,,,,,,,16.0,1.0,,,1.0,1.0,7.0,3.0,,15.0,5.0,,71.0,75.0,1.0,1.0,1.0,,3.0,9.0,8.0,,,10.0,23.0,7.0,,10.0,,55.0,63.0,,5.0,1.0,,,,,,,74.0,12.0,16.0,1.0,7.0,4.0,,174.0,,,,,,,2.0,,,,,,,,,1.0,1.0,8.0,8.0,,5.0,98.0,83.0,47.0,1.0,,3.0,12.0,4.0,413.0,,,,1.0,,77.0,86.0,55.0,,,,1.0,163.0,163.0,7.0,15.0,45.0,56.4,1.0,,1.0,,19.0,0.0,,,,87.0,2.0,,2.0,1.0,,7.0,1.0,,4.0,119.0,319.0,3.0,15.0,146.0,38.0,5.0,12.0,10.0,44.0,34.0,,176.0,6.0,328.0,,,23.0,3.0,67.0,1.0,430.0,2.0,0.0,20.0,20.0,,21.0,0.0,641.0,41.0,11.0,8.0,10.0,9.0,0.0
2023-24,2367600,7.0,2023-09-30 15:00:00,102,Luton,Away,50.0,22.0,4.0,5.0,1.0,2.0,1.0,101.0,8.0,,5.0,4.0,2.0,30.0,146.0,,,16.0,31.0,26.0,2.0,4.0,5.0,,,,,,,,,3.0,,1.0,,,1.0,5.0,16.0,7.0,8.0,1.0,,28.0,86.0,2.0,1.0,2.0,2.0,12.0,3.0,10.0,1.0,,6.0,3.0,,1.0,10.0,1.0,72.0,62.0,2.0,29.0,20.0,,,,,,,54.0,10.0,8.0,1.0,2.0,3.0,,151.0,1.0,1.0,1.0,,1.0,,18.0,,,,2.0,,,,1.0,20.0,1.0,10.0,10.0,2.0,5.0,48.0,70.0,28.0,3.0,,3.0,4.0,2.0,243.0,,,5.0,4.0,,30.0,87.0,19.0,,,,,193.0,193.0,2.0,47.0,25.0,32.4,1.0,,,1.0,33.0,0.0,,,,48.0,4.0,,3.0,2.0,,4.0,,,4.0,52.0,131.0,12.0,7.0,86.0,59.0,29.0,18.0,6.0,12.0,6.0,,102.0,12.0,201.0,2.0,,21.0,4.0,81.0,3.0,275.0,2.0,0.0,9.0,24.0,,26.0,1.0,502.0,17.0,17.0,5.0,6.0,14.0,0.0
2023-24,2367614,8.0,2023-10-07 12:30:00,102,Luton,Home,69.0,26.0,1.0,5.0,4.0,,,106.0,5.0,,3.0,1.0,1.0,26.0,170.0,,,17.0,15.0,9.0,9.0,1.0,4.0,1.0,,,,,,,1.0,8.0,,,,,,8.0,10.0,5.0,8.0,4.0,,31.0,59.0,2.0,2.0,,1.0,17.0,4.0,9.0,,,5.0,12.0,7.0,,9.0,2.0,60.0,48.0,1.0,24.0,8.0,,1.0,,,,,56.0,16.0,5.0,,,2.0,,129.0,,,,,,,10.0,,,,,,,,,8.0,,12.0,12.0,3.0,3.0,43.0,65.0,29.0,6.0,,4.0,6.0,2.0,231.0,,,2.0,,,34.0,62.0,29.0,,,,,148.0,148.0,9.0,33.0,12.0,33.1,,,,,28.0,0.0,,,,49.0,3.0,,3.0,,1.0,6.0,,,5.0,74.0,158.0,17.0,11.0,82.0,50.0,24.0,19.0,5.0,26.0,21.0,1.0,123.0,6.0,196.0,,,12.0,2.0,55.0,4.0,252.0,1.0,0.0,12.0,26.0,,21.0,2.0,475.0,30.0,17.0,8.0,5.0,15.0,0.0
2023-24,2367625,9.0,2023-10-21 15:00:00,102,Luton,Away,95.0,18.0,,6.0,6.0,3.0,1.0,162.0,2.0,6.0,3.0,12.0,1.0,32.0,251.0,,,16.0,33.0,23.0,5.0,,1.0,,,,,,,,,9.0,,,,,3.0,4.0,17.0,2.0,9.0,4.0,,44.0,70.0,2.0,1.0,2.0,1.0,13.0,4.0,7.0,,,2.0,11.0,11.0,,9.0,2.0,65.0,50.0,1.0,25.0,13.0,,2.0,,,,,68.0,11.0,12.0,,1.0,2.0,,156.0,1.0,,1.0,1.0,,,8.0,,,1.0,,,,,,13.0,,7.0,7.0,,3.0,90.0,86.0,42.0,4.0,1.0,1.0,5.0,4.0,335.0,,,2.0,3.0,,59.0,86.0,34.0,,,,,173.0,173.0,4.0,22.0,34.0,42.8,,,1.0,,28.0,0.0,,,,71.0,4.0,2.0,6.0,,,5.0,,1.0,5.0,75.0,237.0,13.0,6.0,110.0,35.0,25.0,11.0,2.0,26.0,24.0,,131.0,9.0,277.0,,6.0,39.0,2.0,76.0,,361.0,,0.0,13.0,9.0,,22.0,0.0,567.0,25.0,20.0,6.0,2.0,6.0,0.0
2023-24,2367630,10.0,2023-10-29 14:00:00,102,Luton,Away,103.0,14.0,3.0,5.0,2.0,1.0,1.0,90.0,4.0,,7.0,2.0,1.0,15.0,188.0,,1.0,7.0,13.0,14.0,3.0,2.0,3.0,,,,,,1.0,,,2.0,,,,,2.0,4.0,14.0,4.0,5.0,2.0,,38.0,48.0,1.0,1.0,,2.0,5.0,4.0,7.0,,,4.0,10.0,2.0,,6.0,1.0,40.0,47.0,2.0,8.0,6.0,,,,,,,28.0,10.0,11.0,,4.0,3.0,,102.0,,,,,,,10.0,,,,,,,,1.0,6.0,1.0,7.0,7.0,2.0,7.0,56.0,50.0,25.0,6.0,,2.0,3.0,1.0,220.0,,,6.0,1.0,1.0,30.0,43.0,19.0,,,,,94.0,94.0,2.0,25.0,14.0,29.5,,,,1.0,12.0,0.0,,,,47.0,4.0,,4.0,1.0,,2.0,,,5.0,39.0,171.0,5.0,5.0,117.0,33.0,8.0,10.0,3.0,18.0,15.0,,58.0,3.0,144.0,1.0,,13.0,2.0,45.0,6.0,243.0,,0.0,7.0,17.0,2.0,8.0,2.0,387.0,15.0,7.0,5.0,4.0,8.0,0.0
