season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,saves_h,saves_a,touchesInOppBox_h,touchesInOppBox_a
2010-11,321657,1,2010-08-14 15:00:00,"Villa Park, Birmingham",36604.0,Aston Villa,West Ham,3,0,0,3,W,L,2,0,0,2,0,0,0,0,3.0,,27.0,14.0,5.0,1.0,12.0,10.0,10.0,3.0,3.0,3.0,1.0,,5.0,3.0,3.0,,2.0,,22.0,11.0,13.0,4.0,18.0,19.0,54.0,72.0,395.0,313.0,325.0,234.0,56.8,43.2,27.0,18.0,20.0,13.0,23.0,11.0,24.0,36.0,11.0,21.0,3.0,8.0,,,,,10.0,11.0,9.0,19.0,153.0,159.0,,3.0,1.0,,,,67.0,54.0,54.0,67.0,13.0,11.0,11.0,13.0,15.0,7.0,16.0,7.0,2.0,,16.0,16.0,16.0,15.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,
2010-11,321658,1,2010-08-14 15:00:00,"Ewood Park, Blackburn",25869.0,Blackburn,Everton,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,7.0,20.0,2.0,4.0,4.0,8.0,1.0,8.0,2.0,,1.0,,2.0,,,,,,5.0,14.0,2.0,8.0,,,80.0,92.0,208.0,469.0,107.0,380.0,30.4,69.6,15.0,16.0,10.0,11.0,20.0,5.0,48.0,44.0,24.0,21.0,8.0,1.0,,,,1.0,4.0,4.0,7.0,10.0,,,,1.0,1.0,,,,43.0,53.0,53.0,43.0,10.0,14.0,14.0,10.0,1.0,3.0,1.0,3.0,,2.0,20.0,16.0,14.0,19.0,0.0,0.0,0.0,0.0,,,,,3.0,2.0,,,,
2010-11,321659,1,2010-08-14 15:00:00,"DW Stadium, Wigan",16152.0,Wigan,Blackpool,0,4,4,0,L,W,0,3,3,0,0,0,0,0,,4.0,11.0,10.0,5.0,6.0,4.0,3.0,2.0,1.0,,4.0,,1.0,,4.0,1.0,,,3.0,10.0,8.0,6.0,6.0,27.0,12.0,74.0,62.0,428.0,337.0,333.0,259.0,56.4,43.6,26.0,17.0,18.0,12.0,15.0,12.0,15.0,37.0,9.0,22.0,1.0,2.0,,,2.0,,6.0,12.0,14.0,17.0,164.0,161.0,4.0,,,1.0,,,63.0,41.0,41.0,63.0,13.0,10.0,10.0,13.0,6.0,4.0,6.0,4.0,,,8.0,12.0,12.0,8.0,0.0,0.0,0.0,0.0,,,,,3.0,4.0,,,,
2010-11,321660,1,2010-08-14 15:00:00,"Macron Stadium, Bolton",20352.0,Bolton,Fulham,0,0,0,0,D,D,0,0,0,0,0,0,0,0,,,11.0,15.0,5.0,4.0,5.0,7.0,1.0,4.0,1.0,,,,1.0,,1.0,,,,6.0,11.0,4.0,5.0,21.0,29.0,99.0,100.0,336.0,394.0,250.0,283.0,46.5,53.5,26.0,18.0,20.0,15.0,18.0,8.0,54.0,52.0,30.0,32.0,4.0,,,,,,4.0,5.0,12.0,19.0,187.0,216.0,,,1.0,1.0,,,64.0,46.0,46.0,64.0,19.0,13.0,13.0,19.0,4.0,8.0,4.0,8.0,,,11.0,14.0,14.0,11.0,0.0,0.0,0.0,0.0,,,,,5.0,3.0,,,,
2010-11,321661,1,2010-08-14 17:30:00,"Stamford Bridge, London",41589.0,Chelsea,West Brom,6,0,0,6,W,L,2,0,0,2,0,0,0,0,6.0,,19.0,11.0,12.0,1.0,5.0,5.0,2.0,5.0,2.0,,4.0,,1.0,,,,2.0,,8.0,8.0,5.0,4.0,11.0,12.0,65.0,54.0,592.0,394.0,525.0,339.0,59.5,40.5,16.0,20.0,12.0,14.0,12.0,22.0,10.0,24.0,6.0,16.0,4.0,3.0,,,,1.0,7.0,11.0,12.0,11.0,124.0,112.0,,6.0,1.0,,,,44.0,42.0,42.0,44.0,7.0,4.0,4.0,7.0,3.0,2.0,3.0,2.0,3.0,,12.0,10.0,10.0,11.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0,,,,
2010-11,321662,1,2010-08-15 16:00:00,"Anfield, Liverpool",44722.0,Liverpool,Arsenal,1,1,1,1,D,D,0,0,0,0,1,1,1,1,1.0,1.0,8.0,17.0,4.0,3.0,3.0,8.0,1.0,6.0,3.0,,,,3.0,,,1.0,1.0,,7.0,11.0,4.0,5.0,13.0,26.0,57.0,63.0,303.0,536.0,224.0,460.0,36.7,63.3,30.0,20.0,21.0,15.0,19.0,16.0,33.0,30.0,19.0,18.0,6.0,2.0,,,,,6.0,5.0,12.0,19.0,166.0,167.0,1.0,1.0,,,1.0,,64.0,54.0,54.0,64.0,14.0,15.0,15.0,14.0,9.0,11.0,9.0,11.0,2.0,1.0,15.0,17.0,15.0,13.0,0.0,0.0,0.0,0.0,,,,,5.0,1.0,,,,
2010-11,321663,1,2010-08-16 20:00:00,"Old Trafford, Manchester",75221.0,Man Utd,Newcastle,3,0,0,3,W,L,2,0,0,2,0,0,0,0,3.0,,19.0,9.0,4.0,4.0,7.0,4.0,8.0,1.0,3.0,1.0,2.0,,2.0,1.0,,,2.0,,15.0,7.0,9.0,3.0,32.0,19.0,89.0,60.0,609.0,313.0,521.0,233.0,65.6,34.4,23.0,21.0,17.0,13.0,19.0,35.0,15.0,32.0,6.0,19.0,1.0,8.0,1.0,,,,9.0,6.0,11.0,13.0,162.0,151.0,,3.0,1.0,,,,45.0,61.0,61.0,45.0,10.0,22.0,22.0,10.0,5.0,3.0,5.0,3.0,1.0,,9.0,7.0,6.0,9.0,0.0,0.0,0.0,0.0,,,,,4.0,,,,,
2010-11,321664,1,2010-08-14 15:00:00,"Stadium of Light, Sunderland",38390.0,Sunderland,Birmingham,2,2,2,2,D,D,1,0,0,1,1,0,0,1,2.0,2.0,9.0,13.0,2.0,6.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,7.0,10.0,2.0,6.0,20.0,39.0,87.0,101.0,304.0,386.0,204.0,265.0,44.1,55.9,9.0,16.0,7.0,14.0,10.0,6.0,49.0,39.0,22.0,27.0,1.0,1.0,1.0,,,,1.0,5.0,8.0,6.0,199.0,182.0,2.0,2.0,,,,1.0,42.0,50.0,50.0,42.0,18.0,20.0,20.0,18.0,3.0,5.0,3.0,6.0,,2.0,15.0,10.0,10.0,13.0,0.0,0.0,0.0,0.0,1.0,,1.0,,2.0,1.0,,,,
2010-11,321665,1,2010-08-14 12:45:00,"White Hart Lane, London",35928.0,Spurs,Man City,0,0,0,0,D,D,0,0,0,0,0,0,0,0,,,21.0,14.0,8.0,2.0,6.0,4.0,7.0,8.0,1.0,1.0,,,2.0,1.0,2.0,,,,13.0,10.0,9.0,7.0,29.0,12.0,56.0,68.0,374.0,626.0,285.0,531.0,39.2,60.8,27.0,28.0,24.0,19.0,32.0,24.0,20.0,29.0,9.0,14.0,8.0,7.0,,,,,6.0,8.0,15.0,13.0,176.0,173.0,,,1.0,1.0,,,60.0,70.0,70.0,60.0,9.0,23.0,23.0,9.0,10.0,3.0,10.0,3.0,2.0,,13.0,16.0,16.0,13.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,
2010-11,321666,1,2010-08-14 15:00:00,"Molineux Stadium, Wolverhampton",27850.0,Wolves,Stoke,2,1,1,2,W,L,2,0,0,2,0,0,0,0,2.0,1.0,15.0,10.0,4.0,4.0,7.0,3.0,4.0,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,11.0,7.0,4.0,6.0,22.0,23.0,85.0,69.0,369.0,227.0,269.0,138.0,61.5,38.5,16.0,15.0,14.0,15.0,8.0,8.0,46.0,50.0,28.0,22.0,3.0,4.0,,,,,3.0,5.0,12.0,12.0,182.0,183.0,1.0,2.0,,,,,59.0,66.0,66.0,59.0,22.0,30.0,30.0,22.0,5.0,5.0,5.0,5.0,,,19.0,16.0,16.0,18.0,0.0,0.0,0.0,0.0,,,,,,3.0,,,,
