season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attLgRight,attOboxOwnGoal,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2010-11,321659,1.0,2010-08-14 15:00:00,92,Blackpool,Away,135.0,17.0,3.0,6.0,3.0,,,130.0,1.0,,5.0,4.0,12.0,27.0,259.0,,3.0,15.0,13.0,10.0,3.0,2.0,,,,,,,,,,,,,1.0,6.0,,,,,,6.0,5.0,,43.0,62.0,4.0,4.0,1.0,5.0,1.0,12.0,,4.0,8.0,,1.0,17.0,2.0,63.0,41.0,5.0,22.0,14.0,,,62.0,12.0,8.0,3.0,,,1.0,,137.0,3.0,,1.0,3.0,,,7.0,,,4.0,2.0,,,,,21.0,,12.0,10.0,3.0,6.0,82.0,83.0,43.0,6.0,,2.0,6.0,6.0,,,2.0,1.0,,40.0,52.0,12.0,,,,,161.0,146.0,2.0,24.0,22.0,43.6,,2.0,0.0,,,,75.0,4.0,1.0,,,,3.0,,3.0,51.0,8.0,152.0,39.0,37.0,15.0,4.0,13.0,9.0,,94.0,4.0,198.0,2.0,,18.0,12.0,51.0,4.0,337.0,2.0,0.0,10.0,17.0,5.0,24.0,1.0,543.0,14.0,6.0,4.0,12.0,0.0
2010-11,321667,2.0,2010-08-21 15:00:00,92,Blackpool,Away,272.0,18.0,,4.0,4.0,3.0,1.0,141.0,9.0,1.0,5.0,4.0,14.0,35.0,409.0,,1.0,11.0,10.0,8.0,4.0,1.0,,,,,,,,,,,,,,3.0,,,,,1.0,18.0,12.0,,83.0,59.0,1.0,1.0,,2.0,2.0,19.0,,2.0,9.0,2.0,,9.0,4.0,48.0,44.0,2.0,17.0,7.0,,,46.0,5.0,10.0,,,2.0,1.0,,163.0,,,,,,,15.0,,,,,,,,,9.0,,20.0,19.0,3.0,5.0,124.0,98.0,45.0,8.0,,2.0,3.0,1.0,,,5.0,,,54.0,54.0,14.0,1.0,1.0,1.0,,139.0,135.0,,35.0,17.0,46.7,,,0.0,,,,135.0,3.0,3.0,,,,2.0,,3.0,49.0,5.0,290.0,42.0,21.0,13.0,2.0,14.0,12.0,,86.0,7.0,229.0,,1.0,26.0,15.0,70.0,3.0,505.0,,1.0,5.0,18.0,5.0,13.0,0.0,671.0,4.0,8.0,2.0,15.0,0.0
2010-11,321679,3.0,2010-08-28 15:00:00,92,Blackpool,Home,170.0,28.0,1.0,5.0,4.0,3.0,,209.0,3.0,,5.0,13.0,16.0,54.0,374.0,,2.0,20.0,19.0,7.0,7.0,,,,1.0,,,1.0,,1.0,,,,,,14.0,,,,,2.0,5.0,8.0,,96.0,67.0,1.0,,1.0,3.0,3.0,5.0,,4.0,10.0,6.0,,7.0,3.0,53.0,58.0,3.0,20.0,8.0,,,110.0,13.0,16.0,1.0,,2.0,3.0,1.0,183.0,1.0,,1.0,1.0,,,8.0,,,1.0,,,,,1.0,20.0,,13.0,10.0,1.0,5.0,109.0,96.0,49.0,5.0,,4.0,4.0,5.0,,,4.0,,,101.0,45.0,26.0,,,,,181.0,158.0,1.0,30.0,28.0,54.0,,,0.0,,,,89.0,,3.0,,,,9.0,,1.0,105.0,8.0,187.0,50.0,43.0,17.0,3.0,22.0,19.0,,173.0,12.0,312.0,,,33.0,19.0,93.0,6.0,477.0,,0.0,17.0,28.0,3.0,22.0,1.0,696.0,8.0,7.0,4.0,21.0,0.0
2010-11,321692,4.0,2010-09-11 15:00:00,92,Blackpool,Away,105.0,17.0,1.0,4.0,3.0,6.0,1.0,120.0,5.0,2.0,5.0,9.0,1.0,26.0,221.0,,1.0,10.0,19.0,10.0,2.0,2.0,2.0,,,,,,,,,,,,,4.0,1.0,,,,1.0,16.0,5.0,,52.0,55.0,2.0,2.0,1.0,4.0,1.0,15.0,1.0,2.0,9.0,3.0,,6.0,3.0,56.0,46.0,4.0,35.0,13.0,,,68.0,17.0,16.0,1.0,,2.0,1.0,,133.0,1.0,,1.0,1.0,,1.0,12.0,,,1.0,2.0,,,,3.0,22.0,,16.0,11.0,1.0,5.0,61.0,83.0,35.0,3.0,1.0,2.0,3.0,5.0,,,8.0,1.0,,42.0,52.0,15.0,,,,1.0,148.0,131.0,2.0,23.0,16.0,43.5,,2.0,0.0,,,,65.0,5.0,2.0,,,2.0,2.0,,3.0,47.0,5.0,123.0,37.0,52.0,10.0,2.0,15.0,13.0,3.0,99.0,8.0,203.0,3.0,2.0,34.0,1.0,64.0,11.0,311.0,,0.0,8.0,11.0,2.0,11.0,3.0,511.0,2.0,8.0,2.0,7.0,0.0
2010-11,321699,5.0,2010-09-19 16:00:00,92,Blackpool,Away,173.0,22.0,2.0,5.0,3.0,3.0,,159.0,6.0,,12.0,6.0,14.0,37.0,327.0,,3.0,14.0,10.0,10.0,9.0,1.0,,,1.0,,,1.0,1.0,,,,,,,9.0,,,,,,19.0,10.0,,54.0,57.0,1.0,1.0,,1.0,3.0,15.0,,6.0,8.0,8.0,,9.0,3.0,42.0,40.0,1.0,23.0,8.0,,,56.0,6.0,7.0,,,2.0,1.0,1.0,143.0,,,,,,,10.0,,,,1.0,,,,2.0,12.0,,20.0,18.0,1.0,12.0,104.0,73.0,41.0,9.0,,4.0,6.0,3.0,,,6.0,,1.0,90.0,36.0,21.0,,,,,129.0,120.0,1.0,22.0,20.0,43.5,,,0.0,,,,102.0,3.0,2.0,,,,5.0,,3.0,69.0,10.0,187.0,45.0,32.0,8.0,5.0,22.0,17.0,,108.0,8.0,238.0,1.0,,11.0,14.0,56.0,1.0,403.0,,0.0,11.0,19.0,8.0,15.0,2.0,590.0,8.0,4.0,6.0,15.0,0.0
2010-11,321709,6.0,2010-09-25 15:00:00,92,Blackpool,Home,133.0,18.0,1.0,8.0,7.0,7.0,1.0,162.0,1.0,,8.0,5.0,15.0,30.0,287.0,,1.0,19.0,23.0,17.0,8.0,3.0,,,,,,1.0,1.0,,,,,,,8.0,,,,,1.0,12.0,5.0,,69.0,60.0,2.0,2.0,,2.0,5.0,4.0,,8.0,19.0,10.0,,10.0,3.0,54.0,57.0,2.0,32.0,23.0,1.0,,88.0,13.0,11.0,,,6.0,5.0,1.0,173.0,1.0,,,1.0,,,6.0,,,1.0,7.0,,,,1.0,33.0,1.0,5.0,4.0,,10.0,85.0,90.0,41.0,8.0,1.0,7.0,5.0,3.0,,,5.0,3.0,1.0,52.0,69.0,30.0,,,,,205.0,183.0,3.0,24.0,17.0,58.2,,,0.0,,,,66.0,3.0,1.0,,,,7.0,1.0,3.0,76.0,12.0,149.0,39.0,54.0,10.0,7.0,41.0,34.0,,140.0,11.0,285.0,7.0,,26.0,16.0,68.0,1.0,393.0,,0.0,15.0,24.0,4.0,24.0,2.0,645.0,13.0,5.0,8.0,14.0,0.0
2010-11,321719,7.0,2010-10-03 15:00:00,92,Blackpool,Away,165.0,13.0,,1.0,1.0,4.0,,134.0,6.0,,8.0,9.0,19.0,36.0,298.0,,2.0,17.0,19.0,16.0,9.0,1.0,,,,,1.0,1.0,,1.0,,,,,,11.0,1.0,,,,1.0,15.0,8.0,,79.0,60.0,,,,2.0,3.0,7.0,1.0,2.0,6.0,2.0,,14.0,3.0,58.0,57.0,2.0,25.0,12.0,,1.0,68.0,11.0,11.0,1.0,,6.0,1.0,1.0,152.0,1.0,,1.0,1.0,,,16.0,,,1.0,4.0,,,,1.0,23.0,,13.0,11.0,1.0,8.0,89.0,99.0,46.0,5.0,1.0,3.0,8.0,7.0,,,6.0,,,59.0,44.0,13.0,,,,1.0,171.0,151.0,1.0,27.0,17.0,43.2,,1.0,0.0,,,,71.0,5.0,2.0,,,,5.0,,3.0,69.0,11.0,177.0,36.0,45.0,17.0,1.0,10.0,9.0,,125.0,10.0,224.0,4.0,,27.0,21.0,77.0,1.0,391.0,1.0,0.0,15.0,21.0,2.0,17.0,1.0,618.0,16.0,9.0,2.0,19.0,0.0
2010-11,321730,8.0,2010-10-17 16:00:00,92,Blackpool,Home,183.0,28.0,2.0,4.0,3.0,5.0,1.0,209.0,3.0,,4.0,11.0,13.0,45.0,388.0,,,36.0,14.0,14.0,8.0,2.0,1.0,,1.0,,,1.0,,,,,,,,11.0,,,,,1.0,8.0,5.0,,91.0,51.0,2.0,1.0,1.0,2.0,1.0,11.0,1.0,3.0,8.0,5.0,,17.0,1.0,56.0,46.0,2.0,16.0,7.0,1.0,,88.0,9.0,9.0,2.0,,4.0,3.0,1.0,187.0,2.0,1.0,1.0,,2.0,,7.0,,,,2.0,,,,,10.0,,14.0,12.0,1.0,4.0,112.0,89.0,50.0,9.0,,7.0,5.0,4.0,,,3.0,2.0,,80.0,45.0,26.0,,,,,176.0,166.0,1.0,15.0,25.0,56.3,,,0.0,,,,101.0,2.0,2.0,3.0,,1.0,11.0,,2.0,106.0,12.0,205.0,45.0,26.0,14.0,3.0,18.0,16.0,1.0,164.0,11.0,304.0,2.0,,31.0,13.0,82.0,4.0,491.0,2.0,0.0,16.0,14.0,1.0,37.0,0.0,707.0,16.0,9.0,3.0,11.0,0.0
2010-11,321737,9.0,2010-10-23 15:00:00,92,Blackpool,Away,155.0,26.0,3.0,8.0,5.0,5.0,1.0,149.0,4.0,,13.0,3.0,10.0,38.0,296.0,,,13.0,18.0,13.0,11.0,4.0,,,1.0,,,1.0,,,,,,,,13.0,,,,,1.0,14.0,9.0,,58.0,56.0,,,,9.0,7.0,2.0,,10.0,14.0,14.0,,10.0,1.0,50.0,44.0,9.0,20.0,10.0,1.0,1.0,76.0,16.0,8.0,,,4.0,3.0,1.0,126.0,,,,,,,14.0,,,,1.0,,,,,19.0,,13.0,10.0,,13.0,106.0,62.0,28.0,9.0,,4.0,11.0,6.0,,,9.0,,,58.0,37.0,26.0,,,,,151.0,135.0,2.0,20.0,19.0,45.8,,,0.0,,,,73.0,1.0,1.0,,,,6.0,1.0,3.0,82.0,15.0,168.0,40.0,36.0,10.0,6.0,37.0,31.0,,124.0,9.0,232.0,1.0,,15.0,11.0,63.0,,363.0,,0.0,19.0,17.0,3.0,14.0,1.0,591.0,14.0,6.0,10.0,10.0,0.0
2010-11,321750,10.0,2010-11-01 20:00:00,92,Blackpool,Home,220.0,12.0,1.0,12.0,11.0,1.0,1.0,272.0,11.0,,6.0,5.0,17.0,59.0,480.0,,1.0,22.0,9.0,11.0,17.0,,1.0,,1.0,,,1.0,,,,,,,,21.0,1.0,,,,1.0,10.0,4.0,,92.0,45.0,5.0,5.0,2.0,1.0,7.0,7.0,,8.0,21.0,8.0,,8.0,1.0,47.0,49.0,1.0,10.0,6.0,,1.0,75.0,16.0,13.0,1.0,,5.0,2.0,1.0,176.0,1.0,,1.0,1.0,,,12.0,,,1.0,1.0,,,,,11.0,,3.0,2.0,,7.0,137.0,63.0,45.0,2.0,1.0,10.0,8.0,5.0,,,3.0,,,129.0,46.0,28.0,,,,1.0,128.0,123.0,3.0,21.0,14.0,65.4,,,0.0,,,,145.0,2.0,1.0,,,1.0,14.0,,3.0,165.0,18.0,233.0,27.0,15.0,13.0,2.0,33.0,31.0,1.0,213.0,6.0,350.0,2.0,,12.0,18.0,78.0,2.0,550.0,1.0,0.0,26.0,19.0,4.0,24.0,2.0,740.0,11.0,6.0,8.0,12.0,0.0
