season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a
2016-17,855172,1,2016-08-14 13:30:00,"Vitality Stadium, Bournemouth",11355,Bournemouth,Man Utd,1,3,3,1,L,W,0,1,1,0,0,0,0,0,1.0,3.0,9.0,11.0,3.0,7.0,2.0,2.0,4.0,2.0,,2.0,,2.0,,2.0,,,1.0,2.0,7.0,8.0,6.0,6.0,26.0,13.0,61.0,42.0,483.0,561.0,412.0,488.0,47.4,52.6,14.0,17.0,15.0,27.0,12.0,18.0,10.0,13.0,7.0,30.0,5.0,27.0,19.0,19.0,2.0,4.0,,1.0,1.0,,8.0,13.0,19.0,8.0,146.0,114.0,4.0,2.0,3.0,1.0,,,,,44.0,50.0,50.0,44.0,8.0,8.0,8.0,8.0,4.0,2.0,4.0,2.0,,,7.0,10.0,10.0,7.0,0.0,0.0,0.0,0.0,,,,,3.0,4.0
2016-17,855173,1,2016-08-14 16:00:00,"Emirates Stadium, London",60033,Arsenal,Liverpool,3,4,4,3,L,W,1,1,1,1,0,0,0,0,3.0,4.0,9.0,16.0,5.0,7.0,3.0,3.0,1.0,6.0,,2.0,,2.0,1.0,,,,3.0,3.0,6.0,13.0,4.0,10.0,35.0,21.0,53.0,60.0,485.0,479.0,386.0,380.0,50.7,49.3,19.0,28.0,22.0,21.0,12.0,13.0,17.0,7.0,9.0,26.0,6.0,20.0,21.0,21.0,6.0,1.0,,,,,11.0,10.0,17.0,16.0,152.0,145.0,3.0,2.0,4.0,3.0,,,,,70.0,62.0,62.0,70.0,22.0,17.0,17.0,22.0,5.0,4.0,5.0,4.0,1.0,2.0,13.0,17.0,16.0,13.0,0.0,0.0,0.0,0.0,1.0,,,,4.0,3.0
2016-17,855174,1,2016-08-13 15:00:00,"Turf Moor, Burnley",19126,Burnley,Swansea,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,10.0,17.0,3.0,9.0,5.0,6.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,5.0,13.0,1.0,9.0,40.0,32.0,92.0,39.0,353.0,383.0,249.0,297.0,47.5,52.5,25.0,22.0,14.0,19.0,9.0,16.0,18.0,22.0,16.0,49.0,14.0,34.0,17.0,17.0,3.0,2.0,,,,,8.0,6.0,14.0,11.0,170.0,137.0,7.0,3.0,1.0,,,1.0,,,53.0,69.0,69.0,53.0,20.0,32.0,32.0,20.0,7.0,4.0,7.0,4.0,1.0,1.0,10.0,14.0,14.0,10.0,0.0,0.0,0.0,0.0,,,,,3.0,2.0
2016-17,855175,1,2016-08-15 20:00:00,"Stamford Bridge, London",41521,Chelsea,West Ham,2,1,1,2,W,L,0,0,0,0,0,0,0,0,2.0,1.0,16.0,7.0,6.0,3.0,6.0,2.0,4.0,2.0,,,1.0,,,,,,1.0,,11.0,4.0,7.0,3.0,38.0,10.0,86.0,47.0,556.0,350.0,480.0,257.0,61.7,38.3,33.0,7.0,18.0,25.0,10.0,19.0,7.0,19.0,17.0,26.0,16.0,24.0,13.0,13.0,2.0,4.0,,,,1.0,3.0,16.0,8.0,10.0,146.0,139.0,2.0,4.0,1.0,2.0,,,,,71.0,68.0,68.0,71.0,24.0,25.0,25.0,24.0,7.0,1.0,7.0,1.0,,,16.0,16.0,14.0,16.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,1.0
2016-17,855176,1,2016-08-13 15:00:00,"Selhurst Park, London",24490,Crystal Palace,West Brom,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,14.0,13.0,4.0,3.0,7.0,8.0,3.0,2.0,1.0,,,,2.0,,,,,1.0,9.0,11.0,5.0,4.0,30.0,26.0,63.0,61.0,414.0,245.0,298.0,143.0,62.3,37.7,18.0,21.0,28.0,18.0,22.0,9.0,17.0,19.0,21.0,23.0,14.0,17.0,20.0,20.0,2.0,3.0,,,,,5.0,8.0,12.0,21.0,169.0,167.0,2.0,4.0,1.0,,,1.0,,,69.0,55.0,55.0,69.0,21.0,21.0,21.0,21.0,3.0,6.0,3.0,6.0,1.0,3.0,12.0,15.0,14.0,12.0,0.0,0.0,0.0,0.0,,,,,,2.0
2016-17,855177,1,2016-08-13 15:00:00,"Goodison Park, Liverpool",39494,Everton,Spurs,1,1,1,1,D,D,1,0,0,1,0,0,0,0,1.0,1.0,12.0,13.0,6.0,4.0,4.0,4.0,2.0,5.0,,,,,1.0,1.0,,1.0,,1.0,9.0,8.0,5.0,5.0,19.0,35.0,76.0,77.0,361.0,483.0,262.0,384.0,42.5,57.5,16.0,20.0,25.0,18.0,19.0,13.0,16.0,15.0,40.0,22.0,30.0,14.0,27.0,27.0,5.0,2.0,,1.0,,,13.0,9.0,12.0,16.0,153.0,164.0,3.0,5.0,1.0,1.0,,,,,63.0,50.0,50.0,63.0,16.0,10.0,10.0,16.0,5.0,6.0,5.0,6.0,1.0,,10.0,14.0,14.0,10.0,0.0,0.0,0.0,0.0,,,,,5.0,
2016-17,855178,1,2016-08-13 12:30:00,"The MKM Stadium, Hull",21037,Hull,Leicester,2,1,1,2,W,L,1,0,0,1,0,0,0,0,2.0,1.0,14.0,18.0,5.0,5.0,7.0,9.0,2.0,4.0,,2.0,,1.0,,3.0,,,1.0,,5.0,11.0,3.0,5.0,17.0,28.0,56.0,68.0,449.0,453.0,343.0,352.0,49.7,50.3,10.0,21.0,20.0,14.0,17.0,10.0,18.0,9.0,29.0,15.0,25.0,8.0,14.0,14.0,4.0,2.0,1.0,2.0,,,10.0,10.0,12.0,10.0,148.0,162.0,4.0,3.0,1.0,2.0,,,,,66.0,50.0,50.0,66.0,19.0,18.0,18.0,19.0,5.0,3.0,5.0,3.0,,,8.0,17.0,17.0,8.0,0.0,0.0,0.0,0.0,,1.0,,1.0,1.0,
2016-17,855179,1,2016-08-13 17:30:00,"Etihad Stadium, Manchester",54362,Man City,Sunderland,2,1,1,2,W,L,1,0,0,1,0,0,0,0,2.0,1.0,16.0,7.0,4.0,3.0,8.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,10.0,4.0,4.0,3.0,37.0,25.0,83.0,43.0,681.0,189.0,585.0,104.0,76.9,23.1,36.0,9.0,5.0,17.0,4.0,13.0,9.0,12.0,26.0,35.0,15.0,24.0,15.0,15.0,2.0,4.0,,2.0,,,11.0,13.0,9.0,3.0,151.0,137.0,2.0,3.0,1.0,2.0,,,,1.0,46.0,59.0,59.0,46.0,16.0,21.0,21.0,16.0,9.0,6.0,9.0,6.0,,1.0,11.0,14.0,13.0,11.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,2.0
2016-17,855180,1,2016-08-13 15:00:00,"Riverside Stadium, Middlesbrough",32110,Boro,Stoke,1,1,1,1,D,D,1,0,0,1,0,0,0,0,1.0,1.0,12.0,12.0,2.0,1.0,6.0,9.0,4.0,2.0,2.0,,1.0,,1.0,,2.0,,1.0,,8.0,8.0,4.0,1.0,26.0,34.0,42.0,45.0,349.0,420.0,262.0,330.0,45.6,54.4,19.0,21.0,17.0,16.0,11.0,13.0,20.0,11.0,20.0,16.0,17.0,11.0,17.0,17.0,2.0,4.0,,,,,16.0,10.0,9.0,8.0,133.0,147.0,,1.0,1.0,1.0,,,,,60.0,73.0,73.0,60.0,22.0,27.0,27.0,22.0,9.0,6.0,9.0,6.0,,,18.0,14.0,14.0,18.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0
2016-17,855181,1,2016-08-13 15:00:00,"St. Mary's Stadium, Southampton",31488,Southampton,Watford,1,1,1,1,D,D,0,1,1,0,0,1,1,0,1.0,1.0,24.0,5.0,6.0,1.0,10.0,4.0,8.0,,,,,,,,,,,1.0,16.0,4.0,10.0,1.0,45.0,21.0,72.0,58.0,583.0,325.0,495.0,224.0,64.3,35.7,29.0,10.0,13.0,25.0,10.0,17.0,16.0,18.0,21.0,36.0,19.0,32.0,13.0,13.0,,8.0,,,,,8.0,11.0,22.0,12.0,156.0,145.0,,6.0,1.0,1.0,,,,,44.0,60.0,60.0,44.0,9.0,19.0,19.0,9.0,6.0,2.0,6.0,2.0,3.0,,8.0,12.0,11.0,8.0,0.0,0.0,0.0,0.0,,,,,1.0,
