season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,expectedGoals_h,expectedGoals_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,expectedAssists_h,expectedAssists_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a
2022-23,2292810,1,2022-08-05 20:00:00,"Selhurst Park, London",25286.0,Crystal Palace,Arsenal,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,10.0,10.0,2.0,2.0,2.0,4.0,6.0,4.0,,,,,2.0,1.0,,1.0,2.0,1.0,,,,,,1.0,8.0,7.0,6.0,5.0,30.0,22.0,65.0,53.0,562.0,438.0,487.0,360.0,56.3,43.7,29.0,31.0,18.0,29.0,9.0,16.0,8.0,9.0,19.0,24.0,19.0,24.0,17.0,17.0,4.0,6.0,,,,,13.0,16.0,16.0,15.0,142.0,129.0,1.0,2.0,2.0,,,,,1.0,1.0,,53.0,72.0,72.0,53.0,10.0,14.0,14.0,10.0,3.0,5.0,3.0,5.0,1.0,,16.0,11.0,9.0,16.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0
2022-23,2292811,1,2022-08-06 15:00:00,"Vitality Stadium, Bournemouth",10000.0,Bournemouth,Aston Villa,2,0,0,2,W,L,1,0,0,1,0,0,0,0,2.0,,7.0,15.0,3.0,2.0,2.0,7.0,2.0,6.0,,,,,1.0,,,,1.0,,,,,,1.0,,5.0,8.0,3.0,5.0,16.0,51.0,46.0,82.0,301.0,571.0,211.0,479.0,34.4,65.6,9.0,22.0,20.0,10.0,12.0,8.0,13.0,8.0,36.0,8.0,36.0,8.0,16.0,19.0,6.0,2.0,,,,,14.0,10.0,5.0,11.0,128.0,159.0,2.0,1.0,,2.0,,,1.0,,,,62.0,58.0,58.0,62.0,16.0,16.0,16.0,16.0,5.0,5.0,5.0,5.0,2.0,1.0,18.0,16.0,16.0,18.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0
2022-23,2292812,1,2022-08-06 17:30:00,"Goodison Park, Liverpool",39254.0,Everton,Chelsea,0,1,1,0,L,W,0,1,1,0,0,0,0,0,,1.0,8.0,15.0,4.0,6.0,3.0,3.0,1.0,6.0,,,,,,1.0,,1.0,,1.0,,,,,,,6.0,11.0,4.0,9.0,23.0,37.0,68.0,61.0,335.0,566.0,246.0,490.0,37.3,62.7,23.0,25.0,24.0,19.0,17.0,9.0,8.0,9.0,27.0,16.0,27.0,16.0,20.0,19.0,6.0,2.0,,,,,13.0,10.0,13.0,18.0,136.0,145.0,5.0,3.0,1.0,,,,,1.0,,,57.0,68.0,68.0,57.0,12.0,22.0,22.0,12.0,4.0,16.0,4.0,16.0,1.0,2.0,14.0,11.0,11.0,14.0,0.0,0.0,0.0,0.0,,1.0,,1.0,,2.0
2022-23,2292813,1,2022-08-06 12:30:00,"Craven Cottage, London",25000.0,Fulham,Liverpool,2,2,2,2,D,D,1,0,0,1,0,0,0,0,2.0,2.0,9.0,11.0,3.0,4.0,2.0,5.0,4.0,2.0,,,,,,3.0,1.0,2.0,,2.0,1.0,2.0,,,1.0,1.0,6.0,8.0,4.0,4.0,24.0,44.0,63.0,74.0,294.0,612.0,181.0,473.0,33.1,66.9,18.0,34.0,25.0,11.0,13.0,9.0,10.0,10.0,30.0,14.0,30.0,14.0,20.0,19.0,3.0,4.0,,,,,4.0,5.0,6.0,14.0,171.0,203.0,1.0,1.0,2.0,2.0,,,,,,,61.0,35.0,35.0,61.0,23.0,13.0,13.0,23.0,4.0,4.0,4.0,4.0,2.0,,7.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,,1.0,,4.0,4.0
2022-23,2292814,1,2022-08-06 15:00:00,"Elland Road, Leeds",36347.0,Leeds,Wolves,2,1,1,2,W,L,1,1,1,1,0,0,0,0,2.0,1.0,12.0,15.0,4.0,6.0,5.0,6.0,3.0,3.0,,,,,2.0,1.0,,,2.0,1.0,,,,,1.0,1.0,10.0,13.0,6.0,8.0,27.0,25.0,52.0,46.0,355.0,546.0,269.0,463.0,40.1,59.9,28.0,28.0,21.0,16.0,14.0,11.0,14.0,14.0,22.0,16.0,22.0,16.0,10.0,3.0,3.0,3.0,,,,,25.0,7.0,10.0,7.0,135.0,139.0,5.0,3.0,1.0,2.0,,,,,,1.0,45.0,61.0,61.0,45.0,9.0,7.0,7.0,9.0,6.0,4.0,6.0,4.0,1.0,1.0,13.0,9.0,8.0,13.0,0.0,0.0,0.0,0.0,,,,,,1.0
2022-23,2292815,1,2022-08-07 14:00:00,"King Power Stadium, Leicester",31794.0,Leicester,Brentford,2,2,2,2,D,D,1,0,0,1,0,0,0,0,2.0,2.0,14.0,8.0,5.0,3.0,6.0,4.0,3.0,1.0,,,,,,2.0,,1.0,,1.0,2.0,,,,2.0,1.0,11.0,7.0,7.0,3.0,24.0,23.0,71.0,46.0,580.0,457.0,510.0,386.0,55.4,44.6,13.0,10.0,13.0,10.0,9.0,6.0,10.0,8.0,12.0,16.0,12.0,16.0,4.0,9.0,1.0,3.0,,,,,4.0,8.0,4.0,9.0,117.0,116.0,1.0,3.0,2.0,2.0,,,,,,,40.0,35.0,35.0,40.0,14.0,15.0,15.0,14.0,5.0,6.0,5.0,6.0,1.0,,6.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0
2022-23,2292816,1,2022-08-06 15:00:00,"St. James' Park, Newcastle",52245.0,Newcastle,Nott'm Forest,2,0,0,2,W,L,0,0,0,0,0,0,0,0,2.0,,23.0,5.0,10.0,,8.0,3.0,5.0,2.0,,,,,2.0,,,,2.0,,1.0,,,,1.0,,21.0,2.0,13.0,1.0,56.0,16.0,70.0,45.0,469.0,294.0,379.0,207.0,61.4,38.6,52.0,8.0,19.0,15.0,13.0,11.0,11.0,10.0,14.0,36.0,14.0,36.0,14.0,13.0,2.0,6.0,,,,,5.0,12.0,8.0,8.0,144.0,135.0,,7.0,,2.0,,,1.0,,,,57.0,45.0,45.0,57.0,12.0,16.0,16.0,12.0,11.0,1.0,11.0,1.0,2.0,,9.0,14.0,14.0,9.0,0.0,0.0,0.0,0.0,,,,,2.0,
2022-23,2292817,1,2022-08-06 15:00:00,"Tottenham Hotspur Stadium, London",61732.0,Spurs,Southampton,4,1,1,4,W,L,2,1,1,2,0,0,0,0,4.0,1.0,18.0,10.0,8.0,2.0,6.0,5.0,4.0,3.0,,,,,1.0,,1.0,,,,,,,,3.0,1.0,15.0,8.0,11.0,4.0,39.0,31.0,54.0,62.0,554.0,410.0,471.0,337.0,57.5,42.5,32.0,23.0,24.0,14.0,15.0,6.0,3.0,13.0,18.0,19.0,18.0,19.0,21.0,22.0,3.0,3.0,,,,,9.0,7.0,9.0,17.0,132.0,130.0,1.0,5.0,1.0,4.0,,,,,,1.0,49.0,45.0,45.0,49.0,13.0,11.0,11.0,13.0,10.0,2.0,10.0,2.0,,3.0,11.0,6.0,5.0,11.0,0.0,0.0,0.0,0.0,,,,,2.0,
2022-23,2292818,1,2022-08-07 14:00:00,"Old Trafford, Manchester",73711.0,Man Utd,Brighton,1,2,2,1,L,W,0,2,2,0,0,0,0,0,1.0,2.0,17.0,15.0,5.0,4.0,5.0,6.0,7.0,5.0,,,,,1.0,1.0,,2.0,2.0,,,,,,,1.0,13.0,13.0,9.0,8.0,41.0,23.0,63.0,71.0,548.0,326.0,452.0,229.0,62.9,37.1,34.0,27.0,12.0,14.0,8.0,9.0,15.0,12.0,10.0,24.0,10.0,24.0,20.0,20.0,4.0,7.0,1.0,,,,6.0,5.0,7.0,6.0,148.0,141.0,2.0,5.0,2.0,1.0,,,,,,1.0,40.0,36.0,36.0,40.0,11.0,9.0,9.0,11.0,6.0,2.0,6.0,2.0,,,7.0,12.0,12.0,7.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0
2022-23,2292819,1,2022-08-07 16:30:00,"London Stadium, London",62443.0,West Ham,Man City,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,6.0,14.0,1.0,2.0,2.0,8.0,3.0,4.0,,,,,,3.0,,2.0,,2.0,,,,,,1.0,4.0,11.0,3.0,3.0,18.0,30.0,32.0,65.0,263.0,833.0,206.0,774.0,24.6,75.4,9.0,36.0,14.0,6.0,6.0,4.0,11.0,3.0,17.0,11.0,17.0,11.0,9.0,8.0,4.0,3.0,,,,,14.0,1.0,,3.0,87.0,98.0,,1.0,2.0,,,,,1.0,,,29.0,39.0,39.0,29.0,10.0,11.0,11.0,10.0,1.0,4.0,1.0,4.0,,,8.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,,1.0,,1.0,4.0,1.0
