season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,redCard,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,winningGoal,wonContest,wonCorners,wonTackle,yellowCard,backwardPass,bigChanceCreated,bigChanceMissed,bigChanceScored,fwdPass,goalFastbreak,leftsidePass,overrun,rightsidePass,totalFastbreak,unsuccessfulTouch,attOneOnOne,contentiousDecision,ptsDroppedWinningPos,attemptedTackleFoul,blockedPass,putThrough,successfulPutThrough,attFreekickPost,attPenMiss,attPenPost,fiftyFifty,successfulFiftyFifty,totalDistance
2009-10,284009,1,2009-08-15 15:00:00,21,West Ham,Away,177.0,26.0,3.0,6.0,3.0,3.0,,156.0,8.0,,8.0,7.0,21.0,38.0,327.0,,1.0,17.0,16.0,10.0,9.0,2.0,,1.0,,,,,,,,,,,,,,,,,8.0,11.0,,,51.0,5.0,4.0,8.0,,6.0,6.0,5.0,1.0,7.0,1.0,46.0,32.0,5.0,31.0,19.0,,,,,,,,67.0,6.0,9.0,,,,,,2.0,1.0,2.0,1.0,1.0,15.0,,6.0,1.0,38.0,,7.0,7.0,1.0,,8.0,90.0,49.0,8.0,1.0,3.0,10.0,10.0,,6.0,,42.0,48.0,30.0,,,,,,156.0,128.0,2.0,24.0,11.0,51.4,,,3.0,0.0,2.0,3.0,,,2.0,1.0,3.0,2.0,,3.0,73.0,,13.0,193.0,47.0,59.0,16.0,6.0,19.0,13.0,118.0,8.0,234.0,6.0,,19.0,23.0,66.0,7.0,408.0,,0.0,17.0,7.0,4.0,20.0,0.0,665.0,,,6.0,6.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284016,2,2009-11-04 19:45:00,21,West Ham,Home,124.0,16.0,2.0,3.0,1.0,2.0,,168.0,3.0,,5.0,4.0,17.0,30.0,289.0,1.0,1.0,14.0,19.0,11.0,10.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,2.0,10.0,9.0,,,59.0,3.0,5.0,6.0,,6.0,3.0,9.0,,7.0,4.0,55.0,52.0,3.0,16.0,6.0,,,,,,,,67.0,11.0,16.0,1.0,,,,,1.0,,1.0,1.0,,11.0,,3.0,,17.0,,14.0,14.0,1.0,,5.0,88.0,47.0,14.0,1.0,4.0,9.0,7.0,,7.0,,49.0,40.0,27.0,,1.0,1.0,1.0,1.0,164.0,146.0,2.0,21.0,24.0,54.2,,,,0.0,4.0,3.0,,,1.0,1.0,8.0,,,3.0,63.0,,13.0,149.0,35.0,34.0,17.0,5.0,20.0,15.0,109.0,10.0,256.0,3.0,,25.0,18.0,62.0,3.0,385.0,2.0,0.0,20.0,20.0,5.0,17.0,2.0,651.0,,,5.0,6.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284028,3,2009-08-23 13:30:00,21,West Ham,Home,129.0,22.0,1.0,3.0,2.0,3.0,,129.0,4.0,3.0,6.0,4.0,9.0,30.0,255.0,,3.0,26.0,15.0,9.0,15.0,1.0,,,,,,,,,,,,,,,,,,,11.0,11.0,,,44.0,2.0,5.0,9.0,,4.0,7.0,8.0,,15.0,4.0,63.0,43.0,2.0,27.0,11.0,2.0,,,,,,,72.0,16.0,11.0,1.0,1.0,,,,1.0,,1.0,1.0,,8.0,,1.0,1.0,19.0,,17.0,16.0,1.0,,6.0,84.0,44.0,8.0,,9.0,8.0,5.0,,9.0,,31.0,48.0,26.0,,,,,,140.0,130.0,,27.0,9.0,46.9,,,,0.0,2.0,2.0,,,,,9.0,,,3.0,74.0,,17.0,147.0,39.0,37.0,13.0,4.0,20.0,16.0,116.0,13.0,205.0,1.0,3.0,16.0,9.0,54.0,1.0,332.0,1.0,0.0,19.0,19.0,4.0,32.0,2.0,586.0,,,4.0,4.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284031,4,2009-08-29 15:00:00,21,West Ham,Away,188.0,33.0,2.0,3.0,1.0,1.0,,146.0,8.0,1.0,13.0,6.0,20.0,37.0,331.0,,2.0,6.0,14.0,13.0,9.0,2.0,,1.0,,,,,,,,,,,,,,,,,9.0,10.0,,,72.0,2.0,6.0,9.0,,2.0,6.0,5.0,,14.0,,63.0,54.0,2.0,27.0,15.0,,,,,,,,64.0,18.0,13.0,,,,,,,,,,,10.0,,4.0,,33.0,,22.0,22.0,,,13.0,103.0,59.0,5.0,,7.0,4.0,1.0,,3.0,,40.0,46.0,22.0,,,,,,148.0,121.0,,31.0,19.0,53.3,,,1.0,0.0,2.0,4.0,,,,1.0,7.0,,,2.0,57.0,,11.0,198.0,55.0,54.0,20.0,2.0,13.0,11.0,106.0,8.0,231.0,4.0,1.0,21.0,23.0,71.0,2.0,416.0,,0.0,14.0,16.0,10.0,6.0,3.0,693.0,,,12.0,2.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284049,5,2009-09-12 15:00:00,21,West Ham,Away,141.0,15.0,5.0,12.0,7.0,4.0,,142.0,6.0,1.0,6.0,12.0,20.0,19.0,271.0,,,23.0,12.0,12.0,5.0,5.0,,1.0,,1.0,,2.0,,,,,2.0,,,,,1.0,,1.0,5.0,7.0,,,53.0,2.0,2.0,7.0,,7.0,5.0,9.0,,19.0,3.0,65.0,59.0,2.0,27.0,11.0,,1.0,,,,,,52.0,13.0,13.0,,,,,2.0,,,,,,13.0,,,1.0,12.0,1.0,25.0,25.0,2.0,,6.0,89.0,48.0,5.0,,5.0,5.0,5.0,,1.0,,47.0,38.0,21.0,,,,,,161.0,156.0,2.0,20.0,24.0,47.0,1.0,,,0.0,1.0,4.0,,,4.0,1.0,6.0,1.0,,3.0,54.0,,10.0,167.0,27.0,32.0,28.0,6.0,25.0,19.0,89.0,14.0,222.0,,1.0,29.0,22.0,39.0,3.0,364.0,,0.0,13.0,21.0,2.0,29.0,1.0,652.0,,,13.0,7.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284058,6,2009-09-19 17:30:00,21,West Ham,Home,161.0,16.0,3.0,4.0,1.0,5.0,,123.0,6.0,3.0,10.0,5.0,28.0,23.0,280.0,,1.0,22.0,17.0,15.0,4.0,3.0,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,8.0,11.0,,,59.0,5.0,4.0,10.0,,4.0,2.0,4.0,,18.0,2.0,73.0,65.0,5.0,21.0,12.0,,,,,,,,62.0,15.0,17.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,11.0,,1.0,2.0,18.0,1.0,25.0,25.0,2.0,,11.0,89.0,52.0,4.0,,3.0,5.0,3.0,,9.0,,53.0,34.0,16.0,,,,,1.0,146.0,129.0,1.0,27.0,17.0,42.1,1.0,,,0.0,1.0,1.0,,,3.0,,5.0,,,3.0,46.0,,8.0,181.0,28.0,38.0,25.0,4.0,12.0,8.0,86.0,11.0,190.0,1.0,3.0,25.0,30.0,55.0,2.0,359.0,,0.0,12.0,23.0,1.0,23.0,3.0,646.0,,,10.0,4.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284064,7,2009-09-28 20:00:00,21,West Ham,Away,192.0,18.0,1.0,3.0,2.0,3.0,,145.0,3.0,1.0,4.0,3.0,22.0,28.0,334.0,,,21.0,14.0,7.0,7.0,2.0,,1.0,,,,,,,,,1.0,,,,,,,3.0,14.0,7.0,,,52.0,5.0,4.0,12.0,,5.0,4.0,4.0,,12.0,4.0,67.0,49.0,5.0,12.0,5.0,,1.0,,,,,,59.0,17.0,18.0,1.0,,,,,1.0,,,,1.0,11.0,,,1.0,13.0,,24.0,24.0,,,5.0,79.0,41.0,11.0,,4.0,6.0,5.0,,2.0,,38.0,47.0,16.0,,,,,,143.0,130.0,1.0,19.0,25.0,47.3,,,2.0,0.0,3.0,4.0,,,,1.0,5.0,1.0,,2.0,57.0,,10.0,206.0,35.0,25.0,17.0,4.0,16.0,12.0,92.0,8.0,222.0,,1.0,21.0,23.0,48.0,1.0,412.0,,0.0,14.0,20.0,2.0,25.0,1.0,663.0,,,4.0,5.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284078,8,2009-10-04 15:00:00,21,West Ham,Home,245.0,37.0,1.0,10.0,9.0,1.0,,270.0,5.0,2.0,3.0,7.0,35.0,58.0,505.0,,3.0,17.0,20.0,15.0,20.0,2.0,,,,,,1.0,,,,,,,,,,,,2.0,3.0,8.0,,,57.0,,10.0,10.0,,8.0,13.0,15.0,,9.0,2.0,57.0,63.0,,12.0,5.0,,,,,,,,75.0,14.0,13.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,8.0,,1.0,,10.0,,17.0,17.0,,,3.0,88.0,56.0,4.0,1.0,12.0,12.0,7.0,,1.0,,74.0,74.0,30.0,1.0,1.0,1.0,,,130.0,122.0,2.0,27.0,22.0,64.8,,,,0.0,,4.0,4.0,,2.0,,12.0,,,2.0,128.0,,24.0,254.0,58.0,20.0,19.0,6.0,35.0,29.0,173.0,5.0,365.0,1.0,2.0,19.0,36.0,82.0,1.0,584.0,,0.0,29.0,20.0,5.0,18.0,3.0,840.0,,,15.0,8.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284087,9,2009-10-17 15:00:00,21,West Ham,Away,162.0,29.0,2.0,6.0,4.0,1.0,,227.0,4.0,,5.0,7.0,24.0,38.0,383.0,,3.0,27.0,20.0,13.0,7.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,1.0,7.0,5.0,,,45.0,2.0,6.0,6.0,,6.0,11.0,8.0,1.0,15.0,1.0,68.0,55.0,2.0,15.0,9.0,,,,,,,,75.0,13.0,17.0,,,,,2.0,1.0,1.0,1.0,,1.0,9.0,,1.0,1.0,29.0,,23.0,23.0,2.0,,5.0,79.0,41.0,5.0,,1.0,9.0,5.0,,3.0,,62.0,62.0,27.0,1.0,1.0,1.0,,,175.0,145.0,3.0,16.0,20.0,61.2,,,,0.0,1.0,,,,,,2.0,,,3.0,81.0,,10.0,175.0,48.0,45.0,21.0,6.0,29.0,23.0,128.0,3.0,321.0,1.0,,23.0,25.0,58.0,3.0,467.0,1.0,0.0,13.0,19.0,6.0,27.0,3.0,746.0,,,6.0,6.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284098,10,2009-10-25 16:15:00,21,West Ham,Home,139.0,19.0,1.0,4.0,3.0,4.0,1.0,142.0,4.0,1.0,5.0,10.0,25.0,32.0,277.0,,2.0,20.0,9.0,23.0,5.0,2.0,2.0,,0.0,1.0,1.0,3.0,,1.0,,,,8.0,1.0,,,,,2.0,11.0,6.0,7.0,9.0,49.0,3.0,6.0,16.0,,6.0,9.0,6.0,0.0,12.0,3.0,69.0,66.0,3.0,23.0,12.0,1.0,,0.6531,2.09594,0.2263,1.4827,1.4179,68.0,19.0,16.0,1.0,,7.0,4.0,3.0,,,,,,10.0,0.0,2.0,2.0,23.0,,21.0,21.0,1.0,0.0,5.0,88.0,59.0,8.0,0.0,5.0,2.0,3.0,340.0,5.0,0.0,42.0,49.0,32.0,,,,,1.0,139.0,139.0,3.0,21.0,18.0,46.9,,1.0,3.0,0.0,3.0,1.0,4.0,1.0,,,7.0,,1.0,3.0,57.0,266.0,7.0,152.0,33.0,42.0,24.0,6.0,25.0,19.0,107.0,12.0,234.0,2.0,1.0,14.0,28.0,51.0,5.0,361.0,,1.0,16.0,18.0,4.0,22.0,2.0,596.0,22.0,0.0,9.0,6.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
