season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,expectedGoals_h,expectedGoals_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a,expectedAssists_h,expectedAssists_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a
2023-24,2367538,1,2023-08-11 20:00:00,"Turf Moor, Burnley",21572.0,Burnley,Man City,0,3,3,0,L,W,0,2,2,0,1,0,0,1,,3.0,6.0,17.0,1.0,8.0,3.0,4.0,2.0,5.0,,2.0,,2.0,,1.0,,,,2.0,5.0,14.0,3.0,10.0,17.0,32.0,29.0,61.0,365.0,706.0,290.0,634.0,34.4,65.6,14.0,23.0,12.0,17.0,8.0,12.0,7.0,4.0,16.0,6.0,16.0,6.0,7.0,7.0,5.0,2.0,,2.0,,,3.0,3.0,5.0,9.0,112.0,107.0,5.0,1.0,3.0,,,1.0,,,36.0,44.0,44.0,36.0,13.0,13.0,13.0,13.0,6.0,5.0,6.0,5.0,,4.0,11.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,
2023-24,2367539,1,2023-08-12 15:00:00,"Vitality Stadium, Bournemouth",,Bournemouth,West Ham,1,1,1,1,D,D,0,0,0,0,0,0,0,0,1.0,1.0,14.0,16.0,5.0,3.0,6.0,9.0,3.0,4.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,9.0,13.0,4.0,7.0,36.0,21.0,77.0,56.0,517.0,304.0,423.0,206.0,62.9,37.1,23.0,29.0,17.0,30.0,6.0,19.0,7.0,6.0,10.0,29.0,10.0,29.0,12.0,6.0,5.0,3.0,1.0,1.0,,,10.0,10.0,17.0,8.0,168.0,152.0,1.0,4.0,1.0,1.0,,,,,55.0,78.0,78.0,55.0,16.0,29.0,29.0,16.0,10.0,4.0,10.0,4.0,1.0,,9.0,14.0,12.0,9.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,,,,
2023-24,2367540,1,2023-08-12 13:00:00,"Emirates Stadium, London",59984.0,Arsenal,Nott'm Forest,2,1,1,2,W,L,2,0,0,2,0,0,0,0,2.0,1.0,15.0,6.0,7.0,2.0,3.0,3.0,5.0,1.0,,2.0,,1.0,,1.0,1.0,,2.0,1.0,13.0,5.0,11.0,3.0,33.0,13.0,78.0,44.0,769.0,200.0,693.0,137.0,78.3,21.7,32.0,12.0,19.0,17.0,15.0,10.0,7.0,8.0,9.0,16.0,9.0,16.0,5.0,5.0,1.0,5.0,,,,,7.0,4.0,9.0,11.0,119.0,106.0,1.0,5.0,1.0,2.0,,,,,47.0,56.0,56.0,47.0,12.0,20.0,20.0,12.0,8.0,3.0,8.0,3.0,,1.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,,,,,,,,
2023-24,2367541,1,2023-08-12 15:00:00,"American Express Stadium, Falmer",31872.0,Brighton,Luton,4,1,1,4,W,L,1,0,0,1,0,0,0,0,4.0,1.0,27.0,9.0,12.0,3.0,10.0,4.0,5.0,2.0,4.0,1.0,4.0,1.0,2.0,1.0,3.0,,2.0,,23.0,7.0,13.0,3.0,38.0,28.0,61.0,38.0,605.0,234.0,551.0,168.0,70.7,29.3,51.0,21.0,13.0,17.0,10.0,12.0,4.0,9.0,13.0,27.0,13.0,27.0,6.0,5.0,2.0,5.0,,1.0,,1.0,1.0,6.0,8.0,6.0,109.0,114.0,2.0,8.0,1.0,4.0,,,,,43.0,48.0,48.0,43.0,12.0,21.0,21.0,12.0,6.0,7.0,6.0,7.0,3.0,,11.0,12.0,12.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,
2023-24,2367542,1,2023-08-12 15:00:00,"Goodison Park, Liverpool",39940.0,Everton,Fulham,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,19.0,9.0,9.0,2.0,6.0,6.0,4.0,1.0,3.0,1.0,,1.0,4.0,1.0,1.0,1.0,,,14.0,7.0,10.0,1.0,35.0,20.0,66.0,53.0,366.0,556.0,288.0,470.0,40.6,59.4,24.0,18.0,13.0,10.0,6.0,4.0,13.0,4.0,16.0,29.0,16.0,29.0,12.0,6.0,1.0,4.0,,,,,6.0,7.0,3.0,9.0,133.0,126.0,1.0,9.0,1.0,,,1.0,,,35.0,42.0,42.0,35.0,9.0,15.0,15.0,9.0,10.0,4.0,10.0,4.0,2.0,,12.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,,,,,,,,
2023-24,2367543,1,2023-08-12 17:30:00,"St. James' Park, Newcastle",52207.0,Newcastle,Aston Villa,5,1,1,5,W,L,2,1,1,2,0,0,0,0,5.0,1.0,17.0,16.0,13.0,6.0,2.0,7.0,2.0,3.0,8.0,1.0,5.0,,4.0,2.0,,,4.0,1.0,14.0,13.0,12.0,7.0,22.0,23.0,57.0,49.0,502.0,447.0,428.0,382.0,52.6,47.4,34.0,22.0,16.0,13.0,9.0,10.0,7.0,6.0,12.0,14.0,12.0,14.0,9.0,5.0,3.0,3.0,,,,1.0,11.0,7.0,8.0,13.0,111.0,110.0,5.0,7.0,1.0,5.0,,,,,44.0,42.0,42.0,44.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,2.0,1.0,12.0,17.0,16.0,12.0,0.0,0.0,0.0,0.0,,,,,2.0,,,,,,,,,
2023-24,2367544,1,2023-08-12 15:00:00,"Bramall Lane, Sheffield",31194.0,Sheff Utd,Crystal Palace,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,8.0,24.0,1.0,8.0,4.0,8.0,3.0,8.0,,2.0,,1.0,,1.0,,,,1.0,5.0,20.0,2.0,13.0,26.0,25.0,53.0,58.0,262.0,562.0,162.0,466.0,32.2,67.8,14.0,33.0,22.0,21.0,11.0,9.0,11.0,4.0,34.0,14.0,34.0,14.0,15.0,10.0,8.0,3.0,,,,,13.0,2.0,12.0,18.0,152.0,166.0,7.0,1.0,1.0,,,1.0,,,48.0,83.0,83.0,48.0,13.0,31.0,31.0,13.0,5.0,5.0,5.0,5.0,,4.0,18.0,11.0,11.0,18.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,,,,,,,,
2023-24,2367545,1,2023-08-13 14:00:00,"Gtech Community Stadium, Brentford",17066.0,Brentford,Spurs,2,2,2,2,D,D,2,2,2,2,0,0,0,0,2.0,2.0,11.0,18.0,6.0,6.0,2.0,6.0,3.0,6.0,3.0,1.0,1.0,1.0,3.0,,,,1.0,2.0,8.0,11.0,5.0,10.0,25.0,36.0,33.0,81.0,306.0,711.0,235.0,638.0,30.4,69.6,27.0,33.0,17.0,16.0,9.0,10.0,8.0,10.0,34.0,17.0,34.0,17.0,10.0,5.0,5.0,3.0,,,,,16.0,5.0,12.0,7.0,115.0,124.0,4.0,4.0,2.0,2.0,,,,,50.0,54.0,54.0,50.0,15.0,12.0,12.0,15.0,3.0,6.0,3.0,6.0,,1.0,12.0,13.0,13.0,11.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,,,,,,,,,
2023-24,2367546,1,2023-08-13 16:30:00,"Stamford Bridge, London",40096.0,Chelsea,Liverpool,1,1,1,1,D,D,1,1,1,1,0,0,0,0,1.0,1.0,10.0,13.0,4.0,1.0,4.0,7.0,2.0,5.0,5.0,2.0,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,9.0,10.0,6.0,5.0,38.0,21.0,67.0,44.0,698.0,377.0,610.0,301.0,64.9,35.1,36.0,22.0,13.0,19.0,9.0,9.0,7.0,10.0,16.0,36.0,16.0,36.0,9.0,17.0,5.0,2.0,,,,,10.0,10.0,14.0,7.0,157.0,124.0,,4.0,1.0,1.0,,,,,47.0,40.0,40.0,47.0,12.0,6.0,6.0,12.0,4.0,4.0,4.0,4.0,1.0,,5.0,13.0,13.0,5.0,0.0,0.0,0.0,0.0,,,,,3.0,5.0,,,,,,,,
2023-24,2367547,1,2023-08-14 20:00:00,"Old Trafford, Manchester",73358.0,Man Utd,Wolves,1,0,0,1,W,L,0,0,0,0,0,0,0,0,1.0,,15.0,23.0,3.0,6.0,4.0,7.0,8.0,10.0,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,13.0,19.0,10.0,12.0,38.0,35.0,50.0,41.0,465.0,439.0,383.0,355.0,51.0,49.0,36.0,48.0,18.0,23.0,11.0,10.0,8.0,18.0,20.0,19.0,20.0,19.0,11.0,7.0,10.0,9.0,,,,,22.0,11.0,14.0,9.0,148.0,145.0,6.0,2.0,,1.0,1.0,,,,46.0,76.0,76.0,46.0,7.0,17.0,17.0,7.0,8.0,7.0,8.0,7.0,,3.0,15.0,10.0,10.0,14.0,0.0,0.0,0.0,0.0,,,,,1.0,3.0,,,,,,,,
2023-24,2367548,2,2023-08-20 14:00:00,"Villa Park, Birmingham",41694.0,Aston Villa,Everton,4,0,0,4,W,L,2,0,0,2,0,0,0,0,4.0,,13.0,9.0,7.0,2.0,4.0,3.0,2.0,4.0,2.0,,4.0,,1.0,,1.0,,1.0,,10.0,7.0,6.0,5.0,24.0,24.0,33.0,47.0,566.0,361.0,507.0,294.0,60.4,39.6,22.0,19.0,9.0,14.0,5.0,10.0,3.0,6.0,17.0,9.0,17.0,9.0,7.0,6.0,4.0,2.0,,,,2.0,9.0,13.0,4.0,7.0,105.0,116.0,2.0,3.0,,4.0,1.0,,,,43.0,39.0,39.0,43.0,10.0,8.0,8.0,10.0,7.0,6.0,7.0,6.0,,,8.0,12.0,12.0,8.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,1.0,,,,,,,,
2023-24,2367549,2,2023-08-21 20:00:00,"Selhurst Park, London",24189.0,Crystal Palace,Arsenal,0,1,1,0,L,W,0,0,0,0,0,1,1,0,,1.0,14.0,14.0,2.0,3.0,5.0,7.0,7.0,4.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,,10.0,8.0,8.0,3.0,26.0,31.0,54.0,67.0,428.0,489.0,370.0,422.0,46.9,53.1,30.0,33.0,14.0,14.0,10.0,7.0,5.0,8.0,18.0,17.0,18.0,17.0,3.0,6.0,4.0,7.0,,,,,6.0,10.0,5.0,8.0,107.0,114.0,2.0,2.0,1.0,,,1.0,,,48.0,46.0,46.0,48.0,14.0,13.0,13.0,14.0,1.0,8.0,1.0,8.0,1.0,1.0,14.0,10.0,10.0,13.0,0.0,0.0,0.0,0.0,,1.0,,1.0,,2.0,,,,,,,,
