season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,expectedGoals_h,expectedGoals_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a,expectedAssists_h,expectedAssists_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a
2020-21,2128286,1,2021-01-12 20:15:00,"Turf Moor, Burnley",,Burnley,Man Utd,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,11.0,13.0,,7.0,6.0,2.0,5.0,4.0,1.0,1.0,,,2.0,1.0,,,,1.0,5.0,11.0,2.0,10.0,29.0,37.0,56.0,48.0,334.0,566.0,220.0,475.0,37.3,62.7,16.0,29.0,5.0,12.0,3.0,8.0,11.0,10.0,18.0,19.0,18.0,19.0,16.0,17.0,4.0,5.0,,,,,6.0,2.0,6.0,2.0,160.0,135.0,6.0,,1.0,,,1.0,,,32.0,54.0,54.0,32.0,12.0,22.0,22.0,12.0,3.0,4.0,3.0,4.0,,,15.0,13.0,13.0,14.0,0.0,0.0,0.0,0.0,,,,,3.0,2.0,,,,,,,,
2020-21,2128287,1,2020-09-12 15:00:00,"Selhurst Park, London",,Crystal Palace,Southampton,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,5.0,9.0,3.0,5.0,2.0,3.0,,1.0,3.0,2.0,1.0,,2.0,2.0,,,1.0,,5.0,6.0,3.0,5.0,18.0,32.0,51.0,66.0,236.0,580.0,121.0,458.0,29.4,70.6,14.0,21.0,15.0,28.0,9.0,18.0,12.0,9.0,22.0,15.0,22.0,15.0,16.0,14.0,1.0,,,,,,6.0,10.0,23.0,10.0,194.0,177.0,5.0,2.0,,1.0,1.0,,,,65.0,77.0,77.0,65.0,30.0,30.0,30.0,30.0,7.0,3.0,7.0,3.0,2.0,1.0,14.0,11.0,10.0,14.0,0.0,0.0,0.0,0.0,,,,,4.0,,,,,,,,,
2020-21,2128288,1,2020-09-12 12:30:00,"Craven Cottage, London",,Fulham,Arsenal,0,3,3,0,L,W,0,1,1,0,0,0,0,0,,3.0,5.0,13.0,2.0,6.0,2.0,4.0,1.0,3.0,,1.0,,2.0,,1.0,,1.0,,2.0,3.0,8.0,3.0,6.0,17.0,26.0,47.0,55.0,523.0,626.0,461.0,562.0,45.6,54.4,3.0,26.0,11.0,12.0,7.0,5.0,10.0,18.0,7.0,11.0,7.0,11.0,5.0,4.0,4.0,1.0,1.0,,,,6.0,6.0,6.0,8.0,107.0,99.0,2.0,2.0,3.0,,,1.0,,,36.0,35.0,35.0,36.0,8.0,7.0,7.0,8.0,2.0,3.0,2.0,3.0,1.0,1.0,12.0,12.0,11.0,12.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,,,,,,,,
2020-21,2128289,1,2020-09-12 17:30:00,"Anfield, Liverpool",,Liverpool,Leeds,4,3,3,4,W,L,3,2,2,3,0,0,0,0,4.0,3.0,22.0,6.0,6.0,3.0,3.0,1.0,13.0,2.0,1.0,,3.0,,,,,,1.0,2.0,14.0,3.0,12.0,3.0,49.0,15.0,72.0,44.0,432.0,459.0,328.0,347.0,48.8,51.2,49.0,14.0,13.0,34.0,10.0,20.0,14.0,12.0,11.0,34.0,11.0,34.0,15.0,13.0,2.0,12.0,,,1.0,,9.0,19.0,21.0,9.0,185.0,163.0,,3.0,3.0,4.0,,,,,51.0,64.0,64.0,51.0,14.0,12.0,12.0,14.0,9.0,,9.0,,1.0,,9.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,2.0,,2.0,,2.0,5.0,,,,,,,,
2020-21,2128290,1,2021-01-20 18:00:00,"Etihad Stadium, Manchester",,Man City,Aston Villa,2,0,0,2,W,L,0,0,0,0,0,0,0,0,2.0,,28.0,11.0,9.0,4.0,7.0,4.0,12.0,3.0,1.0,,1.0,,3.0,,1.0,,1.0,,22.0,6.0,16.0,3.0,51.0,10.0,54.0,36.0,628.0,285.0,553.0,207.0,69.1,30.9,70.0,16.0,14.0,14.0,10.0,6.0,11.0,15.0,11.0,29.0,11.0,29.0,7.0,7.0,3.0,10.0,,,,,10.0,12.0,3.0,11.0,124.0,109.0,4.0,7.0,,2.0,1.0,,,,55.0,45.0,45.0,55.0,21.0,11.0,11.0,21.0,16.0,2.0,16.0,2.0,,1.0,10.0,9.0,8.0,10.0,0.0,0.0,0.0,0.0,1.0,,1.0,,3.0,1.0,,,,,,,,
2020-21,2128291,1,2020-09-13 16:30:00,"Tottenham Hotspur Stadium, London",,Spurs,Everton,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,9.0,15.0,5.0,4.0,1.0,7.0,3.0,4.0,2.0,1.0,,,2.0,2.0,,,,1.0,9.0,13.0,8.0,8.0,34.0,24.0,65.0,32.0,552.0,529.0,470.0,450.0,,,19.0,19.0,9.0,19.0,4.0,9.0,4.0,19.0,17.0,36.0,17.0,36.0,17.0,16.0,4.0,3.0,1.0,,,,18.0,5.0,16.0,7.0,138.0,116.0,3.0,5.0,1.0,,,1.0,,,38.0,65.0,65.0,38.0,18.0,15.0,15.0,18.0,5.0,3.0,5.0,3.0,,1.0,15.0,7.0,6.0,14.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,
2020-21,2128292,1,2020-09-13 14:00:00,"The Hawthorns, West Bromwich",,West Brom,Leicester,0,3,3,0,L,W,0,0,0,0,0,0,0,0,,3.0,7.0,13.0,1.0,7.0,3.0,3.0,3.0,3.0,,1.0,,3.0,,1.0,,,,1.0,4.0,5.0,2.0,4.0,12.0,24.0,52.0,43.0,336.0,604.0,255.0,511.0,35.8,64.2,8.0,26.0,7.0,17.0,5.0,10.0,10.0,14.0,13.0,14.0,13.0,14.0,12.0,12.0,2.0,3.0,,1.0,,,9.0,3.0,8.0,4.0,134.0,132.0,4.0,1.0,3.0,,,1.0,,,35.0,46.0,46.0,35.0,16.0,9.0,9.0,16.0,2.0,5.0,2.0,5.0,1.0,1.0,12.0,9.0,9.0,11.0,0.0,0.0,0.0,0.0,,2.0,,2.0,4.0,3.0,,,,,,,,
2020-21,2128293,1,2020-09-12 20:00:00,"London Stadium, London",,West Ham,Newcastle,0,2,2,0,L,W,0,0,0,0,0,0,0,0,,2.0,15.0,15.0,3.0,2.0,5.0,7.0,7.0,6.0,,1.0,,1.0,,,2.0,,,2.0,11.0,13.0,7.0,6.0,34.0,29.0,56.0,58.0,474.0,342.0,393.0,266.0,58.3,41.7,28.0,25.0,14.0,13.0,2.0,10.0,7.0,5.0,18.0,28.0,18.0,28.0,14.0,10.0,6.0,7.0,,,,,9.0,5.0,8.0,8.0,132.0,123.0,,3.0,2.0,,,1.0,,,41.0,57.0,57.0,41.0,17.0,25.0,25.0,17.0,8.0,7.0,8.0,7.0,1.0,,13.0,7.0,7.0,11.0,0.0,0.0,0.0,0.0,,,,,2.0,4.0,,,,,,,,
2020-21,2128294,1,2020-09-14 20:15:00,"American Express Stadium, Falmer",,Brighton,Chelsea,1,3,3,1,L,W,0,1,1,0,0,0,0,0,1.0,3.0,13.0,10.0,3.0,5.0,6.0,2.0,4.0,3.0,2.0,,,1.0,2.0,,,,1.0,2.0,10.0,9.0,5.0,7.0,21.0,16.0,54.0,57.0,507.0,465.0,414.0,387.0,52.3,47.7,15.0,20.0,17.0,16.0,11.0,9.0,15.0,25.0,8.0,15.0,8.0,15.0,12.0,15.0,3.0,4.0,,,,1.0,5.0,8.0,8.0,10.0,136.0,122.0,2.0,2.0,3.0,1.0,,,,,46.0,42.0,42.0,46.0,10.0,13.0,13.0,10.0,4.0,3.0,4.0,3.0,1.0,,8.0,13.0,11.0,8.0,0.0,0.0,0.0,0.0,,1.0,,1.0,,3.0,,,,,,,,
2020-21,2128295,1,2020-09-14 18:00:00,"Bramall Lane, Sheffield",,Sheff Utd,Wolves,0,2,2,0,L,W,0,2,2,0,0,0,0,0,,2.0,9.0,11.0,2.0,4.0,5.0,5.0,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,2.0,8.0,8.0,3.0,4.0,57.0,18.0,87.0,37.0,460.0,391.0,373.0,307.0,55.1,44.9,30.0,12.0,16.0,14.0,9.0,8.0,9.0,13.0,10.0,35.0,10.0,35.0,18.0,12.0,2.0,3.0,,,,,14.0,6.0,7.0,8.0,156.0,131.0,2.0,1.0,2.0,,,1.0,,,59.0,69.0,69.0,59.0,31.0,28.0,28.0,31.0,12.0,5.0,12.0,5.0,,,13.0,7.0,7.0,13.0,0.0,0.0,0.0,0.0,,,,,4.0,,,,,,,,,
