season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,expectedGoals_h,expectedGoals_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,expectedAssists_h,expectedAssists_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a
2021-22,2210271,1,2021-08-13 20:00:00,"Gtech Community Stadium, Brentford",16479.0,Brentford,Arsenal,2,0,0,2,W,L,1,0,0,1,0,0,0,0,2.0,,8.0,22.0,3.0,4.0,5.0,14.0,,4.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,6.0,19.0,2.0,8.0,20.0,36.0,44.0,48.0,309.0,568.0,201.0,488.0,35.3,64.7,20.0,40.0,20.0,9.0,12.0,3.0,9.0,7.0,19.0,14.0,19.0,14.0,15.0,16.0,4.0,,,,,,9.0,7.0,5.0,9.0,151.0,145.0,4.0,1.0,,2.0,,,1.0,,,,51.0,50.0,50.0,51.0,17.0,20.0,20.0,17.0,2.0,5.0,2.0,5.0,,,12.0,8.0,7.0,12.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,
2021-22,2210272,1,2021-08-14 15:00:00,"Turf Moor, Burnley",16910.0,Burnley,Brighton,1,2,2,1,L,W,1,0,0,1,0,0,0,0,1.0,2.0,14.0,14.0,3.0,8.0,8.0,4.0,3.0,2.0,,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,,,,1.0,2.0,9.0,10.0,5.0,8.0,42.0,28.0,46.0,43.0,259.0,518.0,181.0,424.0,35.9,64.1,12.0,23.0,16.0,16.0,12.0,9.0,10.0,6.0,12.0,27.0,12.0,27.0,15.0,12.0,4.0,3.0,,,,,3.0,12.0,10.0,12.0,141.0,131.0,4.0,2.0,2.0,1.0,,,,,,,61.0,49.0,49.0,61.0,26.0,20.0,20.0,26.0,7.0,6.0,7.0,6.0,,,10.0,7.0,7.0,10.0,0.0,0.0,0.0,0.0,,,,,1.0,,,
2021-22,2210273,1,2021-08-14 15:00:00,"Stamford Bridge, London",38965.0,Chelsea,Crystal Palace,3,0,0,3,W,L,2,0,0,2,0,0,0,0,3.0,,13.0,4.0,6.0,1.0,5.0,2.0,2.0,1.0,,,,,1.0,,,,,,,,1.0,,6.0,4.0,4.0,2.0,40.0,9.0,79.0,30.0,678.0,423.0,623.0,363.0,61.7,38.3,33.0,11.0,21.0,11.0,9.0,7.0,11.0,9.0,8.0,24.0,8.0,24.0,11.0,9.0,1.0,2.0,,,,,13.0,8.0,5.0,14.0,97.0,103.0,1.0,3.0,,3.0,,,1.0,,,,46.0,52.0,52.0,46.0,7.0,15.0,15.0,7.0,5.0,2.0,5.0,2.0,,,15.0,11.0,11.0,14.0,0.0,0.0,0.0,0.0,,,,,,1.0,,
2021-22,2210274,1,2021-08-14 15:00:00,"Goodison Park, Liverpool",38487.0,Everton,Southampton,3,1,1,3,W,L,0,1,1,0,0,0,0,0,3.0,1.0,14.0,6.0,6.0,3.0,5.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,1.0,,,,,,3.0,1.0,11.0,4.0,7.0,3.0,31.0,32.0,56.0,57.0,337.0,370.0,235.0,256.0,48.1,51.9,19.0,26.0,23.0,21.0,9.0,12.0,6.0,5.0,26.0,22.0,26.0,22.0,18.0,15.0,2.0,3.0,,,1.0,,10.0,7.0,14.0,10.0,167.0,180.0,2.0,3.0,1.0,3.0,,,,,,,68.0,61.0,61.0,68.0,25.0,19.0,19.0,25.0,6.0,8.0,6.0,8.0,,2.0,13.0,15.0,14.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-22,2210275,1,2021-08-14 15:00:00,"King Power Stadium, Leicester",31983.0,Leicester,Wolves,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,9.0,17.0,5.0,3.0,3.0,7.0,1.0,7.0,,,,1.0,,,,1.0,,,,,1.0,,8.0,12.0,6.0,7.0,18.0,21.0,41.0,54.0,584.0,443.0,505.0,366.0,56.3,43.7,14.0,29.0,15.0,20.0,11.0,10.0,11.0,13.0,15.0,16.0,15.0,16.0,24.0,26.0,7.0,1.0,2.0,,,,21.0,7.0,7.0,4.0,134.0,128.0,3.0,4.0,,1.0,,,1.0,,,,42.0,59.0,59.0,42.0,10.0,12.0,12.0,10.0,5.0,4.0,5.0,4.0,,,6.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,,,,,5.0,4.0,,
2021-22,2210276,1,2021-08-14 12:30:00,"Old Trafford, Manchester",72732.0,Man Utd,Leeds,5,1,1,5,W,L,1,0,0,1,0,0,0,0,5.0,1.0,16.0,10.0,8.0,3.0,5.0,6.0,3.0,1.0,,,3.0,2.0,2.0,,1.0,2.0,,,,,5.0,1.0,14.0,7.0,10.0,3.0,26.0,21.0,56.0,42.0,422.0,438.0,334.0,343.0,48.6,51.4,20.0,11.0,6.0,23.0,4.0,13.0,8.0,14.0,15.0,14.0,15.0,14.0,20.0,21.0,1.0,3.0,,,,,9.0,12.0,11.0,3.0,147.0,137.0,2.0,3.0,1.0,5.0,,,,,,,38.0,51.0,51.0,38.0,11.0,9.0,9.0,11.0,5.0,4.0,5.0,4.0,,3.0,11.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0,,,,,2.0,3.0,,
2021-22,2210277,1,2021-08-15 14:00:00,"St. James' Park, Newcastle",50673.0,Newcastle,West Ham,2,4,4,2,L,W,2,1,1,2,0,0,0,0,2.0,4.0,17.0,18.0,3.0,9.0,7.0,4.0,7.0,5.0,,,1.0,4.0,1.0,3.0,,3.0,1.0,1.0,,,2.0,3.0,12.0,12.0,8.0,10.0,28.0,28.0,38.0,42.0,401.0,473.0,340.0,405.0,46.4,53.6,28.0,33.0,8.0,23.0,5.0,14.0,9.0,7.0,21.0,21.0,21.0,21.0,8.0,11.0,6.0,6.0,,,,,11.0,14.0,14.0,4.0,123.0,116.0,4.0,1.0,4.0,2.0,,,,,,,37.0,58.0,58.0,37.0,12.0,20.0,20.0,12.0,7.0,6.0,7.0,6.0,,1.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,,1.0,,,1.0,2.0,,
2021-22,2210278,1,2021-08-14 17:30:00,"Carrow Road, Norwich",27023.0,Norwich,Liverpool,0,3,3,0,L,W,0,1,1,0,0,0,0,0,,3.0,14.0,19.0,3.0,8.0,8.0,7.0,3.0,4.0,,,1.0,4.0,,2.0,1.0,2.0,,,,,,2.0,11.0,14.0,5.0,9.0,24.0,38.0,45.0,50.0,520.0,512.0,441.0,432.0,50.1,49.9,14.0,39.0,19.0,16.0,13.0,8.0,9.0,5.0,36.0,16.0,36.0,16.0,19.0,18.0,6.0,2.0,,2.0,,,7.0,10.0,8.0,6.0,132.0,137.0,3.0,3.0,3.0,,,,,1.0,,,51.0,40.0,40.0,51.0,8.0,14.0,14.0,8.0,3.0,11.0,3.0,11.0,3.0,,4.0,14.0,14.0,3.0,0.0,0.0,0.0,0.0,,,,,2.0,,,
2021-22,2210279,1,2021-08-15 16:30:00,"Tottenham Hotspur Stadium, London",58262.0,Spurs,Man City,1,0,0,1,W,L,0,0,0,0,0,0,0,0,1.0,,13.0,18.0,3.0,4.0,5.0,9.0,5.0,5.0,,,,2.0,,,1.0,3.0,,,,,1.0,,10.0,13.0,6.0,7.0,21.0,31.0,45.0,52.0,293.0,548.0,227.0,469.0,34.4,65.6,19.0,39.0,15.0,16.0,9.0,11.0,10.0,3.0,24.0,10.0,24.0,10.0,18.0,20.0,5.0,5.0,,,,,20.0,14.0,11.0,8.0,116.0,137.0,4.0,1.0,,1.0,,,1.0,,,,51.0,66.0,66.0,51.0,14.0,19.0,19.0,14.0,3.0,11.0,3.0,11.0,4.0,1.0,11.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0,,
2021-22,2210280,1,2021-08-14 15:00:00,"Vicarage Road, Watford",20051.0,Watford,Aston Villa,3,2,2,3,W,L,2,0,0,2,0,0,0,0,3.0,2.0,13.0,11.0,7.0,2.0,4.0,6.0,2.0,3.0,,,1.0,,,1.0,1.0,,,,,,2.0,1.0,11.0,6.0,8.0,4.0,11.0,34.0,45.0,59.0,317.0,508.0,234.0,435.0,37.9,62.1,21.0,22.0,15.0,13.0,6.0,11.0,9.0,11.0,25.0,6.0,25.0,6.0,6.0,6.0,3.0,2.0,,,,,14.0,13.0,8.0,13.0,128.0,142.0,,4.0,2.0,3.0,,,,,,,65.0,62.0,62.0,65.0,24.0,17.0,17.0,24.0,2.0,4.0,2.0,4.0,1.0,,18.0,13.0,13.0,18.0,0.0,0.0,0.0,0.0,,1.0,,1.0,,2.0,,
