season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385464,23,2,Leeds_United,Home,980640,248937,Sam Greenwood,sam-greenwood,M,True,2.0,,,3.0,,1.0,,,,,,,,,,,,,,,0.074781,0.0,0.0,,,,,,,,2.0,,9.0,,,,,,,,1.0,,6.9,,,,,,,3.0,,,,4.0,,1.0,0,,5.0,,,,
2022-23,10385464,23,2,Leeds_United,Home,1067117,470294,Darko Gyabi,darko-gyabi,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385463,24,2,Leeds_United,Away,800419,200785,Tyler Adams,tyler-adams,M,False,,,2.0,19.0,20.0,39.0,1.0,2.0,9.0,,,,2.0,1.0,,,4.0,5.0,,,0.0193374,0.0,0.0,,,,,,,,,,90.0,,1.0,,,,,,15.0,,7.0,,,,,3.0,2.0,,,5.0,,27.0,25.0,52.0,0,1.0,66.0,1.0,1.0,1.0,
2022-23,10385463,24,2,Leeds_United,Away,881931,241519,Weston McKennie,weston-mckennie,M,False,,,3.0,12.0,11.0,23.0,1.0,,1.0,,,,1.0,,,1.0,3.0,2.0,,,0.0171125,0.0,0.0,,,,,,,1.0,1.0,,78.0,,,,,,,,7.0,,6.6,,,,,2.0,2.0,1.0,,3.0,,16.0,12.0,27.0,0,,39.0,1.0,,2.0,
2022-23,10385463,24,2,Leeds_United,Away,917005,450070,Crysencio Summerville,crysencio-summerville,M,False,,,1.0,5.0,6.0,11.0,1.0,1.0,5.0,,,,1.0,,,4.0,9.0,5.0,,,0.0133969,0.0816,0.0,1.0,,,,,,,,,61.0,,,,,,,,19.0,,6.1,,,1.0,,,3.0,1.0,,3.0,,9.0,10.0,18.0,1,2.0,37.0,5.0,1.0,1.0,2.0
2022-23,10385463,24,2,Leeds_United,Away,946695,463067,Georginio Rutter,georginio-rutter,M,True,,,,1.0,,1.0,1.0,,,,,1.0,,,,,2.0,3.0,,,0.00074313,0.0418,0.0,1.0,,,,,,1.0,,,12.0,,,,,,,,,,6.8,,,,,,1.0,,,,,1.0,,1.0,1,1.0,6.0,,1.0,1.0,1.0
2022-23,10385463,24,2,Leeds_United,Away,973431,427637,Brenden Aaronson,brenden-aaronson,M,True,,,,6.0,1.0,7.0,,,2.0,,,,1.0,,,,1.0,4.0,,,0.0632254,0.0566,0.0,,,,,,,,,,29.0,,,,,,,,5.0,,6.8,,,1.0,,,2.0,1.0,,,,8.0,2.0,9.0,1,1.0,17.0,2.0,1.0,2.0,1.0
2022-23,10385463,24,2,Leeds_United,Away,980640,248937,Sam Greenwood,sam-greenwood,M,True,1.0,,,4.0,,3.0,,,1.0,1.0,,,1.0,,,,1.0,2.0,,,0.129723,0.0,0.0,,,,,,,,1.0,,9.0,,,,,,,,3.0,,7.1,,,,,,,2.0,,1.0,,7.0,,5.0,0,2.0,9.0,,,,2.0
2022-23,10385463,24,2,Leeds_United,Away,1067117,470294,Darko Gyabi,darko-gyabi,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385478,25,2,Leeds_United,Home,800419,200785,Tyler Adams,tyler-adams,M,False,,,2.0,30.0,25.0,55.0,1.0,1.0,7.0,,,,2.0,,,,5.0,5.0,,,0.0314477,0.0,0.0,3.0,,,,,,1.0,,,90.0,,,,,,,,7.0,,6.9,,,,,,1.0,,,3.0,,33.0,29.0,62.0,0,3.0,71.0,,,1.0,3.0
2022-23,10385478,25,2,Leeds_United,Home,847128,234370,Marc Roca,marc-roca,M,True,,,,2.0,,2.0,,,1.0,,,,1.0,,,,1.0,1.0,,,0.00065168,0.0314,0.0,,,,,,,,,,10.0,,,,,,,,1.0,,6.6,,,1.0,,,,,,,,2.0,,2.0,1,1.0,5.0,1.0,,,
